iteration,total_steps,wall_time_seconds,iter_time_seconds,env_step_time_seconds,learn_step_time_seconds,residual_compute_time_seconds,L_total,L_policy,L_value,L_entropy,L_residual_optimality,L_residual_safety,L_distill,mean_reward,mean_episode_length,n_episodes,n_collisions,n_successes,n_timeouts,n_aborts,action_dist_stop,action_dist_creep,action_dist_yield,action_dist_go,action_dist_abort
1,4096,217.55688953399658,217.19501972198486,187.42923593521118,5.005875110626221,0.0,0.9593000113964081,0.15881451964378357,0.8004854917526245,1.493259310722351,0.0,0.0,0.0,-1084.1336669921875,500.0,8,0,0,8,0,0.12744140625,0.191162109375,0.231201171875,0.19287109375,0.25732421875
2,8192,658.1750688552856,199.8191795349121,176.37867665290833,3.4963297843933105,0.0,1.640089176595211,-0.09898350387811661,1.7390726804733276,1.4221179485321045,0.0,0.0,0.0,-1167.676513671875,500.0,8,0,0,8,0,0.19873046875,0.230224609375,0.2314453125,0.222900390625,0.11669921875
3,12288,882.4573652744293,224.28125739097595,200.52890300750732,1.8620851039886475,0.0,25.074108339846134,-0.05167176574468613,25.12578010559082,1.4128179550170898,0.0,0.0,0.0,484.19219970703125,500.0,8,0,0,8,0,0.1357421875,0.230712890625,0.2578125,0.28271484375,0.093017578125
4,16384,1088.6387751102448,206.1799042224884,183.662535905838,3.182204246520996,0.0,17.988364227116108,0.042756088078022,17.945608139038086,1.3879722356796265,0.0,0.0,0.0,2506.16796875,500.0,8,0,0,8,0,0.1328125,0.19580078125,0.286376953125,0.28662109375,0.098388671875
5,20480,1277.519196510315,188.8734052181244,164.47974967956543,1.6810626983642578,0.0,147.1655751094222,-0.08640853315591812,147.25198364257812,1.3915104866027832,0.0,0.0,0.0,5214.951171875,493.125,8,0,1,7,0,0.10595703125,0.16552734375,0.303955078125,0.319580078125,0.10498046875
6,24576,1452.6980142593384,175.1776716709137,156.00175952911377,1.3416287899017334,0.0,2.9042260944843292,-0.16154024004936218,3.0657663345336914,1.4074971675872803,0.0,0.0,0.0,697.5792236328125,500.0,8,0,0,8,0,0.08935546875,0.2138671875,0.31982421875,0.2421875,0.134765625
7,28672,1620.9280416965485,168.22926378250122,147.4601171016693,3.279068946838379,0.0,12.633392304182053,-0.08795836567878723,12.72135066986084,1.3414058685302734,0.0,0.0,0.0,2866.82763671875,500.0,8,0,0,8,0,0.0927734375,0.204345703125,0.339599609375,0.271240234375,0.092041015625
8,32768,1796.6740746498108,175.7340784072876,156.74934649467468,2.9096949100494385,0.0,63.9621954113245,0.15929700434207916,63.80289840698242,1.4013386964797974,0.0,0.0,0.0,11657.82421875,487.875,8,0,3,5,0,0.090576171875,0.170654296875,0.377685546875,0.296875,0.064208984375
9,36864,1988.458575963974,191.78001379966736,166.03080129623413,3.2747881412506104,0.0,9.518075246363878,-0.03254769369959831,9.550622940063477,1.3873945474624634,0.0,0.0,0.0,2703.4599609375,500.0,8,0,0,8,0,0.123291015625,0.191162109375,0.353271484375,0.252685546875,0.07958984375
10,40960,2175.031063079834,186.56443119049072,165.2653534412384,1.230428695678711,0.0,207.1993159968406,0.0251064021140337,207.17420959472656,1.3412569761276245,0.0,0.0,0.0,15417.2421875,449.875,8,0,5,3,0,0.08349609375,0.2060546875,0.35693359375,0.302001953125,0.051513671875
11,45056,2369.3023607730865,194.26443243026733,172.921537399292,3.952641248703003,0.0,240.2824375219643,0.0252811498939991,240.2571563720703,1.2696284055709839,0.0,0.0,0.0,21167.283203125,421.3333333333333,9,0,9,0,0,0.080078125,0.191162109375,0.33935546875,0.330810546875,0.05859375
