iteration,total_steps,wall_time_seconds,iter_time_seconds,env_step_time_seconds,learn_step_time_seconds,residual_compute_time_seconds,L_total,L_policy,L_value,L_entropy,L_residual_optimality,L_residual_safety,L_distill,mean_reward,mean_episode_length,n_episodes,n_collisions,n_successes,n_timeouts,n_aborts,action_dist_stop,action_dist_creep,action_dist_yield,action_dist_go,action_dist_abort,distill_loss_optimality_component,distill_loss_safety_component
1,4096,282.5464928150177,282.0861818790436,199.11732006072998,60.18672585487366,60.12495446205139,1.10207187384367,0.12059897184371948,0.7565847635269165,1.5691553354263306,0.8619946241378784,0.0,0.05248921364545822,-1343.9693603515625,500.0,8,0,0,8,0,0.172607421875,0.205078125,0.227783203125,0.14599609375,0.24853515625,0.05650419741868973,0.05618152767419815
2,8192,677.0904655456543,224.29919862747192,196.6741132736206,12.945026159286499,12.899739265441895,1.1257990002632141,0.05474144220352173,0.6221975088119507,1.5206384658813477,0.9711271524429321,0.0,0.2546346187591553,-1916.149658203125,500.0,8,0,0,8,0,0.209716796875,0.248046875,0.222412109375,0.168701171875,0.151123046875,0.2594550549983978,0.2679198980331421
3,12288,881.0510048866272,203.92805695533752,164.3759789466858,23.35876441001892,23.318122148513794,17.897019582986832,-0.08841896057128906,2.1946306228637695,1.4686439037322998,77.79015350341797,0.0018058568239212036,0.2324160486459732,-1756.909423828125,500.0,8,0,0,8,0,0.228271484375,0.327880859375,0.199462890625,0.178955078125,0.0654296875,0.3353855013847351,0.3301506042480469
4,16384,1212.2620470523834,331.10875511169434,265.1559011936188,49.07923150062561,49.029078245162964,132.2677966043353,0.1711617112159729,1.5774693489074707,1.480026125907898,651.8779296875,0.03782721608877182,0.1360141634941101,-1150.9033203125,500.0,8,0,0,8,0,0.176513671875,0.373291015625,0.16943359375,0.21533203125,0.0654296875,0.17091400921344757,0.14986516535282135
5,20480,1719.2559370994568,506.9381034374237,437.691526889801,50.610461473464966,50.51844763755798,2.887356282025576,0.059550393372774124,2.372213363647461,1.4576886892318726,1.0268036127090454,0.0,0.2502318024635315,-595.7531127929688,500.0,8,0,0,8,0,0.16650390625,0.30859375,0.22412109375,0.234130859375,0.066650390625,0.4348176419734955,0.35179921984672546
6,24576,2229.283051252365,509.9867784976959,448.41379141807556,31.300375938415527,31.256338834762573,14.681766203045845,-0.005607500672340393,13.933614730834961,1.4280836582183838,1.294549584388733,0.0,0.4948490560054779,401.34185791015625,500.0,8,0,0,8,0,0.16552734375,0.308837890625,0.21728515625,0.26318359375,0.045166015625,1.0263229608535767,0.9664154648780823
7,28672,2807.574025630951,578.2840011119843,506.71424746513367,45.95370364189148,45.88547444343567,18.682327097654344,0.14517244696617126,16.355966567993164,1.4403679370880127,1.9313650131225586,0.0,1.7949150800704956,2060.00439453125,500.0,8,0,0,8,0,0.1240234375,0.3115234375,0.1962890625,0.310302734375,0.057861328125,3.5565621852874756,3.2306392192840576
8,32768,3239.0959692001343,431.5152816772461,367.3595824241638,45.18447184562683,45.142035722732544,9.708104941993952,0.04450342431664467,7.971189022064209,1.4228029251098633,1.1672443151474,0.0,1.4589636325836182,1908.566162109375,500.0,8,0,0,8,0,0.14111328125,0.263427734375,0.201904296875,0.322998046875,0.070556640625,1.908000111579895,2.0048351287841797
9,36864,3758.3411259651184,519.2280974388123,425.32193088531494,72.78929400444031,72.72504472732544,66.96299584358931,0.06918971985578537,62.554222106933594,1.4039360284805298,2.7722151279449463,0.0,3.7851409912109375,5078.853515625,500.0,8,0,0,8,0,0.12255859375,0.265625,0.187255859375,0.375244140625,0.04931640625,16.676973342895508,9.301124572753906
10,40960,4290.544410705566,532.1727042198181,497.30418038368225,12.311495304107666,12.274506092071533,163.9768474549055,0.16512170433998108,151.0688934326172,1.3981990814208984,1.7674638032913208,0.022707536816596985,12.384798049926758,10789.533203125,451.375,8,0,3,5,0,0.11279296875,0.212646484375,0.192626953125,0.423583984375,0.058349609375,17.547203063964844,21.263160705566406
11,45056,4858.877157449722,568.2630174160004,518.3488519191742,26.048652410507202,25.997353315353394,13.903501427173614,0.11901742219924927,8.726346015930176,1.4794381856918335,1.5306382179260254,0.0,4.752010345458984,4199.650390625,500.0,8,0,0,8,0,0.21533203125,0.16357421875,0.14990234375,0.363037109375,0.108154296875,7.262269020080566,5.221645832061768
12,49152,5896.815167427063,540.5084962844849,441.1132376194,72.10766077041626,72.06151604652405,95.14178163409234,0.09159526228904724,5.54852294921875,1.4578335285186768,442.6028137207031,0.0,0.9811006784439087,1265.326904296875,500.0,8,0,0,8,0,0.2275390625,0.125732421875,0.119140625,0.353759765625,0.173828125,1.3243539333343506,1.1452833414077759
13,53248,6546.096942663193,649.2306754589081,527.7334201335907,100.56277751922607,100.50094723701477,42.361372369527814,0.16574153304100037,37.56218338012695,1.3715596199035645,2.208327293395996,0.0,4.191781997680664,4519.33251953125,482.125,8,0,1,7,0,0.197998046875,0.196044921875,0.115478515625,0.361328125,0.129150390625,4.686006546020508,6.610780239105225
14,57344,6982.726979255676,436.56120109558105,384.23991775512695,30.088406562805176,30.04874849319458,407.4415689736605,0.15702755749225616,278.7045593261719,1.2797073125839233,3.0343403816223145,0.0,127.97311401367188,16898.638671875,436.55555555555554,9,0,8,1,0,0.138427734375,0.183837890625,0.119873046875,0.473388671875,0.08447265625,138.27163696289062,144.6369171142578
15,61440,7554.394920825958,571.6325571537018,494.0697705745697,51.77547478675842,51.71499848365784,185.97126313447953,0.12083083391189575,131.9600067138672,1.307403564453125,3.4058709144592285,0.0,53.209251403808594,14176.572265625,443.55555555555554,9,0,4,5,0,0.1728515625,0.174072265625,0.09716796875,0.457763671875,0.09814453125,46.89755630493164,76.0766830444336
16,65536,8130.44820189476,576.0357692241669,496.9474642276764,51.64241290092468,51.57629442214966,600.1148172497749,0.18816477060317993,395.04266357421875,1.199310302734375,2.4730756282806396,0.0,204.38937377929688,23819.609375,324.6666666666667,12,0,12,0,0,0.125,0.18212890625,0.112548828125,0.515380859375,0.06494140625,173.57984924316406,258.10284423828125
17,69632,9153.70186471939,1023.1734898090363,911.8353569507599,80.35410499572754,80.26099038124084,610.709369969368,0.13117969036102295,392.327392578125,1.1511801481246948,2.74294114112854,0.0,217.70220947265625,27163.931640625,312.5833333333333,12,0,12,0,0,0.13671875,0.1591796875,0.112060546875,0.529296875,0.062744140625,178.4071044921875,295.5934753417969
18,73728,10337.259181261063,1183.5351719856262,1104.2275319099426,47.26837921142578,47.229435443878174,577.3015660464764,0.057994335889816284,398.50537109375,1.1196633577346802,3.1175777912139893,0.0,178.11468505859375,29740.7890625,294.0769230769231,13,0,13,0,0,0.125244140625,0.155029296875,0.109375,0.542724609375,0.067626953125,166.39303588867188,224.3171844482422
