iteration,total_steps,wall_time_seconds,iter_time_seconds,env_step_time_seconds,learn_step_time_seconds,residual_compute_time_seconds,L_total,L_policy,L_value,L_entropy,L_residual_optimality,L_residual_safety,L_distill,mean_reward,mean_episode_length,n_episodes,n_collisions,n_successes,n_timeouts,n_aborts,action_dist_stop,action_dist_creep,action_dist_yield,action_dist_go,action_dist_abort,distill_loss_optimality_component,distill_loss_safety_component
1,4096,116.63023543357849,116.6239652633667,29.695502281188965,50.90673828125,50.828184366226196,1.4900864154100417,0.1059289276599884,0.9951876997947693,1.4606211185455322,1.4687557220458984,0.0,0.09521864354610443,-843.8277587890625,500.0,8,0,0,8,0,0.1416015625,0.2236328125,0.29833984375,0.1552734375,0.18115234375,0.11460166424512863,0.11416518688201904
2,8192,301.0729534626007,103.11251163482666,25.901979684829712,37.18504190444946,37.13203477859497,1.756984105706215,0.0655914694070816,1.3359264135360718,1.4819756746292114,1.0372148752212524,0.0,0.14802324771881104,-1286.968994140625,500.0,8,0,0,8,0,0.156494140625,0.1875,0.35986328125,0.190673828125,0.10546875,0.20951661467552185,0.13449476659297943
3,12288,436.66704869270325,135.58563256263733,28.409359216690063,69.41773080825806,69.36820793151855,31.96294781714678,0.12616075575351715,4.24409818649292,1.5231857299804688,135.9092559814453,0.02436652034521103,0.40596437454223633,-1065.052490234375,500.0,8,0,0,8,0,0.14208984375,0.210693359375,0.346923828125,0.21875,0.08154296875,1.3142321109771729,0.6014857888221741
4,16384,546.3871240615845,109.70856547355652,28.6050283908844,43.29286241531372,43.21222400665283,4.0058681011199955,0.26704949140548706,2.9375486373901367,1.532698154449463,1.1657644510269165,0.0,0.568117082118988,-513.8991088867188,500.0,8,0,0,8,0,0.150634765625,0.2109375,0.282958984375,0.269287109375,0.086181640625,0.6921980977058411,0.6457136869430542
5,20480,659.0699849128723,112.66941952705383,27.695219039916992,47.84349751472473,47.76879549026489,5.11964711099863,-0.11476954072713852,4.104773044586182,1.523107886314392,2.4207041263580322,0.2693327069282532,0.5916362404823303,-495.96453857421875,500.0,8,0,0,8,0,0.203857421875,0.163330078125,0.264892578125,0.276611328125,0.09130859375,0.6850233674049377,0.9366133809089661
6,24576,755.7358543872833,96.64264154434204,26.76259756088257,28.05585241317749,28.0084490776062,4.4139094918966295,-0.030887022614479065,2.7198221683502197,1.5172953605651855,1.1257646083831787,0.0,1.499821424484253,-826.148681640625,500.0,8,0,0,8,0,0.193115234375,0.144775390625,0.22607421875,0.30126953125,0.134765625,2.478503704071045,1.3128317594528198
7,28672,859.6770122051239,103.93981194496155,29.27675461769104,29.591199159622192,29.519622564315796,3.925112521648407,-0.004629552364349365,2.5215959548950195,1.4704983234405518,1.2851094007492065,0.0,1.1511242389678955,-1180.4677734375,500.0,8,0,0,8,0,0.2431640625,0.127685546875,0.198974609375,0.299072265625,0.131103515625,1.7279243469238281,1.2801979780197144
8,32768,973.07750415802,113.39924430847168,28.085466146469116,41.95505404472351,41.901631116867065,3.847830894589424,0.18858690559864044,2.6341233253479004,1.4422136545181274,1.105124592781067,0.0,0.8040957450866699,-1502.7235107421875,500.0,8,0,0,8,0,0.2841796875,0.134765625,0.1689453125,0.30322265625,0.10888671875,0.8627285957336426,1.0180474519729614
9,36864,1089.5517518520355,116.46052885055542,28.663442373275757,46.62029051780701,46.57551693916321,17.40323689877987,0.11915324628353119,9.09821891784668,1.4368019104003906,33.97230529785156,0.0,1.3914036750793457,-1336.11474609375,500.0,8,0,0,8,0,0.263427734375,0.120849609375,0.162353515625,0.341552734375,0.11181640625,1.634144902229309,2.54758882522583
10,40960,1200.491292476654,110.93848609924316,29.044009685516357,37.782334327697754,37.72279739379883,9.66157170832157,0.041560545563697815,6.915297031402588,1.4015259742736816,1.3959828615188599,0.0,2.4255175590515137,-518.555419921875,500.0,8,0,0,8,0,0.265380859375,0.109130859375,0.243896484375,0.28271484375,0.098876953125,2.622502326965332,2.8263137340545654
