iteration,total_steps,wall_time_seconds,iter_time_seconds,env_step_time_seconds,learn_step_time_seconds,residual_compute_time_seconds,L_total,L_policy,L_value,L_entropy,L_residual_optimality,L_residual_safety,L_distill,mean_reward,mean_episode_length,n_episodes,n_collisions,n_successes,n_timeouts,n_aborts,action_dist_stop,action_dist_creep,action_dist_yield,action_dist_go,action_dist_abort
1,4096,358.3957691192627,358.041939496994,319.6858711242676,14.481834173202515,14.422509670257568,8.069209858775139,0.07521209120750427,0.9837599992752075,1.4977054595947266,6.926309585571289,0.0,0.083928182721138,-1033.6171875,500.0,8,0,0,8,0,0.124755859375,0.162353515625,0.255126953125,0.209716796875,0.248046875
2,8192,967.1362307071686,317.73915100097656,286.49081349372864,7.616797924041748,7.576396942138672,4.900450125336647,0.08824382722377777,4.13701057434082,1.4084463119506836,0.355973482131958,0.0,0.31922224164009094,-1116.274658203125,500.0,8,0,0,8,0,0.150634765625,0.216552734375,0.258544921875,0.270751953125,0.103515625
3,12288,1250.0188252925873,282.8687834739685,251.19334816932678,6.284574747085571,6.245301246643066,42.8414463698864,0.013469785451889038,35.47642135620117,1.3569529056549072,1.156898856163025,0.0,6.1946563720703125,1544.9031982421875,500.0,8,0,0,8,0,0.075927734375,0.270263671875,0.276123046875,0.30126953125,0.076416015625
4,16384,1545.1437294483185,295.1061179637909,266.5456953048706,8.61999773979187,8.575394868850708,35.50713722035289,0.006154697388410568,26.645612716674805,1.3662824630737305,0.828049898147583,0.0,8.02731990814209,1365.8084716796875,500.0,8,0,0,8,0,0.09228515625,0.251708984375,0.34912109375,0.219482421875,0.08740234375
5,20480,1805.4955081939697,260.35087633132935,237.38365149497986,5.092489719390869,5.047107458114624,53.12077871710062,-0.11880024522542953,31.920637130737305,1.3409327268600464,0.9375102519989014,0.0,20.381431579589844,2824.14501953125,500.0,8,0,0,8,0,0.07421875,0.25146484375,0.365966796875,0.226318359375,0.08203125
6,24576,2042.4605135917664,236.9555902481079,210.40753650665283,6.865847826004028,6.821366786956787,72.43467059731483,0.11491605639457703,33.08185577392578,1.3580478429794312,0.8423566222190857,0.0,38.39554214477539,4543.3056640625,500.0,8,0,0,8,0,0.072509765625,0.300537109375,0.270263671875,0.2578125,0.098876953125
7,28672,2278.694792985916,236.22068881988525,204.93777322769165,11.930742263793945,11.87363600730896,297.70217180997133,0.0727849081158638,268.8404846191406,1.3230888843536377,1.222320556640625,0.0,27.56658172607422,13342.94140625,446.22222222222223,9,0,6,3,0,0.0693359375,0.307373046875,0.220703125,0.3125,0.090087890625
8,32768,2500.228318452835,221.39031100273132,195.98466181755066,6.061602592468262,6.013942003250122,790.3316813856363,-0.11558328568935394,724.441162109375,1.2684969902038574,2.4095029830932617,0.0,63.59659957885742,21306.03515625,414.44444444444446,9,0,9,0,0,0.068115234375,0.298828125,0.221923828125,0.335205078125,0.075927734375
9,36864,2778.640958547592,278.40069341659546,250.0848617553711,5.965938568115234,5.922054767608643,664.0113927870989,-0.16795377433300018,529.4837646484375,1.2298589944839478,2.1010384559631348,0.0,132.59454345703125,21530.580078125,341.45454545454544,11,0,11,0,0,0.06201171875,0.29248046875,0.204833984375,0.358154296875,0.08251953125
10,40960,3074.362112045288,295.7010519504547,262.03631925582886,11.059159278869629,11.017978429794312,634.9120647460222,-0.009357258677482605,458.63037109375,1.2616183757781982,2.072117805480957,0.0,174.21893310546875,23607.291015625,332.6666666666667,12,0,12,0,0,0.063232421875,0.238525390625,0.213134765625,0.39013671875,0.094970703125
