iteration,total_steps,wall_time_seconds,iter_time_seconds,env_step_time_seconds,learn_step_time_seconds,residual_compute_time_seconds,L_total,L_policy,L_value,L_entropy,L_residual_optimality,L_residual_safety,L_distill,mean_reward,mean_episode_length,n_episodes,n_collisions,n_successes,n_timeouts,n_aborts,action_dist_stop,action_dist_creep,action_dist_yield,action_dist_go,action_dist_abort
1,4096,79.0856728553772,79.04333972930908,24.337432622909546,20.432777643203735,20.379603624343872,2.286814421415329,-0.1821865737438202,1.9022865295410156,1.4563286304473877,0.253574937582016,0.0,0.31313952803611755,-1273.008056640625,500.0,8,0,0,8,0,0.141845703125,0.087646484375,0.243408203125,0.283203125,0.243896484375
2,8192,194.33577823638916,81.00566339492798,27.49773669242859,16.420969009399414,16.359224319458008,7.081742361187935,0.0719309002161026,2.1948492527008057,1.4379805326461792,4.396861553192139,0.0,0.41810065507888794,-2256.79052734375,500.0,8,0,0,8,0,0.156005859375,0.112060546875,0.24853515625,0.289794921875,0.193603515625
3,12288,267.7294588088989,73.38723349571228,24.73512315750122,15.633261919021606,15.57676911354065,4.288596648722887,0.022679705172777176,2.5626487731933594,1.4272958040237427,0.3986477851867676,0.0,1.304620385169983,-1946.531494140625,500.0,8,0,0,8,0,0.14306640625,0.16455078125,0.242431640625,0.330810546875,0.119140625
4,16384,331.1995425224304,63.463282108306885,23.723514556884766,4.2020018100738525,4.161050081253052,72.33084742724895,-0.12197597324848175,57.568763732910156,1.3708864450454712,1.0784327983856201,0.0,13.80562686920166,989.2919921875,500.0,8,0,0,8,0,0.116943359375,0.17919921875,0.252197265625,0.37841796875,0.0732421875
5,20480,409.96659088134766,78.76479053497314,25.312090158462524,16.685051202774048,16.643279552459717,760.4627685211599,0.038116421550512314,266.1268615722656,1.419521689414978,403.7519836425781,0.0,90.54580688476562,5226.25537109375,439.6666666666667,9,0,4,5,0,0.1025390625,0.1796875,0.247802734375,0.393798828125,0.076171875
6,24576,470.8401267528534,60.86228919029236,23.426807403564453,6.031528949737549,5.99009108543396,860.9152781516314,0.039422228932380676,72.15242767333984,1.408828854560852,783.6343994140625,0.0,5.089028835296631,4683.705078125,497.75,8,0,1,7,0,0.08056640625,0.22021484375,0.263427734375,0.346923828125,0.0888671875
7,28672,546.8536009788513,75.99400639533997,23.644821166992188,18.68025302886963,18.596948385238647,277.8994000554085,0.1317322850227356,217.80223083496094,1.3318573236465454,1.6207027435302734,0.0,58.34473419189453,16444.537109375,387.3,10,0,9,1,0,0.075927734375,0.190673828125,0.26171875,0.4072265625,0.064453125
8,32768,612.6737504005432,65.81941747665405,22.328126430511475,14.373425006866455,14.329991817474365,705.2576939724386,-0.05324927344918251,572.601318359375,1.296642780303955,1.5484157800674438,0.0,131.1612091064453,27386.71484375,457.125,8,0,8,0,0,0.06640625,0.177490234375,0.304931640625,0.398193359375,0.052978515625
9,36864,685.0246353149414,72.34497785568237,26.214529275894165,8.324835300445557,8.28203535079956,446.83062908798456,0.05558428913354874,368.82861328125,1.3007073402404785,1.7932637929916382,0.0,76.15316772460938,23320.552734375,406.7,10,0,8,2,0,0.068359375,0.18212890625,0.2978515625,0.397705078125,0.053955078125
10,40960,773.4774532318115,88.45164108276367,27.949843883514404,20.352736473083496,20.295828580856323,560.307117857039,-0.05792411416769028,448.5993347167969,1.2533458471298218,2.3648664951324463,0.0,109.40084075927734,24743.779296875,355.09090909090907,11,0,11,0,0,0.08154296875,0.184326171875,0.259765625,0.429931640625,0.04443359375
11,45056,856.4139702320099,82.9201340675354,26.09187936782837,14.228486061096191,14.186229228973389,467.3848775923252,0.17294874787330627,371.7972717285156,1.2100903987884521,1.6205439567565918,0.0,93.79411315917969,25858.142578125,323.4166666666667,12,0,12,0,0,0.075927734375,0.193359375,0.230224609375,0.4423828125,0.05810546875
12,49152,970.7316660881042,86.6218159198761,29.53456997871399,11.457406282424927,11.404911518096924,617.7686216980219,-0.10904334485530853,496.9961242675781,1.1791503429412842,2.2451882362365723,0.0,118.6363525390625,25594.61328125,285.85714285714283,14,0,14,0,0,0.0732421875,0.16455078125,0.214599609375,0.4970703125,0.050537109375
13,53248,1062.8517849445343,92.10676383972168,30.74765157699585,13.59145450592041,13.52136516571045,390.802857067436,-0.022080037742853165,305.52349853515625,1.1179147958755493,2.3651134967803955,0.0,82.93632507324219,28530.802734375,274.92857142857144,14,0,14,0,0,0.080810546875,0.15771484375,0.202392578125,0.513671875,0.04541015625
