iteration,total_steps,wall_time_seconds,iter_time_seconds,env_step_time_seconds,learn_step_time_seconds,residual_compute_time_seconds,L_total,L_policy,L_value,L_entropy,L_residual_optimality,L_residual_safety,L_distill,mean_reward,mean_episode_length,n_episodes,n_collisions,n_successes,n_timeouts,n_aborts,action_dist_stop,action_dist_creep,action_dist_yield,action_dist_go,action_dist_abort
1,4096,208.55590534210205,207.0734362602234,173.89070534706116,15.615300178527832,15.587213516235352,306.74040496721864,-0.02298479899764061,3.364483118057251,1.4363133907318115,302.7406921386719,0.0,0.6582145094871521,-821.3392333984375,500.0,8,0,0,8,0,0.16064453125,0.205810546875,0.1259765625,0.3212890625,0.186279296875
2,8192,1204.2205078601837,544.2995212078094,496.32940006256104,27.131425857543945,27.100404262542725,93.35079751722515,0.016792697831988335,57.957481384277344,1.370983600616455,34.42836380004883,0.0,0.9481596350669861,830.6907348632812,500.0,8,0,0,8,0,0.136962890625,0.174560546875,0.14990234375,0.434326171875,0.104248046875
3,12288,1569.726550579071,365.4813299179077,323.54096937179565,16.555527925491333,16.52734136581421,101.94576484151185,0.01832038350403309,53.16856002807617,1.4110023975372314,29.369483947753906,0.0,19.389400482177734,3142.966064453125,500.0,8,0,0,8,0,0.134765625,0.1923828125,0.244873046875,0.33740234375,0.090576171875
4,16384,1802.4678728580475,232.71052598953247,200.0304079055786,11.871114015579224,11.832767963409424,61.57925770431757,0.09903309494256973,27.563217163085938,1.364220380783081,18.60184669494629,0.0,15.315160751342773,4632.376953125,500.0,8,0,0,8,0,0.12353515625,0.251220703125,0.1923828125,0.353271484375,0.07958984375
5,20480,2115.003692150116,312.50068855285645,264.2420470714569,23.464449167251587,23.432157516479492,497.21065025031567,-0.014429286122322083,405.3795471191406,1.366397738456726,3.4193315505981445,0.0,88.42620086669922,11686.7236328125,390.6,10,0,8,2,0,0.099609375,0.2275390625,0.19970703125,0.418212890625,0.054931640625
6,24576,2480.928597688675,365.90543270111084,314.99194622039795,25.658934116363525,25.619314670562744,616.2196717374027,-0.02593468502163887,544.2838745117188,1.3084838390350342,3.1758127212524414,0.0,68.78591918945312,19221.85546875,399.5,10,0,8,2,0,0.09423828125,0.2109375,0.21875,0.422607421875,0.053466796875
7,28672,2669.536295890808,188.5745770931244,161.61730670928955,6.471386909484863,6.44001841545105,68.58090363070369,0.02831314131617546,49.77259826660156,1.3090490102767944,1.8643790483474731,0.0,16.915613174438477,19283.1640625,500.0,8,0,0,8,0,0.101806640625,0.2197265625,0.28125,0.33642578125,0.060791015625
8,32768,2940.407203912735,270.8427290916443,236.82011127471924,13.628280639648438,13.579958200454712,1305.2852947916836,0.02082945965230465,437.8688659667969,1.2591933012008667,742.2138061523438,0.0,125.18179321289062,20794.78125,338.25,12,0,12,0,0,0.068115234375,0.208984375,0.247314453125,0.429931640625,0.045654296875
9,36864,3217.6892948150635,277.2442274093628,240.84059882164001,16.034895420074463,16.001574516296387,551.3234271109104,0.051717907190322876,366.6849060058594,1.2708280086517334,1.9282033443450928,0.0,182.65859985351562,24777.484375,314.0,12,0,12,0,0,0.077392578125,0.18798828125,0.22216796875,0.463623046875,0.048828125
10,40960,3585.69282746315,367.9774339199066,330.8946781158447,9.961938381195068,9.926602840423584,953.2829173207283,0.164936363697052,294.9715576171875,1.1917316913604736,478.21771240234375,0.0,179.9287109375,25071.74609375,285.7857142857143,14,0,14,0,0,0.0751953125,0.18115234375,0.191650390625,0.504150390625,0.0478515625
11,45056,3900.794886827469,315.08340430259705,279.5011806488037,9.504842042922974,9.473150730133057,416.8924199640751,0.1335069239139557,265.0804138183594,1.188982605934143,2.466432571411133,0.0,149.21206665039062,25834.5,265.93333333333334,15,0,15,0,0,0.066162109375,0.177978515625,0.1748046875,0.5234375,0.0576171875
12,49152,4408.986619710922,336.38182377815247,296.750851392746,16.217743158340454,16.187040328979492,309.851493448019,0.1025916039943695,212.63034057617188,1.1804522275924683,3.7259984016418457,0.0,93.39256286621094,28881.134765625,260.6666666666667,15,0,15,0,0,0.0537109375,0.17822265625,0.17431640625,0.537109375,0.056640625
13,53248,4922.038731575012,513.0207488536835,477.90430426597595,7.981112241744995,7.949491262435913,225.4720508158207,0.06219020485877991,182.16836547851562,1.1375198364257812,2.4899845123291016,0.0,40.75151062011719,29784.7421875,243.75,16,0,16,0,0,0.0576171875,0.16015625,0.173583984375,0.560302734375,0.04833984375
14,57344,5674.009221315384,751.950032711029,687.429520368576,34.13986277580261,34.095332860946655,18674.80585907027,0.023731689900159836,250.83242797851562,1.0922613143920898,18316.14453125,0.0,107.80516815185547,26857.5859375,208.3684210526316,19,0,19,0,0,0.041015625,0.163818359375,0.160888671875,0.595458984375,0.038818359375
15,61440,6323.753532886505,649.6927411556244,594.1308991909027,24.62998914718628,24.58367419242859,893.7079906314611,0.10744284093379974,130.132568359375,1.0503565073013306,692.9127197265625,0.0,70.55525970458984,27869.484375,200.75,20,0,20,0,0,0.04345703125,0.1484375,0.1533203125,0.615966796875,0.038818359375
16,65536,7024.600761175156,700.8028252124786,652.1554737091064,13.256903886795044,13.222862005233765,208.62172179110348,0.00030283816158771515,139.0166778564453,1.0548218488693237,2.179226875305176,0.0,67.4255142211914,23980.076171875,166.25,24,1,23,0,0,0.03857421875,0.141357421875,0.137939453125,0.657470703125,0.024658203125
17,69632,7926.438925027847,901.8113951683044,827.8000011444092,37.633052825927734,37.582533836364746,210.69114227592945,0.10802097618579865,133.53903198242188,0.978600263595581,2.553755760192871,0.0,74.4903335571289,27078.716796875,177.2173913043478,23,1,22,0,0,0.053955078125,0.144287109375,0.151123046875,0.620361328125,0.0302734375
18,73728,9021.275483846664,1094.817411661148,1019.5080306529999,35.841808557510376,35.79559540748596,236.1944467946887,-0.057312972843647,139.59808349609375,0.9987853765487671,2.2234089374542236,0.0,94.43026733398438,21541.796875,146.88888888888889,27,3,24,0,0,0.034423828125,0.134765625,0.154541015625,0.65380859375,0.0224609375
19,77824,10137.141551494598,1115.8355746269226,1060.2611253261566,15.29173994064331,15.245800733566284,173.18271394446492,0.017430979758501053,114.42461395263672,0.9338763952255249,2.0133817195892334,0.0,56.72728729248047,22730.125,147.96296296296296,27,1,26,0,0,0.037109375,0.1201171875,0.153564453125,0.670166015625,0.01904296875
20,81920,11297.02287697792,1159.8282840251923,1092.5495011806488,24.923445224761963,24.87724542617798,154.0680791232735,0.02499748207628727,91.59969329833984,0.8935705423355103,1.9805854558944702,0.0,60.46280288696289,21547.546875,137.51724137931035,29,2,27,0,0,0.03173828125,0.10693359375,0.131103515625,0.713623046875,0.0166015625
