iteration,total_steps,wall_time_seconds,iter_time_seconds,env_step_time_seconds,learn_step_time_seconds,residual_compute_time_seconds,L_total,L_policy,L_value,L_entropy,L_residual_optimality,L_residual_safety,L_distill,mean_reward,mean_episode_length,n_episodes,n_collisions,n_successes,n_timeouts,n_aborts,action_dist_stop,action_dist_creep,action_dist_yield,action_dist_go,action_dist_abort
1,4096,50.73052358627319,50.72303247451782,18.619462251663208,5.952489852905273,5.918246746063232,4.217740578576922,0.02312513254582882,2.9797472953796387,1.3746520280838013,0.0,0.079473577439785,1.13539457321167,-457.84185791015625,500.0,8,0,0,8,0,0.171630859375,0.301025390625,0.1103515625,0.30078125,0.1162109375
2,8192,129.032320022583,40.720311880111694,14.678823709487915,6.805713176727295,6.769320964813232,3.6783502865582705,0.005217479541897774,3.2190232276916504,1.3236961364746094,0.0,0.0,0.4541095793247223,-115.02847290039062,500.0,8,0,0,8,0,0.201904296875,0.3408203125,0.128173828125,0.2841796875,0.044921875
3,12288,167.60322618484497,38.56567740440369,14.68814992904663,4.408282041549683,4.375394344329834,1020.9074460491538,-0.06892544031143188,868.0340576171875,1.3031487464904785,0.0,0.033744536340236664,152.9085693359375,9419.88671875,445.3333333333333,9,0,8,1,0,0.11572265625,0.32275390625,0.1435546875,0.381103515625,0.036865234375
4,16384,213.14929866790771,45.544578552246094,15.970431089401245,8.186941862106323,8.150509119033813,3.5821937173604965,-0.04031290113925934,2.109105110168457,1.4129492044448853,0.0,0.0,1.5134015083312988,2036.1324462890625,500.0,8,0,0,8,0,0.3369140625,0.25439453125,0.11669921875,0.20849609375,0.08349609375
5,20480,254.8517050743103,41.70043420791626,15.533321380615234,6.086174249649048,6.043834447860718,4.1239178404212,0.09113835543394089,1.7986698150634766,1.3314924240112305,0.0,0.10114148259162903,2.1329681873321533,1855.2841796875,500.0,8,0,0,8,0,0.373291015625,0.25048828125,0.109619140625,0.212646484375,0.053955078125
6,24576,302.95022201538086,48.097805976867676,17.125072956085205,5.073552846908569,5.036972999572754,210.0773448664695,0.008100481703877449,161.5403289794922,1.291412591934204,0.0,0.0,48.52891540527344,6109.3984375,485.875,8,0,2,6,0,0.2509765625,0.254150390625,0.113037109375,0.3505859375,0.03125
7,28672,355.00425839424133,52.04726552963257,17.912012815475464,10.17713212966919,10.129592895507812,526.6762690935284,-0.02771039865911007,350.8634033203125,1.2887797355651855,0.0,0.0,175.840576171875,9048.37890625,454.77777777777777,9,0,4,5,0,0.206298828125,0.268310546875,0.114013671875,0.378662109375,0.03271484375
8,32768,421.2813775539398,66.27130627632141,21.274274349212646,8.543124914169312,8.487669229507446,413.863468632102,0.10271118581295013,263.9851379394531,1.2765098810195923,0.0,0.0,149.77561950683594,13201.205078125,453.0,9,0,4,5,0,0.197998046875,0.23095703125,0.139892578125,0.399169921875,0.031982421875
9,36864,496.8530695438385,75.55958533287048,25.828204870224,6.937055587768555,6.898756265640259,1452.1985026896,-0.13224682211875916,925.490966796875,1.092502236366272,0.0,0.0,526.8397827148438,20347.556640625,324.5833333333333,12,0,12,0,0,0.14404296875,0.229736328125,0.157470703125,0.4423828125,0.0263671875
10,40960,574.3849284648895,77.51587390899658,26.915313720703125,4.615118026733398,4.572624444961548,1083.8576513528824,-0.021621108055114746,680.1743774414062,1.118425726890564,0.0,0.0,403.70489501953125,22252.0234375,300.7692307692308,13,0,13,0,0,0.151611328125,0.205810546875,0.1513671875,0.456298828125,0.034912109375
11,45056,668.585691690445,94.19981789588928,26.836068868637085,16.402668237686157,16.36080026626587,995.9300322830677,-0.07042025029659271,621.9949951171875,1.0951906442642212,0.0,0.01937343180179596,373.986083984375,25137.740234375,276.64285714285717,14,0,14,0,0,0.150146484375,0.2080078125,0.156494140625,0.45458984375,0.03076171875
12,49152,850.9624695777893,147.83027982711792,30.314918518066406,68.03560018539429,67.97632002830505,612.4440952241421,-0.07102623581886292,395.78302001953125,1.095503807067871,0.0,0.0,216.7321014404297,29443.21484375,279.92857142857144,14,0,14,0,0,0.138427734375,0.225830078125,0.162841796875,0.450927734375,0.02197265625
13,53248,937.3942151069641,86.43062376976013,27.043585777282715,8.187511682510376,8.150455713272095,496.9703385736793,0.030732860788702965,352.3870849609375,1.1523164510726929,0.0,0.0,144.55252075195312,31900.69921875,283.07142857142856,14,0,14,0,0,0.143310546875,0.267333984375,0.14794921875,0.42431640625,0.01708984375
14,57344,1021.5645503997803,84.16877913475037,27.6626615524292,6.457924127578735,6.416205644607544,525.3461510837078,0.06151363253593445,320.364013671875,1.096457600593567,0.0,0.0,204.92062377929688,32782.515625,264.4,15,0,15,0,0,0.1337890625,0.244384765625,0.145263671875,0.462646484375,0.013916015625
15,61440,1107.8464694023132,86.27952790260315,23.278322458267212,21.822792768478394,21.78156089782715,491.8422729447484,0.030566401779651642,308.2017517089844,0.9969280958175659,0.0,0.0,183.60995483398438,36366.31640625,258.46666666666664,15,0,15,0,0,0.14453125,0.24462890625,0.127197265625,0.460693359375,0.02294921875
16,65536,1218.9396722316742,111.0905065536499,26.429847717285156,30.945963144302368,30.873993158340454,511.5043621957302,0.08645448088645935,330.7854309082031,1.028457522392273,0.0,0.0,180.63247680664062,35731.6171875,252.5,16,0,16,0,0,0.135009765625,0.23486328125,0.11962890625,0.4853515625,0.025146484375
17,69632,1312.7594776153564,93.79917740821838,28.32059407234192,14.102511882781982,14.064801692962646,728.1038545817137,-0.06802041828632355,462.68841552734375,1.080586314201355,0.0,0.0,265.48345947265625,37265.7890625,253.3125,16,0,16,0,0,0.14697265625,0.215576171875,0.12109375,0.494873046875,0.021484375
18,73728,1407.2262341976166,94.46019053459167,32.25247120857239,6.18889045715332,6.149407625198364,735.2334604635835,0.014466322958469391,473.030029296875,1.0099347829818726,0.0,0.0,262.18896484375,38816.375,251.8125,16,0,16,0,0,0.141357421875,0.204345703125,0.1396484375,0.4892578125,0.025390625
19,77824,1475.3768939971924,68.13158011436462,22.167768001556396,6.638277530670166,6.594836711883545,501.77666464820504,0.054481420665979385,296.3909912109375,1.0211211442947388,0.0,0.0,205.33119201660156,39690.8828125,251.875,16,0,16,0,0,0.15478515625,0.185791015625,0.14208984375,0.494873046875,0.0224609375
20,81920,1553.144352197647,77.76087665557861,22.95872163772583,12.127265691757202,12.087120532989502,628.7882791887969,-0.010060654953122139,378.07659912109375,1.0009057521820068,0.0,0.0,250.72174072265625,41119.28125,250.1875,16,0,16,0,0,0.1650390625,0.197265625,0.1328125,0.484130859375,0.020751953125
21,86016,1617.9584093093872,64.79925608634949,20.96443510055542,6.297588586807251,6.262388229370117,711.3522757291794,-0.052265286445617676,456.34576416015625,1.0394618511199951,0.0,0.0,255.05877685546875,41061.71875,253.25,16,0,16,0,0,0.177978515625,0.169189453125,0.148193359375,0.47998046875,0.024658203125
22,90112,1720.5754508972168,68.82445812225342,23.808573484420776,5.465562105178833,5.428763151168823,813.7109635621309,-0.09567706286907196,519.6603393554688,1.0257998704910278,0.0,0.0,294.14630126953125,44488.7734375,261.4,15,0,15,0,0,0.181396484375,0.189208984375,0.12255859375,0.473876953125,0.032958984375
