iteration,total_steps,wall_time_seconds,iter_time_seconds,env_step_time_seconds,learn_step_time_seconds,residual_compute_time_seconds,L_total,L_policy,L_value,L_entropy,L_residual_optimality,L_residual_safety,L_distill,mean_reward,mean_episode_length,n_episodes,n_collisions,n_successes,n_timeouts,n_aborts,action_dist_stop,action_dist_creep,action_dist_yield,action_dist_go,action_dist_abort
1,4096,253.7580852508545,252.59722113609314,219.56700921058655,3.138051748275757,0.0,0.741003729403019,0.025758065283298492,0.7152456641197205,1.5199297666549683,0.0,0.0,0.0,-1136.7347412109375,500.0,8,0,0,8,0,0.22705078125,0.17919921875,0.227783203125,0.149169921875,0.216796875
2,8192,902.9500524997711,271.99450635910034,244.11596989631653,2.1820883750915527,0.0,0.5926004722714424,0.02254457026720047,0.5700559020042419,1.4666252136230469,0.0,0.0,0.0,-1386.6123046875,500.0,8,0,0,8,0,0.21630859375,0.22412109375,0.2841796875,0.182373046875,0.093017578125
3,12288,1262.5254719257355,359.5698776245117,316.0084972381592,12.431830167770386,0.0,1.9938973188400269,-0.15891039371490479,2.1528077125549316,1.3962904214859009,0.0,0.0,0.0,-1341.20654296875,500.0,8,0,0,8,0,0.1669921875,0.2392578125,0.319091796875,0.22119140625,0.053466796875
4,16384,1619.4749989509583,356.9464371204376,329.2093560695648,1.832139015197754,0.0,5.401152998209,0.2088426649570465,5.192310333251953,1.334560513496399,0.0,0.0,0.0,-268.39862060546875,500.0,8,0,0,8,0,0.136962890625,0.336669921875,0.267578125,0.217041015625,0.041748046875
5,20480,1973.4464673995972,353.9641978740692,327.1442039012909,5.000519037246704,0.0,19.04652063548565,-0.1032005101442337,19.149721145629883,1.3317019939422607,0.0,0.0,0.0,615.9995727539062,500.0,8,0,0,8,0,0.131103515625,0.3115234375,0.2607421875,0.26220703125,0.034423828125
6,24576,2400.024840116501,426.57739520072937,395.02951526641846,7.0527262687683105,0.0,39.75080404430628,-0.06744470447301865,39.8182487487793,1.3693933486938477,0.0,0.0,0.0,2296.94873046875,497.75,8,0,1,7,0,0.1298828125,0.283935546875,0.294189453125,0.2548828125,0.037109375
7,28672,2776.6765780448914,376.64035534858704,342.0659999847412,12.410084009170532,0.0,3.0750146731734276,0.07202156633138657,3.002993106842041,1.3688691854476929,0.0,0.0,0.0,2070.656005859375,500.0,8,0,0,8,0,0.12744140625,0.32568359375,0.26904296875,0.233642578125,0.044189453125
8,32768,3092.3376276493073,315.658620595932,285.58961510658264,1.9759113788604736,0.0,20.559259362518787,0.0327720120549202,20.526487350463867,1.2892017364501953,0.0,0.0,0.0,10679.2578125,500.0,8,0,0,8,0,0.081787109375,0.382568359375,0.220458984375,0.286376953125,0.02880859375
9,36864,3392.0027549266815,299.65779972076416,275.8167371749878,1.2947793006896973,0.0,29.552858591079712,-0.11321806907653809,29.66607666015625,1.3254637718200684,0.0,0.0,0.0,9090.89453125,500.0,8,0,0,8,0,0.0888671875,0.337158203125,0.25927734375,0.27685546875,0.037841796875
10,40960,4020.830092191696,628.644357919693,606.8231337070465,1.569793462753296,0.0,16.755378484725952,0.16085410118103027,16.594524383544922,1.2958275079727173,0.0,0.0,0.0,14128.31640625,500.0,8,0,0,8,0,0.07763671875,0.386474609375,0.222900390625,0.265380859375,0.047607421875
