iteration,total_steps,wall_time_seconds,iter_time_seconds,env_step_time_seconds,learn_step_time_seconds,residual_compute_time_seconds,L_total,L_policy,L_value,L_entropy,L_residual_optimality,L_residual_safety,L_distill,mean_reward,mean_episode_length,n_episodes,n_collisions,n_successes,n_timeouts,n_aborts,action_dist_stop,action_dist_creep,action_dist_yield,action_dist_go,action_dist_abort
1,4096,64.54159307479858,64.52012991905212,22.641801595687866,2.8228402137756348,0.0,2.545604929327965,-0.10389520227909088,2.6495001316070557,1.5425307750701904,0.0,0.0,0.0,-1229.429931640625,500.0,8,0,0,8,0,0.15576171875,0.129150390625,0.26171875,0.236328125,0.217041015625
2,8192,179.00067114830017,69.2212929725647,25.609814167022705,2.5873448848724365,0.0,1.9971547573804855,-0.06987924873828888,2.0670340061187744,1.4613690376281738,0.0,0.0,0.0,-1642.658935546875,500.0,8,0,0,8,0,0.247802734375,0.119140625,0.224853515625,0.2890625,0.119140625
3,12288,237.07620453834534,58.068002223968506,21.37445640563965,2.4679067134857178,0.0,0.9457493424415588,0.06268179416656494,0.8830675482749939,1.4327175617218018,0.0,0.0,0.0,-1603.186279296875,500.0,8,0,0,8,0,0.271484375,0.23779296875,0.1484375,0.26806640625,0.07421875
4,16384,294.63318371772766,57.555827379226685,21.527647018432617,2.6628172397613525,0.0,2.303741030395031,-0.12419409304857254,2.4279351234436035,1.4386937618255615,0.0,0.0,0.0,-2143.642333984375,500.0,8,0,0,8,0,0.249267578125,0.180908203125,0.2177734375,0.2802734375,0.07177734375
5,20480,358.0214388370514,63.38721823692322,22.968448162078857,2.3630130290985107,0.0,4.098763167858124,-0.11440688371658325,4.213170051574707,1.3812164068222046,0.0,0.0,0.0,-1097.4111328125,500.0,8,0,0,8,0,0.188232421875,0.2177734375,0.179931640625,0.3564453125,0.0576171875
6,24576,430.05595088005066,72.03361988067627,25.149920225143433,4.3284759521484375,0.0,9.59348039701581,0.01721792295575142,9.576262474060059,1.361847162246704,0.0,0.0,0.0,-68.93170166015625,500.0,8,0,0,8,0,0.18408203125,0.234619140625,0.1708984375,0.35400390625,0.056396484375
7,28672,506.9301550388336,76.87325954437256,25.08885359764099,6.144333124160767,0.0,529.4579214602709,0.06290192902088165,529.39501953125,1.2399272918701172,0.0,0.0,0.0,11236.4716796875,334.3333333333333,12,0,12,0,0,0.1171875,0.201904296875,0.158935546875,0.470947265625,0.051025390625
8,32768,579.4839110374451,72.54938507080078,25.170323371887207,4.209306001663208,0.0,2.475193090736866,0.09509140998125076,2.3801016807556152,1.5031380653381348,0.0,0.0,0.0,2442.5869140625,500.0,8,0,0,8,0,0.249755859375,0.1943359375,0.212158203125,0.241455078125,0.102294921875
9,36864,651.8028173446655,72.30384230613708,25.15921711921692,2.0437707901000977,0.0,1.7773719131946564,-0.13260218501091003,1.9099740982055664,1.4597922563552856,0.0,0.0,0.0,1292.4501953125,500.0,8,0,0,8,0,0.280029296875,0.19580078125,0.20703125,0.249267578125,0.06787109375
10,40960,720.3138635158539,68.5033950805664,23.01030969619751,6.693694114685059,0.0,3.4080990590155125,0.028710249811410904,3.3793888092041016,1.4130992889404297,0.0,0.0,0.0,2254.287109375,500.0,8,0,0,8,0,0.238037109375,0.24365234375,0.158203125,0.312255859375,0.0478515625
11,45056,798.0183730125427,77.70353698730469,24.635117530822754,4.597671985626221,0.0,24.29237580485642,-0.0103070717304945,24.302682876586914,1.3445603847503662,0.0,0.0,0.0,4292.5107421875,500.0,8,0,0,8,0,0.20361328125,0.290283203125,0.14990234375,0.319091796875,0.037109375
12,49152,916.556622505188,84.79392123222351,28.853533267974854,4.677194356918335,0.0,308.64013902843,0.16198961436748505,308.4781494140625,1.2527812719345093,0.0,0.0,0.0,17528.22265625,388.8,10,0,9,1,0,0.124755859375,0.2724609375,0.139892578125,0.438720703125,0.024169921875
13,53248,986.2225964069366,69.66456818580627,23.926300048828125,4.37637186050415,0.0,188.41448547691107,0.06048157066106796,188.35400390625,1.2480847835540771,0.0,0.0,0.0,18200.15625,471.25,8,0,3,5,0,0.147216796875,0.21826171875,0.172607421875,0.430419921875,0.031494140625
14,57344,1073.84490275383,87.60676074028015,26.351471185684204,14.682732105255127,0.0,709.9232103228569,-0.24488049745559692,710.1680908203125,1.136909008026123,0.0,0.0,0.0,22096.5859375,375.6,10,0,10,0,0,0.142333984375,0.186279296875,0.15283203125,0.48095703125,0.03759765625
15,61440,1150.9378490447998,77.0833170413971,25.347007989883423,5.719093084335327,0.0,486.20952202379704,0.09834648668766022,486.1111755371094,1.2320054769515991,0.0,0.0,0.0,22505.986328125,324.3333333333333,12,0,12,0,0,0.1376953125,0.188232421875,0.1767578125,0.456787109375,0.04052734375
16,65536,1242.7779207229614,91.8287250995636,28.42857003211975,8.0001540184021,0.0,427.4981398880482,-0.004820317029953003,427.5029602050781,1.1195861101150513,0.0,0.0,0.0,24635.36328125,282.42857142857144,14,0,14,0,0,0.1083984375,0.195556640625,0.171142578125,0.49267578125,0.0322265625
17,69632,1344.6734762191772,101.88795137405396,29.64229154586792,14.26455044746399,0.0,320.84448129683733,0.06594736129045486,320.7785339355469,1.1576498746871948,0.0,0.0,0.0,28523.326171875,272.35714285714283,14,0,14,0,0,0.11572265625,0.190673828125,0.153076171875,0.503173828125,0.037353515625
18,73728,1433.1953926086426,88.51434373855591,30.018386602401733,3.3635785579681396,0.0,348.7704420685768,-0.18030256032943726,348.95074462890625,1.0575977563858032,0.0,0.0,0.0,32430.173828125,274.35714285714283,14,0,14,0,0,0.10400390625,0.180419921875,0.148193359375,0.529296875,0.0380859375
19,77824,1530.3076877593994,97.1084189414978,30.447692155838013,8.513804197311401,0.0,205.45394502580166,-0.04091276228427887,205.49485778808594,0.9862231016159058,0.0,0.0,0.0,33235.24609375,271.1333333333333,15,0,15,0,0,0.114990234375,0.17529296875,0.152587890625,0.523681640625,0.033447265625
20,81920,1618.8387377262115,88.52370142936707,30.962772846221924,4.042982339859009,0.0,285.4888238981366,0.09249211102724075,285.3963317871094,1.1152043342590332,0.0,0.0,0.0,35284.61328125,268.53333333333336,15,0,15,0,0,0.126708984375,0.14599609375,0.146484375,0.548583984375,0.0322265625
21,86016,1702.124504327774,83.28478407859802,27.148430109024048,4.693552255630493,0.0,238.19524484872818,0.12610727548599243,238.0691375732422,1.0993009805679321,0.0,0.0,0.0,38398.18359375,265.4,15,0,15,0,0,0.126953125,0.15283203125,0.176513671875,0.513916015625,0.02978515625
22,90112,1851.305254459381,105.68705892562866,34.23266291618347,10.449827671051025,0.0,336.8835861980915,-0.019093245267868042,336.9026794433594,0.9978177547454834,0.0,0.0,0.0,40012.92578125,262.46666666666664,15,0,15,0,0,0.122802734375,0.149658203125,0.16357421875,0.534912109375,0.029052734375
23,94208,1949.9043066501617,98.5786554813385,32.20824360847473,6.730363607406616,0.0,527.7523170039058,0.04681163281202316,527.7055053710938,1.0116679668426514,0.0,0.0,0.0,42950.23828125,259.26666666666665,15,0,15,0,0,0.12353515625,0.142333984375,0.147216796875,0.5634765625,0.0234375
24,98304,2049.1891877651215,99.27779603004456,34.13497066497803,5.6655943393707275,0.0,346.56991397961974,0.04678165540099144,346.52313232421875,0.9439290165901184,0.0,0.0,0.0,42292.67578125,249.4375,16,0,16,0,0,0.12158203125,0.1201171875,0.1494140625,0.584716796875,0.024169921875
25,102400,2152.79159283638,103.5847680568695,28.23345136642456,18.58812642097473,0.0,464.3244192376733,-0.04057099670171738,464.364990234375,1.045388102531433,0.0,0.0,0.0,44674.875,262.2,15,0,15,0,0,0.135009765625,0.129150390625,0.157470703125,0.5478515625,0.030517578125
26,106496,2260.5934975147247,107.79433703422546,31.952480792999268,12.973717451095581,0.0,647.5900858044624,-0.05774134397506714,647.6478271484375,0.919320821762085,0.0,0.0,0.0,44824.61328125,248.125,16,0,16,0,0,0.125732421875,0.1201171875,0.161376953125,0.55859375,0.0341796875
27,110592,2357.3831720352173,96.77993035316467,32.31644010543823,5.623618125915527,0.0,582.8362914659083,-0.004284705966711044,582.840576171875,1.0033433437347412,0.0,0.0,0.0,45436.828125,249.25,16,0,16,0,0,0.12451171875,0.126708984375,0.148193359375,0.564453125,0.0361328125
28,114688,2446.8215112686157,89.43101930618286,30.946378469467163,3.834031343460083,0.0,650.3809243142605,0.04761132597923279,650.3333129882812,0.8929696083068848,0.0,0.0,0.0,45838.45703125,247.0625,16,0,16,0,0,0.147216796875,0.114501953125,0.146240234375,0.56005859375,0.031982421875
29,118784,2561.4132516384125,114.57015371322632,41.0147442817688,6.822137355804443,0.0,444.4886232316494,-0.0694517195224762,444.5580749511719,0.954596221446991,0.0,0.0,0.0,46040.265625,253.75,16,0,16,0,0,0.12548828125,0.125,0.1298828125,0.584716796875,0.034912109375
30,122880,2669.018789768219,107.59446978569031,39.20512008666992,3.1482582092285156,0.0,606.214474029839,-0.03314559906721115,606.2476196289062,0.9403529167175293,0.0,0.0,0.0,48325.4296875,241.8125,16,0,16,0,0,0.1279296875,0.119384765625,0.11865234375,0.6015625,0.032470703125
31,126976,2775.4344403743744,106.4082760810852,39.412548303604126,3.3961243629455566,0.0,494.6457514055073,0.045928407460451126,494.5998229980469,0.8915829062461853,0.0,0.0,0.0,47722.125,245.125,16,0,16,0,0,0.158447265625,0.129150390625,0.115234375,0.571044921875,0.026123046875
32,131072,2987.6888031959534,158.95099258422852,34.42357516288757,57.64640164375305,0.0,624.017626432702,-0.008008332923054695,624.025634765625,0.9842875599861145,0.0,0.0,0.0,45758.40234375,236.8235294117647,17,0,17,0,0,0.148193359375,0.10400390625,0.109619140625,0.609130859375,0.029052734375
33,135168,3111.652700662613,123.95614290237427,36.88361573219299,21.020999670028687,0.0,650.4952956736088,-0.013127177953720093,650.5084228515625,0.9101428389549255,0.0,0.0,0.0,48812.546875,241.1875,16,0,16,0,0,0.139892578125,0.109375,0.117431640625,0.601806640625,0.031494140625
34,139264,3244.500818490982,132.8215889930725,39.62715291976929,32.17440152168274,0.0,684.569668084383,0.06478527188301086,684.5048828125,0.8305094242095947,0.0,0.0,0.0,47290.8671875,231.64705882352942,17,0,17,0,0,0.134765625,0.123291015625,0.11474609375,0.6025390625,0.024658203125
35,143360,3348.4361736774445,103.93330502510071,34.5193829536438,3.911959171295166,0.0,436.4424997717142,-0.08987937867641449,436.5323791503906,0.8525339961051941,0.0,0.0,0.0,46217.7734375,236.47058823529412,17,0,17,0,0,0.140625,0.1123046875,0.112060546875,0.614013671875,0.02099609375
