iteration,total_steps,wall_time_seconds,iter_time_seconds,env_step_time_seconds,learn_step_time_seconds,residual_compute_time_seconds,L_total,L_policy,L_value,L_entropy,L_residual_optimality,L_residual_safety,L_distill,mean_reward,mean_episode_length,n_episodes,n_collisions,n_successes,n_timeouts,n_aborts,action_dist_stop,action_dist_creep,action_dist_yield,action_dist_go,action_dist_abort
1,4096,59.6887149810791,59.66095328330994,20.44678235054016,9.889879703521729,9.828867435455322,41.84404577314854,-0.0782952755689621,3.984539747238159,1.5276720523834229,37.39556884765625,0.0,0.5422324538230896,-1483.880126953125,500.0,8,0,0,8,0,0.137451171875,0.146240234375,0.230224609375,0.2548828125,0.231201171875
2,8192,174.5029513835907,61.99885821342468,22.05212116241455,8.632133722305298,8.5910325050354,222.1996336132288,-0.03365062177181244,1.3577370643615723,1.5306880474090576,220.13296508789062,0.0,0.7425820827484131,-1957.7978515625,500.0,8,0,0,8,0,0.232177734375,0.17138671875,0.190185546875,0.2470703125,0.1591796875
3,12288,244.11976408958435,69.60304379463196,21.31878924369812,17.075642585754395,17.015779972076416,5.809907700866461,-0.04727492108941078,5.137139320373535,1.403882384300232,0.2687739431858063,0.0,0.45126935839653015,-2096.05712890625,500.0,8,0,0,8,0,0.1865234375,0.197998046875,0.17236328125,0.3125,0.130615234375
4,16384,309.26630210876465,65.1432638168335,23.108582258224487,9.08702826499939,9.046805620193481,1142.0494609437883,0.04823499545454979,8.98412036895752,1.3556302785873413,1130.3975830078125,0.0,2.6195225715637207,41.63679504394531,500.0,8,0,0,8,0,0.120849609375,0.220703125,0.20166015625,0.380859375,0.075927734375
5,20480,372.1524453163147,62.877336263656616,21.13283944129944,10.94497013092041,10.891141891479492,46.56397585570812,0.09403888881206512,28.819808959960938,1.3792530298233032,1.1505838632583618,0.0,16.499544143676758,2917.885498046875,500.0,8,0,0,8,0,0.11865234375,0.193115234375,0.19970703125,0.41845703125,0.070068359375
6,24576,432.7969641685486,60.64269828796387,18.974581956863403,12.042291402816772,11.95537543296814,25.053638158366084,0.008030472323298454,16.16987419128418,1.3667610883712769,1.1125589609146118,0.0,7.763174533843994,2420.2421875,500.0,8,0,0,8,0,0.129638671875,0.162353515625,0.186279296875,0.40283203125,0.118896484375
7,28672,492.01197814941406,59.21309018135071,20.47169852256775,6.032436847686768,5.989830255508423,107.93714644014835,0.14734508097171783,80.74799346923828,1.3963619470596313,1.8422534465789795,0.0,25.199554443359375,6790.216796875,452.3333333333333,9,0,3,6,0,0.126953125,0.150146484375,0.20263671875,0.43408203125,0.086181640625
8,32768,553.8012828826904,61.77170276641846,22.6230947971344,5.188960313796997,5.147988796234131,417.70428985357285,-0.028577029705047607,361.0784606933594,1.3354120254516602,1.9176431894302368,0.0,54.73676300048828,12144.62109375,451.44444444444446,9,0,5,4,0,0.108642578125,0.143310546875,0.231689453125,0.427978515625,0.08837890625
9,36864,620.741541147232,66.92740058898926,24.076748371124268,6.361917972564697,6.313736438751221,646.364552244544,-0.18690647184848785,554.2708129882812,1.3067898750305176,1.953192114830017,0.0,90.32745361328125,15889.1044921875,447.6666666666667,9,0,5,4,0,0.11083984375,0.176025390625,0.230712890625,0.402587890625,0.079833984375
10,40960,691.3485743999481,70.60604095458984,23.851999759674072,14.636694192886353,14.58526349067688,1506.000203665346,-0.05249256268143654,323.3515319824219,1.2291561365127563,1070.3074951171875,0.0,112.39366912841797,25410.19140625,453.77777777777777,9,0,8,1,0,0.087646484375,0.172607421875,0.292724609375,0.38525390625,0.061767578125
11,45056,757.8686962127686,66.51898765563965,23.0357027053833,10.349592924118042,10.262679100036621,1361.2278094924986,-0.006367143243551254,346.2592468261719,1.2791091203689575,881.1453247070312,0.0,133.82960510253906,25344.72265625,403.6,10,0,9,1,0,0.068603515625,0.17822265625,0.278564453125,0.402099609375,0.072509765625
12,49152,866.9194810390472,71.89299845695496,25.560617685317993,9.004009246826172,8.947806596755981,519.0844296664,-0.11997754871845245,380.54449462890625,1.2357394695281982,2.222626209259033,0.0,136.43728637695312,28155.3515625,355.3636363636364,11,0,11,0,0,0.0625,0.171630859375,0.278564453125,0.426025390625,0.061279296875
13,53248,934.0017108917236,67.07623744010925,24.181366443634033,6.663395166397095,6.625652313232422,527.07266844064,0.011688120663166046,351.9723815917969,1.2941689491271973,3.110037326812744,0.0,171.9785614013672,32364.865234375,372.2,10,0,10,0,0,0.091796875,0.165283203125,0.260498046875,0.42578125,0.056640625
14,57344,1001.3926732540131,67.38492178916931,23.381109714508057,9.447801113128662,9.40325117111206,559.5470017790794,-0.21943503618240356,369.9298400878906,1.2621665000915527,2.0179474353790283,0.0,187.8186492919922,34111.96484375,425.6666666666667,9,0,8,1,0,0.09130859375,0.207763671875,0.225830078125,0.394287109375,0.080810546875
15,61440,1079.4353158473969,78.0205762386322,25.789802312850952,16.074819087982178,16.029510498046875,666.1083327233791,-0.1825512945652008,447.68212890625,1.2340136766433716,2.637166976928711,0.0,215.97158813476562,31012.66796875,406.8,10,0,9,1,0,0.08056640625,0.26171875,0.21923828125,0.369140625,0.0693359375
16,65536,1150.0420150756836,70.60076427459717,23.96828866004944,13.962934494018555,13.918314933776855,44069.108710799366,-0.03661390766501427,323.2013854980469,1.214560627937317,43308.20703125,0.0,437.7369079589844,32834.671875,362.0,11,0,10,1,0,0.071533203125,0.253173828125,0.22900390625,0.373779296875,0.072509765625
17,69632,1218.1069867610931,68.04193830490112,25.620657205581665,4.352916240692139,4.310661792755127,510.836023632437,0.016259972006082535,345.2167663574219,1.1705303192138672,4.518539905548096,0.0,161.08445739746094,32401.9140625,302.46153846153845,13,0,13,0,0,0.069091796875,0.254638671875,0.197998046875,0.4267578125,0.051513671875
18,73728,1287.6744735240936,69.5441324710846,22.60996985435486,11.394834518432617,11.349737405776978,3418.1883036717772,0.011114798486232758,131.59765625,1.1512788534164429,3237.087890625,0.0,49.491641998291016,33067.20703125,285.35714285714283,14,0,14,0,0,0.061767578125,0.22265625,0.214599609375,0.448486328125,0.052490234375
19,77824,1361.0593342781067,73.3666467666626,24.763519525527954,9.60278058052063,9.55708932876587,320.8074331879616,-0.13362115621566772,251.48744201660156,1.1389440298080444,2.6575231552124023,0.0,66.79608917236328,34383.17578125,259.4,15,0,15,0,0,0.063720703125,0.204345703125,0.198974609375,0.477294921875,0.0556640625
20,81920,1458.1163475513458,97.05175471305847,29.06108593940735,24.59726881980896,24.515125274658203,355.98008187301457,0.030134515836834908,227.70631408691406,1.2126013040542603,2.1236000061035156,0.0,126.12003326416016,36277.07421875,266.26666666666665,15,0,15,0,0,0.08447265625,0.19921875,0.17822265625,0.478759765625,0.059326171875
21,86016,1536.482334136963,78.36389374732971,27.13187074661255,7.51147198677063,7.4571709632873535,476.1888997554779,-0.09851789474487305,300.8839111328125,1.1427664756774902,2.286700487136841,0.0,173.11680603027344,39120.76171875,271.8,15,0,15,0,0,0.072265625,0.203369140625,0.200927734375,0.460693359375,0.062744140625
