iteration,total_steps,wall_time_seconds,iter_time_seconds,env_step_time_seconds,learn_step_time_seconds,residual_compute_time_seconds,L_total,L_policy,L_value,L_entropy,L_residual_optimality,L_residual_safety,L_distill,mean_reward,mean_episode_length,n_episodes,n_collisions,n_successes,n_timeouts,n_aborts,action_dist_stop,action_dist_creep,action_dist_yield,action_dist_go,action_dist_abort
1,4096,58.08953905105591,58.08090662956238,19.517923831939697,7.588204860687256,7.517519950866699,7.674313317984343,-0.14819839596748352,6.0638508796691895,1.5278165340423584,0.0,0.015175264328718185,1.7434855699539185,-1670.150390625,500.0,8,0,0,8,0,0.08349609375,0.17724609375,0.192626953125,0.268798828125,0.27783203125
2,8192,175.68386435508728,67.37850737571716,17.801557779312134,22.113051414489746,22.037309885025024,10.304390374571085,0.06047070398926735,7.958498477935791,1.5241700410842896,0.0,0.0003247857093811035,2.2850964069366455,-2887.149658203125,500.0,8,0,0,8,0,0.1328125,0.22998046875,0.1650390625,0.258056640625,0.214111328125
3,12288,275.32037377357483,99.63335108757019,28.91490411758423,17.27045702934265,17.232032775878906,1.9520582407712936,-0.204206183552742,1.5116546154022217,1.4226458072662354,0.0,0.0,0.644609808921814,-2774.741455078125,500.0,8,0,0,8,0,0.108154296875,0.313232421875,0.17822265625,0.23583984375,0.16455078125
4,16384,357.09682631492615,81.76168775558472,21.82187509536743,19.482513666152954,19.415363073349,7.09360958635807,0.10114671289920807,5.452051162719727,1.374706745147705,0.0,0.0,1.5404117107391357,-2267.09033203125,500.0,8,0,0,8,0,0.094970703125,0.304931640625,0.2138671875,0.28466796875,0.1015625
5,20480,451.8289062976837,94.73103332519531,24.041361093521118,31.72191882133484,31.64289879798889,6.363467499613762,-0.060427144169807434,4.554311752319336,1.3103337287902832,0.0,0.0,1.8695828914642334,-538.96533203125,500.0,8,0,0,8,0,0.080322265625,0.355712890625,0.203857421875,0.274169921875,0.0859375
6,24576,542.2094581127167,90.37966775894165,21.979353189468384,32.09069061279297,32.0151801109314,19.155150555074215,0.050055645406246185,13.964630126953125,1.3490463495254517,0.0,0.0,5.140464782714844,2213.374267578125,500.0,8,0,0,8,0,0.073486328125,0.360595703125,0.209716796875,0.282958984375,0.0732421875
7,28672,625.4790596961975,83.25296425819397,25.326660633087158,14.412536144256592,14.355198621749878,227.28488270565867,0.03302120044827461,190.04144287109375,1.3484238386154175,0.0,0.03857415169477463,37.171844482421875,6653.1845703125,474.5,8,0,2,6,0,0.073486328125,0.32861328125,0.246337890625,0.296630859375,0.054931640625
8,32768,683.1099443435669,57.62977194786072,19.338581800460815,5.7470457553863525,5.706698179244995,9.047711610794067,0.04711484909057617,5.517746925354004,1.365641713142395,0.0,0.0,3.4828498363494873,2337.609375,500.0,8,0,0,8,0,0.07763671875,0.321044921875,0.236083984375,0.267822265625,0.097412109375
9,36864,762.3067281246185,79.18442368507385,19.02971363067627,29.383779525756836,29.26071548461914,170.91275596618652,-0.10099029541015625,145.48191833496094,1.3266761302947998,0.0,0.0,25.531827926635742,6782.962890625,494.25,8,0,1,7,0,0.073974609375,0.349853515625,0.22216796875,0.2763671875,0.07763671875
10,40960,827.4462254047394,65.13311338424683,21.987156629562378,6.609265089035034,6.569507360458374,328.41164834052324,0.02773800492286682,232.1492156982422,1.307538628578186,0.0,0.002463497221469879,96.23223114013672,15940.90625,465.875,8,0,3,5,0,0.072998046875,0.353271484375,0.17724609375,0.341552734375,0.054931640625
11,45056,886.0630187988281,58.6150016784668,19.91178059577942,7.576670408248901,7.50588846206665,508.84207199700177,0.01503603346645832,284.2081298828125,1.3205052614212036,0.0,0.06588178873062134,224.5530242919922,19380.80859375,418.6666666666667,9,0,8,1,0,0.0849609375,0.3046875,0.195068359375,0.360107421875,0.05517578125
12,49152,987.8568680286407,64.27260613441467,21.215588808059692,7.1584086418151855,7.119735956192017,404.18250114284456,0.003271406516432762,241.5958251953125,1.3003880977630615,0.0,0.0,162.58340454101562,17579.40234375,442.77777777777777,9,0,5,4,0,0.067138671875,0.27294921875,0.2490234375,0.34375,0.067138671875
13,53248,1086.479352235794,98.60207462310791,22.490599870681763,35.004767417907715,34.91506862640381,482.8229408599436,0.04393390193581581,270.4251708984375,1.26160728931427,0.0,0.0,212.3538360595703,21628.52734375,314.38461538461536,13,0,13,0,0,0.072509765625,0.2529296875,0.230712890625,0.39501953125,0.048828125
14,57344,1156.7362349033356,70.23707556724548,22.976381301879883,6.602560997009277,6.563824653625488,457.6970129609108,0.12766534090042114,285.9857177734375,1.231576681137085,0.0,0.630962610244751,170.95266723632812,25953.5,324.4166666666667,12,0,12,0,0,0.1171875,0.213134765625,0.204345703125,0.413818359375,0.051513671875
15,61440,1273.3646008968353,116.62716364860535,29.35743284225464,31.359241008758545,31.3088960647583,762.4340080320835,0.0726374089717865,500.227294921875,1.2409946918487549,0.0,0.27534157037734985,261.8587341308594,24812.11328125,264.3333333333333,15,0,15,0,0,0.126953125,0.191650390625,0.182373046875,0.450927734375,0.048095703125
16,65536,1340.278062582016,66.91255903244019,21.595153093338013,5.729446649551392,5.667771816253662,848.3519705086946,0.06534941494464874,439.65802001953125,1.1912721395492554,0.0,0.0,408.62860107421875,30049.857421875,259.3333333333333,15,0,15,0,0,0.10400390625,0.18310546875,0.208251953125,0.461181640625,0.04345703125
17,69632,1406.2174832820892,65.93846702575684,21.137322664260864,7.6338653564453125,7.591801404953003,427.00265042483807,-0.1799209862947464,332.274658203125,1.0205559730529785,0.0,0.0,94.90791320800781,31906.77734375,255.6875,16,0,16,0,0,0.102294921875,0.169189453125,0.213623046875,0.484375,0.030517578125
18,73728,1471.3636944293976,65.14517951011658,21.816502571105957,4.020491361618042,3.9829046726226807,434.02414502203465,-0.10416305810213089,335.78082275390625,1.0255317687988281,0.0,0.03419186919927597,98.31329345703125,33632.96875,248.6875,16,0,16,0,0,0.111328125,0.140625,0.208251953125,0.49853515625,0.041259765625
19,77824,1533.8605935573578,62.48572778701782,20.53256130218506,6.743229627609253,6.702624082565308,434.4723556935787,0.07647404074668884,309.5027770996094,1.062099814414978,0.0,0.0,124.89310455322266,37418.94921875,241.5,16,0,16,0,0,0.1123046875,0.134765625,0.192138671875,0.51123046875,0.049560546875
20,81920,1602.9918067455292,69.13019514083862,22.817140102386475,6.8813135623931885,6.842759847640991,469.9173558410257,-0.020052606239914894,327.44952392578125,1.075629472732544,0.0,0.0,142.48788452148438,39123.12109375,244.0625,16,0,16,0,0,0.11767578125,0.112060546875,0.197998046875,0.5146484375,0.0576171875
21,86016,1675.836194038391,72.84352231025696,23.539307355880737,7.85527777671814,7.7906882762908936,524.9512514621019,-0.06921057403087616,346.5200500488281,1.051033616065979,0.0,0.0,178.5004119873047,39735.2109375,250.1875,16,0,16,0,0,0.12353515625,0.1220703125,0.19287109375,0.5009765625,0.060546875
22,90112,1846.6119177341461,139.46980094909668,29.0024893283844,58.407111406326294,58.352508306503296,633.8449285868555,-0.01935017667710781,488.7623291015625,1.0897136926651,0.0,0.10590168833732605,144.9960479736328,40942.4765625,243.8125,16,0,16,0,0,0.1318359375,0.10791015625,0.189208984375,0.508544921875,0.0625
23,94208,1949.2043046951294,102.57904171943665,29.766310214996338,16.09083604812622,16.010387182235718,732.8713399022818,-0.14297284185886383,466.97137451171875,0.9921787977218628,0.0,0.0,266.0429382324219,40497.69921875,234.88235294117646,17,0,17,0,0,0.12353515625,0.103271484375,0.1796875,0.52392578125,0.069580078125
24,98304,2068.0877826213837,118.88150191307068,30.612984895706177,31.973416090011597,31.875118732452393,789.9033754821867,0.006799554452300072,492.0872802734375,0.9793004393577576,0.0,0.0,297.8092956542969,41986.15625,235.76470588235293,17,0,17,0,0,0.127685546875,0.104248046875,0.177734375,0.52294921875,0.0673828125
25,102400,2160.6569011211395,92.56191992759705,30.393920421600342,6.2958385944366455,6.25161600112915,665.6839172914624,0.016314752399921417,440.41485595703125,1.0079857110977173,0.0,0.0,225.25274658203125,42580.2421875,234.1764705882353,17,0,17,0,0,0.138427734375,0.10009765625,0.1689453125,0.53857421875,0.053955078125
26,106496,2228.340824842453,67.6773087978363,21.09218406677246,7.083989381790161,7.044905185699463,684.6680474281311,-0.08921575546264648,440.2116394042969,0.8843720555305481,0.0,0.0,244.54562377929688,42523.04296875,231.64705882352942,17,0,17,0,0,0.133544921875,0.103271484375,0.173828125,0.54296875,0.04638671875
