iteration,total_steps,wall_time_seconds,iter_time_seconds,env_step_time_seconds,learn_step_time_seconds,residual_compute_time_seconds,L_total,L_policy,L_value,L_entropy,L_residual_optimality,L_residual_safety,L_distill,mean_reward,mean_episode_length,n_episodes,n_collisions,n_successes,n_timeouts,n_aborts,action_dist_stop,action_dist_creep,action_dist_yield,action_dist_go,action_dist_abort
1,4096,110.99146223068237,110.96504330635071,28.45566987991333,34.01099252700806,0.0,1.11845201253891,-0.039140522480010986,1.157592535018921,1.4980933666229248,0.0,0.0,0.0,-396.0574951171875,500.0,8,0,0,8,0,0.20703125,0.164306640625,0.22021484375,0.275634765625,0.1328125
2,8192,309.68649649620056,94.91425943374634,31.69869065284729,6.974192380905151,0.0,2.5487378276884556,0.051387373358011246,2.4973504543304443,1.4644079208374023,0.0,0.0,0.0,-682.7731323242188,500.0,8,0,0,8,0,0.217041015625,0.20068359375,0.221923828125,0.265380859375,0.094970703125
3,12288,395.18501329421997,85.48272633552551,28.0974223613739,8.251940250396729,0.0,5.5450500547885895,0.07937660813331604,5.465673446655273,1.3832645416259766,0.0,0.0,0.0,4.733489990234375,500.0,8,0,0,8,0,0.1611328125,0.18359375,0.314697265625,0.294677734375,0.0458984375
4,16384,484.14569878578186,88.94226288795471,25.841722011566162,18.345715522766113,0.0,5.338034361600876,0.03243514895439148,5.305599212646484,1.3903346061706543,0.0,0.0,0.0,394.3986511230469,500.0,8,0,0,8,0,0.148193359375,0.167236328125,0.328125,0.29052734375,0.06591796875
5,20480,572.1193840503693,87.95330619812012,33.251973390579224,1.4652998447418213,0.0,107.26342428475618,-0.058047883212566376,107.32147216796875,1.3959218263626099,0.0,0.0,0.0,5037.501953125,478.0,8,0,1,7,0,0.121826171875,0.216552734375,0.2919921875,0.319580078125,0.050048828125
6,24576,660.7880249023438,88.66732835769653,27.652081966400146,9.373373031616211,0.0,3.9721268489956856,-0.12006770819425583,4.092194557189941,1.4087713956832886,0.0,0.0,0.0,1293.776611328125,500.0,8,0,0,8,0,0.150146484375,0.187744140625,0.349365234375,0.25048828125,0.062255859375
7,28672,757.8818795681,97.08656620979309,25.721513509750366,25.06056237220764,0.0,3.7618310675024986,-0.016021229326725006,3.7778522968292236,1.4172534942626953,0.0,0.0,0.0,485.4513244628906,500.0,8,0,0,8,0,0.148193359375,0.21728515625,0.3125,0.260009765625,0.06201171875
8,32768,841.1652863025665,83.2824330329895,26.64391040802002,10.613337755203247,0.0,8.18785984814167,0.13851483166217804,8.049345016479492,1.3802790641784668,0.0,0.0,0.0,1992.4510498046875,500.0,8,0,0,8,0,0.15673828125,0.230712890625,0.265380859375,0.29541015625,0.0517578125
9,36864,937.3785481452942,96.19342303276062,28.683721780776978,16.134007215499878,0.0,10.966920509934425,0.019421234726905823,10.94749927520752,1.3309659957885742,0.0,0.0,0.0,5643.7314453125,500.0,8,0,0,8,0,0.138427734375,0.254638671875,0.250732421875,0.303955078125,0.05224609375
10,40960,1032.060866355896,94.67503643035889,29.650001049041748,10.143514394760132,0.0,121.49483435600996,0.027228765189647675,121.46760559082031,1.3440173864364624,0.0,0.0,0.0,10916.18359375,442.1111111111111,9,0,4,5,0,0.107177734375,0.226318359375,0.324462890625,0.301025390625,0.041015625
11,45056,1133.33247256279,101.25235915184021,31.07880473136902,13.245906352996826,0.0,13.321055263280869,-0.10400119423866272,13.425056457519531,1.332863688468933,0.0,0.0,0.0,5111.67138671875,500.0,8,0,0,8,0,0.140380859375,0.20263671875,0.291259765625,0.319091796875,0.046630859375
12,49152,1325.531748533249,118.83711671829224,29.143579244613647,42.61387348175049,0.0,223.37078148126602,-0.06485694646835327,223.43563842773438,1.2639226913452148,0.0,0.0,0.0,15336.517578125,406.7,10,0,8,2,0,0.123046875,0.178466796875,0.31982421875,0.345947265625,0.03271484375
13,53248,1419.8399295806885,94.30110549926758,32.354286193847656,3.625063180923462,0.0,315.5108885318041,0.013085797429084778,315.497802734375,1.2708646059036255,0.0,0.0,0.0,20100.744140625,356.09090909090907,11,0,11,0,0,0.110595703125,0.1767578125,0.30615234375,0.377685546875,0.02880859375
14,57344,1510.5425288677216,90.6951961517334,31.32082748413086,5.502520799636841,0.0,307.7597219198942,-0.14033301174640656,307.9000549316406,1.2212731838226318,0.0,0.0,0.0,24754.6484375,298.7692307692308,13,0,13,0,0,0.1279296875,0.18505859375,0.262939453125,0.392822265625,0.03125
15,61440,1616.288691520691,105.72809529304504,32.04609513282776,12.663087368011475,0.0,183.5647912248969,-0.0863013043999672,183.65109252929688,1.1629694700241089,0.0,0.0,0.0,27733.333984375,296.38461538461536,13,0,13,0,0,0.1240234375,0.166259765625,0.25439453125,0.41943359375,0.035888671875
16,65536,1716.4823007583618,100.1800765991211,33.726550340652466,8.463427066802979,0.0,222.89500956609845,-0.031366776674985886,222.92637634277344,1.151099681854248,0.0,0.0,0.0,28796.625,282.14285714285717,14,0,14,0,0,0.1376953125,0.14697265625,0.250732421875,0.430908203125,0.03369140625
17,69632,1838.045211315155,121.54345560073853,38.95827889442444,18.480575799942017,0.0,204.87213160842657,0.05160548537969589,204.82052612304688,1.1021740436553955,0.0,0.0,0.0,30585.103515625,268.3333333333333,15,0,15,0,0,0.118896484375,0.1337890625,0.2158203125,0.486328125,0.045166015625
18,73728,1939.2074406147003,101.14173650741577,32.64011335372925,6.491207122802734,0.0,203.66924045979977,-0.03397609293460846,203.70321655273438,1.0277122259140015,0.0,0.0,0.0,31443.9765625,248.1875,16,0,16,0,0,0.140869140625,0.121337890625,0.17822265625,0.4990234375,0.060546875
19,77824,2067.1399717330933,127.92489886283875,38.54670596122742,24.805564880371094,0.0,215.30773775279522,-0.03083951771259308,215.3385772705078,0.9551553130149841,0.0,0.0,0.0,32023.05859375,238.7058823529412,17,0,17,0,0,0.12939453125,0.10791015625,0.14990234375,0.54052734375,0.072265625
20,81920,2171.2963836193085,104.14930129051208,35.15744423866272,3.8050127029418945,0.0,249.20890929549932,0.0377667173743248,249.171142578125,0.9818600416183472,0.0,0.0,0.0,34192.64453125,231.47058823529412,17,0,17,0,0,0.140380859375,0.093994140625,0.142822265625,0.54150390625,0.081298828125
