iteration,total_steps,wall_time_seconds,iter_time_seconds,env_step_time_seconds,learn_step_time_seconds,residual_compute_time_seconds,L_total,L_policy,L_value,L_entropy,L_residual_optimality,L_residual_safety,L_distill,mean_reward,mean_episode_length,n_episodes,n_collisions,n_successes,n_timeouts,n_aborts,action_dist_stop,action_dist_creep,action_dist_yield,action_dist_go,action_dist_abort
1,4096,269.9912371635437,269.32562017440796,221.48176503181458,22.908631086349487,22.793174028396606,3.367719165980816,0.05534929037094116,1.5563000440597534,1.5377118587493896,0.0,1.6897599697113037,0.0663098618388176,-1081.553466796875,500.0,8,0,0,8,0,0.154052734375,0.198974609375,0.1669921875,0.23486328125,0.2451171875
2,8192,841.3573291301727,256.77066564559937,221.72685074806213,17.83095622062683,17.79626226425171,3.168920684605837,0.028222467750310898,1.3373082876205444,1.4682650566101074,0.0,1.6961910724639893,0.10719885677099228,-1207.97705078125,500.0,8,0,0,8,0,0.17822265625,0.23388671875,0.16064453125,0.267578125,0.15966796875
3,12288,1087.6295487880707,246.25359725952148,221.09382271766663,6.391260147094727,6.36087965965271,11.49676575139165,-0.04329681769013405,9.689620018005371,1.3993580341339111,0.0,1.749049425125122,0.10139312595129013,163.2734375,500.0,8,0,0,8,0,0.14453125,0.24658203125,0.152587890625,0.35791015625,0.098388671875
4,16384,1331.047780752182,243.40447807312012,206.58707404136658,18.823047637939453,18.785725116729736,16.606727313250303,0.01612796261906624,14.94552993774414,1.3406730890274048,0.0,1.5558507442474365,0.08921866863965988,2908.04150390625,500.0,8,0,0,8,0,0.141845703125,0.26806640625,0.138427734375,0.337890625,0.11376953125
5,20480,1616.056324005127,284.99359250068665,249.85893177986145,12.29761004447937,12.26851511001587,41.22931265830994,-0.043595969676971436,39.461944580078125,1.3315823078155518,0.0,1.732811450958252,0.078152596950531,4405.6650390625,494.25,8,0,1,7,0,0.145751953125,0.227783203125,0.162353515625,0.3525390625,0.111572265625
6,24576,1918.478632926941,302.4162483215332,259.45653533935547,22.939424753189087,22.878639459609985,574.5193000361323,-0.10505315661430359,573.02294921875,1.3031609058380127,0.0,1.5179682970046997,0.08343567699193954,13603.791015625,402.1,10,0,9,1,0,0.141357421875,0.25390625,0.159423828125,0.3515625,0.09375
7,28672,2230.2298595905304,311.74972701072693,268.1285972595215,19.13407802581787,19.099863290786743,298.4835107475519,0.033390723168849945,296.6649475097656,1.3135571479797363,0.0,1.704363465309143,0.08080904930830002,16353.365234375,390.4,10,0,7,3,0,0.1591796875,0.229248046875,0.15625,0.351318359375,0.10400390625
8,32768,2561.981235265732,331.73298835754395,289.0004138946533,16.774842739105225,16.729522943496704,266.95243660360575,-0.013423524796962738,265.38134765625,1.3066850900650024,0.0,1.4955859184265137,0.08892655372619629,19986.40625,350.6363636363636,11,0,9,2,0,0.16552734375,0.2099609375,0.131591796875,0.404052734375,0.0888671875
9,36864,2852.691552877426,290.69030594825745,252.29099321365356,17.637113332748413,17.604103088378906,169.5906758606434,0.047572650015354156,167.84231567382812,1.3407618999481201,0.0,1.6225361824035645,0.07825135439634323,17011.75390625,407.3,10,0,5,5,0,0.1748046875,0.239501953125,0.130615234375,0.346435546875,0.108642578125
10,40960,3255.5865275859833,402.8630304336548,354.4315302371979,21.438640594482422,21.355634927749634,361.99569322541356,0.05482098087668419,360.35125732421875,1.297704815864563,0.0,1.5158859491348267,0.07372897118330002,21374.44921875,311.7692307692308,13,0,11,2,0,0.115234375,0.233642578125,0.1357421875,0.42919921875,0.086181640625
11,45056,3646.1548566818237,390.5584886074066,350.3094074726105,14.953247785568237,14.90200686454773,265.4299188181758,0.06049169600009918,263.4118957519531,1.2903763055801392,0.0,1.8543691635131836,0.10316220670938492,23779.03125,312.38461538461536,13,0,11,2,0,0.107666015625,0.211669921875,0.127685546875,0.46240234375,0.090576171875
12,49152,4338.380716562271,399.67856788635254,369.10879039764404,5.5893237590789795,5.558786392211914,335.7684450298548,0.08927567303180695,333.71014404296875,1.2128487825393677,0.0,1.8768728971481323,0.0921524167060852,26050.111328125,280.35714285714283,14,0,13,1,0,0.108154296875,0.193115234375,0.1357421875,0.474609375,0.08837890625
