iteration,total_steps,wall_time_seconds,iter_time_seconds,env_step_time_seconds,learn_step_time_seconds,residual_compute_time_seconds,L_total,L_policy,L_value,L_entropy,L_residual_optimality,L_residual_safety,L_distill,mean_reward,mean_episode_length,n_episodes,n_collisions,n_successes,n_timeouts,n_aborts,action_dist_stop,action_dist_creep,action_dist_yield,action_dist_go,action_dist_abort
1,4096,510.0632703304291,509.66900658607483,453.7972321510315,28.474827766418457,28.442293405532837,459.13669677451253,0.03287484124302864,0.5942975878715515,1.5248832702636719,458.4739990234375,0.0,0.03552532196044922,-1901.851318359375,500.0,8,0,0,8,0,0.190185546875,0.17236328125,0.157470703125,0.1044921875,0.37548828125
2,8192,1499.0148313045502,363.20267486572266,322.1354875564575,9.983304738998413,9.9324631690979,1.2286334671080112,-0.02634355053305626,0.748039960861206,1.5434626340866089,0.26092544198036194,0.0,0.2460116147994995,-3368.28515625,500.0,8,0,0,8,0,0.18310546875,0.134521484375,0.2041015625,0.15478515625,0.323486328125
3,12288,1991.4033150672913,492.320467710495,444.70170521736145,12.62148666381836,12.583029747009277,1.0918581634759903,-0.21572625637054443,0.7245267629623413,1.4984655380249023,0.1993975192308426,0.0,0.38366013765335083,-3841.17529296875,500.0,8,0,0,8,0,0.21728515625,0.227783203125,0.224365234375,0.140625,0.18994140625
4,16384,2362.5559887886047,371.1168613433838,331.33568048477173,10.396647930145264,10.364500522613525,3.494314856827259,-0.02890601009130478,1.953986406326294,1.446498155593872,0.2378229796886444,0.0,1.3314114809036255,-3676.590087890625,500.0,8,0,0,8,0,0.19189453125,0.255859375,0.2548828125,0.16357421875,0.1337890625
5,20480,2849.2526614665985,486.6949439048767,433.2669506072998,29.073269605636597,29.02220106124878,3.5112325847148895,-0.08339041471481323,1.7196786403656006,1.3910447359085083,0.2854616940021515,0.0,1.5894826650619507,-3064.83154296875,500.0,8,0,0,8,0,0.1552734375,0.296875,0.27001953125,0.19921875,0.07861328125
6,24576,3102.756349802017,253.50262212753296,222.4713475704193,6.352913856506348,6.316305160522461,6.087476268410683,0.04814429581165314,3.122692584991455,1.2052119970321655,0.37261539697647095,0.0,2.5440239906311035,-1021.4384765625,500.0,8,0,0,8,0,0.123779296875,0.417724609375,0.21826171875,0.202392578125,0.037841796875
7,28672,3436.3781831264496,333.6202368736267,296.56793093681335,8.985065221786499,8.937009334564209,132.9524722788483,0.016330787912011147,17.471527099609375,1.1137549877166748,112.42875671386719,0.0,3.035857677459717,777.066650390625,500.0,8,0,0,8,0,0.068115234375,0.590576171875,0.10791015625,0.209716796875,0.023681640625
8,32768,3677.317160129547,240.93794012069702,211.81004810333252,7.4615912437438965,7.419700860977173,21.83920480310917,-0.044616684317588806,14.325347900390625,1.170480728149414,0.8097410202026367,0.0,6.748732566833496,3190.92333984375,500.0,8,0,0,8,0,0.072998046875,0.514892578125,0.158203125,0.233642578125,0.020263671875
9,36864,3941.495150089264,264.16414856910706,232.0688500404358,11.262271881103516,11.215911149978638,18.133561827242374,-0.032887302339076996,8.941191673278809,1.1314072608947754,0.7045026421546936,0.0,8.52075481414795,5609.7646484375,500.0,8,0,0,8,0,0.079345703125,0.522216796875,0.123779296875,0.2509765625,0.023681640625
10,40960,4171.40668964386,229.89809703826904,195.4338080883026,14.688561916351318,14.648639678955078,531.544954687357,-0.2825978696346283,522.3088989257812,1.2015748023986816,1.502195119857788,0.0,8.016458511352539,10636.57421875,482.625,8,0,3,5,0,0.058837890625,0.455810546875,0.136474609375,0.305419921875,0.04345703125
11,45056,4451.5205953121185,280.1127028465271,247.05825567245483,15.05719256401062,15.012423038482666,112.83792684972286,0.10268090665340424,100.28470611572266,1.309853434562683,1.3426287174224854,0.0,11.107911109924316,13911.61328125,463.75,8,0,4,4,0,0.105224609375,0.349853515625,0.15234375,0.32763671875,0.06494140625
12,49152,5110.7456431388855,320.27005910873413,271.8678686618805,23.672627925872803,23.634984970092773,1692.7661500498652,0.1222863718867302,44.971710205078125,1.3978652954101562,1632.627197265625,0.0,15.04495620727539,9015.056640625,483.875,8,0,2,6,0,0.126953125,0.253662109375,0.186279296875,0.3095703125,0.12353515625
13,53248,5460.7833914756775,350.0291795730591,295.52085542678833,25.38627791404724,25.349393367767334,331.81734530441463,0.018936676904559135,276.0897521972656,1.3662058115005493,1.629165768623352,0.0,54.079490661621094,13742.7861328125,436.1111111111111,9,0,5,4,0,0.12939453125,0.244873046875,0.20947265625,0.309814453125,0.1064453125
14,57344,5788.559855937958,327.76892375946045,291.72113251686096,12.797605037689209,12.742006063461304,544.1127763506956,-0.003074097912758589,492.8817443847656,1.2071889638900757,2.074338912963867,0.0,49.159767150878906,19832.201171875,339.6363636363636,11,0,10,1,0,0.110595703125,0.208251953125,0.17138671875,0.388427734375,0.121337890625
15,61440,6165.423072099686,376.8558020591736,337.7252073287964,15.612286567687988,15.561854124069214,621.8324239253998,-0.11191701889038086,520.5789184570312,1.1597691774368286,3.94018292427063,0.0,97.42523956298828,22650.056640625,350.8181818181818,11,0,11,0,0,0.11669921875,0.233154296875,0.163818359375,0.35986328125,0.12646484375
16,65536,6571.850602388382,406.4260952472687,368.4096484184265,12.295327186584473,12.260902643203735,600.1714354082942,-0.056143708527088165,554.76513671875,1.1151384115219116,1.7270450592041016,0.0,43.73539733886719,23301.00390625,278.64285714285717,14,0,14,0,0,0.13720703125,0.19677734375,0.15185546875,0.41162109375,0.1025390625
17,69632,6973.374264955521,401.5020582675934,366.44526052474976,7.28832221031189,7.24594259262085,1326.1104281842709,0.10119661688804626,365.5513000488281,1.1985821723937988,856.9906005859375,0.0,103.46733093261719,24881.44140625,264.0,15,0,15,0,0,0.115966796875,0.224609375,0.15283203125,0.426025390625,0.08056640625
18,73728,7566.241847276688,592.8514971733093,554.3433964252472,9.277145385742188,9.232075691223145,651.2796512544155,-0.06954613327980042,293.2613220214844,1.1116340160369873,281.68682861328125,0.0,76.40104675292969,27895.521484375,257.53333333333336,15,0,15,0,0,0.118408203125,0.223876953125,0.13623046875,0.4443359375,0.0771484375
19,77824,8142.792231082916,576.4019997119904,537.4840312004089,10.22409200668335,10.1832857131958,403.73517330922186,0.009812438860535622,283.6076965332031,1.1337838172912598,33.3519401550293,0.0,86.7657241821289,29907.283203125,265.6666666666667,15,0,15,0,0,0.10205078125,0.22998046875,0.134521484375,0.462890625,0.070556640625
20,81920,8692.56133389473,549.7497804164886,509.2675931453705,11.142684698104858,11.099610090255737,779.1634693443775,0.0193195641040802,330.7445068359375,1.0667181015014648,235.5912628173828,0.0,212.80838012695312,30547.08203125,249.625,16,0,16,0,0,0.088623046875,0.184326171875,0.123046875,0.521484375,0.08251953125
21,86016,9263.646977424622,571.0843601226807,535.7223584651947,5.758541107177734,5.721838474273682,301.6440396029502,0.0025121886283159256,198.3736114501953,1.0431091785430908,2.735201120376587,0.0,100.53271484375,31742.232421875,229.88235294117646,17,0,17,0,0,0.0634765625,0.179931640625,0.136474609375,0.55029296875,0.06982421875
22,90112,10175.22416305542,607.8988568782806,564.8552267551422,10.522041320800781,10.485785245895386,29675.707588762045,-0.07215824723243713,255.2282257080078,0.9355960488319397,29295.23046875,0.0,125.32105255126953,31218.6640625,224.0,18,0,18,0,0,0.06005859375,0.169677734375,0.138916015625,0.572265625,0.05908203125
23,94208,10763.282968521118,588.033490896225,549.0511903762817,8.866361618041992,8.829126119613647,510.0468205958605,0.03291173279285431,287.7767639160156,1.0366847515106201,2.0423054695129395,0.0,220.19483947753906,33751.80859375,220.61111111111111,18,0,18,0,0,0.056396484375,0.15625,0.159912109375,0.564453125,0.06298828125
24,98304,11382.888043880463,619.561380147934,579.6254487037659,9.30394196510315,9.253409385681152,440.2746587097645,0.07210782170295715,249.32626342773438,0.9579306244850159,2.298421859741211,0.0,188.57786560058594,34896.30078125,218.94444444444446,18,0,18,0,0,0.054443359375,0.16162109375,0.151611328125,0.5751953125,0.05712890625
25,102400,11958.15831875801,575.2368230819702,534.9777388572693,8.546974897384644,8.509289979934692,664.967581808567,-0.08289140462875366,354.0525207519531,0.8236932754516602,2.086789131164551,0.0,308.9111633300781,34537.31640625,213.6315789473684,19,0,19,0,0,0.0498046875,0.141845703125,0.1572265625,0.596435546875,0.0546875
26,106496,12406.968124866486,448.8026874065399,412.1563792228699,5.162602186203003,5.1282570362091064,529.7473138682544,0.05041981860995293,318.6593017578125,0.8872160315513611,1.8120673894882202,0.0,209.22552490234375,34109.40625,202.2,20,0,20,0,0,0.04736328125,0.14599609375,0.126708984375,0.6357421875,0.044189453125
27,110592,12792.907320976257,385.91750025749207,349.38660311698914,5.168458938598633,5.126161098480225,594.1141179651022,0.10349689424037933,365.47357177734375,0.8985304832458496,2.0705270767211914,0.0,226.46652221679688,32360.6484375,194.38095238095238,21,0,21,0,0,0.04248046875,0.1435546875,0.123779296875,0.65087890625,0.039306640625
28,114688,13147.672218799591,354.7452766895294,316.48597526550293,6.160706996917725,6.124430418014526,508.5576873193495,-0.004367791581898928,298.9430847167969,0.8487377166748047,2.332883358001709,0.0,207.2860870361328,29721.533203125,170.65217391304347,23,1,22,0,0,0.035400390625,0.12109375,0.121826171875,0.690185546875,0.031494140625
29,118784,13550.03551530838,401.917786359787,361.2618749141693,6.424101829528809,6.387923955917358,275.3527510911226,-0.12915365397930145,218.73052978515625,0.7447882294654846,2.9578988552093506,0.0,53.79347610473633,28316.162109375,166.29166666666666,24,1,23,0,0,0.028564453125,0.126220703125,0.117919921875,0.69775390625,0.029541015625
30,122880,14021.932976007462,471.60828495025635,427.9424638748169,5.194312810897827,5.154997825622559,622.2181604579091,-0.09373920410871506,480.4949951171875,0.6713271141052246,2.2618660926818848,0.0,139.55503845214844,24254.490234375,141.35714285714286,28,4,24,0,0,0.028564453125,0.1015625,0.09814453125,0.754638671875,0.01708984375
31,126976,14399.209852933884,377.19095969200134,334.4191167354584,4.501118421554565,4.466039419174194,275.68247117102146,-0.002653464674949646,156.23199462890625,0.7069098353385925,1.8508656024932861,0.0,117.60226440429688,23557.12109375,138.20689655172413,29,1,28,0,0,0.02490234375,0.093994140625,0.09033203125,0.775146484375,0.015625
32,131072,14829.839519023895,343.72572803497314,299.6407196521759,4.977586984634399,4.9393439292907715,375.65683956444263,-0.04658441245555878,298.1695251464844,0.6150768399238586,2.3662962913513184,0.0,75.1676025390625,22636.697265625,133.13333333333333,30,2,28,0,0,0.022216796875,0.085693359375,0.09130859375,0.7841796875,0.0166015625
33,135168,15181.58332824707,351.7016324996948,305.82568860054016,5.516282796859741,5.473272800445557,874.5806965800002,0.0011725397780537605,604.620849609375,0.5643318295478821,2.034510612487793,0.0,267.9241638183594,22731.3125,124.8125,32,2,30,0,0,0.02001953125,0.0869140625,0.063720703125,0.82080078125,0.008544921875
34,139264,15537.58763551712,355.9704077243805,309.50063848495483,5.287817478179932,5.243932247161865,322.367948256433,0.06527253240346909,172.51425170898438,0.5327139496803284,2.0752434730529785,0.0,147.7131805419922,22865.689453125,121.27272727272727,33,1,32,0,0,0.012939453125,0.091064453125,0.05712890625,0.83203125,0.0068359375
35,143360,15886.903083086014,349.2838327884674,299.53916239738464,4.921280145645142,4.878614902496338,1212.7142741121352,-0.0034912191331386566,861.9883422851562,0.5498797297477722,2.7382731437683105,0.0,347.99114990234375,20479.947265625,112.75,36,6,30,0,0,0.012939453125,0.10107421875,0.041259765625,0.840087890625,0.004638671875
36,147456,16243.416954994202,356.4559805393219,305.74437522888184,6.077398061752319,6.034435987472534,1329.5187762081623,0.092469722032547,928.41943359375,0.41200709342956543,2.7604129314422607,0.0,398.2464599609375,21093.673828125,111.41666666666667,36,4,32,0,0,0.01171875,0.07763671875,0.04150390625,0.865234375,0.00390625
37,151552,16591.967943429947,348.5146403312683,297.67640590667725,5.250063180923462,5.2105913162231445,260.87547040358186,-0.0414423905313015,162.06935119628906,0.30687063932418823,2.588085889816284,0.0,96.25947570800781,21976.53125,108.16216216216216,37,2,35,0,0,0.008544921875,0.046630859375,0.02978515625,0.912841796875,0.002197265625
38,155648,16954.921491622925,362.89743876457214,312.0380861759186,4.944160461425781,4.897554397583008,742.511951353401,-0.052704665809869766,514.1209716796875,0.3551408350467682,2.888645887374878,0.0,225.55503845214844,20804.734375,105.10526315789474,38,5,33,0,0,0.00830078125,0.041748046875,0.037109375,0.910888671875,0.001953125
39,159744,17318.481155633926,363.5357177257538,314.6653218269348,5.048486948013306,5.005262136459351,115.60178808122873,0.02085069566965103,82.15959930419922,0.3179190158843994,2.6704320907592773,0.0,30.750905990600586,22394.890625,110.88888888888889,36,0,36,0,0,0.0087890625,0.038818359375,0.03857421875,0.911865234375,0.001953125
40,163840,17694.856410503387,376.357784986496,325.0423092842102,5.073593378067017,5.033416032791138,420.58642968535423,-0.005922228097915649,251.81028747558594,0.3539009392261505,2.268819808959961,0.0,166.51324462890625,21080.904296875,105.47368421052632,38,3,35,0,0,0.0048828125,0.04296875,0.031494140625,0.9189453125,0.001708984375
41,167936,18047.008878469467,352.080007314682,300.174435377121,6.372878074645996,6.319315433502197,344.5001565478742,-0.06226477399468422,210.37867736816406,0.32585418224334717,2.732755184173584,0.0,131.45098876953125,22207.015625,107.73684210526316,38,1,37,0,0,0.00634765625,0.0400390625,0.033935546875,0.91796875,0.001708984375
42,172032,18515.212604284286,367.17785716056824,314.4390423297882,6.329225540161133,6.26432991027832,717.0529200676829,0.02352353371679783,431.81915283203125,0.3113168179988861,2.6713948249816895,0.0,282.5388488769531,20606.076171875,104.48717948717949,39,4,35,0,0,0.005859375,0.038330078125,0.04150390625,0.913330078125,0.0009765625
43,176128,18881.37415933609,366.1191473007202,313.0706858634949,5.859483957290649,5.8199992179870605,252.76619191467762,-0.05121020972728729,178.86087036132812,0.2625139653682709,2.3660242557525635,0.0,71.59050750732422,20889.814453125,104.17948717948718,39,2,37,0,0,0.002197265625,0.02392578125,0.037353515625,0.935546875,0.0009765625
44,180224,19251.936819076538,370.5412142276764,318.66477155685425,4.9417219161987305,4.890960216522217,877.7475665733218,0.08718454092741013,618.3067016601562,0.21499979496002197,2.861523389816284,0.0,256.4921569824219,21521.546875,103.38461538461539,39,3,36,0,0,0.002197265625,0.029296875,0.02490234375,0.942626953125,0.0009765625
45,184320,19614.20732975006,362.24535369873047,309.84497714042664,5.144516944885254,5.10009241104126,7275.81173418276,-0.014697091653943062,289.8213195800781,0.24653314054012299,6871.55615234375,0.0,114.44895935058594,20852.603515625,103.92307692307692,39,2,37,0,0,0.002197265625,0.025390625,0.02197265625,0.94873046875,0.001708984375
46,188416,19987.057975530624,372.8465986251831,320.1099383831024,5.678502798080444,5.626531600952148,588.0037516206503,-0.055059805512428284,450.3514404296875,0.2300485521554947,3.2813303470611572,0.0,134.42604064941406,22061.755859375,104.07692307692308,39,2,37,0,0,0.00244140625,0.024658203125,0.021240234375,0.9501953125,0.00146484375
47,192512,20350.40518116951,363.34355640411377,310.9144594669342,5.512411832809448,5.470721483230591,323.98762515187263,-0.03586742281913757,255.75213623046875,0.23994597792625427,2.5406739711761475,0.0,65.73068237304688,21529.52734375,104.07692307692308,39,3,36,0,0,0.003662109375,0.021240234375,0.044921875,0.929931640625,0.000244140625
48,196608,20720.43470644951,370.0069179534912,318.5667839050293,5.338964223861694,5.296772003173828,361.88253519684076,0.04549286514520645,285.093994140625,0.2768562436103821,2.025778293609619,0.0,74.71726989746094,22062.7734375,106.34210526315789,38,1,37,0,0,0.005126953125,0.020263671875,0.05126953125,0.922119140625,0.001220703125
49,200704,21070.1238656044,349.6863317489624,296.9876711368561,5.689865350723267,5.642218828201294,280.0549730658531,-0.02296668291091919,174.6740264892578,0.2353067249059677,2.184591054916382,0.0,103.21932220458984,20994.685546875,103.76923076923077,39,3,36,0,0,0.00439453125,0.021240234375,0.038818359375,0.9345703125,0.0009765625
50,204800,21446.35262298584,376.17576789855957,323.1241054534912,5.304654359817505,5.261719226837158,1394.7590494677424,0.08242516964673996,922.2501831054688,0.17940907180309296,3.084430694580078,0.0,469.3420104980469,21033.67578125,101.65,40,4,36,0,0,0.002197265625,0.01123046875,0.03857421875,0.947265625,0.000732421875
51,208896,21820.762579917908,374.3678946495056,322.3331251144409,5.330611944198608,5.289324760437012,480.32064175605774,0.04848361015319824,300.55255126953125,0.21514585614204407,2.356325626373291,0.0,177.36328125,21377.677734375,103.46153846153847,39,2,37,0,0,0.000732421875,0.010009765625,0.043212890625,0.945068359375,0.0009765625
52,212992,22264.455485343933,361.68817257881165,309.1419560909271,5.5377516746521,5.489250421524048,920.5867203548551,0.04944957047700882,573.3302001953125,0.15465286374092102,2.2568752765655518,0.0,344.9501953125,22045.1640625,103.7948717948718,39,1,38,0,0,0.001953125,0.008056640625,0.03125,0.9580078125,0.000732421875
53,217088,22635.911740779877,371.37132477760315,317.9629933834076,5.627098560333252,5.584790229797363,242.6342007741332,0.11509224027395248,155.08045959472656,0.0944707915186882,2.518711805343628,0.0,84.91993713378906,21570.716796875,102.1,40,2,38,0,0,0.00146484375,0.002197265625,0.028564453125,0.967041015625,0.000732421875
54,221184,22991.20877790451,355.1764588356018,300.3222396373749,6.290680646896362,6.235830545425415,929.4459283351898,0.19347262382507324,593.2279052734375,0.10801656544208527,2.064589500427246,0.0,333.9599609375,20134.021484375,99.26829268292683,41,5,36,0,0,0.0009765625,0.0029296875,0.01904296875,0.976806640625,0.000244140625
55,225280,23379.664258003235,388.3777165412903,335.4953889846802,4.783036470413208,4.74218487739563,336.391596108675,0.05761650204658508,217.17095947265625,0.08031807839870453,2.166537284851074,0.0,116.9964828491211,20839.974609375,102.2,40,2,38,0,0,0.00537109375,0.0078125,0.00634765625,0.98046875,0.0
56,229376,23725.057329893112,345.3711543083191,293.75388979911804,5.067403554916382,5.022252559661865,413.5040376409888,-0.099806047976017,206.61093139648438,0.05200989171862602,61.471961975097656,0.0,145.5209503173828,22358.533203125,102.97435897435898,39,1,38,0,0,0.00830078125,0.005615234375,0.002685546875,0.98291015625,0.00048828125
