iteration,total_steps,wall_time_seconds,iter_time_seconds,env_step_time_seconds,learn_step_time_seconds,residual_compute_time_seconds,L_total,L_policy,L_value,L_entropy,L_residual_optimality,L_residual_safety,L_distill,mean_reward,mean_episode_length,n_episodes,n_collisions,n_successes,n_timeouts,n_aborts,action_dist_stop,action_dist_creep,action_dist_yield,action_dist_go,action_dist_abort
1,4096,54.098745346069336,54.082072257995605,16.527486324310303,10.020089387893677,9.98290491104126,12.438946917653084,0.14237457513809204,2.0715599060058594,1.4650038480758667,10.111580848693848,0.0,0.11343158781528473,-421.2584228515625,500.0,8,0,0,8,0,0.20361328125,0.1640625,0.236572265625,0.2548828125,0.140869140625
2,8192,133.48713207244873,50.618624687194824,14.284220457077026,13.399487257003784,13.36238694190979,182.5122852921486,0.264409601688385,4.726200103759766,1.3955748081207275,176.4491424560547,0.0,1.072533130645752,5.534332275390625,500.0,8,0,0,8,0,0.2099609375,0.19921875,0.1728515625,0.353515625,0.064453125
3,12288,181.27165746688843,47.77004408836365,15.022000312805176,10.39604115486145,10.352936506271362,33.6452308036387,0.004649374634027481,2.8832457065582275,1.3831570148468018,30.26337432861328,0.0,0.4939613938331604,418.761474609375,500.0,8,0,0,8,0,0.200439453125,0.2119140625,0.225341796875,0.320068359375,0.042236328125
4,16384,239.4693043231964,58.19679498672485,17.7007737159729,10.931641578674316,10.9016752243042,57.65860679000616,0.06949903815984726,44.39283752441406,1.3770380020141602,3.1759769916534424,0.0,10.020293235778809,3903.949462890625,476.375,8,0,1,7,0,0.1591796875,0.23046875,0.221923828125,0.343017578125,0.04541015625
5,20480,297.3459496498108,57.86891222000122,17.335503339767456,12.785146951675415,12.75342082977295,117.16107507050037,0.2107669860124588,98.06733703613281,1.344862699508667,2.2861196994781494,0.0,16.596851348876953,7409.5556640625,430.22222222222223,9,0,4,5,0,0.152587890625,0.19970703125,0.187255859375,0.42626953125,0.0341796875
6,24576,364.49444818496704,67.1330075263977,20.65160584449768,11.962473154067993,11.923099040985107,867.3898073416203,-0.015298249199986458,612.67041015625,1.2653180360794067,170.78074645996094,0.0,83.95394897460938,15533.1533203125,330.0833333333333,12,0,12,0,0,0.10986328125,0.212158203125,0.196044921875,0.444580078125,0.037353515625
7,28672,424.02146768569946,59.51760673522949,16.450953483581543,15.726518392562866,15.66789698600769,757.4083800949156,-0.018718179315328598,545.1670532226562,1.289947509765625,2.235661506652832,0.0,210.02438354492188,19267.951171875,327.0833333333333,12,0,12,0,0,0.085693359375,0.21484375,0.2021484375,0.470458984375,0.02685546875
8,32768,495.6941714286804,71.67171907424927,21.419416904449463,11.184240579605103,11.140791654586792,372.8101751357317,0.03452463448047638,258.78314208984375,1.2115857601165771,2.0095295906066895,0.0,111.98297882080078,24889.029296875,353.1818181818182,11,0,11,0,0,0.087646484375,0.214111328125,0.235107421875,0.435546875,0.027587890625
9,36864,565.0566613674164,69.35654854774475,19.08696699142456,8.866537809371948,8.83565068244934,617.9683304615319,-0.06119529530405998,382.3321533203125,1.1869549751281738,2.4858856201171875,0.0,233.21148681640625,21671.31640625,277.85714285714283,14,0,14,0,0,0.081298828125,0.187255859375,0.20654296875,0.49609375,0.02880859375
10,40960,646.7458648681641,81.68262457847595,20.689253568649292,22.15747570991516,22.103549242019653,662.2406588047743,-0.0729651004076004,409.4754943847656,1.1800206899642944,3.4262948036193848,0.0,249.41183471679688,22175.83203125,260.8,15,0,15,0,0,0.09423828125,0.173583984375,0.1708984375,0.535888671875,0.025390625
