iteration,total_steps,wall_time_seconds,iter_time_seconds,env_step_time_seconds,learn_step_time_seconds,residual_compute_time_seconds,L_total,L_policy,L_value,L_entropy,L_residual_optimality,L_residual_safety,L_distill,mean_reward,mean_episode_length,n_episodes,n_collisions,n_successes,n_timeouts,n_aborts,action_dist_stop,action_dist_creep,action_dist_yield,action_dist_go,action_dist_abort
1,304096,2262.710696220398,2261.3238542079926,2186.964697122574,28.55934476852417,28.434742212295532,138.36132898926735,0.14213648438453674,64.26420593261719,0.42583534121513367,0.0,0.0,73.95498657226562,24062.931640625,139.60714285714286,28,0,28,0,0,0.043212890625,0.0830078125,0.071044921875,0.788818359375,0.013916015625
2,308192,3932.233637571335,1326.9346039295197,1266.9342288970947,14.291956424713135,14.196643829345703,122.88770257681608,-0.0021690204739570618,93.20877075195312,0.4613704979419708,0.0,0.0,29.681100845336914,24198.0546875,130.48275862068965,29,0,29,0,0,0.036376953125,0.067626953125,0.059326171875,0.8271484375,0.009521484375
3,312288,6538.2174780368805,2605.9563298225403,2513.550136566162,47.80790400505066,47.72412705421448,288.6628881543875,-0.15217532217502594,244.17933654785156,0.44504696130752563,0.0,0.0,44.63572692871094,25037.40234375,149.22222222222223,27,0,27,0,0,0.044921875,0.103759765625,0.072509765625,0.76611328125,0.0126953125
4,316384,9385.834164142609,2847.595910549164,2783.9398350715637,17.533772230148315,17.461875200271606,174.55226561427116,0.09579512476921082,151.82513427734375,0.43078672885894775,0.0,0.0,22.631336212158203,24443.818359375,138.31034482758622,29,0,29,0,0,0.037841796875,0.071533203125,0.07470703125,0.8095703125,0.00634765625
5,320480,10657.39994096756,1271.4946949481964,1209.7917170524597,16.754056692123413,16.672890186309814,156.7897716164589,-0.18443721532821655,127.24263763427734,0.4580132067203522,0.0,0.0,29.731571197509766,24276.166015625,135.86666666666667,30,0,30,0,0,0.02685546875,0.04736328125,0.111328125,0.8076171875,0.0068359375
6,324576,13360.695439100266,2703.2264456748962,2631.0200855731964,20.461261510849,20.40148091316223,57.95589009672403,-0.05229242891073227,50.080284118652344,0.36527371406555176,0.0,0.0,7.927898406982422,23260.0703125,119.94117647058823,34,0,34,0,0,0.0126953125,0.036865234375,0.066162109375,0.88232421875,0.001953125
7,328672,14692.442063331604,1331.4557733535767,1277.8071184158325,4.701558828353882,4.654175043106079,129.73950085043907,-0.07166782021522522,110.80120849609375,0.37577131390571594,0.0,0.0,19.009960174560547,23306.00390625,113.51428571428572,35,0,35,0,0,0.00244140625,0.02392578125,0.086181640625,0.88671875,0.000732421875
8,332768,15919.712406396866,1227.2357048988342,1149.9709403514862,27.824799060821533,27.7582368850708,60.50307908654213,0.09766116738319397,52.813201904296875,0.3311920166015625,0.0,0.0,7.5922160148620605,23038.05859375,111.88888888888889,36,0,36,0,0,0.002685546875,0.021484375,0.066650390625,0.907470703125,0.001708984375
9,336864,17046.106426477432,1126.327555179596,1061.4371497631073,14.049558401107788,13.974056243896484,25.95750956237316,-0.06012482941150665,19.37735366821289,0.48509424924850464,0.0,0.0,6.640280723571777,23218.47265625,111.38888888888889,36,0,36,0,0,0.000732421875,0.018798828125,0.065185546875,0.915283203125,0.0
10,340960,18144.785188436508,1098.6429188251495,1056.5673520565033,14.874416828155518,14.831756114959717,72.16273087263107,-0.121601402759552,39.703895568847656,0.6426329612731934,0.0,0.0,32.58043670654297,41472.1640625,250.9375,16,0,14,2,0,0.00732421875,0.01708984375,0.0712890625,0.64208984375,0.26220703125
11,345056,19637.837009191513,1493.0220322608948,1440.4024844169617,18.030139684677124,17.98045039176941,83.84205441176891,-0.033712342381477356,55.06135559082031,0.6680804491043091,0.0,0.0,28.814411163330078,30303.904296875,177.38095238095238,21,0,19,2,0,0.005126953125,0.031005859375,0.060302734375,0.72265625,0.180908203125
12,349152,21057.874309539795,1152.8191215991974,1113.5582311153412,4.7569310665130615,4.717869997024536,92.84989599138498,0.0507073774933815,70.81023406982422,0.5809170007705688,0.0,0.0,21.988954544067383,27855.869140625,183.0,22,0,20,2,0,0.00732421875,0.034423828125,0.08642578125,0.71435546875,0.157470703125
13,353248,22676.072788715363,1617.9745659828186,1544.1670923233032,26.77577304840088,26.672341108322144,186.9652788452804,0.04336569830775261,152.1240997314453,0.38929620385169983,0.0,0.0,34.797813415527344,22458.212890625,121.53125,32,0,32,0,0,0.00390625,0.016357421875,0.047119140625,0.880615234375,0.052001953125
14,357344,23972.0813062191,1295.9716966152191,1232.790521621704,12.642339944839478,12.583548784255981,42.697475239634514,-0.13875408470630646,30.902507781982422,0.15031088888645172,0.0,0.0,11.933721542358398,22251.09765625,111.16666666666667,36,0,36,0,0,0.00048828125,0.00927734375,0.034912109375,0.947265625,0.008056640625
15,361440,24959.018332242966,986.9029424190521,918.6560547351837,17.21525502204895,17.168394565582275,47.836337096989155,0.07702208310365677,40.38008117675781,0.21186357736587524,0.0,0.0,7.3792338371276855,22172.0390625,110.37837837837837,37,0,37,0,0,0.0,0.00537109375,0.03076171875,0.95849609375,0.00537109375
16,365536,26396.970868110657,1437.9167852401733,1337.2014503479004,47.95702600479126,47.862998723983765,16.046765975654125,-0.04847890883684158,11.006264686584473,0.30481359362602234,0.0,0.0,5.088980197906494,22488.666015625,110.4054054054054,37,0,37,0,0,0.00048828125,0.06494140625,0.0302734375,0.90185546875,0.00244140625
17,369632,27744.915543317795,1347.902907371521,1266.713259935379,29.180375814437866,29.099940538406372,23.58998380973935,0.03803454712033272,19.25419807434082,0.27597081661224365,0.0,0.183882474899292,4.113868713378906,22790.009765625,110.45945945945945,37,0,37,0,0,0.0,0.05859375,0.023681640625,0.908935546875,0.0087890625
18,373728,28947.31291937828,1202.3652322292328,1111.010526418686,39.695709228515625,39.64894342422485,7.776849035173655,0.042974237352609634,3.8815717697143555,0.2868750989437103,0.0,0.0,3.8523030281066895,22790.7734375,110.35135135135135,37,0,37,0,0,0.0009765625,0.062744140625,0.03515625,0.897216796875,0.00390625
19,377824,30073.97823739052,1126.4923412799835,1058.8689215183258,16.55838918685913,16.481963396072388,14.065429702401161,-0.12000416219234467,11.157960891723633,0.2302209585905075,0.0,0.0,3.027472972869873,22878.015625,110.08108108108108,37,0,37,0,0,0.0009765625,0.0458984375,0.024658203125,0.92578125,0.002685546875
20,381920,30998.899825811386,924.884964466095,869.3034107685089,5.525632381439209,5.482949495315552,10.463532837107778,-0.008009759709239006,7.447022914886475,0.19019247591495514,0.0,0.0,3.024519681930542,22834.240234375,110.10810810810811,37,0,37,0,0,0.00048828125,0.037109375,0.020263671875,0.940185546875,0.001953125
21,386016,32575.853796958923,1576.9354882240295,1519.4831733703613,5.048830270767212,5.006030797958374,29.16291804611683,-0.052754923701286316,26.137937545776367,0.14880602061748505,0.0,0.0,3.077735424041748,22866.466796875,110.08108108108108,37,0,37,0,0,0.0,0.032470703125,0.01953125,0.947021484375,0.0009765625
22,390112,34388.23027205467,1495.8184707164764,1438.7544050216675,4.61382269859314,4.575570344924927,15.785997077822685,0.025993987917900085,13.381050109863281,0.2001698911190033,0.0,0.0,2.378952980041504,22967.203125,110.08108108108108,37,0,37,0,0,0.000244140625,0.030029296875,0.01806640625,0.95068359375,0.0009765625
23,394208,35654.14772391319,1265.673446893692,1204.8489663600922,9.243600368499756,9.201138496398926,58.00070305168629,0.09888763725757599,54.44147491455078,0.22489865124225616,0.0,0.0,3.4603404998779297,22811.693359375,110.02702702702703,37,0,37,0,0,0.000732421875,0.03466796875,0.028564453125,0.93603515625,0.0
24,398304,36941.679983854294,1287.4973504543304,1228.4307689666748,7.592021226882935,7.54924464225769,26.395304143428802,0.12688642740249634,24.385372161865234,0.4610164165496826,0.0,0.0,1.8830455541610718,22917.423828125,110.05405405405405,37,0,37,0,0,0.00048828125,0.025390625,0.03369140625,0.939453125,0.0009765625
25,402400,38195.86021232605,1254.1529986858368,1184.9361832141876,23.705004453659058,23.664604902267456,70.59868516027927,-0.06395350396633148,61.8921012878418,0.4063119888305664,0.0,0.0,8.770537376403809,25467.4765625,124.875,32,0,32,0,0,0.1064453125,0.022705078125,0.02001953125,0.8505859375,0.000244140625
