iteration,total_steps,wall_time_seconds,iter_time_seconds,env_step_time_seconds,learn_step_time_seconds,residual_compute_time_seconds,L_total,L_policy,L_value,L_entropy,L_residual_optimality,L_residual_safety,L_distill,mean_reward,mean_episode_length,n_episodes,n_collisions,n_successes,n_timeouts,n_aborts,action_dist_stop,action_dist_creep,action_dist_yield,action_dist_go,action_dist_abort
1,4096,82.35162854194641,82.31705808639526,21.80113124847412,23.05442714691162,23.02256727218628,1.3963563740253448,0.019520893692970276,1.1694340705871582,1.4503979682922363,0.0,0.0,0.20740140974521637,-720.8197631835938,500.0,8,0,0,8,0,0.1865234375,0.148681640625,0.12939453125,0.345947265625,0.189453125
2,8192,227.3594150543213,76.00040411949158,23.06160283088684,11.627373695373535,11.592365264892578,1.3210344761610031,-0.09627939760684967,1.307140827178955,1.3744202852249146,0.0,0.0,0.1101730465888977,-410.7391662597656,500.0,8,0,0,8,0,0.170654296875,0.19384765625,0.150146484375,0.36376953125,0.12158203125
3,12288,337.60958552360535,110.24806380271912,23.07000970840454,45.59484314918518,45.56126880645752,125.22469823621213,-0.02096826769411564,111.87439727783203,1.398897409439087,0.0,0.0,13.371269226074219,1305.056640625,465.875,8,0,1,7,0,0.119384765625,0.210693359375,0.175537109375,0.400146484375,0.09423828125
4,16384,427.2874689102173,89.67560338973999,27.283348083496094,12.349873781204224,12.320422410964966,30.529076527804136,0.01695563644170761,22.14354705810547,1.3528966903686523,0.0,0.03918616846203804,8.329387664794922,3090.1416015625,483.5,8,0,1,7,0,0.091552734375,0.226806640625,0.218505859375,0.375732421875,0.08740234375
5,20480,495.79853415489197,68.4847571849823,21.9770245552063,9.276468515396118,9.246777057647705,17.688303768634796,-0.25885075330734253,11.564769744873047,1.3291774988174438,0.0,0.0,6.382384777069092,4055.1708984375,500.0,8,0,0,8,0,0.126953125,0.226806640625,0.174072265625,0.40283203125,0.0693359375
6,24576,595.2506809234619,99.44039463996887,26.84084725379944,20.60346817970276,20.574121236801147,109.14591594785452,0.08919074386358261,81.75651550292969,1.378039002418518,0.0,0.09400242567062378,27.206207275390625,4462.68212890625,435.77777777777777,9,3,2,4,0,0.125,0.188720703125,0.21484375,0.4111328125,0.060302734375
7,28672,672.7626492977142,77.48100018501282,24.85755753517151,5.745379209518433,5.714885473251343,38.655492685735226,0.08738084137439728,29.880840301513672,1.3511364459991455,0.0,0.04373116046190262,8.643540382385254,3399.59423828125,451.6666666666667,9,2,0,7,0,0.1630859375,0.17236328125,0.179443359375,0.410400390625,0.07470703125
8,32768,758.2016735076904,85.4217803478241,25.59743309020996,13.410710573196411,13.38133454322815,120.52561855316162,0.12417209148406982,88.2984390258789,1.401871919631958,0.0,0.8847266435623169,31.218280792236328,5196.4150390625,453.55555555555554,9,1,2,6,0,0.12451171875,0.20751953125,0.23291015625,0.379638671875,0.055419921875
9,36864,839.1845169067383,80.96005630493164,23.804688215255737,16.388700008392334,16.344523906707764,39.984919011592865,0.11530359089374542,30.654043197631836,1.4519476890563965,0.0,0.08693967759609222,9.128632545471191,6432.31396484375,467.0,8,2,0,6,0,0.14306640625,0.177490234375,0.2275390625,0.359375,0.092529296875
10,40960,907.2363064289093,68.01495289802551,24.472469568252563,5.2162182331085205,5.176897764205933,80.8615294918418,-0.02211705595254898,67.00618743896484,1.3868318796157837,0.0,0.19653373956680298,13.680925369262695,7407.4990234375,449.875,8,3,0,5,0,0.140625,0.208984375,0.21435546875,0.369384765625,0.066650390625
11,45056,973.2896063327789,66.03362917900085,22.338818788528442,10.131126880645752,10.09964919090271,52.68157798796892,-0.04841426759958267,34.888648986816406,1.422399640083313,0.0,0.20355068147182465,17.637792587280273,6104.994140625,500.0,8,0,0,8,0,0.171630859375,0.186767578125,0.227294921875,0.330810546875,0.08349609375
12,49152,1102.8784646987915,76.2516438961029,23.203792572021484,18.417929649353027,18.387303590774536,90.59600883722305,-0.1406625509262085,67.17610931396484,1.3189404010772705,0.0,0.17094987630844116,23.389612197875977,7700.29052734375,467.25,8,3,0,5,0,0.1572265625,0.19775390625,0.214111328125,0.370849609375,0.06005859375
13,53248,1195.3013598918915,92.38815188407898,26.031510829925537,20.519090175628662,20.486947298049927,106.60306313633919,0.08399772644042969,70.4385986328125,1.4179836511611938,0.0,0.3273806869983673,35.75308609008789,2332.582763671875,475.75,8,0,1,7,0,0.177001953125,0.174560546875,0.2607421875,0.313232421875,0.074462890625
14,57344,1259.2887787818909,63.98664450645447,22.74207353591919,4.636510133743286,4.605503797531128,320.71136267483234,0.04653383791446686,216.27745056152344,1.3574795722961426,0.0,0.694301187992096,103.69307708740234,7842.3681640625,389.4,10,2,3,5,0,0.163818359375,0.170166015625,0.21240234375,0.405029296875,0.048583984375
15,61440,1337.9066309928894,78.60619640350342,24.557936906814575,11.388229370117188,11.35752534866333,189.60340037941933,-0.05249713361263275,108.0683822631836,1.3474104404449463,0.0,0.14137877523899078,81.44613647460938,10952.298828125,483.25,8,0,2,6,0,0.15869140625,0.20556640625,0.179443359375,0.395263671875,0.06103515625
16,65536,1412.9632263183594,75.04985237121582,23.68400526046753,13.39117431640625,13.35673975944519,100.49775931239128,0.0729399025440216,71.07935333251953,1.3673299551010132,0.0,0.9524473547935486,28.39301872253418,7694.41650390625,464.25,8,2,0,6,0,0.1884765625,0.171875,0.21240234375,0.375244140625,0.052001953125
17,69632,1493.3395745754242,80.3585274219513,26.02160120010376,5.671589374542236,5.6410603523254395,139.93271197378635,-0.0825556069612503,100.04463195800781,1.2965850830078125,0.0,0.23912546038627625,39.731510162353516,12112.099609375,458.25,8,1,1,6,0,0.2080078125,0.178955078125,0.171630859375,0.39453125,0.046875
18,73728,1569.640438079834,76.28914380073547,24.355522394180298,15.413620471954346,15.382041454315186,54.97739841043949,0.022076666355133057,33.3387336730957,1.3387559652328491,0.0,0.13042207062244415,21.48616600036621,10379.765625,463.125,8,1,1,6,0,0.21142578125,0.180908203125,0.157470703125,0.40478515625,0.04541015625
19,77824,1649.6278297901154,79.96376895904541,25.476640462875366,7.226319789886475,7.195873260498047,403.5050725340843,-0.12405061721801758,267.2479248046875,1.2862989902496338,0.0,0.5305361151695251,135.8506622314453,9772.0390625,464.0,8,0,3,5,0,0.2099609375,0.173583984375,0.18408203125,0.385986328125,0.04638671875
20,81920,1791.9968461990356,142.36688041687012,24.45949387550354,69.20637226104736,69.17295026779175,290.48270534723997,-0.08854902535676956,170.79347229003906,1.2548553943634033,0.0,0.5346866846084595,119.24309539794922,11006.5498046875,370.3,10,3,4,3,0,0.244873046875,0.162353515625,0.13916015625,0.425537109375,0.028076171875
21,86016,1869.4825310707092,77.45384621620178,23.171306848526,9.107293128967285,9.075771808624268,283.84274112433195,-0.03780507296323776,189.12364196777344,1.266438603401184,0.0,0.1737743467092514,94.5831298828125,14566.1201171875,423.1111111111111,9,3,3,3,0,0.210693359375,0.186279296875,0.154052734375,0.40966796875,0.039306640625
22,90112,2017.8954274654388,79.01542401313782,24.947752952575684,6.259047746658325,6.226407289505005,103.49456325545907,-0.018974434584379196,59.34563064575195,1.3417385816574097,0.0,0.019976899027824402,44.14793014526367,12427.3857421875,481.125,8,0,2,6,0,0.256103515625,0.1708984375,0.16796875,0.37451171875,0.030517578125
23,94208,2104.588393688202,86.6855206489563,23.46739959716797,21.06729030609131,21.038197994232178,96.76474936306477,0.17903827130794525,62.26044464111328,1.317229151725769,0.0,0.11798343062400818,34.20728302001953,11659.4345703125,406.3,10,2,3,5,0,0.213623046875,0.1884765625,0.15478515625,0.4111328125,0.031982421875
24,98304,2180.970971107483,76.35737419128418,26.59071922302246,4.341492414474487,4.3088531494140625,81.8244991786778,0.06100468710064888,43.145233154296875,1.3190733194351196,0.0,0.03890800476074219,38.57935333251953,12592.359375,470.375,8,1,2,5,0,0.218017578125,0.183349609375,0.210693359375,0.349853515625,0.0380859375
25,102400,2271.4507372379303,90.45684003829956,24.232235431671143,23.785592317581177,23.75447392463684,52.671699369326234,-0.05932565778493881,31.38341522216797,1.277551293373108,0.0,0.0239365566521883,21.323673248291016,11412.1162109375,469.375,8,2,0,6,0,0.2177734375,0.18359375,0.16845703125,0.391845703125,0.038330078125
26,106496,2347.6072919368744,76.14726090431213,26.12921690940857,4.834012269973755,4.804279804229736,30.79545607790351,-0.005405936390161514,16.241880416870117,1.304789662361145,0.0,0.6283003687858582,13.930681228637695,10196.0283203125,473.75,8,1,1,6,0,0.228515625,0.1875,0.18115234375,0.358154296875,0.044677734375
27,110592,2433.0563979148865,85.4441442489624,23.91328525543213,24.03234624862671,24.000770092010498,71.31559302285314,-0.02897259220480919,46.66609191894531,1.3439419269561768,0.0,0.21350215375423431,24.4649715423584,12054.5869140625,412.77777777777777,9,2,2,5,0,0.243896484375,0.204833984375,0.15576171875,0.36328125,0.0322265625
28,114688,2565.4553513526917,132.37907433509827,24.353575229644775,66.67389726638794,66.62247347831726,145.2234086431563,-0.0680152028799057,109.24109649658203,1.26819908618927,0.0,0.03032689169049263,36.02000045776367,13241.5029296875,392.0,10,2,4,4,0,0.1923828125,0.217041015625,0.161376953125,0.385498046875,0.043701171875
29,118784,2645.1499893665314,79.66713953018188,24.117818355560303,9.594362735748291,9.566127300262451,79.89311052113771,-0.03306068480014801,45.41865539550781,1.3330551385879517,0.0,0.1077355369925499,34.3997802734375,9494.880859375,443.8888888888889,9,4,0,5,0,0.154052734375,0.2294921875,0.1650390625,0.36767578125,0.083740234375
30,122880,2726.841164827347,81.63765120506287,24.929524898529053,11.330647230148315,11.298126459121704,43.89141649752855,-0.03615850210189819,27.48690414428711,1.3395442962646484,0.0,0.04960335046052933,16.391067504882812,11267.54296875,433.0,9,3,2,4,0,0.196044921875,0.214599609375,0.146728515625,0.362060546875,0.08056640625
31,126976,2828.2713606357574,101.40276789665222,29.86853861808777,17.098823070526123,17.0669367313385,68.20986795984209,-0.020727556198835373,38.24455642700195,1.3667949438095093,0.0,0.018265651538968086,29.9677734375,10836.375,453.3333333333333,9,3,2,4,0,0.158203125,0.219482421875,0.157470703125,0.348876953125,0.115966796875
32,131072,2984.550146341324,88.78182673454285,24.0712993144989,19.158151865005493,19.124334573745728,105.65861769020557,0.09394057095050812,73.83662414550781,1.3130466938018799,0.0,1.180491328239441,30.547561645507812,8611.275390625,391.6,10,4,1,5,0,0.19189453125,0.21142578125,0.1318359375,0.362060546875,0.102783203125
33,135168,3060.536732196808,75.97431063652039,22.520545721054077,18.507553100585938,18.473295211791992,84.70434426143765,0.03307485952973366,51.68239212036133,1.3299648761749268,0.0,0.17020128667354584,32.81867599487305,11084.60546875,411.6666666666667,9,3,2,4,0,0.177734375,0.213623046875,0.156494140625,0.34375,0.1083984375
34,139264,3144.316683769226,83.7461097240448,21.730101346969604,27.813979864120483,27.782450675964355,50.72833762317896,0.031299881637096405,24.932437896728516,1.3209716081619263,0.0,0.15026573836803436,25.614334106445312,13835.615234375,406.8,10,3,2,5,0,0.2109375,0.193359375,0.162353515625,0.34521484375,0.088134765625
35,143360,3214.2721581459045,69.93924045562744,23.38339400291443,4.850396394729614,4.817210912704468,46.34662137366831,0.004168147221207619,28.072914123535156,1.3362388610839844,0.0,0.08760283887386322,18.181936264038086,17738.8984375,446.44444444444446,9,2,3,4,0,0.216796875,0.176513671875,0.164794921875,0.361572265625,0.080322265625
36,147456,3314.5158586502075,100.23529839515686,27.076251983642578,21.19942283630371,21.16944146156311,172.9687283076346,-0.02369045838713646,134.91098022460938,1.2048277854919434,0.0,0.22177362442016602,37.85966491699219,17367.669921875,333.1818181818182,11,4,5,2,0,0.2041015625,0.171630859375,0.15234375,0.38671875,0.085205078125
37,151552,3394.8035955429077,80.24526619911194,25.608757257461548,7.031293153762817,6.999918222427368,114.7218610048294,0.06560719013214111,84.95494079589844,1.2342884540557861,0.0,0.0,29.701313018798828,13645.8623046875,408.9,10,3,2,5,0,0.2158203125,0.1796875,0.160888671875,0.35888671875,0.084716796875
38,155648,3477.258858680725,82.44485235214233,24.754371404647827,14.098353147506714,14.067745685577393,50.39298935234547,0.1304568201303482,35.226131439208984,1.268280029296875,0.0,0.13776904344558716,14.898632049560547,13432.220703125,452.1111111111111,9,2,1,6,0,0.243408203125,0.1689453125,0.14111328125,0.375,0.071533203125
39,159744,3563.0031764507294,85.72244477272034,27.17129397392273,8.556429386138916,8.524633646011353,74.50112694129348,-0.0179789699614048,54.14280700683594,1.1631369590759277,0.0,0.0,20.376298904418945,20487.9296875,454.1111111111111,9,0,3,6,0,0.176513671875,0.166259765625,0.126953125,0.453125,0.0771484375
40,163840,3642.1546642780304,79.13363313674927,23.520066022872925,14.608073711395264,14.57955265045166,87.07788982614875,0.0002877824008464813,62.37324142456055,1.2547918558120728,0.0,0.07322277128696442,24.63113784790039,14042.1298828125,405.7,10,1,4,5,0,0.2412109375,0.154296875,0.14794921875,0.3984375,0.05810546875
41,167936,3733.2328009605408,91.0578203201294,27.26681637763977,14.558379173278809,14.525320768356323,62.21660718880594,-0.00753515399992466,33.505706787109375,1.348185658454895,0.0,0.0582907497882843,28.660144805908203,10098.30859375,436.22222222222223,9,4,0,5,0,0.27734375,0.143310546875,0.16064453125,0.3544921875,0.064208984375
42,172032,3861.0921618938446,75.45458936691284,22.967578649520874,11.177287101745605,11.138598918914795,84.07608656957746,-0.018201585859060287,57.760772705078125,1.1809550523757935,0.0,0.029823586344718933,26.303691864013672,16149.931640625,398.9,10,1,4,5,0,0.212158203125,0.143798828125,0.166015625,0.43603515625,0.0419921875
43,176128,3950.196434020996,89.08645939826965,27.930997133255005,5.680359840393066,5.638514041900635,49.91959273442626,0.016766425222158432,25.150447845458984,1.2964675426483154,0.0,0.0,24.752378463745117,15981.7373046875,364.45454545454544,11,3,4,4,0,0.21142578125,0.177978515625,0.177490234375,0.3974609375,0.03564453125
44,180224,4057.3259727954865,107.10943031311035,22.386956453323364,51.45795702934265,51.42771530151367,168.0361546985805,-0.01764969900250435,136.1017608642578,1.1721769571304321,0.0,0.0,31.952043533325195,17538.46484375,368.4,10,1,5,4,0,0.2265625,0.16845703125,0.174072265625,0.389892578125,0.041015625
45,184320,4208.963679790497,151.63399076461792,24.413235187530518,79.5287344455719,79.49515891075134,120.17808006331325,-0.09480608999729156,84.15481567382812,1.2533576488494873,0.0,0.05671488866209984,36.06135559082031,14170.6806640625,423.3333333333333,9,2,2,5,0,0.220947265625,0.177001953125,0.17236328125,0.375244140625,0.054443359375
46,188416,4291.305082559586,82.30926489830017,24.018651962280273,11.606332778930664,11.57380223274231,89.19142132252455,0.12068026512861252,60.70362854003906,1.1748840808868408,0.0,1.6669820547103882,26.700130462646484,20418.435546875,366.8181818181818,11,1,6,4,0,0.18603515625,0.18798828125,0.16064453125,0.435791015625,0.029541015625
47,192512,4385.313873529434,93.99956631660461,29.302234172821045,10.84331226348877,10.812953233718872,120.04365563765168,-0.0419919453561306,78.84061431884766,1.2196152210235596,0.0,0.0,41.245033264160156,16469.654296875,289.15384615384613,13,4,6,3,0,0.1630859375,0.192138671875,0.163818359375,0.44140625,0.03955078125
48,196608,4463.457417726517,78.11711311340332,24.72176480293274,7.210413932800293,7.178966522216797,50.97656022757292,-0.12258591502904892,27.035037994384766,1.2687243223190308,0.0,0.08176638185977936,23.982341766357422,19309.826171875,368.9,10,2,4,4,0,0.1953125,0.176513671875,0.172119140625,0.40966796875,0.04638671875
49,200704,4560.268492221832,96.78549790382385,24.372528314590454,23.8931303024292,23.863542318344116,51.154684921726584,-0.027300314977765083,21.788410186767578,1.2236146926879883,0.0,0.04115805774927139,29.3524169921875,21535.98828125,381.3,10,2,6,2,0,0.17578125,0.188720703125,0.191650390625,0.40966796875,0.0341796875
50,204800,4649.548583507538,89.24765729904175,25.768975496292114,13.524457216262817,13.492323160171509,94.9617108926177,0.32069045305252075,71.3463134765625,1.189377784729004,0.0,0.09625496715307236,23.19845199584961,22120.484375,321.4166666666667,12,2,9,1,0,0.08740234375,0.207763671875,0.1923828125,0.474853515625,0.03759765625
51,208896,4765.2702095508575,115.70486330986023,26.171852111816406,37.51226758956909,37.48090076446533,220.62320740520954,-0.13272063434123993,171.80844116210938,1.155768632888794,0.0,0.0,48.947486877441406,19038.87890625,282.07142857142856,14,1,10,3,0,0.109619140625,0.1669921875,0.201171875,0.487060546875,0.03515625
52,212992,4910.939792394638,115.40618586540222,27.232151746749878,38.36190152168274,38.333735704422,215.85438573360443,-0.1557367444038391,154.49063110351562,1.1217676401138306,0.0,0.027898967266082764,61.49159240722656,21295.6484375,357.72727272727275,11,1,7,3,0,0.119384765625,0.170654296875,0.20556640625,0.457275390625,0.047119140625
53,217088,5002.239177942276,91.28779363632202,27.09063148498535,7.994672536849976,7.961494445800781,173.9323364943266,0.057507675141096115,141.58934020996094,1.1554354429244995,0.0,0.0261845625936985,32.25930404663086,16983.400390625,331.0,12,3,4,5,0,0.162353515625,0.192626953125,0.2080078125,0.404296875,0.03271484375
54,221184,5093.34090423584,91.08103895187378,26.430240392684937,7.533926725387573,7.5012757778167725,81.38490614108741,-0.009040432050824165,48.99245071411133,1.1600009202957153,0.0,0.0170392245054245,32.384456634521484,15000.119140625,276.7142857142857,14,5,7,2,0,0.13525390625,0.193603515625,0.188232421875,0.449951171875,0.032958984375
55,225280,5180.67516040802,87.30909562110901,26.355867624282837,11.988680839538574,11.958404541015625,137.0608704276383,0.04492659494280815,80.38661193847656,1.0963364839553833,0.0,0.07124168425798416,56.55809020996094,20107.37890625,298.61538461538464,13,2,9,2,0,0.10888671875,0.19287109375,0.18359375,0.4814453125,0.033203125
56,229376,5262.804014205933,82.10543537139893,24.2054922580719,8.281185150146484,8.247441053390503,172.82256195694208,-0.013534106314182281,112.46900177001953,1.0518537759780884,0.0,0.06969286501407623,60.297401428222656,19468.189453125,292.42857142857144,14,2,9,3,0,0.169677734375,0.184814453125,0.15673828125,0.46826171875,0.0205078125
57,233472,5412.40656208992,149.578045129776,24.96982455253601,67.59005546569824,67.52540850639343,116.74264392256737,0.03898867964744568,69.63935089111328,0.9383141994476318,0.0,0.0,47.06430435180664,18650.259765625,200.4,20,3,17,0,0,0.116455078125,0.154296875,0.129150390625,0.582275390625,0.017822265625
58,237568,5510.2316336631775,97.80125093460083,25.907337427139282,10.259729862213135,10.227741241455078,234.19944575801492,0.15708933770656586,168.91246032714844,0.8260371685028076,0.0,0.027013707906007767,65.1028823852539,19172.40625,167.56521739130434,23,1,22,0,0,0.11962890625,0.12890625,0.1015625,0.641357421875,0.008544921875
59,241664,5601.634652137756,91.36324048042297,24.467360734939575,10.56185507774353,10.515494346618652,344.63908068835735,0.14371173083782196,254.83131408691406,0.8272242546081543,0.0,0.0,89.66405487060547,20142.205078125,190.57142857142858,21,0,20,1,0,0.121826171875,0.1162109375,0.11181640625,0.635009765625,0.01513671875
60,245760,5710.70192694664,109.0650110244751,26.017820358276367,15.052745342254639,15.013775110244751,255.68703790009022,-0.12000708281993866,165.93905639648438,0.5850028991699219,0.0,0.0,89.86798858642578,20038.607421875,134.93333333333334,30,1,29,0,0,0.05810546875,0.092041015625,0.072021484375,0.772705078125,0.005126953125
61,249856,5814.93897485733,104.22704601287842,24.140239477157593,11.40741777420044,11.375647068023682,162.30885026603937,0.09913346916437149,94.89472961425781,0.5449039340019226,0.0,0.0,67.31498718261719,21740.744140625,121.21212121212122,33,0,33,0,0,0.027099609375,0.06494140625,0.07080078125,0.8349609375,0.002197265625
62,253952,5961.79910326004,118.08575797080994,27.97281789779663,12.209229946136475,12.175734281539917,152.3224983215332,0.07037734985351562,99.71914672851562,0.43105942010879517,0.0,0.0,52.53297424316406,22157.2265625,112.94444444444444,36,0,36,0,0,0.001220703125,0.0498046875,0.0703125,0.877685546875,0.0009765625
63,258048,6074.679711103439,112.87263631820679,26.185607433319092,12.57338571548462,12.541486501693726,166.4431820511818,-0.1551455855369568,109.09765625,0.44429677724838257,0.0,0.0,57.50067138671875,22581.73828125,112.25,36,0,36,0,0,0.001953125,0.0400390625,0.09423828125,0.863525390625,0.000244140625
