iteration,total_steps,wall_time_seconds,iter_time_seconds,env_step_time_seconds,learn_step_time_seconds,residual_compute_time_seconds,L_total,L_policy,L_value,L_entropy,L_residual_optimality,L_residual_safety,L_distill,mean_reward,mean_episode_length,n_episodes,n_collisions,n_successes,n_timeouts,n_aborts,action_dist_stop,action_dist_creep,action_dist_yield,action_dist_go,action_dist_abort
1,4096,1070.784226179123,1070.490952014923,1043.9502818584442,7.189283847808838,0.0,0.6025873273611069,-0.1569364219903946,0.7595237493515015,1.4136415719985962,0.0,0.0,0.0,-1312.9749755859375,500.0,8,0,0,8,0,0.109619140625,0.106689453125,0.369384765625,0.14208984375,0.272216796875
2,8192,3162.1451857089996,623.456901550293,603.7057020664215,2.0787832736968994,0.0,1.4675785303115845,0.15685737133026123,1.3107211589813232,1.4692933559417725,0.0,0.0,0.0,-1863.687255859375,500.0,8,0,0,8,0,0.11279296875,0.151123046875,0.34814453125,0.207275390625,0.1806640625
3,12288,3840.7408282756805,678.589732170105,660.3320910930634,1.0450453758239746,0.0,26.86331881210208,-0.010969746857881546,26.87428855895996,1.3388116359710693,0.0,0.0,0.0,-159.5831756591797,496.875,8,1,0,7,0,0.06787109375,0.21142578125,0.30322265625,0.317626953125,0.099853515625
4,16384,4639.003747463226,798.254123210907,776.3872992992401,3.186298131942749,0.0,33.83299259096384,0.12313083559274673,33.709861755371094,1.3521556854248047,0.0,0.0,0.0,1957.5244140625,483.25,8,1,0,7,0,0.09423828125,0.239990234375,0.260498046875,0.3466796875,0.05859375
5,20480,5347.107609272003,708.0992720127106,688.1361525058746,0.8801183700561523,0.0,39.079829193651676,-0.003556273877620697,39.0833854675293,1.3834552764892578,0.0,0.0,0.0,2631.496826171875,453.8888888888889,9,1,1,7,0,0.0966796875,0.24853515625,0.230712890625,0.35009765625,0.073974609375
6,24576,6006.175102233887,659.058269739151,639.587896823883,1.6517422199249268,0.0,339.3926029652357,0.017816588282585144,339.3747863769531,1.345862865447998,0.0,0.0,0.0,5679.62451171875,468.625,8,0,3,5,0,0.064208984375,0.220458984375,0.234130859375,0.401123046875,0.080078125
7,28672,6802.064567327499,795.884092092514,777.1937236785889,0.9619359970092773,0.0,97.67958794161677,-0.033440012484788895,97.71302795410156,1.3707449436187744,0.0,0.0,0.0,5254.3818359375,455.25,8,1,1,6,0,0.103759765625,0.21533203125,0.218017578125,0.36962890625,0.09326171875
8,32768,7738.808072805405,936.7400732040405,915.4396741390228,0.901012659072876,0.0,215.80113707482815,0.027684316039085388,215.77345275878906,1.3463002443313599,0.0,0.0,0.0,7516.94287109375,425.3333333333333,9,1,3,5,0,0.069091796875,0.240478515625,0.181640625,0.4072265625,0.1015625
9,36864,9457.977139234543,1719.1566784381866,1680.346764087677,16.862683057785034,0.0,77.61789349466562,-0.09839984029531479,77.71629333496094,1.3682951927185059,0.0,0.0,0.0,4353.478515625,485.125,8,0,1,7,0,0.054443359375,0.20458984375,0.17626953125,0.379150390625,0.185546875
10,40960,11236.375679969788,1778.3742535114288,1754.1024770736694,2.0073606967926025,0.0,115.77276602759957,-0.049957361072301865,115.82272338867188,1.3513360023498535,0.0,0.0,0.0,6939.5986328125,466.125,8,1,1,6,0,0.078857421875,0.210693359375,0.18115234375,0.400390625,0.12890625
11,45056,13194.774823904037,1958.3539772033691,1930.258229970932,5.071895599365234,0.0,55.69675360620022,-0.09138192236423492,55.78813552856445,1.3923296928405762,0.0,0.0,0.0,4318.1728515625,427.55555555555554,9,1,1,7,0,0.0791015625,0.212890625,0.154052734375,0.3837890625,0.170166015625
12,49152,17226.38766503334,3193.8207404613495,3156.4853417873383,6.65922999382019,0.0,238.52608586102724,-0.06334590166807175,238.5894317626953,1.3453346490859985,0.0,0.0,0.0,7099.125,481.625,8,0,2,6,0,0.099609375,0.207763671875,0.16845703125,0.388427734375,0.1357421875
13,53248,19369.529606103897,2143.1178045272827,2092.4443666934967,23.365119218826294,0.0,344.2619299981743,-0.0064110662788152695,344.2683410644531,1.3185259103775024,0.0,0.0,0.0,7651.61572265625,384.8,10,3,3,4,0,0.091064453125,0.18505859375,0.142578125,0.441650390625,0.1396484375
14,57344,21933.648098230362,2564.076843738556,2533.934993505478,1.0090022087097168,0.0,249.32691133767366,-0.016472451388835907,249.3433837890625,1.1780943870544434,0.0,0.0,0.0,13790.4375,354.09090909090907,11,2,8,1,0,0.056640625,0.230224609375,0.13525390625,0.496826171875,0.0810546875
15,61440,24398.24489593506,2464.537133693695,2433.8379459381104,1.1779570579528809,0.0,356.6182619780302,-0.19103367626667023,356.8092956542969,1.260887861251831,0.0,0.0,0.0,11603.3134765625,350.72727272727275,11,2,7,2,0,0.109375,0.1962890625,0.11865234375,0.483154296875,0.092529296875
16,65536,27846.48590373993,3448.211411714554,3399.244244337082,15.733927726745605,0.0,142.91278736293316,0.031546518206596375,142.88124084472656,1.3224979639053345,0.0,0.0,0.0,8515.498046875,408.7,10,1,4,5,0,0.117919921875,0.205322265625,0.1259765625,0.43994140625,0.11083984375
17,69632,31798.962305784225,3952.4397149086,3903.423000097275,12.296871185302734,0.0,183.66928931698203,-0.03287437930703163,183.70216369628906,1.2300598621368408,0.0,0.0,0.0,13559.9599609375,366.8181818181818,11,1,8,2,0,0.10498046875,0.226806640625,0.133056640625,0.4521484375,0.0830078125
18,73728,35708.354492902756,3909.3778636455536,3875.397895336151,0.8301723003387451,0.0,50.31443214789033,-0.014745708554983139,50.32917785644531,1.3569762706756592,0.0,0.0,0.0,13348.08203125,449.3333333333333,9,1,3,5,0,0.12109375,0.228515625,0.1201171875,0.427734375,0.1025390625
19,77824,38944.92614912987,3236.552451610565,3194.3291778564453,9.839585065841675,0.0,140.53335977718234,-0.03194784000515938,140.5653076171875,1.2412623167037964,0.0,0.0,0.0,14775.9091796875,371.6363636363636,11,2,7,2,0,0.101806640625,0.212890625,0.1240234375,0.46337890625,0.097900390625
20,81920,40380.70457434654,1435.7551918029785,1412.8724958896637,1.2036643028259277,0.0,158.05698898807168,-0.04139968380331993,158.098388671875,1.2868826389312744,0.0,0.0,0.0,12928.8623046875,379.1,10,2,4,4,0,0.148193359375,0.212890625,0.1142578125,0.435546875,0.089111328125
21,86016,40764.977702856064,384.25759267807007,363.71837425231934,1.123960018157959,0.0,136.6547316685319,0.08289328962564468,136.57183837890625,1.1769578456878662,0.0,0.0,0.0,18482.21875,313.9230769230769,13,0,11,2,0,0.098876953125,0.19482421875,0.1083984375,0.53271484375,0.065185546875
22,90112,41335.77735042572,415.7753391265869,396.393563747406,1.2486176490783691,0.0,78.55326195061207,0.09591026604175568,78.45735168457031,1.2289657592773438,0.0,0.0,0.0,19310.326171875,333.1666666666667,12,0,9,3,0,0.1171875,0.199951171875,0.102294921875,0.51123046875,0.0693359375
23,94208,41843.026181697845,507.2473602294922,484.1488084793091,3.324983835220337,0.0,75.5749183287844,-0.005663336254656315,75.58058166503906,1.1624178886413574,0.0,0.0,0.0,18784.857421875,309.38461538461536,13,1,10,2,0,0.122802734375,0.1845703125,0.10888671875,0.5205078125,0.063232421875
24,98304,42271.00551581383,427.96192598342896,403.60706305503845,0.8233895301818848,0.0,218.56619595736265,0.08838223665952682,218.47781372070312,1.087010383605957,0.0,0.0,0.0,18513.3515625,224.47058823529412,17,1,16,0,0,0.086181640625,0.171142578125,0.1005859375,0.589111328125,0.052978515625
25,102400,42772.8929977417,501.8801209926605,477.95941400527954,0.8518190383911133,0.0,222.96706522256136,-0.059774987399578094,223.02684020996094,1.075372338294983,0.0,0.0,0.0,18685.40234375,236.625,16,0,14,2,0,0.10302734375,0.190673828125,0.095947265625,0.549072265625,0.061279296875
26,106496,44325.79202532768,1552.8785426616669,1508.8622319698334,0.7952542304992676,0.0,161.65361893177032,-0.06670272350311279,161.72032165527344,0.705573558807373,0.0,0.0,0.0,19136.96484375,138.24137931034483,29,0,29,0,0,0.033203125,0.111083984375,0.066650390625,0.780517578125,0.008544921875
27,110592,44809.007563114166,483.181343793869,440.95259618759155,1.212151288986206,0.0,142.93362918496132,-0.27898678183555603,143.21261596679688,0.49638110399246216,0.0,0.0,0.0,20975.521484375,124.90625,32,0,32,0,0,0.010498046875,0.10693359375,0.044677734375,0.832275390625,0.005615234375
28,114688,45243.72979402542,434.7057704925537,391.38126969337463,0.9217000007629395,0.0,42.241353031247854,0.03820514306426048,42.203147888183594,0.41487225890159607,0.0,0.0,0.0,21711.482421875,120.3529411764706,34,0,34,0,0,0.00830078125,0.08154296875,0.039306640625,0.86865234375,0.002197265625
29,118784,45740.95731449127,497.21487045288086,451.7781226634979,1.5841591358184814,0.0,106.86698219180107,-0.07505729794502258,106.9420394897461,0.37019118666648865,0.0,0.0,0.0,22709.19921875,114.0,35,0,35,0,0,0.0048828125,0.049072265625,0.03125,0.912841796875,0.001953125
30,122880,46223.837532520294,482.8595039844513,437.3885760307312,0.8340046405792236,0.0,119.63364310190082,0.010405492037534714,119.62323760986328,0.3923836350440979,0.0,0.0,0.0,22414.4375,113.36111111111111,36,0,36,0,0,0.007080078125,0.044677734375,0.0263671875,0.91943359375,0.00244140625
31,126976,46661.46999025345,437.61292934417725,393.15964579582214,0.8287255764007568,0.0,105.12780040502548,-0.03762775659561157,105.1654281616211,0.46720072627067566,0.0,0.0,0.0,23161.384765625,114.11428571428571,35,0,35,0,0,0.004638671875,0.054931640625,0.03125,0.90673828125,0.00244140625
32,131072,47301.89228153229,505.0844748020172,457.28687739372253,4.148087978363037,0.0,48.08271773159504,-0.09918229281902313,48.18190002441406,0.489193856716156,0.0,0.0,0.0,23372.828125,114.6,35,0,35,0,0,0.003173828125,0.0986328125,0.040771484375,0.854736328125,0.002685546875
33,135168,47831.79891681671,529.9007413387299,483.80956530570984,0.8721697330474854,0.0,55.65410774946213,-0.11761695146560669,55.771724700927734,0.34804531931877136,0.0,0.0,0.0,22820.345703125,113.16666666666667,36,0,36,0,0,0.00341796875,0.0908203125,0.041259765625,0.86328125,0.001220703125
