iteration,total_steps,wall_time_seconds,iter_time_seconds,env_step_time_seconds,learn_step_time_seconds,residual_compute_time_seconds,L_total,L_policy,L_value,L_entropy,L_residual_optimality,L_residual_safety,L_distill,mean_reward,mean_episode_length,n_episodes,n_collisions,n_successes,n_timeouts,n_aborts,action_dist_stop,action_dist_creep,action_dist_yield,action_dist_go,action_dist_abort
1,4096,44.569751262664795,44.56056761741638,16.35455870628357,4.154272556304932,0.0,0.7477799020707607,0.040371593087911606,0.7074083089828491,1.5293033123016357,0.0,0.0,0.0,-1691.7005615234375,500.0,8,0,0,8,0,0.183837890625,0.134521484375,0.216064453125,0.169677734375,0.2958984375
2,8192,180.7224543094635,70.06361818313599,27.480361938476562,5.7373046875,0.0,0.7946433275938034,-0.10410697758197784,0.8987503051757812,1.5030378103256226,0.0,0.0,0.0,-2511.3701171875,500.0,8,0,0,8,0,0.1943359375,0.14599609375,0.26220703125,0.1826171875,0.21484375
3,12288,234.46829795837402,53.74494981765747,21.41999888420105,4.37588357925415,0.0,2.0664388462901115,0.002144269645214081,2.0642945766448975,1.4234102964401245,0.0,0.0,0.0,-1984.188232421875,500.0,8,0,0,8,0,0.15087890625,0.17431640625,0.239013671875,0.291748046875,0.14404296875
4,16384,284.3637628555298,49.893059730529785,20.81142497062683,3.2864694595336914,0.0,152.1941285058856,-0.07636404782533646,152.27049255371094,1.3164668083190918,0.0,0.0,0.0,465.3249206542969,473.625,8,1,1,6,0,0.073974609375,0.179443359375,0.33984375,0.328125,0.07861328125
5,20480,338.6870918273926,54.30425715446472,22.41019320487976,1.8384549617767334,0.0,82.14800435304642,-0.040991008281707764,82.18899536132812,1.3450384140014648,0.0,0.0,0.0,1739.185546875,494.875,8,0,1,7,0,0.08251953125,0.1474609375,0.2978515625,0.371826171875,0.100341796875
6,24576,395.8772089481354,57.16475248336792,23.9080548286438,1.9583840370178223,0.0,91.78978315740824,-0.06211503595113754,91.85189819335938,1.3403247594833374,0.0,0.0,0.0,4169.494140625,469.625,8,1,1,6,0,0.089599609375,0.136474609375,0.290283203125,0.403076171875,0.08056640625
7,28672,457.0806679725647,61.19854187965393,25.62699556350708,2.7992441654205322,0.0,8.172217652201653,0.1707041710615158,8.001513481140137,1.2932201623916626,0.0,0.0,0.0,3671.14404296875,500.0,8,0,0,8,0,0.08203125,0.12548828125,0.303955078125,0.379638671875,0.10888671875
8,32768,515.8710522651672,58.78655815124512,24.01473903656006,4.430907726287842,0.0,406.296057112515,-0.09182130545377731,406.38787841796875,1.2757818698883057,0.0,0.0,0.0,6176.74951171875,387.8,10,0,6,4,0,0.061767578125,0.1552734375,0.26904296875,0.45166015625,0.062255859375
9,36864,580.7851452827454,64.91234397888184,24.356072902679443,8.561495542526245,0.0,137.93939985893667,0.018242022022604942,137.92115783691406,1.305715799331665,0.0,0.0,0.0,5745.35498046875,451.0,9,1,2,6,0,0.07470703125,0.128173828125,0.284423828125,0.40478515625,0.10791015625
10,40960,666.372549533844,85.57473468780518,28.37382221221924,14.427199840545654,0.0,483.7889560982585,-0.09153706580400467,483.8804931640625,1.1302440166473389,0.0,0.0,0.0,9171.09765625,272.46666666666664,15,0,11,4,0,0.074462890625,0.123046875,0.18017578125,0.53125,0.091064453125
11,45056,759.8514366149902,93.47806191444397,33.368468046188354,11.456775903701782,0.0,523.0685989111662,-0.0394943505525589,523.1080932617188,1.144357681274414,0.0,0.0,0.0,14290.318359375,282.64285714285717,14,0,12,2,0,0.0634765625,0.116455078125,0.198486328125,0.549560546875,0.072021484375
12,49152,871.8812878131866,85.90762162208557,33.16301512718201,6.699894666671753,0.0,246.04520259611309,0.026800496503710747,246.01840209960938,1.2051011323928833,0.0,0.0,0.0,11425.0595703125,263.5,14,0,11,3,0,0.0673828125,0.123046875,0.229736328125,0.479248046875,0.1005859375
13,53248,952.6773731708527,80.7532684803009,31.36262345314026,9.216575622558594,0.0,107.65999729931355,0.03413517773151398,107.62586212158203,1.2640317678451538,0.0,0.0,0.0,9239.4716796875,387.9,10,1,4,5,0,0.1171875,0.119384765625,0.255126953125,0.41162109375,0.0966796875
14,57344,1030.6607723236084,77.97780251502991,33.991477251052856,2.248457431793213,0.0,164.20917339622974,0.07449932396411896,164.13467407226562,1.1984097957611084,0.0,0.0,0.0,13905.2841796875,336.09090909090907,11,0,8,3,0,0.072021484375,0.092529296875,0.23583984375,0.50048828125,0.09912109375
15,61440,1119.6763412952423,89.00513529777527,32.95584797859192,5.256263732910156,0.0,264.6358529999852,-0.05286770313978195,264.688720703125,1.0021300315856934,0.0,0.0,0.0,16350.6650390625,223.88235294117646,17,1,15,1,0,0.0615234375,0.092041015625,0.182373046875,0.6015625,0.0625
16,65536,1212.3485262393951,92.6597511768341,29.40060019493103,8.280737400054932,0.0,288.86219192575663,-0.011495818383991718,288.8736877441406,0.8002474904060364,0.0,0.0,0.0,19073.685546875,177.0909090909091,22,0,21,1,0,0.039306640625,0.08642578125,0.1533203125,0.68115234375,0.039794921875
17,69632,1304.9982810020447,92.64886832237244,30.777289867401123,7.798445224761963,0.0,255.75268686562777,-0.07966481894254684,255.8323516845703,0.7258567214012146,0.0,0.0,0.0,19434.833984375,156.69230769230768,26,0,26,0,0,0.03369140625,0.06640625,0.11474609375,0.75830078125,0.02685546875
