iteration,total_steps,wall_time_seconds,iter_time_seconds,env_step_time_seconds,learn_step_time_seconds,residual_compute_time_seconds,L_total,L_policy,L_value,L_entropy,L_residual_optimality,L_residual_safety,L_distill,mean_reward,mean_episode_length,n_episodes,n_collisions,n_successes,n_timeouts,n_aborts,action_dist_stop,action_dist_creep,action_dist_yield,action_dist_go,action_dist_abort
1,4096,63.45641231536865,63.45205211639404,19.821869134902954,15.59665036201477,15.55822491645813,4.069893576204777,-0.06725255399942398,0.8671546578407288,1.5427122116088867,0.0,3.134645700454712,0.13534577190876007,-1789.5738525390625,500.0,8,0,0,8,0,0.193115234375,0.13916015625,0.18603515625,0.157958984375,0.32373046875
2,8192,170.24234461784363,68.4906256198883,21.460700750350952,15.26972508430481,15.227048635482788,3.6779049932956696,-0.07038325071334839,0.6731710433959961,1.494707703590393,0.0,2.941765785217285,0.1333514153957367,-2790.5,500.0,8,0,0,8,0,0.20068359375,0.132568359375,0.2294921875,0.172119140625,0.26513671875
3,12288,259.3199095726013,89.0652928352356,22.977591037750244,34.453041076660156,34.40330529212952,22.483491115272045,0.15022949874401093,20.11652946472168,1.4479641914367676,0.0,2.1351592540740967,0.08157289773225784,-1769.413818359375,500.0,8,0,0,8,0,0.1396484375,0.18994140625,0.29931640625,0.27294921875,0.09814453125
4,16384,339.7891809940338,80.46828770637512,23.48882555961609,21.452975511550903,21.417946577072144,4.822924517095089,0.13298682868480682,2.6139156818389893,1.3948708772659302,0.0,1.963333249092102,0.11268875747919083,-1412.7205810546875,500.0,8,0,0,8,0,0.101318359375,0.1728515625,0.3076171875,0.302490234375,0.11572265625
5,20480,395.9127924442291,56.12279796600342,18.379884481430054,8.57818055152893,8.547704458236694,186.0139241144061,-0.09745244681835175,184.53826904296875,1.3738194704055786,0.0,1.4846572875976562,0.08845023065805435,432.0873718261719,494.125,8,0,1,7,0,0.08740234375,0.17529296875,0.298095703125,0.3681640625,0.071044921875
6,24576,470.96904134750366,75.03784799575806,22.899463891983032,16.753110885620117,16.7238712310791,52.69790216907859,-0.057280074805021286,51.30971908569336,1.351610779762268,0.0,1.3744245767593384,0.07103858143091202,894.7406616210938,478.25,8,1,0,7,0,0.073974609375,0.174560546875,0.299072265625,0.348388671875,0.10400390625
7,28672,532.4128184318542,61.42657732963562,19.26547861099243,14.151954889297485,14.118343830108643,89.29119204729795,0.1470707207918167,87.72468566894531,1.390885829925537,0.0,1.3429256677627563,0.076509989798069,2839.28125,463.0,8,1,1,6,0,0.060791015625,0.19140625,0.26171875,0.397216796875,0.0888671875
8,32768,592.6367237567902,60.21710824966431,20.18195343017578,10.660398244857788,10.627365589141846,35.362147606909275,0.10729705542325974,33.66941833496094,1.4044429063796997,0.0,1.4997605085372925,0.08567170798778534,2765.13037109375,460.0,8,1,0,7,0,0.074951171875,0.17041015625,0.2783203125,0.363037109375,0.11328125
9,36864,651.2151861190796,58.57501196861267,18.596688747406006,13.073440313339233,13.039688110351562,52.69451851397753,0.003468938171863556,51.520973205566406,1.3867310285568237,0.0,1.0796146392822266,0.09046173095703125,3077.279296875,468.25,8,3,0,5,0,0.06103515625,0.1611328125,0.283203125,0.37451171875,0.1201171875
10,40960,716.550980091095,65.21893167495728,22.207850694656372,11.96639084815979,11.932440519332886,63.746576983481646,0.008594710379838943,62.1689453125,1.3832135200500488,0.0,1.49326753616333,0.07576942443847656,3463.4951171875,454.125,8,2,0,6,0,0.06103515625,0.155517578125,0.24462890625,0.38427734375,0.154541015625
11,45056,790.8002443313599,74.11931657791138,25.295690774917603,13.394294261932373,13.330762386322021,16.114094749093056,0.24024738371372223,14.119573593139648,1.3449140787124634,0.0,1.6564462184906006,0.09782755374908447,5551.19384765625,455.0,8,1,0,7,0,0.08642578125,0.157958984375,0.238525390625,0.387939453125,0.129150390625
12,49152,882.7158994674683,67.37547945976257,22.574219703674316,12.798582077026367,12.764819383621216,155.45563261955976,0.02511013299226761,153.97198486328125,1.396925449371338,0.0,1.3797681331634521,0.0787694901227951,5745.51611328125,414.8888888888889,9,1,2,6,0,0.111572265625,0.12744140625,0.220703125,0.42919921875,0.111083984375
13,53248,945.1956272125244,62.242587089538574,21.112784385681152,10.072590827941895,10.03814697265625,35.92652245238423,0.0594346709549427,34.577571868896484,1.39687180519104,0.0,1.227518916130066,0.06199699640274048,5556.8837890625,450.8888888888889,9,2,0,7,0,0.122802734375,0.126220703125,0.24072265625,0.392333984375,0.117919921875
14,57344,1018.2418923377991,72.97284054756165,19.605161666870117,23.526642322540283,23.478363752365112,26.116573430597782,0.21122445166110992,24.572486877441406,1.3786935806274414,0.0,1.2631713151931763,0.06969078630208969,6563.7900390625,447.1111111111111,9,3,0,6,0,0.139404296875,0.11083984375,0.21240234375,0.418701171875,0.11865234375
15,61440,1072.3490583896637,54.01759314537048,17.145466327667236,8.426363229751587,8.396660089492798,52.032065998762846,0.13323605060577393,50.61454772949219,1.421391248703003,0.0,1.234643578529358,0.04963864013552666,4599.841796875,406.1111111111111,9,4,0,5,0,0.129638671875,0.127197265625,0.205810546875,0.38623046875,0.151123046875
16,65536,1125.0421659946442,52.654714822769165,17.850298166275024,8.61755919456482,8.582626581192017,22.902714103460312,0.18866115808486938,21.335079193115234,1.3997197151184082,0.0,1.3189780712127686,0.059995681047439575,7723.3740234375,500.0,8,0,0,8,0,0.136962890625,0.138671875,0.188720703125,0.39697265625,0.138671875
17,69632,1191.6978123188019,66.65110039710999,23.35892105102539,8.915720224380493,8.881232500076294,23.368670102208853,-0.05353701114654541,22.378589630126953,1.345233678817749,0.0,0.9910266995429993,0.052590783685445786,6980.0546875,403.1,10,6,0,4,0,0.139404296875,0.138916015625,0.183349609375,0.41748046875,0.120849609375
18,73728,1273.7092170715332,81.8630723953247,25.526283025741577,19.93270492553711,19.871403694152832,39.43657889217138,-0.08555774390697479,37.928428649902344,1.3947950601577759,0.0,1.5290071964263916,0.06470078974962234,4264.0322265625,465.0,8,2,0,6,0,0.1357421875,0.160400390625,0.184814453125,0.352783203125,0.166259765625
19,77824,1348.8932111263275,75.14637970924377,23.726035356521606,17.617766618728638,17.564103841781616,59.467357066459954,0.011964370496571064,58.12376403808594,1.4636706113815308,0.0,1.2900452613830566,0.04158339649438858,3831.458740234375,454.1111111111111,9,3,0,6,0,0.152099609375,0.156982421875,0.1806640625,0.36767578125,0.142578125
20,81920,1418.2860479354858,69.37417364120483,21.532857179641724,16.247722864151,16.189980268478394,36.981365356594324,-0.026722971349954605,35.5858039855957,1.4638521671295166,0.0,1.3710095882415771,0.051274754106998444,4244.10546875,459.5,8,2,0,6,0,0.1640625,0.179443359375,0.16650390625,0.32080078125,0.169189453125
21,86016,1473.36909532547,55.05979371070862,19.287136793136597,8.85882019996643,8.82730221748352,23.873205587267876,-0.16740775108337402,22.805234909057617,1.4282505512237549,0.0,1.190412163734436,0.04496626555919647,6667.19091796875,433.3333333333333,9,4,0,5,0,0.1572265625,0.1708984375,0.16455078125,0.396484375,0.11083984375
22,90112,1613.577089548111,86.71465420722961,23.52671456336975,31.26078224182129,31.212965726852417,33.628386568278074,-0.1075078621506691,32.02754592895508,1.439915657043457,0.0,1.6577887535095215,0.05055974796414375,4725.62646484375,500.0,8,0,0,8,0,0.19873046875,0.18408203125,0.141845703125,0.335205078125,0.14013671875
23,94208,1681.943805217743,68.36539506912231,22.223626375198364,11.845194578170776,11.812310695648193,53.065743489190936,-0.003767905756831169,51.96135711669922,1.3941943645477295,0.0,1.0656570196151733,0.04249725863337517,7022.64599609375,437.0,9,3,0,6,0,0.148681640625,0.1943359375,0.157958984375,0.365234375,0.1337890625
