iteration,total_steps,wall_time_seconds,iter_time_seconds,env_step_time_seconds,learn_step_time_seconds,residual_compute_time_seconds,L_total,L_policy,L_value,L_entropy,L_residual_optimality,L_residual_safety,L_distill,mean_reward,mean_episode_length,n_episodes,n_collisions,n_successes,n_timeouts,n_aborts,action_dist_stop,action_dist_creep,action_dist_yield,action_dist_go,action_dist_abort,distill_loss_optimality_component,distill_loss_safety_component
1,4096,1060.1296780109406,1059.6244804859161,986.9176368713379,53.51073908805847,53.46033573150635,16.228557939827443,-0.11314272880554199,2.05788254737854,1.4070353507995605,70.80866241455078,0.0,0.12208563834428787,366.5513916015625,500.0,8,0,0,8,0,0.06689453125,0.3203125,0.223388671875,0.256591796875,0.1328125,0.24924424290657043,0.1528521180152893
2,8192,2686.7704060077667,861.9786472320557,833.3908002376556,11.303415536880493,11.25432300567627,140.09338353723288,0.1278720498085022,85.88551330566406,1.3701801300048828,253.46286010742188,0.10169398039579391,3.3670873641967773,1538.9276123046875,500.0,8,0,0,8,0,0.06640625,0.299560546875,0.19970703125,0.360595703125,0.07373046875,4.503296852111816,12.16205883026123
3,12288,3884.1678988933563,1197.3055069446564,1165.9086017608643,12.953701734542847,12.906140804290771,33.532618942856786,-0.023703143000602722,23.59645652770996,1.3659917116165161,2.4726784229278564,0.13160580396652222,9.439008712768555,1607.19287109375,500.0,8,0,0,8,0,0.078369140625,0.328125,0.153076171875,0.364501953125,0.075927734375,56.032257080078125,10.095698356628418
4,16384,5210.4824323654175,1326.194304227829,1229.7066848278046,78.40996837615967,78.35046887397766,63.51665459871292,0.16922464966773987,52.70173645019531,1.3989635705947876,2.2014355659484863,0.3551636040210724,10.134373664855957,3311.994873046875,437.55555555555554,9,3,0,6,0,0.107177734375,0.2919921875,0.170166015625,0.361083984375,0.069580078125,14.560561180114746,16.096261978149414
5,20480,6427.73811340332,1217.154672384262,1164.215479850769,35.941323041915894,35.89605259895325,37.52655163109303,0.06454642117023468,29.279226303100586,1.3913872241973877,2.962768793106079,0.3856393098831177,7.513097286224365,6210.80859375,463.625,8,2,0,6,0,0.095703125,0.3037109375,0.208984375,0.31640625,0.0751953125,14.697151184082031,9.145370483398438
6,24576,7610.503704786301,1182.6714096069336,1141.2801849842072,19.934536457061768,19.887787580490112,480.7666102439165,-0.09322379529476166,431.09881591796875,1.3638135194778442,3.782099962234497,0.3612207770347595,48.93235397338867,5830.48583984375,373.6,10,0,4,6,0,0.091796875,0.249755859375,0.19970703125,0.383056640625,0.07568359375,89.1805648803711,145.6322479248047
7,28672,8979.099409103394,1368.5623972415924,1318.2487845420837,31.06460475921631,31.017192363739014,70.86948870867491,0.06353344768285751,51.33966064453125,1.3942569494247437,4.29408073425293,0.35734817385673523,18.536008834838867,5259.81396484375,431.0,9,0,2,7,0,0.14111328125,0.205810546875,0.195068359375,0.370849609375,0.087158203125,62.04529571533203,36.47087478637695
8,32768,10197.326920032501,1218.1925148963928,1164.8822884559631,33.96092629432678,33.88866305351257,212.45962409600617,-0.03376639261841774,157.64901733398438,1.4085216522216797,4.254981517791748,0.35859644412994385,53.92165756225586,4840.18212890625,409.6,10,0,3,7,0,0.168212890625,0.171142578125,0.180419921875,0.36962890625,0.110595703125,56.36474609375,120.76835632324219
9,36864,11679.460452318192,1482.087807416916,1414.0957617759705,46.89373540878296,46.84385657310486,303.9324697822332,0.02337658405303955,254.1302490234375,1.447637677192688,2.991645336151123,0.16769318282604218,49.146976470947266,5626.93994140625,435.0,9,0,2,7,0,0.169921875,0.181396484375,0.181884765625,0.339111328125,0.127685546875,41.51229476928711,130.41278076171875
10,40960,13009.61682510376,1330.1039111614227,1237.8226685523987,73.48420190811157,73.43477749824524,102.74149377420545,0.0030408017337322235,74.94751739501953,1.443137288093567,2.408932685852051,0.040685005486011505,27.30101203918457,8176.7451171875,500.0,8,0,0,8,0,0.16455078125,0.17236328125,0.18408203125,0.365234375,0.11376953125,49.001731872558594,32.290740966796875
11,45056,13883.52045083046,873.8712341785431,846.2498731613159,10.120532274246216,10.07339334487915,64.45963739305735,-0.007132653146982193,29.166717529296875,1.4113966226577759,4.150865077972412,0.06086524948477745,34.457706451416016,9223.267578125,436.77777777777777,9,2,0,7,0,0.15771484375,0.168212890625,0.189697265625,0.3935546875,0.0908203125,50.210243225097656,39.72861862182617
12,49152,15665.446102380753,976.7710299491882,938.1371078491211,20.64237904548645,20.597145795822144,42.36849199570715,0.018683845177292824,31.526811599731445,1.4064842462539673,4.040847301483154,0.1299540102481842,9.988836288452148,7414.57470703125,433.44444444444446,9,4,0,5,0,0.161376953125,0.186279296875,0.16162109375,0.3837890625,0.10693359375,34.148197174072266,13.946206092834473
13,53248,16633.287608623505,967.7217769622803,923.4852070808411,26.474047422409058,26.36864185333252,214.18936987370253,0.20266881585121155,27.262216567993164,1.411280632019043,878.9183349609375,0.046013109385967255,10.931614875793457,8106.6953125,455.0,9,2,0,7,0,0.1572265625,0.18701171875,0.17578125,0.391357421875,0.088623046875,27.57396125793457,10.300048828125
14,57344,18018.86845254898,1384.9445223808289,1357.2714223861694,9.86747932434082,9.823635339736938,180.19884500801564,-0.06982699036598206,28.342069625854492,1.4295804500579834,704.2410278320312,0.17527107894420624,11.043342590332031,6250.85205078125,473.25,8,2,0,6,0,0.177490234375,0.18212890625,0.187744140625,0.358642578125,0.093994140625,32.069175720214844,9.417196273803711
15,61440,19244.306821107864,1225.159861087799,1164.457500219345,43.133339166641235,43.065651178359985,23.727603901922702,0.007370084524154663,9.213484764099121,1.437403678894043,2.610391139984131,0.03621671348810196,13.97742748260498,8411.109375,470.75,8,2,0,6,0,0.196533203125,0.177978515625,0.168701171875,0.360595703125,0.09619140625,39.34727478027344,9.050042152404785
16,65536,20268.48515367508,1024.0199444293976,960.4554779529572,45.605229139328,45.54196763038635,29.441914874315263,-0.0522274523973465,18.774967193603516,1.4267643690109253,2.4366772174835205,0.1867033690214157,10.194499015808105,7736.31884765625,480.625,8,1,0,7,0,0.163330078125,0.18408203125,0.205810546875,0.3515625,0.09521484375,31.217287063598633,14.050199508666992
17,69632,21376.00242996216,1107.4632959365845,997.248174905777,93.34704566001892,93.30134296417236,59.803733022511004,-0.03307711333036423,33.159263610839844,1.3884104490280151,37.03467559814453,0.31672775745391846,19.207265853881836,8853.306640625,479.5,8,1,0,7,0,0.165283203125,0.177490234375,0.165283203125,0.399658203125,0.09228515625,35.991477966308594,18.37258529663086
18,73728,22645.548213005066,1269.508178949356,1236.0405061244965,14.468847274780273,14.42334270477295,153.59590564221145,0.06892456859350204,111.06172180175781,1.368699312210083,2.736440658569336,0.24945500493049622,41.868080139160156,11643.26171875,434.3333333333333,9,3,1,5,0,0.140869140625,0.20263671875,0.179443359375,0.3984375,0.07861328125,65.28153228759766,87.20545959472656
19,77824,23680.711471557617,1035.0826873779297,1002.8040421009064,14.763624668121338,14.715635776519775,34.96771927177906,0.036940768361091614,16.41817283630371,1.3656331300735474,45.323486328125,0.0,9.447908401489258,11270.2001953125,458.75,8,2,0,6,0,0.135498046875,0.201416015625,0.17236328125,0.401611328125,0.089111328125,21.544700622558594,9.977368354797363
20,81920,24734.830332517624,1054.0390660762787,1023.9073369503021,10.299393653869629,10.253610610961914,48.44805834665895,-0.016393747180700302,29.821300506591797,1.3828909397125244,2.9119327068328857,0.15240082144737244,18.030284881591797,8489.505859375,377.6,10,6,0,4,0,0.16015625,0.214599609375,0.173828125,0.38037109375,0.071044921875,65.17162322998047,14.677032470703125
21,86016,26084.94535136223,1350.0136330127716,1275.064450263977,56.5090115070343,56.46344232559204,108.33344717025757,0.1788311004638672,91.77599334716797,1.392739176750183,3.003235101699829,1.4578897953033447,15.486397743225098,7241.8125,412.0,9,3,0,6,0,0.16552734375,0.22314453125,0.15380859375,0.36865234375,0.0888671875,47.692527770996094,11.52573013305664
22,90112,27673.338880062103,1184.7967715263367,1151.2483422756195,14.664860963821411,14.618138074874878,76.68523194640875,-0.049749620258808136,47.11091232299805,1.3914257287979126,2.5276992321014404,0.191340833902359,29.08026123046875,9467.51171875,447.3333333333333,9,2,0,7,0,0.156005859375,0.23095703125,0.131103515625,0.376953125,0.10498046875,55.98677062988281,26.543807983398438
23,94208,28857.169397830963,1183.7843582630157,1127.037036895752,38.151822566986084,38.080557346343994,378.1212420374155,-0.03233853727579117,15.113757133483887,1.4083493947982788,1775.696533203125,0.050853751599788666,7.890346050262451,8345.076171875,438.6666666666667,9,2,0,7,0,0.160400390625,0.216796875,0.13623046875,0.380126953125,0.1064453125,23.2487850189209,7.282442569732666
24,98304,30163.29695034027,1306.0581140518188,1247.1379573345184,40.661890506744385,40.575600385665894,85.89030665755271,-0.1191491186618805,60.095359802246094,1.431746006011963,4.211564540863037,0.12670516967773438,25.04644203186035,10085.228515625,448.6666666666667,9,3,0,6,0,0.15966796875,0.245361328125,0.15771484375,0.343994140625,0.09326171875,46.12855911254883,27.313077926635742
25,102400,31324.71557712555,1161.3049457073212,1125.8780477046967,17.70178985595703,17.65559458732605,68.27615321464836,0.016864793375134468,35.370750427246094,1.3889144659042358,50.62171936035156,0.09140785038471222,22.745912551879883,10767.353515625,457.125,8,2,0,6,0,0.1337890625,0.20263671875,0.15625,0.4111328125,0.09619140625,55.127166748046875,21.82169532775879
26,106496,32671.99401974678,1347.2428398132324,1287.3440475463867,42.054877042770386,41.99874782562256,31.64148347824812,0.08972512930631638,20.53887939453125,1.4424042701721191,8.877936363220215,0.5342977643013,9.13043212890625,7654.83837890625,473.625,8,2,0,6,0,0.19091796875,0.18505859375,0.162353515625,0.359130859375,0.1025390625,26.94549560546875,12.722864151000977
27,110592,33848.229360342026,1176.189790725708,1108.6090683937073,48.7846474647522,48.72192049026489,64.87012249492109,0.037153977900743484,39.164756774902344,1.4385262727737427,44.11537551879883,0.02972600795328617,16.839191436767578,6497.37158203125,406.9,10,4,0,6,0,0.180908203125,0.1884765625,0.1748046875,0.35107421875,0.104736328125,34.7242431640625,16.120441436767578
28,114688,34874.291682720184,1025.9717633724213,973.3065395355225,32.22425031661987,32.17621421813965,49.55889358967543,0.1217724084854126,24.048198699951172,1.4381294250488281,28.565433502197266,0.10695066303014755,19.65444564819336,6432.36767578125,452.3333333333333,9,3,0,6,0,0.181884765625,0.172607421875,0.18701171875,0.361572265625,0.096923828125,37.92939376831055,20.4254150390625
29,118784,36078.430349349976,1204.0863835811615,1163.2349298000336,21.384425163269043,21.338404655456543,50.96902059018612,0.19080883264541626,30.188373565673828,1.392111897468567,30.10984230041504,0.15873228013515472,14.536123275756836,7507.99462890625,400.0,9,4,0,5,0,0.1494140625,0.17578125,0.176025390625,0.40283203125,0.095947265625,40.291709899902344,10.434514045715332
30,122880,37246.330152988434,1167.8085250854492,1106.4940309524536,44.04606604576111,44.0012686252594,140.92557094544173,0.04744725674390793,42.93766784667969,1.423126220703125,300.1328430175781,0.32987701892852783,37.8479118347168,6122.43994140625,471.75,8,1,1,6,0,0.194091796875,0.1845703125,0.1875,0.32958984375,0.104248046875,63.00056076049805,36.96393585205078
31,126976,38354.07766747475,1107.6801223754883,1076.434320449829,13.919455528259277,13.87197995185852,179.3987233325839,-0.08123710751533508,114.26029968261719,1.3798439502716064,2.959980010986328,0.04849528521299362,64.61796569824219,10085.580078125,479.625,8,1,0,7,0,0.17041015625,0.166015625,0.175537109375,0.40576171875,0.082275390625,142.30902099609375,25.20871353149414
32,131072,40737.757382154465,1427.1408853530884,1360.5344355106354,48.08411002159119,48.04036092758179,113.2873764373362,0.04826857149600983,92.79900360107422,1.4422191381454468,2.015144109725952,0.033228013664484024,20.03042984008789,8288.02734375,419.22222222222223,9,4,0,5,0,0.190673828125,0.17041015625,0.197021484375,0.35205078125,0.08984375,42.1933708190918,19.16643524169922
