iteration,total_steps,wall_time_seconds,iter_time_seconds,env_step_time_seconds,learn_step_time_seconds,residual_compute_time_seconds,L_total,L_policy,L_value,L_entropy,L_residual_optimality,L_residual_safety,L_distill,mean_reward,mean_episode_length,n_episodes,n_collisions,n_successes,n_timeouts,n_aborts,action_dist_stop,action_dist_creep,action_dist_yield,action_dist_go,action_dist_abort,distill_loss_optimality_component,distill_loss_safety_component
1,4096,121.341068983078,121.31432247161865,25.144600868225098,60.59159588813782,60.527509927749634,2.3218401610851287,0.06519314646720886,1.697239875793457,1.479664921760559,1.4158375263214111,0.0,0.27623963356018066,62.488380432128906,500.0,8,0,0,8,0,0.12890625,0.16455078125,0.260009765625,0.312744140625,0.1337890625,0.4669334590435028,0.29954978823661804
2,8192,275.31486535072327,105.59171962738037,29.06978440284729,25.780822277069092,25.72169542312622,175.191987362504,0.0736621767282486,64.70211791992188,1.4442626237869263,534.8571166992188,0.0,3.444783926010132,2085.736328125,495.5,8,0,1,7,0,0.15673828125,0.205322265625,0.222900390625,0.34228515625,0.07275390625,2.1252012252807617,12.114789962768555
3,12288,356.53069591522217,81.2143042087555,25.3250253200531,22.579918146133423,22.53409719467163,78.54282584488392,0.14036376774311066,68.27259826660156,1.4027422666549683,18.95305824279785,0.2747257947921753,6.28430700302124,3385.755859375,493.625,8,1,0,7,0,0.118408203125,0.188720703125,0.2236328125,0.38818359375,0.0810546875,21.223133087158203,33.94041061401367
4,16384,441.33133244514465,84.76690363883972,29.190698385238647,17.728176832199097,17.682941436767578,115.04195162653923,0.1731865406036377,88.35159301757812,1.4075207710266113,68.51934814453125,0.4739733636379242,12.718507766723633,2527.3720703125,500.0,8,0,0,8,0,0.1005859375,0.202880859375,0.22509765625,0.39306640625,0.078369140625,46.08190155029297,21.266016006469727
5,20480,515.3113651275635,73.9530177116394,21.804040908813477,23.043639183044434,23.001394748687744,1009.9119063794612,-0.14705541729927063,905.3888549804688,1.3296235799789429,3.3071160316467285,0.23754799365997314,103.96117401123047,5984.93798828125,357.27272727272725,11,0,7,4,0,0.099609375,0.18212890625,0.211669921875,0.436767578125,0.06982421875,28.238677978515625,332.40740966796875
6,24576,593.3041853904724,77.98490262031555,26.4303035736084,12.58475112915039,12.541579961776733,57.02126733288169,-0.061493415385484695,28.261241912841797,1.4089677333831787,55.83070755004883,0.23672549426555634,17.6080322265625,4589.8505859375,496.0,8,1,0,7,0,0.15478515625,0.18994140625,0.151123046875,0.37646484375,0.127685546875,39.533164978027344,17.136493682861328
7,28672,672.5811886787415,79.26223301887512,24.921929121017456,18.757885932922363,18.710261344909668,66.73714723587037,-0.06305676698684692,33.87803649902344,1.4303685426712036,84.64161682128906,0.05287224054336548,15.983269691467285,5225.650390625,479.75,8,1,0,7,0,0.150390625,0.17724609375,0.15625,0.385986328125,0.130126953125,48.95319366455078,16.494077682495117
8,32768,781.7499151229858,109.15700602531433,31.921981811523438,33.07948184013367,33.02424669265747,66.1532639592886,0.1948951929807663,48.99788284301758,1.4105753898620605,3.606043577194214,0.5639855265617371,16.126480102539062,4043.903564453125,444.3333333333333,9,4,0,5,0,0.137451171875,0.16943359375,0.15576171875,0.413330078125,0.1240234375,56.717811584472656,15.880815505981445
9,36864,869.1129009723663,87.27667784690857,23.411962747573853,33.213290214538574,33.17126131057739,73.60206857472659,0.066253162920475,56.972267150878906,1.441445231437683,2.7388346195220947,0.1077362596988678,15.994234085083008,5345.92919921875,479.25,8,1,0,7,0,0.158935546875,0.1689453125,0.14453125,0.413330078125,0.1142578125,43.42388153076172,18.220998764038086
10,40960,932.0966157913208,62.93211579322815,22.16222381591797,12.130954504013062,12.086920022964478,44.54953161776066,0.031531110405921936,30.7597599029541,1.3587453365325928,1.9488520622253418,0.0,13.368470191955566,6431.970703125,500.0,8,0,0,8,0,0.1357421875,0.1630859375,0.155029296875,0.439208984375,0.10693359375,24.162351608276367,12.679366111755371
11,45056,1010.9308261871338,78.82252335548401,24.70370626449585,21.876917123794556,21.811696529388428,52.53320208713412,0.005524646490812302,35.4727897644043,1.4351396560668945,4.15146541595459,0.32826662063598633,16.1589412689209,3839.681396484375,499.0,8,1,0,7,0,0.13134765625,0.18505859375,0.16259765625,0.40234375,0.11865234375,32.01255798339844,17.791391372680664
12,49152,1107.82204413414,69.38435745239258,23.221540212631226,18.56010413169861,18.518728733062744,35.30845293402672,0.1614990532398224,27.510404586791992,1.447642207145691,2.1913957595825195,0.1537671685218811,7.167516708374023,5281.28564453125,482.125,8,1,0,7,0,0.144287109375,0.182373046875,0.178466796875,0.399658203125,0.09521484375,23.946809768676758,9.369585037231445
13,53248,1197.7167882919312,89.87207126617432,25.74294400215149,24.1050066947937,24.06073808670044,60.32203694581985,-0.06581123173236847,50.949134826660156,1.415840983390808,2.8571815490722656,0.14358468353748322,8.838560104370117,4522.0390625,500.0,8,0,0,8,0,0.1591796875,0.17578125,0.179931640625,0.3828125,0.102294921875,27.753419876098633,20.2840518951416
14,57344,1271.6353085041046,73.90525197982788,20.278655290603638,27.345467805862427,27.305690050125122,35.383538123965266,0.22101809084415436,20.849504470825195,1.459472894668579,6.124289035797119,0.2929835617542267,13.029561042785645,4206.58935546875,452.6666666666667,9,2,0,7,0,0.1513671875,0.16943359375,0.178955078125,0.388427734375,0.11181640625,39.77434539794922,8.89742374420166
15,61440,1354.6631772518158,82.9851381778717,26.732391595840454,18.689825296401978,18.644163846969604,38.30008033514023,0.08833163976669312,21.711444854736328,1.4219332933425903,2.5717239379882812,0.0,15.98595905303955,7580.625,500.0,8,0,0,8,0,0.126220703125,0.18310546875,0.174560546875,0.413330078125,0.102783203125,35.827762603759766,14.399911880493164
16,65536,1436.219539642334,81.54959869384766,24.22063708305359,27.765433073043823,27.72191023826599,184.18660835698248,0.015000659972429276,19.58008575439453,1.35844087600708,772.701416015625,0.2577720284461975,9.99968433380127,7619.32080078125,483.625,8,1,0,7,0,0.11572265625,0.197998046875,0.18017578125,0.404541015625,0.1015625,32.69267272949219,9.529306411743164
17,69632,1514.6244225502014,78.3939356803894,24.922441244125366,21.547166347503662,21.50459885597229,66.02294166982173,0.06298260390758514,36.234779357910156,1.4805394411087036,23.906269073486328,0.2540590167045593,24.89311408996582,6212.85888671875,495.625,8,0,1,7,0,0.138671875,0.165771484375,0.217529296875,0.385009765625,0.093017578125,64.9784164428711,45.201107025146484
18,73728,1615.1602718830109,100.5308575630188,28.871219873428345,32.171571493148804,32.11630392074585,36.74764709174633,0.14067129790782928,22.431808471679688,1.3921910524368286,2.600369691848755,0.0757131576538086,13.6399507522583,9751.544921875,484.125,8,1,1,6,0,0.14892578125,0.177490234375,0.194091796875,0.39697265625,0.08251953125,40.226409912109375,14.506308555603027
19,77824,1689.7027447223663,74.50398778915405,22.439045906066895,22.976452589035034,22.933390617370605,85.78585710152984,-0.059250619262456894,46.189125061035156,1.3812363147735596,91.38334655761719,0.07192074507474899,21.36492919921875,6620.328125,460.75,8,2,0,6,0,0.13671875,0.174560546875,0.201416015625,0.382080078125,0.105224609375,50.388206481933594,21.068496704101562
20,81920,1786.2431366443634,96.49392914772034,28.31732177734375,27.69711685180664,27.65749764442444,40.93715155422687,-0.0006202012300491333,22.833017349243164,1.416654109954834,3.746875047683716,0.09602692723274231,17.33617401123047,7728.033203125,494.25,8,0,1,7,0,0.17138671875,0.19580078125,0.206787109375,0.334716796875,0.09130859375,59.47101593017578,12.869145393371582
21,86016,1883.3083562850952,97.04467034339905,27.870275020599365,29.444380044937134,29.398914337158203,70.52455672621727,-0.03672691062092781,47.810245513916016,1.4357409477233887,54.307220458984375,0.011205438524484634,11.88735294342041,5916.22265625,467.0,8,1,0,7,0,0.1572265625,0.18994140625,0.208740234375,0.3505859375,0.093505859375,41.88416290283203,9.42544937133789
