iteration,total_steps,wall_time_seconds,iter_time_seconds,env_step_time_seconds,learn_step_time_seconds,residual_compute_time_seconds,L_total,L_policy,L_value,L_entropy,L_residual_optimality,L_residual_safety,L_distill,mean_reward,mean_episode_length,n_episodes,n_collisions,n_successes,n_timeouts,n_aborts,action_dist_stop,action_dist_creep,action_dist_yield,action_dist_go,action_dist_abort
1,304096,1179.625587463379,1178.5716185569763,1148.9747049808502,8.032763242721558,7.945744752883911,64.19967276602983,-0.04267729073762894,41.927242279052734,1.2065062522888184,0.0,0.03178830444812775,22.2833194732666,14058.9150390625,441.44444444444446,9,1,2,6,0,0.234619140625,0.18017578125,0.203857421875,0.3427734375,0.03857421875
2,308192,3160.2570056915283,1139.8720693588257,1096.6669571399689,21.905447483062744,21.833131074905396,40.71691217832267,-0.003916831687092781,15.651922225952148,1.212357759475708,0.0,0.0,25.068906784057617,15363.375,421.8888888888889,9,3,2,4,0,0.247314453125,0.190673828125,0.166259765625,0.372802734375,0.02294921875
3,312288,4221.615171432495,1061.2942762374878,1021.5077712535858,16.340346097946167,16.2568199634552,68.21100534126163,-0.03528677299618721,35.705467224121094,1.1880360841751099,0.0,0.0,32.54082489013672,18617.375,359.0,11,4,6,1,0,0.20166015625,0.183837890625,0.16357421875,0.421875,0.029052734375
4,316384,5619.603047609329,1397.9277453422546,1337.3070435523987,34.995612144470215,34.89727473258972,84.30736073851585,-0.019814401865005493,39.74180221557617,1.16960871219635,0.0,0.0,44.58537292480469,17751.466796875,336.5833333333333,12,2,5,5,0,0.17236328125,0.1953125,0.15087890625,0.4619140625,0.01953125
5,320480,6723.375822544098,1103.7444288730621,1064.505514383316,19.945798635482788,19.852876663208008,146.54914745688438,-0.2314693033695221,122.10498046875,1.2520220279693604,0.0,0.0,24.675636291503906,15055.9501953125,465.0,8,1,2,5,0,0.1962890625,0.185546875,0.185791015625,0.392333984375,0.0400390625
6,324576,10310.202982902527,3586.7867159843445,3531.9004271030426,32.22208070755005,32.174078702926636,52.40145116299391,0.02682354301214218,32.70489501953125,1.2750275135040283,0.0,0.10947373509407043,19.560258865356445,13549.337890625,408.8,10,3,3,4,0,0.205322265625,0.155517578125,0.220458984375,0.37744140625,0.041259765625
7,328672,12919.49721288681,2609.2352283000946,2579.22602891922,7.102962255477905,7.029837369918823,68.75975744519383,0.011550352908670902,29.199275970458984,1.284938931465149,0.0,0.0,39.54893112182617,11502.1826171875,393.7,10,5,2,3,0,0.19287109375,0.1767578125,0.192138671875,0.393310546875,0.044921875
8,332768,13915.116849660873,995.5467863082886,952.9121730327606,22.90094232559204,22.83483910560608,33.544952258467674,0.2615371644496918,18.28530502319336,1.2476625442504883,0.0,0.1557791382074356,14.842330932617188,8851.701171875,450.44444444444446,9,2,1,6,0,0.259765625,0.133544921875,0.216552734375,0.357421875,0.03271484375
9,336864,15005.322798728943,1090.119942188263,1060.0284678936005,5.050259113311768,5.01699686050415,99.65771945565939,-0.006301380693912506,71.41229248046875,1.0986132621765137,0.0,0.010130226612091064,28.24159812927246,12918.7607421875,285.14285714285717,14,7,6,1,0,0.201416015625,0.1435546875,0.14013671875,0.490966796875,0.02392578125
10,340960,16083.733850479126,1078.282175540924,1035.5682046413422,24.074318885803223,24.01381492614746,29.371017660945654,0.014927979558706284,17.716218948364258,1.1909674406051636,0.0,0.018347829580307007,11.621522903442383,9283.0048828125,451.55555555555554,9,1,1,7,0,0.233642578125,0.131103515625,0.2314453125,0.3857421875,0.01806640625
11,345056,17400.03790330887,1316.2824747562408,1263.457896232605,33.94763803482056,33.86832857131958,34.79860135912895,-0.08344486355781555,27.078725814819336,1.2090537548065186,0.0,0.0,7.803320407867432,11594.40234375,493.0,8,0,1,7,0,0.23193359375,0.125,0.266845703125,0.359619140625,0.0166015625
12,349152,18937.286746501923,953.3119983673096,898.3757474422455,36.48346948623657,36.4259135723114,100.92136377096176,0.05149238556623459,69.09039306640625,1.1648290157318115,0.0,0.08799958974123001,31.691478729248047,13033.9931640625,410.8888888888889,9,3,2,4,0,0.2607421875,0.12451171875,0.180419921875,0.41552734375,0.018798828125
13,353248,20056.764662265778,1119.4273681640625,1095.4650206565857,4.486799716949463,4.442721843719482,85.49010537937284,0.05064888671040535,49.174781799316406,1.1044868230819702,0.0,0.45211365818977356,35.81256103515625,16946.31640625,408.22222222222223,9,1,6,2,0,0.196533203125,0.13525390625,0.209228515625,0.433837890625,0.025146484375
14,357344,21230.618007183075,1173.8240768909454,1148.4322109222412,5.64700174331665,5.608880996704102,42.717596627771854,0.08674401789903641,21.430561065673828,1.1276999711990356,0.0,0.06591883301734924,21.13437271118164,8826.70703125,394.9,10,4,2,4,0,0.2353515625,0.118896484375,0.202392578125,0.41455078125,0.02880859375
15,361440,22143.310851097107,912.616637468338,863.2342464923859,28.850388765335083,28.802599906921387,80.86036105453968,0.0651254802942276,42.4375,1.1488171815872192,0.0,0.256955087184906,38.10078048706055,6968.65673828125,359.6363636363636,11,6,2,3,0,0.286865234375,0.1201171875,0.15576171875,0.408935546875,0.0283203125
16,365536,23339.693858385086,1196.318409204483,1157.6618218421936,17.33623504638672,17.293028354644775,172.1759978942573,0.024145003408193588,91.27626037597656,1.1592628955841064,0.0,0.10236863791942596,80.77322387695312,13848.5146484375,331.8181818181818,11,3,5,3,0,0.191650390625,0.126220703125,0.174560546875,0.47216796875,0.035400390625
17,369632,24467.074013710022,1127.3297944068909,1084.6851420402527,19.746729850769043,19.68784737586975,122.81330351904035,0.005549002438783646,75.37818908691406,1.0848289728164673,0.0,0.0,47.4295654296875,16037.5625,336.4166666666667,12,4,6,2,0,0.16796875,0.135986328125,0.150634765625,0.51220703125,0.033203125
18,373728,25659.152095794678,1191.9078228473663,1153.4695315361023,15.744131326675415,15.66974401473999,85.22805597633123,0.0653962716460228,43.70398712158203,1.2196605205535889,0.0,0.41677576303482056,41.04189682006836,13784.6220703125,326.5,12,5,4,3,0,0.169921875,0.14501953125,0.186767578125,0.47265625,0.025634765625
19,377824,26702.111831188202,1042.8937101364136,1001.85258436203,19.246798038482666,19.2023868560791,51.76524856686592,0.1264069378376007,27.456619262695312,1.118710994720459,0.0,0.0,24.182222366333008,15390.9482421875,336.0833333333333,12,6,4,2,0,0.17578125,0.14990234375,0.162841796875,0.488037109375,0.0234375
20,381920,27875.227712869644,1173.0510890483856,1145.3163704872131,6.867264986038208,6.833300590515137,74.2601421251893,0.06765631586313248,40.029273986816406,1.1675866842269897,0.0,0.0,34.163211822509766,18401.0234375,369.54545454545456,11,3,6,2,0,0.1689453125,0.156005859375,0.1552734375,0.495361328125,0.0244140625
21,386016,28954.21139407158,1078.9606566429138,1038.102043390274,21.62764859199524,21.548489570617676,105.27839374542236,-0.051538318395614624,76.46646881103516,1.1278221607208252,0.0,0.21209987998008728,28.651363372802734,11995.40625,376.8,10,7,3,0,0,0.254150390625,0.15625,0.13671875,0.43310546875,0.019775390625
22,390112,30367.08118534088,925.2011663913727,889.7209961414337,16.459332704544067,16.401076555252075,68.72196290642023,-0.09964849799871445,30.42789649963379,1.1824318170547485,0.0,0.0,38.393714904785156,24068.03515625,440.44444444444446,9,0,8,1,0,0.156494140625,0.141845703125,0.170654296875,0.517333984375,0.013671875
23,394208,31464.10272693634,1096.9818971157074,1066.442838191986,10.379303932189941,10.340385913848877,111.2391991019249,-0.10570484399795532,81.14224243164062,1.1457903385162354,0.0,0.0,30.202661514282227,16787.279296875,380.0,10,1,3,6,0,0.2001953125,0.144287109375,0.20068359375,0.444580078125,0.01025390625
24,398304,32435.369787693024,971.2224118709564,934.3822190761566,18.040754556655884,17.975664615631104,35.24348548054695,-0.09965035319328308,19.059429168701172,1.155658483505249,0.0,0.0,16.283706665039062,15833.2158203125,391.0,10,2,3,5,0,0.2529296875,0.149169921875,0.1875,0.3994140625,0.010986328125
25,402400,33808.06671977043,1372.6742651462555,1343.1938316822052,6.03470253944397,5.99988055229187,121.10682087391615,-0.11313550174236298,70.6438217163086,1.110102891921997,0.0,0.032471634447574615,50.543663024902344,13589.5234375,317.0833333333333,12,6,4,2,0,0.249755859375,0.111328125,0.1650390625,0.46533203125,0.008544921875
