iteration,total_steps,wall_time_seconds,iter_time_seconds,env_step_time_seconds,learn_step_time_seconds,residual_compute_time_seconds,L_total,L_policy,L_value,L_entropy,L_residual_optimality,L_residual_safety,L_distill,mean_reward,mean_episode_length,n_episodes,n_collisions,n_successes,n_timeouts,n_aborts,action_dist_stop,action_dist_creep,action_dist_yield,action_dist_go,action_dist_abort
1,4096,123.18351984024048,123.16871762275696,26.345084190368652,51.10072302818298,51.06975317001343,1.1935987621545792,0.043572574853897095,1.0389206409454346,1.509386658668518,0.0,0.0,0.1111055463552475,-515.7584228515625,500.0,8,0,0,8,0,0.17333984375,0.24072265625,0.14306640625,0.2822265625,0.16064453125
2,8192,246.6323220729828,100.5399010181427,27.033328771591187,24.708770036697388,24.67519474029541,1.7037574239075184,0.05896477773785591,1.5151394605636597,1.4767999649047852,0.0,0.0,0.1296531856060028,-443.7131042480469,500.0,8,0,0,8,0,0.202392578125,0.236572265625,0.17529296875,0.257568359375,0.128173828125
3,12288,368.1733250617981,121.52300024032593,25.305107355117798,45.70048451423645,45.67075181007385,47.770483314991,0.14814692735671997,35.712100982666016,1.3564330339431763,0.0,0.5999135971069336,11.310321807861328,814.3192138671875,454.8888888888889,9,3,0,6,0,0.18310546875,0.181884765625,0.144775390625,0.403564453125,0.086669921875
4,16384,454.866170167923,86.67580270767212,23.257290363311768,10.775863647460938,10.744842767715454,333.7761615905911,-0.007788589224219322,301.9806823730469,1.1912217140197754,0.0,0.31254705786705017,31.490720748901367,1832.2115478515625,210.42105263157896,19,17,1,1,0,0.09814453125,0.172119140625,0.154296875,0.523193359375,0.05224609375
5,20480,589.2046778202057,134.27501606941223,31.780205965042114,40.6875958442688,40.654802083969116,164.23242350667715,0.0843777284026146,107.38401794433594,1.317014217376709,0.0,1.5136921405792236,55.250335693359375,1198.9923095703125,250.4375,16,15,0,1,0,0.12060546875,0.17236328125,0.154052734375,0.472900390625,0.080078125
6,24576,693.9252734184265,104.6617078781128,27.764880180358887,18.902623414993286,18.872129440307617,367.9076873511076,-0.050678327679634094,315.7962341308594,1.3078093528747559,0.0,0.9405434131622314,51.221588134765625,1716.7432861328125,283.42857142857144,14,10,2,2,0,0.10302734375,0.172119140625,0.1630859375,0.475830078125,0.0859375
7,28672,771.207756280899,77.2275013923645,24.754106760025024,7.26108980178833,7.229693174362183,41.65977507084608,-0.021202869713306427,29.493900299072266,1.3654861450195312,0.0,0.5197659730911255,11.667311668395996,1519.441650390625,424.6666666666667,9,5,0,4,0,0.15673828125,0.146240234375,0.177734375,0.412841796875,0.1064453125
8,32768,879.182558298111,107.93847179412842,25.10768485069275,38.10504698753357,38.059818506240845,693.1865116655827,-0.36917826533317566,567.8005981445312,1.3326587677001953,0.0,0.26677238941192627,125.48831939697266,3553.39794921875,371.5,10,5,2,3,0,0.1455078125,0.160400390625,0.1416015625,0.401611328125,0.15087890625
9,36864,992.4770121574402,113.2652587890625,28.25940251350403,30.425464868545532,30.391178369522095,151.28922376036644,0.11480805277824402,109.98147583007812,1.3644943237304688,0.0,1.037185788154602,40.15575408935547,3378.342529296875,336.25,12,6,2,4,0,0.15380859375,0.134033203125,0.137939453125,0.43603515625,0.13818359375
10,40960,1067.148338317871,74.63007688522339,23.71471619606018,8.06016993522644,8.027651071548462,97.9901058524847,-0.047589465975761414,66.03022766113281,1.381292462348938,0.0,0.4407104551792145,31.566757202148438,3153.873291015625,426.6666666666667,9,4,1,4,0,0.19482421875,0.137451171875,0.140869140625,0.427490234375,0.099365234375
11,45056,1231.4180433750153,164.20818042755127,24.824575424194336,92.84766411781311,92.81449151039124,237.83463878557086,0.032109227031469345,161.702880859375,1.3181209564208984,0.0,0.13385890424251556,75.96578979492188,10229.5869140625,422.0,9,1,3,5,0,0.191162109375,0.14208984375,0.16015625,0.414794921875,0.091796875
12,49152,1336.8758096694946,79.32473468780518,23.75653886795044,12.999713897705078,12.96657133102417,69.33048532996327,0.006953106261789799,45.006771087646484,1.3657989501953125,0.0,0.8604928255081177,23.456268310546875,4223.90234375,398.6,10,4,0,6,0,0.213134765625,0.155517578125,0.154296875,0.394287109375,0.082763671875
