iteration,total_steps,wall_time_seconds,iter_time_seconds,env_step_time_seconds,learn_step_time_seconds,residual_compute_time_seconds,L_total,L_policy,L_value,L_entropy,L_residual_optimality,L_residual_safety,L_distill,mean_reward,mean_episode_length,n_episodes,n_collisions,n_successes,n_timeouts,n_aborts,action_dist_stop,action_dist_creep,action_dist_yield,action_dist_go,action_dist_abort
1,4096,434.0318682193756,433.74715089797974,416.7382242679596,1.8061912059783936,0.0,0.3519393280148506,-0.10015415400266647,0.4520934820175171,1.3240633010864258,0.0,0.0,0.0,-475.8876647949219,500.0,8,0,0,8,0,0.4375,0.14404296875,0.1064453125,0.184814453125,0.127197265625
2,8192,1331.330382347107,409.33974051475525,394.0094873905182,1.2666611671447754,0.0,0.14164722710847855,-0.11723392456769943,0.258881151676178,1.3067513704299927,0.0,0.0,0.0,-660.6752319335938,500.0,8,0,0,8,0,0.432373046875,0.18115234375,0.094970703125,0.226806640625,0.064697265625
3,12288,1738.4961507320404,407.15785551071167,392.13109850883484,0.8627276420593262,0.0,0.98508720099926,0.1031828373670578,0.8819043636322021,1.3407542705535889,0.0,0.0,0.0,-6.392578125,500.0,8,0,0,8,0,0.323486328125,0.181884765625,0.103271484375,0.338623046875,0.052734375
4,16384,2153.6121068000793,415.1136600971222,399.1576735973358,1.9884717464447021,0.0,3.7838597521185875,0.03581192344427109,3.7480478286743164,1.3112379312515259,0.0,0.0,0.0,953.6844482421875,500.0,8,0,0,8,0,0.224609375,0.192138671875,0.14013671875,0.384765625,0.058349609375
5,20480,2604.9969885349274,451.3835005760193,431.31046891212463,0.7897448539733887,0.0,76.66604141891003,0.17663101851940155,76.48941040039062,1.27195143699646,0.0,0.0,0.0,1412.3671875,313.0,13,10,0,3,0,0.119140625,0.208251953125,0.17138671875,0.45751953125,0.043701171875
6,24576,3090.33793258667,485.2556221485138,468.1050524711609,0.8498885631561279,0.0,34.79897264018655,0.05688432231545448,34.742088317871094,1.3361366987228394,0.0,0.0,0.0,1370.510009765625,382.5,10,6,0,4,0,0.11328125,0.218017578125,0.181884765625,0.421142578125,0.065673828125
7,28672,3501.8694384098053,411.49719190597534,393.6227583885193,1.6940255165100098,0.0,44.30494771152735,0.06739506870508194,44.237552642822266,1.347528100013733,0.0,0.0,0.0,2168.120361328125,391.9,10,5,0,5,0,0.085205078125,0.22314453125,0.203125,0.409912109375,0.07861328125
8,32768,3964.0594029426575,462.1637818813324,444.68975496292114,2.877871036529541,0.0,25.349006151780486,-0.0012135747820138931,25.3502197265625,1.3872909545898438,0.0,0.0,0.0,1929.06201171875,500.0,8,0,0,8,0,0.123779296875,0.219482421875,0.19287109375,0.3623046875,0.1015625
9,36864,4450.3939599990845,486.3313729763031,464.50247049331665,3.101557970046997,0.0,74.30790004134178,-0.044463545083999634,74.35236358642578,1.3115562200546265,0.0,0.0,0.0,1751.0003662109375,338.3333333333333,12,8,0,4,0,0.126708984375,0.208740234375,0.166015625,0.4140625,0.08447265625
10,40960,4898.171901941299,447.74409103393555,428.5100648403168,0.9644830226898193,0.0,51.665675565600395,-0.05347497761249542,51.71915054321289,1.3764221668243408,0.0,0.0,0.0,1466.4671630859375,329.25,12,9,0,3,0,0.10791015625,0.191162109375,0.19384765625,0.400634765625,0.1064453125
