iteration,total_steps,wall_time_seconds,iter_time_seconds,env_step_time_seconds,learn_step_time_seconds,residual_compute_time_seconds,L_total,L_policy,L_value,L_entropy,L_residual_optimality,L_residual_safety,L_distill,mean_reward,mean_episode_length,n_episodes,n_collisions,n_successes,n_timeouts,n_aborts,action_dist_stop,action_dist_creep,action_dist_yield,action_dist_go,action_dist_abort
1,4096,662.4345097541809,661.994343996048,625.1349983215332,19.771668434143066,19.695443868637085,3.9894275926053524,0.07393205165863037,0.5328001976013184,1.4878880977630615,0.0,3.3454411029815674,0.03725424036383629,-2009.4195556640625,500.0,8,0,0,8,0,0.18701171875,0.11328125,0.257568359375,0.1064453125,0.335693359375
2,8192,2129.496492624283,666.8684024810791,646.336635351181,4.976676940917969,4.947137117385864,4.145824339240789,0.04504590854048729,0.44910210371017456,1.4994831085205078,0.0,3.525822162628174,0.12585416436195374,-3169.829345703125,500.0,8,0,0,8,0,0.273681640625,0.249267578125,0.15673828125,0.099609375,0.220703125
3,12288,2869.361362695694,739.8416657447815,714.9450578689575,8.002516508102417,7.966590881347656,3.978294562548399,0.06727304309606552,0.45803147554397583,1.477996587753296,0.0,3.400163173675537,0.05282687023282051,-3653.217529296875,500.0,8,0,0,8,0,0.307861328125,0.224365234375,0.188232421875,0.08740234375,0.192138671875
4,16384,3506.2654559612274,636.9031026363373,614.313494682312,6.485735654830933,6.454998016357422,3.869036454707384,0.03677903488278389,0.38977786898612976,1.4719998836517334,0.0,3.3752362728118896,0.06724327802658081,-3741.306640625,500.0,8,0,0,8,0,0.364990234375,0.211669921875,0.19189453125,0.080810546875,0.150634765625
5,20480,3936.258924484253,429.96090841293335,403.83274602890015,9.999746322631836,9.965603351593018,4.257242441177368,0.1862480193376541,0.8444316387176514,1.4566794633865356,0.0,3.0710067749023438,0.15555600821971893,-3541.1689453125,500.0,8,0,0,8,0,0.27001953125,0.273193359375,0.218017578125,0.123046875,0.11572265625
6,24576,4503.465782880783,567.1930990219116,531.1612811088562,18.701294898986816,18.639660120010376,5.107358932495117,0.09913849830627441,2.26189923286438,1.2440431118011475,0.0,2.6007466316223145,0.14557456970214844,-2014.4354248046875,500.0,8,0,0,8,0,0.14453125,0.49755859375,0.14111328125,0.1484375,0.068359375
7,28672,5260.480862855911,756.9807164669037,722.3763465881348,18.58734393119812,18.557202577590942,5.952736742794514,0.10105551034212112,3.493297815322876,1.1733742952346802,0.0,2.2328968048095703,0.1254866123199463,-390.7571716308594,500.0,8,0,0,8,0,0.08203125,0.504150390625,0.11767578125,0.226806640625,0.0693359375
8,32768,6095.15167760849,834.6163227558136,789.1495590209961,28.556894540786743,28.463195323944092,5.400507628917694,0.06202772259712219,3.49075984954834,1.1810429096221924,0.0,1.7513935565948486,0.09632650017738342,1962.02685546875,500.0,8,0,0,8,0,0.0703125,0.521484375,0.088134765625,0.279052734375,0.041015625
9,36864,7145.373975753784,1050.191879272461,1014.2405796051025,16.15323042869568,16.125627517700195,26.90034117922187,0.00026077404618263245,25.14443016052246,1.171457052230835,0.0,1.6430798768997192,0.1125703677535057,2537.39208984375,478.25,8,3,0,5,0,0.05810546875,0.51513671875,0.083251953125,0.307861328125,0.03564453125
10,40960,7998.413867950439,852.9615428447723,808.1449902057648,27.046337842941284,26.9630606174469,9.883115395903587,0.09066246449947357,7.864694595336914,1.2761492729187012,0.0,1.8048105239868164,0.1229478120803833,4129.83984375,500.0,8,0,0,8,0,0.057373046875,0.46728515625,0.075927734375,0.32958984375,0.06982421875
11,45056,9115.732880830765,1117.3032093048096,1077.4415130615234,21.669456005096436,21.635234117507935,10.29904006421566,0.09272196888923645,8.629150390625,1.277644157409668,0.0,1.4354071617126465,0.14176054298877716,5387.8125,491.0,8,1,0,7,0,0.0595703125,0.38427734375,0.072509765625,0.38134765625,0.102294921875
12,49152,11057.007118225098,1178.7924664020538,1142.7055938243866,18.374248266220093,18.342334032058716,8.089405253529549,0.11523143947124481,6.4249372482299805,1.290832281112671,0.0,1.3825395107269287,0.16669705510139465,5449.3701171875,500.0,8,0,0,8,0,0.066162109375,0.394775390625,0.10791015625,0.34619140625,0.0849609375
13,53248,11767.56303191185,710.550055027008,688.5502948760986,4.3034257888793945,4.279690742492676,76.40789098292589,0.1505294293165207,74.629638671875,1.328713297843933,0.0,1.5243854522705078,0.10333742946386337,3415.0859375,360.5,10,7,0,3,0,0.051025390625,0.3876953125,0.098876953125,0.359619140625,0.102783203125
14,57344,12577.151669025421,809.525862455368,778.1533448696136,12.119719743728638,12.088740348815918,26.37328812479973,-0.02375243604183197,25.092891693115234,1.3620749711990356,0.0,1.2068641185760498,0.09728474915027618,3062.422119140625,354.72727272727275,11,7,0,4,0,0.084716796875,0.368408203125,0.08984375,0.355712890625,0.101318359375
15,61440,13303.344851493835,726.1354503631592,705.0401315689087,4.495018243789673,4.468086004257202,9.290455870330334,0.07315251231193542,7.631856918334961,1.430652379989624,0.0,1.4830774068832397,0.1023690328001976,5595.4130859375,461.375,8,2,0,6,0,0.09130859375,0.2822265625,0.15966796875,0.349609375,0.1171875
16,65536,14271.633275985718,968.2586498260498,926.210834980011,23.856443166732788,23.80648684501648,38.55100590735674,-0.001161143183708191,36.92460632324219,1.4058431386947632,0.0,1.5531448125839233,0.0744159147143364,4114.0537109375,458.5,8,2,0,6,0,0.10302734375,0.31103515625,0.12451171875,0.3271484375,0.13427734375
17,69632,15121.796897649765,850.1316001415253,817.6412496566772,14.295162439346313,14.245242357254028,24.660177547484636,0.03965337201952934,22.98636817932129,1.388471007347107,0.0,1.5350784063339233,0.09907758980989456,4339.05078125,497.125,8,1,0,7,0,0.09130859375,0.30078125,0.15283203125,0.335205078125,0.119873046875
18,73728,15963.697772979736,841.8709230422974,807.1213510036469,17.0141384601593,16.97388792037964,50.581843592226505,0.1234620213508606,48.50519943237305,1.4411826133728027,0.0,1.866479754447937,0.0867023840546608,1658.3204345703125,464.25,8,2,0,6,0,0.11328125,0.288330078125,0.16552734375,0.312744140625,0.1201171875
19,77824,16732.415279626846,768.694787979126,744.2550959587097,7.612082481384277,7.559908151626587,27.825666937977076,0.05184881016612053,25.63412857055664,1.4310998916625977,0.0,2.0671963691711426,0.07249318808317184,2716.67431640625,452.5,8,3,0,5,0,0.12646484375,0.2578125,0.187255859375,0.3017578125,0.126708984375
20,81920,17517.641733407974,785.1956357955933,752.4967544078827,12.038354635238647,12.005451917648315,73.23699081875384,0.00698724202811718,71.50688171386719,1.41972017288208,0.0,1.668203592300415,0.05491827055811882,2268.105224609375,345.72727272727275,11,7,0,4,0,0.117431640625,0.28857421875,0.148193359375,0.337646484375,0.108154296875
21,86016,18042.50508093834,524.8057487010956,490.06595969200134,17.26022505760193,17.216634511947632,28.651212759315968,-0.03230244666337967,26.98276138305664,1.4264909029006958,0.0,1.6272821426391602,0.07347168028354645,1952.446533203125,369.8,10,6,0,4,0,0.136962890625,0.2626953125,0.15966796875,0.330322265625,0.1103515625
22,90112,18665.80081653595,447.0839126110077,423.4193904399872,6.093883752822876,6.061215400695801,36.1291422508657,-0.000994306057691574,34.808143615722656,1.419270396232605,0.0,1.224534273147583,0.09745866805315018,4577.75244140625,373.3,10,5,0,5,0,0.1240234375,0.22509765625,0.16748046875,0.373046875,0.1103515625
23,94208,19020.24576830864,354.39598059654236,335.30646443367004,4.51960825920105,4.491838455200195,22.576603390276432,0.0731845498085022,20.96144676208496,1.3969236612319946,0.0,1.442152738571167,0.09981933981180191,5886.4970703125,458.25,8,1,0,7,0,0.14990234375,0.210693359375,0.154296875,0.376220703125,0.10888671875
24,98304,19402.058255195618,381.78569293022156,362.1297535896301,5.16386342048645,5.130000114440918,7.165599133819342,-0.0588582418859005,5.308648109436035,1.4274303913116455,0.0,1.8382437229156494,0.07756554335355759,2637.26904296875,498.25,8,1,0,7,0,0.180908203125,0.22802734375,0.14794921875,0.30908203125,0.134033203125
25,102400,19763.785081386566,361.7173180580139,340.0589599609375,5.533198118209839,5.499950885772705,22.154637828469276,0.12697988748550415,20.282901763916016,1.4219858646392822,0.0,1.6774399280548096,0.06731624901294708,3440.57421875,368.9,10,6,0,4,0,0.166748046875,0.16943359375,0.178955078125,0.34912109375,0.1357421875
26,106496,20108.975397109985,345.1354877948761,324.1439504623413,6.404580116271973,6.365844249725342,19.837325043976307,0.14747075736522675,17.995790481567383,1.431654930114746,0.0,1.6194851398468018,0.0745786651968956,2463.543701171875,400.77777777777777,9,4,0,5,0,0.175537109375,0.193359375,0.16162109375,0.3505859375,0.118896484375
27,110592,20494.669548034668,385.6662611961365,361.9435043334961,6.725001573562622,6.679962873458862,43.03233627229929,0.05974949151277542,41.29301452636719,1.4161279201507568,0.0,1.609022855758667,0.07054939866065979,2692.6240234375,370.45454545454544,11,6,0,5,0,0.14990234375,0.20166015625,0.185791015625,0.3681640625,0.094482421875
28,114688,20898.97003698349,404.2737021446228,383.37209391593933,5.787004232406616,5.7492616176605225,21.076585626229644,0.012842221185564995,19.55629539489746,1.3472392559051514,0.0,1.4353182315826416,0.07212977856397629,3624.7685546875,451.0,9,5,0,4,0,0.1318359375,0.19189453125,0.18310546875,0.378662109375,0.114501953125
29,118784,21259.713287115097,360.71035647392273,334.6247582435608,5.846497535705566,5.804468393325806,55.10117494687438,-0.24247443675994873,54.0255126953125,1.3902567625045776,0.0,1.2563817501068115,0.06175493821501732,2908.71533203125,282.92857142857144,14,12,0,2,0,0.132568359375,0.196044921875,0.19091796875,0.39013671875,0.09033203125
30,122880,21603.30964255333,343.5528919696808,320.60886812210083,5.684786319732666,5.648670673370361,23.86989066377282,-0.030725184828042984,22.564743041992188,1.3260650634765625,0.0,1.2665507793426514,0.06932202726602554,3295.0107421875,359.45454545454544,11,5,0,6,0,0.129150390625,0.20263671875,0.187255859375,0.381591796875,0.099365234375
31,126976,21965.364847421646,362.0334520339966,337.8486065864563,6.784983158111572,6.740126371383667,52.587014842778444,0.07191991060972214,51.26154708862305,1.3838796615600586,0.0,1.1924723386764526,0.06107550486922264,2500.8251953125,351.90909090909093,11,9,0,2,0,0.138671875,0.20361328125,0.181884765625,0.367431640625,0.1083984375
32,131072,22456.610766410828,358.2520823478699,334.8204593658447,6.043891429901123,6.007862329483032,23.070358058437705,0.01679624430835247,21.501819610595703,1.3916527032852173,0.0,1.4855281114578247,0.06621409207582474,1922.8109130859375,340.0,12,8,0,4,0,0.12646484375,0.21728515625,0.18359375,0.39599609375,0.07666015625
33,135168,22769.68054819107,313.0523943901062,291.97603964805603,5.524935722351074,5.490606307983398,15.072643160820007,-0.04788774251937866,13.748611450195312,1.2994991540908813,0.0,1.2902698516845703,0.08164960145950317,3405.88330078125,406.6,10,4,0,6,0,0.1298828125,0.18017578125,0.19482421875,0.3828125,0.1123046875
34,139264,23090.713582515717,321.02396988868713,302.2959363460541,5.50700306892395,5.474579095840454,5.498791554942727,0.008836658671498299,4.251613616943359,1.329111099243164,0.0,1.1778086423873901,0.06053263694047928,3836.650146484375,500.0,8,0,0,8,0,0.123291015625,0.221923828125,0.177978515625,0.384033203125,0.0927734375
35,143360,23441.583216428757,350.86886739730835,324.55938625335693,8.233498096466064,8.186989068984985,11.317256465554237,0.07695110142230988,10.078235626220703,1.4087698459625244,0.0,1.1030826568603516,0.0589870810508728,1402.9263916015625,334.1666666666667,12,9,0,3,0,0.187255859375,0.16162109375,0.1728515625,0.3701171875,0.108154296875
36,147456,23808.135816335678,366.53373503685,345.89208722114563,6.099694013595581,6.0691468715667725,18.191848311573267,0.0752127543091774,16.783580780029297,1.3505947589874268,0.0,1.2713500261306763,0.06170475110411644,2977.443359375,426.6666666666667,9,2,0,7,0,0.128662109375,0.25634765625,0.189453125,0.342041015625,0.08349609375
37,151552,24129.332035064697,321.19272089004517,301.15853548049927,6.632646560668945,6.602330684661865,14.570433221757412,0.04883783310651779,13.002801895141602,1.3264206647872925,0.0,1.4512933492660522,0.06750014424324036,3297.35400390625,457.625,8,1,0,7,0,0.146728515625,0.246826171875,0.201904296875,0.330078125,0.074462890625
38,155648,24462.120221853256,332.78583431243896,313.7807171344757,5.719321250915527,5.689321756362915,5.371157269924879,0.1262398064136505,3.8029210567474365,1.4106154441833496,0.0,1.3895010948181152,0.052495311945676804,2410.08203125,500.0,8,0,0,8,0,0.128173828125,0.2841796875,0.197998046875,0.304931640625,0.084716796875
39,159744,24793.257242918015,331.13622879981995,312.4921917915344,4.385913372039795,4.358503103256226,16.86058098077774,0.04235581308603287,15.543442726135254,1.3442224264144897,0.0,1.2050800323486328,0.06970240920782089,1692.3505859375,417.44444444444446,9,4,0,5,0,0.1787109375,0.2001953125,0.19677734375,0.331787109375,0.092529296875
40,163840,25097.410182714462,304.1276218891144,282.53493428230286,5.614901542663574,5.579838752746582,38.69752503186464,0.10331660509109497,37.3783073425293,1.372257947921753,0.0,1.1564748287200928,0.05942625552415848,1574.6031494140625,357.0,11,7,0,4,0,0.17138671875,0.20068359375,0.181396484375,0.3623046875,0.084228515625
41,167936,25418.519875764847,321.0942759513855,300.5753035545349,5.583603858947754,5.5500328540802,20.080256707966328,0.013790648430585861,19.17873764038086,1.3028641939163208,0.0,0.8266538381576538,0.06107458099722862,2043.1234130859375,407.5,10,5,0,5,0,0.15185546875,0.21826171875,0.1650390625,0.359619140625,0.105224609375
42,172032,25961.71103835106,289.1149914264679,269.87276554107666,5.354101657867432,5.321546792984009,42.05010126903653,0.04139208048582077,40.62959671020508,1.259822130203247,0.0,1.3203431367874146,0.058769341558218,3492.6845703125,415.0,9,3,0,6,0,0.14404296875,0.23193359375,0.158203125,0.365234375,0.1005859375
43,176128,26247.452377319336,285.7344117164612,264.9508538246155,5.744876861572266,5.709948539733887,19.115633692592382,-0.0334244929254055,17.895751953125,1.2752892971038818,0.0,1.1858540773391724,0.06745215505361557,3810.04443359375,373.7,10,4,0,6,0,0.13671875,0.2734375,0.132568359375,0.377197265625,0.080078125
44,180224,26571.105933189392,323.6464762687683,304.1993999481201,5.476979494094849,5.441689491271973,28.53756656497717,0.20478464663028717,26.982177734375,1.2386565208435059,0.0,1.2896283864974976,0.06097579747438431,3695.9736328125,404.55555555555554,9,3,0,6,0,0.149658203125,0.245849609375,0.169921875,0.361572265625,0.072998046875
45,184320,26860.820677757263,289.52217960357666,268.9576802253723,5.597919940948486,5.563288688659668,45.59485451132059,0.07435670495033264,43.99530029296875,1.283542513847351,0.0,1.4607654809951782,0.06443203240633011,2905.104248046875,390.7,10,6,0,4,0,0.19091796875,0.203369140625,0.140380859375,0.37060546875,0.0947265625
46,188416,27138.253076314926,277.38688945770264,257.7594292163849,5.512831687927246,5.480517864227295,20.672197353094816,0.028635472059249878,19.38716697692871,1.3233534097671509,0.0,1.196112036705017,0.0602828674018383,2968.545654296875,403.8888888888889,9,4,0,5,0,0.17822265625,0.205078125,0.138671875,0.3876953125,0.09033203125
47,192512,27448.847794532776,310.5455937385559,290.92954421043396,5.497667074203491,5.463904142379761,11.978765245527029,-0.010424483567476273,10.76522159576416,1.3856459856033325,0.0,1.1613333225250244,0.06263481080532074,2192.0126953125,409.0,9,5,0,4,0,0.20166015625,0.220703125,0.1865234375,0.303466796875,0.087646484375
48,196608,27779.99103832245,331.1160364151001,312.5183126926422,5.571691513061523,5.537588596343994,32.52310712262988,0.03656595200300217,31.16779327392578,1.2906200885772705,0.0,1.2580125331878662,0.06073536351323128,4143.2705078125,454.875,8,2,0,6,0,0.158935546875,0.2724609375,0.1787109375,0.304931640625,0.0849609375
