iteration,total_steps,wall_time_seconds,iter_time_seconds,env_step_time_seconds,learn_step_time_seconds,residual_compute_time_seconds,L_total,L_policy,L_value,L_entropy,L_residual_optimality,L_residual_safety,L_distill,mean_reward,mean_episode_length,n_episodes,n_collisions,n_successes,n_timeouts,n_aborts,action_dist_stop,action_dist_creep,action_dist_yield,action_dist_go,action_dist_abort
1,4096,82.03241753578186,82.02329111099243,22.069758653640747,29.94514274597168,29.9030921459198,3.863480057567358,-0.06199611350893974,0.722640335559845,1.543918251991272,0.0,3.139286994934082,0.06354884058237076,-1476.0777587890625,500.0,8,0,0,8,0,0.19677734375,0.21533203125,0.100830078125,0.155029296875,0.33203125
2,8192,247.25207114219666,90.27272701263428,23.46445369720459,32.5330023765564,32.41314506530762,3.4819866195321083,-0.08313554525375366,0.6231848001480103,1.5441993474960327,0.0,2.863250732421875,0.07868663221597672,-2516.92529296875,500.0,8,0,0,8,0,0.20458984375,0.29248046875,0.1357421875,0.143798828125,0.223388671875
3,12288,335.9532878398895,88.6926863193512,24.963943243026733,29.5227952003479,29.44292426109314,3.6129331588745117,0.05931954085826874,0.6412103772163391,1.5056440830230713,0.0,2.823474645614624,0.08892859518527985,-2942.88232421875,500.0,8,0,0,8,0,0.21240234375,0.305419921875,0.14697265625,0.1708984375,0.164306640625
4,16384,429.6980471611023,93.743479013443,22.830060243606567,39.81665754318237,39.778388023376465,4.099951557815075,0.06735312938690186,1.2233078479766846,1.4902937412261963,0.0,2.703616142272949,0.10567443817853928,-2675.48046875,500.0,8,0,0,8,0,0.143798828125,0.2939453125,0.180419921875,0.238037109375,0.143798828125
5,20480,499.83703780174255,70.13760447502136,22.869224548339844,13.319424629211426,13.281794786453247,3.908812191337347,0.03635925427079201,1.7130273580551147,1.4334616661071777,0.0,2.0603110790252686,0.09911449998617172,-1949.5244140625,500.0,8,0,0,8,0,0.12353515625,0.28271484375,0.19384765625,0.286376953125,0.113525390625
6,24576,581.4322197437286,81.59329724311829,26.162168741226196,17.17111301422119,17.116557121276855,43.897933192551136,0.07729030400514603,41.95558547973633,1.382001280784607,0.0,1.8000121116638184,0.0650452971458435,429.4542236328125,452.625,8,1,1,6,0,0.067626953125,0.31640625,0.158203125,0.3701171875,0.087646484375
7,28672,662.3540465831757,80.90649127960205,25.489506006240845,19.887621641159058,19.809364318847656,74.10641049593687,0.16839474439620972,72.16548919677734,1.3927967548370361,0.0,1.686108112335205,0.08641844242811203,3341.4365234375,454.25,8,2,1,5,0,0.067626953125,0.30126953125,0.190673828125,0.365234375,0.0751953125
8,32768,722.6175081729889,60.2161705493927,21.96939969062805,7.28736424446106,7.2482287883758545,19.104446709156036,-0.04782190918922424,17.593618392944336,1.3390799760818481,0.0,1.4772343635559082,0.08141586184501648,3155.10888671875,458.875,8,1,0,7,0,0.106689453125,0.27880859375,0.1591796875,0.367431640625,0.087890625
9,36864,818.6700835227966,87.00157523155212,28.252040147781372,14.367604732513428,14.28765082359314,65.45586843416095,-0.006598036736249924,63.758460998535156,1.3590717315673828,0.0,1.6388810873031616,0.06512438505887985,2935.8642578125,353.09090909090907,11,6,0,5,0,0.101806640625,0.26416015625,0.1689453125,0.400634765625,0.064453125
10,40960,938.2728583812714,102.70626401901245,26.072373390197754,29.47263741493225,29.425128936767578,18.706973992288113,0.082540363073349,17.053993225097656,1.3854926824569702,0.0,1.495754599571228,0.07468580454587936,3435.850830078125,408.77777777777777,9,3,0,6,0,0.0986328125,0.2939453125,0.164306640625,0.34765625,0.095458984375
