iteration,total_steps,wall_time_seconds,iter_time_seconds,env_step_time_seconds,learn_step_time_seconds,residual_compute_time_seconds,L_total,L_policy,L_value,L_entropy,L_residual_optimality,L_residual_safety,L_distill,mean_reward,mean_episode_length,n_episodes,n_collisions,n_successes,n_timeouts,n_aborts,action_dist_stop,action_dist_creep,action_dist_yield,action_dist_go,action_dist_abort,distill_loss_optimality_component,distill_loss_safety_component
1,4096,877.267481803894,876.9170389175415,848.6929304599762,12.17637848854065,12.142646789550781,12.880990193784237,0.04296601563692093,1.2835719585418701,1.452432632446289,56.908390045166016,0.0,0.17277421057224274,321.8242492675781,500.0,8,0,0,8,0,0.25634765625,0.2705078125,0.175537109375,0.2177734375,0.079833984375,0.5171990990638733,0.15010227262973785
2,8192,2011.013606786728,927.9034311771393,875.3485414981842,36.191097021102905,36.13740253448486,26.26925212442875,0.09585751593112946,2.0817694664001465,1.4249904155731201,118.17144775390625,0.0,0.45733559131622314,988.123291015625,500.0,8,0,0,8,0,0.23193359375,0.25,0.1962890625,0.267333984375,0.054443359375,0.6863469481468201,0.5234931707382202
3,12288,3027.6158747673035,1016.581080198288,956.3650603294373,35.827011585235596,35.76378154754639,179.23263117372989,0.08151958882808685,92.78123474121094,1.3370726108551025,337.296142578125,0.19461622834205627,18.87172508239746,2006.037109375,258.06666666666666,15,12,1,2,0,0.073974609375,0.262939453125,0.24609375,0.384521484375,0.032470703125,22.999370574951172,23.33171844482422
4,16384,4234.398328542709,1206.6581826210022,1121.4641389846802,66.65595626831055,66.52398562431335,48.640484031289816,-0.0409666933119297,32.67161560058594,1.376969575881958,7.4698286056518555,0.7764543294906616,14.360578536987305,2417.890625,362.0,10,8,0,2,0,0.095703125,0.240478515625,0.251220703125,0.353515625,0.05908203125,48.19715118408203,10.214807510375977
5,20480,5190.22901558876,955.7171604633331,906.0735080242157,29.864853382110596,29.80413007736206,79.22235507592559,0.03073227033019066,32.740203857421875,1.3912379741668701,139.11000061035156,0.28670060634613037,18.572078704833984,2086.138916015625,340.45454545454544,11,7,0,4,0,0.101318359375,0.19873046875,0.231201171875,0.384033203125,0.084716796875,55.501609802246094,14.023364067077637
6,24576,6099.893279075623,909.6080958843231,875.0924537181854,15.969590425491333,15.936248302459717,108.95987545773387,-0.03575887158513069,62.9678840637207,1.3679076433181763,106.4583740234375,0.11297732591629028,24.71347999572754,2822.454345703125,388.6,10,5,0,5,0,0.1181640625,0.201171875,0.21826171875,0.3818359375,0.08056640625,37.50186538696289,24.619590759277344
7,28672,7147.986928939819,1048.0348770618439,1003.528157711029,22.372320890426636,22.32502508163452,174.36632908582686,0.11816036701202393,131.1644744873047,1.4282925128936768,2.8199210166931152,0.16784411668777466,42.486141204833984,2953.843994140625,298.38461538461536,13,10,1,2,0,0.148681640625,0.15576171875,0.207763671875,0.3896484375,0.09814453125,65.77665710449219,53.52732849121094
8,32768,8228.15008854866,1080.107239484787,1023.9867782592773,36.25620746612549,36.18917894363403,62.59931121766567,0.1434416025876999,41.947410583496094,1.4321022033691406,2.145080089569092,0.4129888415336609,19.996845245361328,3211.42822265625,330.54545454545456,11,10,1,0,0,0.11865234375,0.1962890625,0.190185546875,0.392333984375,0.1025390625,40.22921371459961,21.5310115814209
9,36864,9261.924995183945,1033.6576943397522,988.3892798423767,28.705522298812866,28.669931888580322,432.26582668125627,-0.06503637135028839,171.79246520996094,1.4250445365905762,1234.21826171875,0.22032955288887024,13.650679588317871,6089.068359375,457.375,8,2,1,5,0,0.11328125,0.18408203125,0.180419921875,0.394287109375,0.1279296875,33.62751007080078,20.521257400512695
10,40960,10624.870529174805,1362.9084634780884,1303.3967516422272,42.34980654716492,42.30447196960449,908.673559666425,2.6036053895950317e-05,22.366147994995117,1.4229522943496704,4288.41455078125,0.0,28.624475479125977,7190.46630859375,477.75,8,2,0,6,0,0.118408203125,0.197998046875,0.193359375,0.355224609375,0.135009765625,53.3214225769043,23.838333129882812
