iteration,total_steps,wall_time_seconds,iter_time_seconds,env_step_time_seconds,learn_step_time_seconds,residual_compute_time_seconds,L_total,L_policy,L_value,L_entropy,L_residual_optimality,L_residual_safety,L_distill,mean_reward,mean_episode_length,n_episodes,n_collisions,n_successes,n_timeouts,n_aborts,action_dist_stop,action_dist_creep,action_dist_yield,action_dist_go,action_dist_abort
1,4096,815.968959569931,815.590395450592,782.6113319396973,16.127991199493408,16.0824191570282,2.149417072534561,0.011657685041427612,0.5506951808929443,1.5233761072158813,1.4572057723999023,0.0,0.12985843420028687,-1217.02587890625,500.0,8,0,0,8,0,0.2265625,0.168701171875,0.29052734375,0.089599609375,0.224609375
2,8192,2476.7953686714172,790.0825281143188,753.9538249969482,18.931062936782837,18.888176202774048,23.87011042609811,0.06237911060452461,0.41467922925949097,1.4793113470077515,23.244220733642578,0.0,0.1488313525915146,-2084.623291015625,500.0,8,0,0,8,0,0.249755859375,0.1845703125,0.321044921875,0.097412109375,0.147216796875
3,12288,3188.1220996379852,711.314067363739,673.4328730106354,21.232529401779175,21.180129289627075,2.3373646177351475,-0.0011629275977611542,0.7619234919548035,1.444217324256897,1.4306217432022095,0.0,0.1459823101758957,-1982.0498046875,500.0,8,0,0,8,0,0.220458984375,0.241455078125,0.301025390625,0.156005859375,0.0810546875
4,16384,3925.119665622711,736.9714636802673,704.6635072231293,15.387266159057617,15.328796863555908,4.813350588083267,0.09410300850868225,2.827597141265869,1.416191577911377,1.471293568611145,0.0,0.4203568696975708,-1310.1650390625,500.0,8,0,0,8,0,0.151123046875,0.25634765625,0.3076171875,0.203125,0.081787109375
5,20480,4921.453964233398,996.3037981987,959.3201053142548,15.93364930152893,15.869930267333984,86.07438876479864,-0.02908489853143692,29.112354278564453,1.3473337888717651,38.234840393066406,0.0,18.75627899169922,159.4793701171875,404.7,10,4,0,6,0,0.07080078125,0.282470703125,0.224853515625,0.365234375,0.056640625
6,24576,5743.258880376816,821.7551336288452,784.9703364372253,16.941343069076538,16.88631772994995,64.25429439544678,0.18669486045837402,49.254974365234375,1.4184839725494385,1.848487138748169,0.0,12.96413803100586,821.0177612304688,436.1111111111111,9,2,0,7,0,0.115966796875,0.221435546875,0.240966796875,0.346435546875,0.0751953125
7,28672,6617.419995069504,874.1341845989227,816.4439532756805,37.09436392784119,37.00876832008362,32.820378452539444,0.1252674162387848,20.399446487426758,1.37845778465271,2.166623830795288,0.0,10.129040718078613,2907.060302734375,452.1111111111111,9,2,0,7,0,0.114013671875,0.25390625,0.200439453125,0.364013671875,0.067626953125
8,32768,7563.798147201538,946.3634855747223,912.6226968765259,14.948457956314087,14.908498048782349,46.20061871409416,-0.05290272831916809,29.304292678833008,1.4249120950698853,2.760392665863037,0.0,14.188836097717285,1703.456298828125,479.375,8,3,0,5,0,0.096923828125,0.2236328125,0.2392578125,0.341552734375,0.0986328125
9,36864,8608.320924758911,1044.273455619812,1011.8771996498108,13.7013578414917,13.637019395828247,35.048781894147396,-0.036531902849674225,19.51070213317871,1.4278061389923096,1.9475908279418945,0.0,13.627020835876465,2637.20166015625,500.0,8,0,0,8,0,0.105712890625,0.229248046875,0.239990234375,0.331787109375,0.09326171875
10,40960,9430.658435106277,822.3057332038879,784.1177802085876,17.25979733467102,17.192089080810547,125.68773361295462,0.0854920968413353,42.18027114868164,1.3877629041671753,54.071475982666016,0.0,29.350494384765625,3578.934326171875,381.6,10,6,0,4,0,0.108642578125,0.239990234375,0.2392578125,0.3515625,0.060546875
