iteration,total_steps,wall_time_seconds,iter_time_seconds,env_step_time_seconds,learn_step_time_seconds,residual_compute_time_seconds,L_total,L_policy,L_value,L_entropy,L_residual_optimality,L_residual_safety,L_distill,mean_reward,mean_episode_length,n_episodes,n_collisions,n_successes,n_timeouts,n_aborts,action_dist_stop,action_dist_creep,action_dist_yield,action_dist_go,action_dist_abort
1,204096,1069.7921347618103,1068.8356828689575,1049.4217550754547,2.85565185546875,0.0,28.102805942296982,-0.2028752863407135,28.305681228637695,1.2929530143737793,0.0,0.0,0.0,7578.99462890625,500.0,8,0,0,8,0,0.256591796875,0.2548828125,0.184814453125,0.267333984375,0.036376953125
2,208192,3162.275251865387,1035.216444015503,1017.2332813739777,1.8059890270233154,0.0,17.737038254737854,-0.17479264736175537,17.91183090209961,1.3216508626937866,0.0,0.0,0.0,5626.15234375,500.0,8,0,0,8,0,0.2666015625,0.250732421875,0.16259765625,0.283935546875,0.0361328125
3,212288,4304.3112885952,1142.0226645469666,1123.3880941867828,1.9127318859100342,0.0,22.513554632663727,-0.06404012441635132,22.577594757080078,1.2934585809707642,0.0,0.0,0.0,7658.169921875,500.0,8,0,0,8,0,0.2275390625,0.275390625,0.15576171875,0.298095703125,0.043212890625
4,216384,5426.710384130478,1122.393569946289,1102.5447812080383,2.941701650619507,0.0,24.653518050909042,-0.09217706322669983,24.745695114135742,1.2382982969284058,0.0,0.0,0.0,10722.2001953125,494.25,8,0,1,7,0,0.200439453125,0.284912109375,0.162841796875,0.308349609375,0.04345703125
5,220480,6626.131249904633,1199.3924884796143,1181.0594470500946,2.016592502593994,0.0,25.592992536723614,0.09961485117673874,25.493377685546875,1.2175331115722656,0.0,0.0,0.0,8533.3408203125,497.625,8,0,1,7,0,0.249267578125,0.265869140625,0.171875,0.28515625,0.02783203125
6,224576,7866.27920627594,1240.1402451992035,1217.6366872787476,6.060704946517944,0.0,46.322910487651825,0.0755731463432312,46.247337341308594,1.224471926689148,0.0,0.0,0.0,10415.7216796875,495.5,8,0,1,7,0,0.227294921875,0.286376953125,0.141357421875,0.308837890625,0.0361328125
7,228672,8836.327214717865,970.0180025100708,951.130900144577,2.100369453430176,0.0,28.18822997622192,0.011445460841059685,28.17678451538086,1.2114695310592651,0.0,0.0,0.0,13944.8525390625,500.0,8,0,0,8,0,0.226318359375,0.30322265625,0.147705078125,0.2978515625,0.02490234375
8,232768,9886.329159021378,1049.9838995933533,1032.3439118862152,1.763550043106079,0.0,31.62993472069502,-0.0024390891194343567,31.632373809814453,1.262987494468689,0.0,0.0,0.0,9771.546875,482.125,8,0,1,7,0,0.229248046875,0.318359375,0.146484375,0.283935546875,0.02197265625
9,236864,10994.94521689415,1108.6027748584747,1090.250370979309,1.7337589263916016,0.0,34.88633940368891,-0.08382203429937363,34.97016143798828,1.3011038303375244,0.0,0.0,0.0,9143.923828125,500.0,8,0,0,8,0,0.215087890625,0.303955078125,0.14306640625,0.287109375,0.05078125
10,240960,12088.26466345787,1093.3185296058655,1073.8304960727692,2.8955748081207275,0.0,18.57780573517084,0.07198069244623184,18.50582504272461,1.3193591833114624,0.0,0.0,0.0,9488.03125,500.0,8,0,0,8,0,0.249755859375,0.25830078125,0.162353515625,0.280029296875,0.049560546875
