iteration,total_steps,wall_time_seconds,iter_time_seconds,env_step_time_seconds,learn_step_time_seconds,residual_compute_time_seconds,L_total,L_policy,L_value,L_entropy,L_residual_optimality,L_residual_safety,L_distill,mean_reward,mean_episode_length,n_episodes,n_collisions,n_successes,n_timeouts,n_aborts,action_dist_stop,action_dist_creep,action_dist_yield,action_dist_go,action_dist_abort
1,4096,92.25716614723206,92.25273203849792,35.22337603569031,23.347779035568237,23.25320315361023,3.689609181135893,-0.00781051442027092,0.6998835206031799,1.4997392892837524,0.0,2.884955406188965,0.11258076876401901,-726.8697509765625,500.0,8,0,0,8,0,0.260009765625,0.26513671875,0.15234375,0.154052734375,0.16845703125
2,8192,255.01503944396973,81.90924096107483,31.204649209976196,10.672511339187622,10.6304771900177,5.701384000480175,-0.18857519328594208,3.1175947189331055,1.47800612449646,0.0,2.6744399070739746,0.09792456775903702,-1023.1461181640625,500.0,8,0,0,8,0,0.167236328125,0.246826171875,0.231201171875,0.23193359375,0.122802734375
3,12288,338.9049286842346,83.83663725852966,30.002320766448975,13.639011859893799,13.605784177780151,5.19867330789566,-0.03110697865486145,2.601386785507202,1.4596216678619385,0.0,2.502730369567871,0.1256631314754486,-1663.444580078125,500.0,8,0,0,8,0,0.17041015625,0.24072265625,0.2392578125,0.22900390625,0.12060546875
4,16384,415.4046280384064,76.4877541065216,28.52425479888916,11.520187139511108,11.491515636444092,17.06287306174636,-0.026971276849508286,15.009559631347656,1.431207299232483,0.0,1.9799585342407227,0.10032617300748825,-1146.3492431640625,500.0,8,0,0,8,0,0.12255859375,0.242919921875,0.269775390625,0.29296875,0.07177734375
5,20480,493.5766098499298,78.15423536300659,29.66752028465271,7.960674047470093,7.928439617156982,11.572965435683727,0.059085406363010406,9.415273666381836,1.4140795469284058,0.0,1.993809461593628,0.10479690134525299,-476.9970703125,500.0,8,0,0,8,0,0.1318359375,0.26220703125,0.240478515625,0.2802734375,0.085205078125
6,24576,568.8304424285889,75.25287556648254,28.177715063095093,9.002557039260864,8.971949100494385,18.31521212309599,0.018434807658195496,16.212350845336914,1.43840754032135,0.0,1.9939688444137573,0.09045762568712234,-1226.4444580078125,500.0,8,0,0,8,0,0.123046875,0.295166015625,0.245849609375,0.26611328125,0.06982421875
7,28672,667.7428026199341,98.90477228164673,28.371751308441162,32.89835500717163,32.853034019470215,13.786268647760153,0.04104578122496605,11.544843673706055,1.4376335144042969,0.0,2.0864169597625732,0.11396223306655884,-1096.1572265625,500.0,8,0,0,8,0,0.12548828125,0.2958984375,0.213134765625,0.281005859375,0.08447265625
8,32768,746.1096079349518,78.36595106124878,29.27669906616211,10.057828426361084,10.023435115814209,9.348997756838799,-0.07747961580753326,7.464257717132568,1.3924193382263184,0.0,1.8588430881500244,0.10337656736373901,630.5111694335938,500.0,8,0,0,8,0,0.108154296875,0.235595703125,0.273681640625,0.3056640625,0.076904296875
9,36864,828.8460206985474,82.73575067520142,29.07954239845276,15.798876523971558,15.741189241409302,15.361243069171906,0.06753821671009064,13.072744369506836,1.44362473487854,0.0,2.123027801513672,0.09793268144130707,789.1302490234375,500.0,8,0,0,8,0,0.115234375,0.261962890625,0.255859375,0.2919921875,0.074951171875
10,40960,907.7228746414185,78.86327862739563,29.944103956222534,11.803618669509888,11.773065328598022,43.23509119451046,0.04171068221330643,41.11159133911133,1.4145517349243164,0.0,1.9787434339523315,0.1030457392334938,819.994873046875,500.0,8,0,0,8,0,0.11572265625,0.23583984375,0.30224609375,0.27001953125,0.076171875
11,45056,980.6480648517609,72.9194598197937,27.303352117538452,9.059684753417969,9.028331995010376,8.846799209713936,-0.15345552563667297,6.511100769042969,1.4390037059783936,0.0,2.348308563232422,0.1408454030752182,1526.462158203125,500.0,8,0,0,8,0,0.11962890625,0.287109375,0.2490234375,0.269775390625,0.074462890625
12,49152,1136.8818702697754,72.74246644973755,30.65116262435913,4.480671167373657,4.451690673828125,10.489898063242435,-0.0728493183851242,8.010780334472656,1.4497116804122925,0.0,2.4449236392974854,0.10704340785741806,1379.85595703125,500.0,8,0,0,8,0,0.1279296875,0.254150390625,0.263427734375,0.259521484375,0.094970703125
13,53248,1226.4137234687805,89.48394656181335,31.844807863235474,18.437329530715942,18.401565551757812,9.745232187211514,0.11196547746658325,7.046968936920166,1.4339756965637207,0.0,2.4803292751312256,0.10596849769353867,532.2528076171875,500.0,8,0,0,8,0,0.160888671875,0.2490234375,0.212158203125,0.27490234375,0.10302734375
14,57344,1329.2006237506866,102.78572106361389,29.22801446914673,35.103312492370605,35.05414795875549,32.158895045518875,-0.014996647834777832,29.710538864135742,1.4349336624145508,0.0,2.3640427589416504,0.09931007027626038,1357.2279052734375,500.0,8,0,0,8,0,0.131591796875,0.277587890625,0.2255859375,0.277587890625,0.087646484375
15,61440,1419.8099119663239,90.60792422294617,33.234551429748535,16.310052394866943,16.275548696517944,24.0587828271091,0.043609727174043655,21.575057983398438,1.4469351768493652,0.0,2.336773633956909,0.1033414825797081,-85.19999694824219,500.0,8,0,0,8,0,0.134521484375,0.281982421875,0.236328125,0.27197265625,0.0751953125
16,65536,1508.6067655086517,88.76952147483826,31.668665409088135,15.726899147033691,15.692864894866943,5.716974198818207,0.13251593708992004,3.2418034076690674,1.4425294399261475,0.0,2.1931653022766113,0.14948955178260803,1180.476806640625,500.0,8,0,0,8,0,0.102294921875,0.23291015625,0.27294921875,0.30908203125,0.082763671875
17,69632,1592.1419651508331,83.52174234390259,29.11586332321167,14.27943229675293,14.224389791488647,10.749042347073555,0.13839823007583618,8.112434387207031,1.4573071002960205,0.0,2.396608591079712,0.10160113871097565,1342.275390625,500.0,8,0,0,8,0,0.13134765625,0.258056640625,0.254638671875,0.270263671875,0.085693359375
18,73728,1670.9635846614838,78.8035728931427,32.88039970397949,9.60402798652649,9.560711860656738,15.240141235291958,-0.09387911856174469,12.734345436096191,1.440551519393921,0.0,2.488316059112549,0.11135885864496231,616.3092041015625,500.0,8,0,0,8,0,0.12646484375,0.26171875,0.268310546875,0.255859375,0.087646484375
19,77824,1748.6615087985992,77.69709920883179,30.67265558242798,8.258041143417358,8.229743003845215,14.34233582764864,0.13180257380008698,11.634777069091797,1.412179946899414,0.0,2.4753634929656982,0.10039269179105759,1451.595947265625,500.0,8,0,0,8,0,0.13330078125,0.255859375,0.228759765625,0.2880859375,0.093994140625
20,81920,1831.6847460269928,83.00382542610168,30.863993167877197,13.077903509140015,13.043896675109863,8.70041405968368,0.016413724049925804,6.184268474578857,1.4485703706741333,0.0,2.4067347049713135,0.09299715608358383,816.7966918945312,500.0,8,0,0,8,0,0.1328125,0.24462890625,0.244140625,0.298828125,0.07958984375
