iteration,total_steps,wall_time_seconds,iter_time_seconds,env_step_time_seconds,learn_step_time_seconds,residual_compute_time_seconds,L_total,L_policy,L_value,L_entropy,L_residual_optimality,L_residual_safety,L_distill,mean_reward,mean_episode_length,n_episodes,n_collisions,n_successes,n_timeouts,n_aborts,action_dist_stop,action_dist_creep,action_dist_yield,action_dist_go,action_dist_abort
1,4096,1872.7498767375946,1872.3276340961456,1846.19575881958,8.996346950531006,8.959295511245728,24.075231805443764,0.06829310953617096,7.968837261199951,1.4471429586410522,12.990745544433594,0.0,3.047355890274048,-632.413330078125,500.0,8,0,0,8,0,0.168212890625,0.29931640625,0.23193359375,0.19091796875,0.109619140625
2,8192,5884.164670228958,1558.5718038082123,1534.2613952159882,7.746516942977905,7.710294008255005,5.460310902446508,-0.02840009704232216,2.9180099964141846,1.432870864868164,0.8965520858764648,0.0,1.6741489171981812,-840.1970825195312,500.0,8,0,0,8,0,0.17626953125,0.3056640625,0.233642578125,0.218017578125,0.06640625
3,12288,7427.704810142517,1543.500542640686,1511.1140372753143,15.6655912399292,15.600983381271362,2146.399147376418,0.14538227021694183,33.20808410644531,1.422236680984497,2104.967041015625,0.0,8.07863998413086,-1565.154296875,500.0,8,0,0,8,0,0.153076171875,0.30859375,0.232666015625,0.256103515625,0.049560546875
4,16384,9106.507248401642,1678.781445980072,1654.9727454185486,6.4651734828948975,6.429429531097412,14.588968575000763,-0.046147048473358154,7.104673385620117,1.3949215412139893,3.3303565979003906,0.0,4.200085639953613,-765.6539916992188,500.0,8,0,0,8,0,0.16357421875,0.30224609375,0.226806640625,0.23583984375,0.071533203125
5,20480,10901.303991556168,1794.782282590866,1766.928880929947,10.543146133422852,10.495474576950073,13.115990810096264,-0.11833829432725906,7.762032985687256,1.3737772703170776,0.8092821836471558,0.0,4.663013935089111,-503.857421875,500.0,8,0,0,8,0,0.144775390625,0.32421875,0.23291015625,0.240966796875,0.05712890625
6,24576,12562.388773918152,1661.0483582019806,1635.068740606308,8.62081241607666,8.581180334091187,69.63283032178879,-0.1841614842414856,7.637959003448486,1.3486372232437134,56.18270492553711,0.0,5.996327877044678,609.6276245117188,500.0,8,0,0,8,0,0.152587890625,0.30712890625,0.244384765625,0.255615234375,0.040283203125
7,28672,13478.751965284348,916.3265063762665,892.7100605964661,7.410044193267822,7.357921838760376,24.391050837934017,0.07925822585821152,15.290657043457031,1.3603687286376953,1.7675678730010986,0.0,7.253567695617676,239.72219848632812,500.0,8,0,0,8,0,0.162841796875,0.30126953125,0.238037109375,0.264404296875,0.033447265625
8,32768,14375.177054405212,896.3746905326843,875.0612149238586,6.0521557331085205,6.006705045700073,37.07938975840807,0.0997319296002388,28.556730270385742,1.383047342300415,0.8397137522697449,0.0,7.583213806152344,51.17896270751953,500.0,8,0,0,8,0,0.167236328125,0.291015625,0.240966796875,0.26416015625,0.03662109375
9,36864,15105.499956846237,730.1751661300659,710.9711694717407,4.854263544082642,4.816812992095947,79.93199224770069,-0.12719182670116425,48.982826232910156,1.3882744312286377,19.26470375061035,0.0,11.811654090881348,1069.734130859375,500.0,8,0,0,8,0,0.164306640625,0.264404296875,0.253173828125,0.280029296875,0.0380859375
10,40960,15788.815963506699,683.297532081604,664.0292913913727,4.832769393920898,4.798202276229858,58.50772584974766,0.022790566086769104,49.38103485107422,1.3652257919311523,0.8057894706726074,0.0,8.298110961914062,1100.7900390625,500.0,8,0,0,8,0,0.164306640625,0.28076171875,0.24267578125,0.285400390625,0.02685546875
11,45056,16488.118926286697,699.2832751274109,678.5486214160919,6.201733827590942,6.1558496952056885,67.72224879264832,0.011345624923706055,27.415679931640625,1.3406096696853638,25.433124542236328,0.0,14.862098693847656,1693.6536865234375,500.0,8,0,0,8,0,0.171875,0.27685546875,0.234130859375,0.28759765625,0.029541015625
12,49152,17883.20371413231,641.000764131546,621.2985060214996,5.524019241333008,5.486408948898315,44.96861141175032,-0.12101799994707108,30.790935516357422,1.3298766613006592,1.636054277420044,0.0,12.662639617919922,924.9661865234375,500.0,8,0,0,8,0,0.156494140625,0.291015625,0.249755859375,0.271728515625,0.031005859375
13,53248,18587.56366443634,704.3489847183228,684.5044686794281,5.653921127319336,5.612914085388184,50.73666892759502,-0.021083610132336617,31.42995834350586,1.3530046939849854,0.9265834093093872,0.0,18.40121078491211,1898.406005859375,500.0,8,0,0,8,0,0.13916015625,0.28515625,0.287841796875,0.260986328125,0.02685546875
14,57344,19232.304692029953,644.7174854278564,624.9680008888245,5.332854747772217,5.289649724960327,47.49790793657303,0.1818264126777649,22.22955322265625,1.3205946683883667,2.721015453338623,0.0,22.36551284790039,2549.255615234375,500.0,8,0,0,8,0,0.16015625,0.27392578125,0.2490234375,0.28076171875,0.0361328125
15,61440,19900.617572307587,668.3017680644989,648.5115485191345,5.555146932601929,5.517167806625366,69.00896762311459,-0.07803799211978912,35.60053253173828,1.3114782571792603,2.8142662048339844,0.0,30.67220687866211,1902.08935546875,500.0,8,0,0,8,0,0.1474609375,0.27392578125,0.273681640625,0.267578125,0.037353515625
16,65536,20563.593388795853,662.9748888015747,643.492912530899,5.013653516769409,4.975654602050781,1997.4480430781841,-0.08676984906196594,45.927696228027344,1.3577392101287842,1913.71826171875,0.0,37.88885498046875,1797.68359375,500.0,8,0,0,8,0,0.16455078125,0.26123046875,0.257568359375,0.28369140625,0.032958984375
17,69632,21287.00442814827,723.3968553543091,703.3953478336334,5.597849369049072,5.556627035140991,2319.0186836495996,0.05899164825677872,37.16646194458008,1.3602380752563477,2260.552001953125,0.0,21.241228103637695,3536.472900390625,500.0,8,0,0,8,0,0.138671875,0.276611328125,0.26611328125,0.279296875,0.039306640625
18,73728,22003.9028403759,716.877824306488,696.9169714450836,5.502701997756958,5.463934898376465,90.29150394629687,-0.0013780193403363228,38.515296936035156,1.310380458831787,2.0871400833129883,0.0,49.69044494628906,3219.405517578125,500.0,8,0,0,8,0,0.137451171875,0.275634765625,0.27783203125,0.26318359375,0.0458984375
19,77824,22727.80395913124,723.8726751804352,704.0693118572235,5.519267559051514,5.47805118560791,49.856286358088255,0.018446993082761765,25.36734962463379,1.3098901510238647,1.0435945987701416,0.0,23.426895141601562,3871.91845703125,500.0,8,0,0,8,0,0.127685546875,0.290771484375,0.262451171875,0.282470703125,0.03662109375
20,81920,23414.370660305023,686.5350389480591,666.6856641769409,5.292230844497681,5.252313852310181,108.98596234619617,0.010130360722541809,36.31901550292969,1.323211908340454,20.810407638549805,0.0,51.84640884399414,4288.72802734375,500.0,8,0,0,8,0,0.140869140625,0.30126953125,0.251953125,0.272705078125,0.033203125
21,86016,24042.872968912125,628.4899396896362,609.0872764587402,5.491819143295288,5.451219797134399,32.181390553712845,0.06539538502693176,18.412160873413086,1.3267366886138916,0.9534347057342529,0.0,12.750399589538574,3038.1162109375,500.0,8,0,0,8,0,0.21484375,0.26513671875,0.213623046875,0.2744140625,0.031982421875
