iteration,total_steps,wall_time_seconds,iter_time_seconds,env_step_time_seconds,learn_step_time_seconds,residual_compute_time_seconds,L_total,L_policy,L_value,L_entropy,L_residual_optimality,L_residual_safety,L_distill,mean_reward,mean_episode_length,n_episodes,n_collisions,n_successes,n_timeouts,n_aborts,action_dist_stop,action_dist_creep,action_dist_yield,action_dist_go,action_dist_abort
1,4096,77.58432459831238,77.57850575447083,32.60052490234375,14.280703067779541,14.242696762084961,8.621601089835167,0.019732162356376648,6.2654571533203125,1.4179949760437012,0.4416983723640442,0.0,1.8947134017944336,-695.4073486328125,500.0,8,0,0,8,0,0.2255859375,0.1474609375,0.205810546875,0.321044921875,0.10009765625
2,8192,229.2749273777008,78.16056752204895,35.3626651763916,10.874679565429688,10.830743551254272,361.3894027285278,0.0020168833434581757,17.295528411865234,1.4056493043899536,338.32659912109375,0.0,5.765258312225342,-943.7002563476562,500.0,8,0,0,8,0,0.205810546875,0.208740234375,0.20458984375,0.32568359375,0.05517578125
3,12288,304.94313192367554,75.63427877426147,33.11351704597473,11.942750930786133,11.897550344467163,24.727832332253456,-0.08089379966259003,18.093650817871094,1.3797749280929565,0.6482933163642883,0.0,6.066781997680664,-1043.155029296875,500.0,8,0,0,8,0,0.24853515625,0.182861328125,0.226318359375,0.299072265625,0.043212890625
4,16384,377.0331223011017,72.07646083831787,32.61237955093384,8.9327232837677,8.855612993240356,71.83988477289677,-0.1915273517370224,6.628382682800293,1.3603540658950806,61.59357452392578,0.0,3.809454917907715,-310.03350830078125,500.0,8,0,0,8,0,0.20166015625,0.21630859375,0.237060546875,0.30029296875,0.044677734375
5,20480,450.70772099494934,73.65684294700623,36.46788001060486,3.7117435932159424,3.6811110973358154,27.169086307287216,-0.037401825189590454,8.048017501831055,1.3127121925354004,12.124632835388184,0.0,7.033837795257568,-322.4906921386719,500.0,8,0,0,8,0,0.17041015625,0.24755859375,0.236572265625,0.294921875,0.050537109375
6,24576,514.3079364299774,63.58121585845947,31.702998399734497,4.159360408782959,4.117919683456421,10.356976300477982,-0.05997946858406067,5.5228447914123535,1.2876662015914917,0.8738167881965637,0.0,4.020294189453125,801.6429443359375,500.0,8,0,0,8,0,0.153076171875,0.279052734375,0.224365234375,0.308349609375,0.03515625
7,28672,582.9987413883209,68.6862199306488,32.042243003845215,7.60887885093689,7.5790183544158936,70.92954462766647,0.2980782389640808,44.13446044921875,1.3565864562988281,3.7189602851867676,0.0,22.778045654296875,444.77923583984375,500.0,8,0,0,8,0,0.134521484375,0.29833984375,0.213623046875,0.30322265625,0.05029296875
8,32768,652.8982238769531,69.88164353370667,34.20612931251526,5.731830835342407,5.702653169631958,77.76017684489489,0.0945710614323616,60.668792724609375,1.317517638206482,0.9310877323150635,0.0,16.065725326538086,1896.8487548828125,500.0,8,0,0,8,0,0.14013671875,0.304443359375,0.2099609375,0.31787109375,0.027587890625
9,36864,723.1888720989227,70.27556276321411,32.422494649887085,7.730630159378052,7.6961510181427,49.31017829477787,-0.02640382945537567,27.316387176513672,1.3587536811828613,0.8404445052146912,0.0,21.179750442504883,2135.14599609375,500.0,8,0,0,8,0,0.130126953125,0.294189453125,0.19921875,0.3212890625,0.05517578125
10,40960,795.919712305069,72.7161386013031,33.20777988433838,9.700948715209961,9.644844770431519,63.35023648291826,0.04376751929521561,46.44890594482422,1.321917176246643,0.9802837371826172,0.0,15.877279281616211,2736.11181640625,500.0,8,0,0,8,0,0.1396484375,0.297607421875,0.179443359375,0.32080078125,0.0625
11,45056,869.9475898742676,73.82769727706909,33.116650104522705,8.758542537689209,8.721401929855347,69.73168638441712,0.004266292788088322,46.59980010986328,1.3441240787506104,2.0358269214630127,0.0,21.091793060302734,2420.74951171875,500.0,8,0,0,8,0,0.173828125,0.258056640625,0.206787109375,0.31005859375,0.05126953125
12,49152,1005.499006986618,66.61989855766296,30.750998497009277,8.626145124435425,8.57837963104248,155.65648164600134,-0.011008359491825104,46.33516311645508,1.3742567300796509,86.54168701171875,0.0,22.790639877319336,2302.4404296875,500.0,8,0,0,8,0,0.171630859375,0.239501953125,0.218994140625,0.316650390625,0.05322265625
