iteration,total_steps,wall_time_seconds,iter_time_seconds,env_step_time_seconds,learn_step_time_seconds,residual_compute_time_seconds,L_total,L_policy,L_value,L_entropy,L_residual_optimality,L_residual_safety,L_distill,mean_reward,mean_episode_length,n_episodes,n_collisions,n_successes,n_timeouts,n_aborts,action_dist_stop,action_dist_creep,action_dist_yield,action_dist_go,action_dist_abort
1,4096,2139.3132407665253,2138.9694471359253,2088.4168980121613,30.3395893573761,30.26503849029541,142.86845187284052,-0.0017828550189733505,2.003333568572998,1.529221773147583,139.61024475097656,0.0,1.2566564083099365,-1335.61328125,500.0,8,0,0,8,0,0.160400390625,0.14404296875,0.24755859375,0.17041015625,0.277587890625
2,8192,6073.373049497604,2036.8078348636627,1999.6886160373688,17.36730194091797,17.307942390441895,2.7986501678824425,0.06371381133794785,0.8160089254379272,1.5191923379898071,1.5488022565841675,0.0,0.3701251745223999,-1761.2237548828125,500.0,8,0,0,8,0,0.184326171875,0.19287109375,0.27099609375,0.19482421875,0.156982421875
3,12288,8246.4302816391,2173.035101890564,2127.696996688843,24.92974829673767,24.8612322807312,150.73718844354153,0.1291884034872055,6.496195316314697,1.4322563409805298,141.94912719726562,0.0,2.162677526473999,-1788.181884765625,500.0,8,0,0,8,0,0.153564453125,0.244873046875,0.297119140625,0.193359375,0.111083984375
4,16384,10256.65462756157,2010.2066876888275,1969.4710774421692,19.96567940711975,19.90503168106079,476.76674616895616,0.01849091611802578,40.79867935180664,1.4160027503967285,429.563232421875,0.0,6.386343479156494,-1975.432861328125,500.0,8,0,0,8,0,0.140380859375,0.303466796875,0.23193359375,0.24853515625,0.07568359375
5,20480,12040.113929748535,1783.4462451934814,1749.1492166519165,15.022852182388306,14.965819835662842,94.60896938294172,0.07896106690168381,25.953571319580078,1.4206974506378174,60.1832160949707,0.0,8.393220901489258,-1964.6649169921875,500.0,8,0,0,8,0,0.121826171875,0.262939453125,0.235595703125,0.294677734375,0.0849609375
6,24576,13239.07400727272,1198.949399471283,1171.154839515686,11.019843816757202,10.967672348022461,30.485135085880756,0.03173745423555374,23.197547912597656,1.3721588850021362,1.7200745344161987,0.0,5.535775184631348,-305.79266357421875,500.0,8,0,0,8,0,0.08935546875,0.321533203125,0.2431640625,0.2822265625,0.063720703125
7,28672,14225.670909881592,986.572493314743,959.5102722644806,11.2608642578125,11.212469816207886,307.18203166127205,0.14356520771980286,36.1449089050293,1.3907033205032349,257.66888427734375,0.0,13.2246732711792,-535.6416625976562,500.0,8,0,0,8,0,0.103271484375,0.305419921875,0.231689453125,0.2919921875,0.067626953125
8,32768,15209.214859724045,983.5187525749207,954.0590732097626,13.6462562084198,13.590490818023682,42.46317092329264,0.05019942671060562,29.449621200561523,1.4180536270141602,2.0475330352783203,0.0,10.915817260742188,41.43373107910156,500.0,8,0,0,8,0,0.10595703125,0.311767578125,0.216552734375,0.294189453125,0.071533203125
9,36864,16250.057875394821,1040.8261137008667,1015.0258882045746,9.37056040763855,9.324370861053467,51.22977141290903,0.0803319588303566,33.23344802856445,1.3878860473632812,1.677202820777893,0.0,16.238788604736328,1277.8134765625,500.0,8,0,0,8,0,0.099609375,0.28076171875,0.219482421875,0.326416015625,0.07373046875
10,40960,17195.665324926376,945.5794277191162,918.3728811740875,11.066014289855957,11.00101900100708,52.83549602329731,0.03091438114643097,28.81773567199707,1.4169222116470337,4.309082984924316,0.0,19.677762985229492,-387.0130615234375,500.0,8,0,0,8,0,0.12451171875,0.238037109375,0.2333984375,0.33154296875,0.072509765625
