iteration,total_steps,wall_time_seconds,iter_time_seconds,env_step_time_seconds,learn_step_time_seconds,residual_compute_time_seconds,L_total,L_policy,L_value,L_entropy,L_residual_optimality,L_residual_safety,L_distill,mean_reward,mean_episode_length,n_episodes,n_collisions,n_successes,n_timeouts,n_aborts,action_dist_stop,action_dist_creep,action_dist_yield,action_dist_go,action_dist_abort
1,4096,70.99966096878052,70.9827663898468,30.578822135925293,9.710673093795776,9.677470207214355,6.121817149221897,0.0009730234742164612,3.6049108505249023,1.4668896198272705,1.4868885278701782,0.0,1.0290447473526,-900.192626953125,500.0,8,0,0,8,0,0.19140625,0.208984375,0.1201171875,0.32275390625,0.15673828125
2,8192,197.87218523025513,69.99918341636658,34.010618686676025,5.612781286239624,5.57931923866272,19.937702625989914,-0.10216620564460754,6.552034854888916,1.4416108131408691,10.7714204788208,0.0,2.7164134979248047,-1513.520751953125,500.0,8,0,0,8,0,0.172607421875,0.2314453125,0.17041015625,0.306640625,0.118896484375
3,12288,275.0122082233429,77.11984205245972,35.6051812171936,11.775125980377197,11.711575746536255,91.80111218988895,-0.06786249577999115,12.141608238220215,1.4012763500213623,74.93492126464844,0.0,4.792445182800293,-1639.228271484375,500.0,8,0,0,8,0,0.126953125,0.314208984375,0.20947265625,0.2822265625,0.067138671875
4,16384,358.7807528972626,83.7623438835144,34.64488458633423,19.91797399520874,19.882694959640503,82.70612110570073,0.05501570180058479,22.729394912719727,1.4157705307006836,54.31122970581055,0.0,5.610480785369873,-1561.687744140625,500.0,8,0,0,8,0,0.09326171875,0.314208984375,0.225341796875,0.27587890625,0.09130859375
5,20480,437.2627263069153,78.47486996650696,33.709270000457764,14.195172548294067,14.145544290542603,27.16388746164739,0.005777081474661827,16.850997924804688,1.4178943634033203,1.601316213607788,0.0,8.705796241760254,-1357.226806640625,500.0,8,0,0,8,0,0.115234375,0.281982421875,0.2216796875,0.29931640625,0.081787109375
6,24576,510.2794461250305,73.00952863693237,28.1539568901062,9.440745830535889,9.407628774642944,1031.0243825167418,-0.09837444126605988,22.09402084350586,1.3747259378433228,997.7863159179688,0.0,11.242420196533203,-300.8861389160156,500.0,8,0,0,8,0,0.11181640625,0.29931640625,0.223388671875,0.30078125,0.064697265625
7,28672,599.1349017620087,88.81598782539368,27.76023554801941,20.92316770553589,20.88161301612854,132.65505316853523,-0.13214775919914246,71.78762817382812,1.3865361213684082,45.951290130615234,0.0,15.048282623291016,319.3958740234375,500.0,8,0,0,8,0,0.111328125,0.29833984375,0.225341796875,0.311767578125,0.05322265625
8,32768,679.8476378917694,80.70713877677917,31.108759880065918,13.720890045166016,13.675743341445923,1887.9087155014277,0.08289267122745514,66.2685546875,1.4253664016723633,1799.93603515625,0.0,21.621232986450195,-102.60440063476562,500.0,8,0,0,8,0,0.1318359375,0.26953125,0.222900390625,0.305908203125,0.06982421875
9,36864,759.443573474884,79.58283376693726,26.603684663772583,16.227648496627808,16.1870858669281,106.87728299945593,-0.12084922939538956,80.61299133300781,1.405914306640625,2.0655875205993652,0.0,24.31955337524414,1110.4219970703125,500.0,8,0,0,8,0,0.117431640625,0.28955078125,0.20751953125,0.307373046875,0.078125
10,40960,834.8378925323486,75.14516258239746,29.423850774765015,9.20662784576416,9.172436475753784,107.40419709682465,0.07919871807098389,66.88337707519531,1.4002439975738525,2.1264395713806152,0.0,38.315181732177734,958.9119873046875,500.0,8,0,0,8,0,0.12255859375,0.26220703125,0.20849609375,0.337158203125,0.069580078125
11,45056,907.3686320781708,72.44333791732788,27.1757493019104,11.245991230010986,11.207495212554932,111.35912449657917,-0.058496877551078796,69.30741119384766,1.4504692554473877,2.6735951900482178,0.0,39.436614990234375,548.3230590820312,500.0,8,0,0,8,0,0.121826171875,0.260986328125,0.20068359375,0.328125,0.08837890625
12,49152,1041.9990339279175,84.082195520401,27.37979531288147,21.97534728050232,21.921395540237427,54.46569061279297,0.035479068756103516,30.310518264770508,1.406256914138794,2.258054256439209,0.0,21.86163902282715,768.77880859375,500.0,8,0,0,8,0,0.12060546875,0.251708984375,0.200927734375,0.34912109375,0.07763671875
13,53248,1112.0847017765045,70.06055521965027,28.21014904975891,7.619734764099121,7.589270114898682,626.1300684958696,-0.004376694560050964,69.80278015136719,1.4060242176055908,516.0785522460938,0.0,40.25311279296875,2167.97021484375,500.0,8,0,0,8,0,0.132568359375,0.240234375,0.206787109375,0.347900390625,0.072509765625
14,57344,1200.8904116153717,88.80437755584717,27.520676851272583,23.6401309967041,23.563809156417847,930.537197753787,0.07157962024211884,88.58748626708984,1.4581609964370728,794.555419921875,0.0,47.32271194458008,618.491943359375,500.0,8,0,0,8,0,0.126953125,0.248779296875,0.2109375,0.330078125,0.083251953125
