iteration,total_steps,wall_time_seconds,iter_time_seconds,env_step_time_seconds,learn_step_time_seconds,residual_compute_time_seconds,L_total,L_policy,L_value,L_entropy,L_residual_optimality,L_residual_safety,L_distill,mean_reward,mean_episode_length,n_episodes,n_collisions,n_successes,n_timeouts,n_aborts,action_dist_stop,action_dist_creep,action_dist_yield,action_dist_go,action_dist_abort
1,4096,559.8387727737427,559.1121921539307,543.4489433765411,1.703075647354126,0.0,2.3427374586462975,-0.048938967287540436,2.391676425933838,1.401201605796814,0.0,0.0,0.0,-1329.81640625,500.0,8,0,0,8,0,0.130126953125,0.12890625,0.352783203125,0.13525390625,0.2529296875
2,8192,1793.6438286304474,501.7161672115326,486.3820252418518,1.148435354232788,0.0,1.404796451330185,-0.13969197869300842,1.5444884300231934,1.403265118598938,0.0,0.0,0.0,-1805.16259765625,500.0,8,0,0,8,0,0.16455078125,0.134521484375,0.3642578125,0.192626953125,0.14404296875
3,12288,2356.9873406887054,563.3257870674133,546.3959054946899,2.302110195159912,0.0,2.625449724495411,-0.11048620194196701,2.735935926437378,1.3638265132904053,0.0,0.0,0.0,-1448.0223388671875,500.0,8,0,0,8,0,0.116455078125,0.163330078125,0.382080078125,0.2275390625,0.110595703125
4,16384,2927.208026409149,570.2148342132568,553.9913394451141,1.8085262775421143,0.0,57.585296504199505,-0.1197892501950264,57.70508575439453,1.2519217729568481,0.0,0.0,0.0,404.97222900390625,500.0,8,0,0,8,0,0.125,0.171142578125,0.35986328125,0.281005859375,0.06298828125
5,20480,3502.5482223033905,575.3337547779083,560.0232667922974,1.008162498474121,0.0,599.1016361862421,-0.13865922391414642,599.2402954101562,1.295390248298645,0.0,0.0,0.0,3615.45849609375,475.125,8,1,3,4,0,0.11083984375,0.17236328125,0.413330078125,0.259765625,0.043701171875
6,24576,4042.430447101593,539.8551042079926,523.182904958725,1.5731112957000732,0.0,358.8729191124439,-0.17462727427482605,359.04754638671875,1.311274528503418,0.0,0.0,0.0,4525.3056640625,434.44444444444446,9,1,3,5,0,0.126708984375,0.16552734375,0.365966796875,0.28662109375,0.05517578125
7,28672,4533.093985080719,490.63603043556213,475.7335319519043,0.8846132755279541,0.0,311.39625462703407,-0.011734874919056892,311.4079895019531,1.2967790365219116,0.0,0.0,0.0,8218.802734375,450.5,8,0,3,5,0,0.102783203125,0.14892578125,0.379638671875,0.3017578125,0.06689453125
8,32768,5061.225896120071,528.1211695671082,512.796689748764,1.5153987407684326,0.0,146.8239658549428,-0.032067470252513885,146.8560333251953,1.3171095848083496,0.0,0.0,0.0,6672.31298828125,486.125,8,0,1,7,0,0.115966796875,0.186767578125,0.339599609375,0.29296875,0.064697265625
9,36864,5572.746440887451,511.5021665096283,497.12115359306335,0.7920093536376953,0.0,20.39226170256734,-0.02725772187113762,20.419519424438477,1.3088382482528687,0.0,0.0,0.0,6376.462890625,490.75,8,1,0,7,0,0.109375,0.270263671875,0.288330078125,0.28466796875,0.04736328125
10,40960,6055.395117521286,482.6190547943115,467.9908232688904,0.8137853145599365,0.0,34.70186231471598,0.018047312274575233,34.683815002441406,1.2598345279693604,0.0,0.0,0.0,8860.8193359375,500.0,8,0,0,8,0,0.09912109375,0.253662109375,0.303466796875,0.299072265625,0.044677734375
