iteration,total_steps,wall_time_seconds,iter_time_seconds,env_step_time_seconds,learn_step_time_seconds,residual_compute_time_seconds,L_total,L_policy,L_value,L_entropy,L_residual_optimality,L_residual_safety,L_distill,mean_reward,mean_episode_length,n_episodes,n_collisions,n_successes,n_timeouts,n_aborts,action_dist_stop,action_dist_creep,action_dist_yield,action_dist_go,action_dist_abort
1,4096,873.897027015686,873.3241579532623,792.6834409236908,31.684094667434692,31.644715785980225,77.74332536011934,-0.0441974475979805,0.6927094459533691,1.357693076133728,76.92013549804688,0.0,0.17467786371707916,-504.0572204589844,500.0,8,0,0,8,0,0.418701171875,0.1669921875,0.0830078125,0.19287109375,0.138427734375
2,8192,2870.2008504867554,981.2383337020874,959.7249755859375,5.413161516189575,5.365973472595215,705.9780087769032,-0.09133771061897278,0.5852771997451782,1.281305193901062,705.1744995117188,0.0,0.309569776058197,-700.6309814453125,500.0,8,0,0,8,0,0.459228515625,0.204833984375,0.07080078125,0.2021484375,0.06298828125
3,12288,3644.0419771671295,773.8145673274994,738.4686427116394,19.061031818389893,19.016878366470337,2.759227477014065,-0.05095592886209488,2.059835910797119,1.2955057621002197,0.29919883608818054,0.0,0.45114865899086,-734.6591796875,500.0,8,0,0,8,0,0.476318359375,0.207763671875,0.10205078125,0.182861328125,0.031005859375
4,16384,4306.231810569763,662.1545920372009,637.5832419395447,8.702029466629028,8.658356189727783,146.07311755418777,-0.032951295375823975,0.8114556074142456,1.3198260068893433,144.9197235107422,0.0,0.3748897314071655,-345.15435791015625,500.0,8,0,0,8,0,0.385009765625,0.19091796875,0.14501953125,0.245361328125,0.03369140625
5,20480,5385.771868228912,1079.4849109649658,1033.775405406952,29.32251000404358,29.27977967262268,9.150693422183394,-0.02683352865278721,3.818100929260254,1.2811100482940674,3.9521844387054443,0.0,1.4072415828704834,1225.353271484375,500.0,8,0,0,8,0,0.27490234375,0.2646484375,0.13330078125,0.2998046875,0.02734375
6,24576,6237.279013395309,851.497065782547,823.1191229820251,11.861670732498169,11.816376686096191,1261.2288405951113,0.0271685179322958,9.984028816223145,1.3023821115493774,1246.5816650390625,0.0,4.6359782218933105,2419.41259765625,500.0,8,0,0,8,0,0.19873046875,0.2900390625,0.165283203125,0.310546875,0.035400390625
7,28672,6977.204679727554,739.8778109550476,718.5187435150146,5.576887845993042,5.53225564956665,27.916915521025658,0.08459006249904633,23.944433212280273,1.3025182485580444,0.6774129867553711,0.0,3.210479259490967,3083.291015625,500.0,8,0,0,8,0,0.197998046875,0.301513671875,0.17138671875,0.2958984375,0.033203125
8,32768,7722.1497638225555,744.9378488063812,723.0594484806061,5.786187648773193,5.740331172943115,634.7818831801414,-0.4188386797904968,624.0413208007812,1.270790934562683,1.5022393465042114,0.0,9.657161712646484,4271.9521484375,460.0,8,2,1,5,0,0.175048828125,0.345458984375,0.142578125,0.2958984375,0.041015625
9,36864,8379.09890294075,656.8772468566895,635.386595249176,5.441549301147461,5.3955864906311035,51.811907440423965,-0.16143593192100525,41.954341888427734,1.2785024642944336,1.1208109855651855,0.0,8.89819049835205,4386.0302734375,500.0,8,0,0,8,0,0.19775390625,0.35107421875,0.12890625,0.270263671875,0.052001953125
10,40960,9158.152432203293,779.0466225147247,754.1377284526825,8.88711404800415,8.839509725570679,91.38075891509652,0.030976925045251846,47.10939407348633,1.339126467704773,30.137128829956055,0.0,14.103259086608887,3605.76953125,489.375,8,1,0,7,0,0.161865234375,0.3046875,0.162841796875,0.28564453125,0.0849609375
11,45056,9913.604868888855,755.4169223308563,718.8700504302979,20.47393774986267,20.425834894180298,121.3867798410356,0.019120868295431137,87.08349609375,1.287116527557373,1.3601363897323608,0.0,32.92402648925781,5015.5458984375,477.25,8,1,1,6,0,0.186279296875,0.31787109375,0.126708984375,0.3056640625,0.0634765625
12,49152,11242.800559282303,609.6145265102386,558.2485103607178,35.63550043106079,35.58837628364563,133.8425876647234,0.17491479218006134,110.44234466552734,1.3058173656463623,1.1217553615570068,0.0,22.103572845458984,4772.109375,491.75,8,1,0,7,0,0.234619140625,0.311279296875,0.107177734375,0.294677734375,0.05224609375
13,53248,12045.213863611221,802.3900141716003,677.0489373207092,109.57542252540588,109.51384830474854,152.73814345896244,0.07034720480442047,116.912109375,1.3480318784713745,1.410300374031067,0.0,34.34538650512695,5294.2177734375,467.5,8,2,1,5,0,0.178955078125,0.291015625,0.124267578125,0.322509765625,0.083251953125
14,57344,12901.641045331955,856.3954169750214,819.8359105587006,19.230083227157593,19.184614896774292,256.86971071362495,0.07091692090034485,142.96023559570312,1.2857824563980103,46.67489242553711,0.0,67.16366577148438,7000.74462890625,414.8888888888889,9,3,3,3,0,0.196044921875,0.28369140625,0.116943359375,0.340087890625,0.063232421875
15,61440,13640.726242780685,739.0005650520325,714.3715217113495,8.577264785766602,8.530518770217896,413.98124612122774,0.018468983471393585,255.2439727783203,1.2629833221435547,14.266304969787598,0.0,144.45249938964844,8504.6162109375,460.625,8,2,2,4,0,0.157958984375,0.304931640625,0.1201171875,0.351318359375,0.065673828125
16,65536,14406.61017537117,765.8748400211334,744.4054524898529,5.6601831912994385,5.615276336669922,192.63419443182647,-0.002195538952946663,131.87644958496094,1.2483291625976562,2.857203722000122,0.0,57.90273666381836,9056.1181640625,487.0,8,1,1,6,0,0.22265625,0.27587890625,0.11083984375,0.309326171875,0.081298828125
17,69632,15199.289850950241,792.6591532230377,770.2242293357849,5.559445858001709,5.514137029647827,240.0636599212885,0.15146543085575104,178.73960876464844,1.2215763330459595,1.2287647724151611,0.0,59.94382095336914,10268.5361328125,446.6666666666667,9,0,3,6,0,0.169189453125,0.315185546875,0.103271484375,0.34814453125,0.064208984375
18,73728,16028.002940416336,828.6935248374939,806.1352071762085,5.692537784576416,5.6447038650512695,350.7906535156071,-0.05935163423418999,243.60357666015625,1.247456669807434,9.120352745056152,0.0,98.1260757446289,12591.5576171875,435.44444444444446,9,1,4,4,0,0.20849609375,0.288330078125,0.093017578125,0.35693359375,0.05322265625
19,77824,16686.2447783947,658.2109386920929,636.1280474662781,6.418722867965698,6.373059034347534,111.13800898939371,0.04838386923074722,43.352630615234375,1.2647850513458252,1.5242946147918701,0.0,66.21269989013672,10910.39453125,475.0,8,3,0,5,0,0.187744140625,0.3076171875,0.10546875,0.322265625,0.076904296875
20,81920,17301.61562848091,615.3432195186615,591.6905374526978,6.8388776779174805,6.79434609413147,440.35850347578526,-0.13808153569698334,350.02142333984375,1.1787370443344116,1.9126006364822388,0.0,88.56256103515625,12767.392578125,446.8888888888889,9,2,3,4,0,0.2041015625,0.28564453125,0.0986328125,0.350830078125,0.060791015625
21,86016,17990.550886631012,688.9133567810059,666.0151169300079,5.823389530181885,5.777984857559204,260.5350441932678,-0.14652705192565918,166.2711944580078,1.2324635982513428,1.4293434619903564,0.0,92.98103332519531,11117.0751953125,445.3333333333333,9,1,2,6,0,0.198974609375,0.275146484375,0.10205078125,0.351318359375,0.072509765625
22,90112,19195.565000772476,661.7285375595093,640.4084722995758,5.337852954864502,5.294083833694458,164.00217012502253,-0.014344653114676476,92.69071960449219,1.270634412765503,12.81157398223877,0.0,58.51422119140625,9465.1923828125,457.75,8,1,1,6,0,0.193359375,0.24658203125,0.10986328125,0.3564453125,0.09375
23,94208,19937.733771324158,742.1580984592438,718.9210257530212,5.98274040222168,5.93513035774231,299.34556810185313,-0.049384910613298416,180.14195251464844,1.2182971239089966,3.0751821994781494,0.0,116.17781829833984,15830.5244140625,436.8888888888889,9,0,5,4,0,0.223388671875,0.250732421875,0.090576171875,0.360595703125,0.07470703125
24,98304,20576.949960708618,639.1960124969482,614.4633371829987,7.0991199016571045,7.04985237121582,305.133464243263,0.045946743339300156,158.2946014404297,1.2232646942138672,1.7247092723846436,0.0,145.06820678710938,16351.7138671875,388.4,10,2,6,2,0,0.16943359375,0.2626953125,0.12646484375,0.39501953125,0.04638671875
25,102400,21389.39611721039,812.4208478927612,782.3858840465546,10.51119351387024,10.466106414794922,403.601392313838,-0.24379463493824005,257.0680236816406,1.1792848110198975,1.8097255229949951,0.0,144.96743774414062,15838.677734375,362.1818181818182,11,1,7,3,0,0.192138671875,0.232177734375,0.12646484375,0.400146484375,0.049072265625
26,106496,22194.77744793892,805.3631126880646,727.5402367115021,59.50800442695618,59.46525597572327,217.265040948987,0.011678770184516907,139.20196533203125,1.1687583923339844,1.9985861778259277,0.0,76.05281066894531,19508.259765625,407.1,10,0,7,3,0,0.203125,0.21923828125,0.13525390625,0.412353515625,0.030029296875
