iteration,total_steps,wall_time_seconds,iter_time_seconds,env_step_time_seconds,learn_step_time_seconds,residual_compute_time_seconds,L_total,L_policy,L_value,L_entropy,L_residual_optimality,L_residual_safety,L_distill,mean_reward,mean_episode_length,n_episodes,n_collisions,n_successes,n_timeouts,n_aborts,action_dist_stop,action_dist_creep,action_dist_yield,action_dist_go,action_dist_abort
1,4096,134.9433741569519,134.91760540008545,36.11442995071411,57.57104229927063,57.51641845703125,3.254100516438484,0.10188323259353638,1.2399485111236572,1.476565957069397,1.8033592700958252,0.0,0.1089095026254654,-942.7404174804688,500.0,8,0,0,8,0,0.18310546875,0.14306640625,0.1767578125,0.287353515625,0.209716796875
2,8192,309.69333362579346,122.4998996257782,32.66154170036316,47.72393250465393,47.607348680496216,13.150338439270854,0.021497635170817375,10.239529609680176,1.3772786855697632,1.2502295970916748,0.0,1.639081597328186,-1196.8631591796875,500.0,8,0,0,8,0,0.130615234375,0.17626953125,0.193359375,0.370361328125,0.12939453125
3,12288,441.38984775543213,131.67686676979065,40.87916612625122,40.34085822105408,40.29963755607605,3472.081374555826,0.15277519822120667,48.726497650146484,1.3544199466705322,3417.3671875,0.0,5.834914207458496,-397.04205322265625,500.0,8,0,0,8,0,0.084716796875,0.2392578125,0.214599609375,0.372314453125,0.089111328125
4,16384,559.3827681541443,117.99192929267883,40.067195653915405,28.966694831848145,28.844266414642334,159.14006206952035,0.030890917405486107,140.75563049316406,1.3881977796554565,2.2328855991363525,0.0,16.120655059814453,2229.171142578125,458.0,8,2,2,4,0,0.087646484375,0.227294921875,0.212890625,0.407470703125,0.064697265625
5,20480,693.4365568161011,133.99942350387573,44.1349515914917,43.92260146141052,43.853600025177,62.04501235112548,0.024541255086660385,44.58576202392578,1.3537697792053223,2.0184731483459473,0.0,15.41623592376709,3580.654052734375,489.125,8,0,1,7,0,0.11767578125,0.20263671875,0.191162109375,0.404296875,0.084228515625
6,24576,836.1691808700562,142.5271430015564,52.274569272994995,36.45270085334778,36.34429621696472,139.27525202929974,0.05735175311565399,110.07046508789062,1.3607248067855835,5.7039899826049805,0.0,23.443445205688477,4176.40625,472.75,8,1,1,6,0,0.108154296875,0.190673828125,0.204345703125,0.423828125,0.072998046875
7,28672,929.3484785556793,93.14917302131653,37.69462752342224,12.141359567642212,12.097038507461548,311.66637590527534,-0.12296983599662781,269.50384521484375,1.3430724143981934,2.5933923721313477,0.0,39.692108154296875,4483.9619140625,448.77777777777777,9,1,2,6,0,0.11572265625,0.193359375,0.19287109375,0.41064453125,0.08740234375
8,32768,1059.0810661315918,129.71990394592285,45.80947399139404,35.23093104362488,35.15276598930359,301.8931226506829,-0.004231475293636322,119.63057708740234,1.3859145641326904,116.61701965332031,0.0,65.6497573852539,3638.017578125,495.875,8,0,1,7,0,0.13525390625,0.180908203125,0.181396484375,0.429931640625,0.072509765625
9,36864,1206.8754725456238,147.79300451278687,40.49978685379028,59.21712517738342,59.147268533706665,691.5355460569263,0.07083200663328171,171.14599609375,1.353135585784912,474.13092041015625,0.0,46.18779754638672,8019.0361328125,463.375,8,0,2,6,0,0.13623046875,0.157958984375,0.1708984375,0.45068359375,0.084228515625
10,40960,1334.6152365207672,127.72655606269836,46.96623635292053,35.49378442764282,35.45090627670288,387.4974950365722,0.039750438183546066,217.65310668945312,1.3295280933380127,119.15093231201172,0.0,50.65370559692383,7556.5107421875,457.625,8,0,3,5,0,0.124755859375,0.18115234375,0.167236328125,0.440673828125,0.086181640625
11,45056,1485.5276281833649,150.90560793876648,37.94205045700073,65.5997462272644,65.54170846939087,122.16764968633652,0.09747833013534546,32.987483978271484,1.3771531581878662,57.75950622558594,0.0,31.32318115234375,2838.698974609375,500.0,8,0,0,8,0,0.134033203125,0.16943359375,0.205322265625,0.414306640625,0.076904296875
12,49152,1647.055572271347,119.41542387008667,43.072757959365845,27.881690979003906,27.83346939086914,343.248147662729,0.005627568811178207,252.37704467773438,1.3260102272033691,2.606419324874878,0.0,88.2590560913086,8134.66845703125,441.6666666666667,9,0,5,4,0,0.145263671875,0.16015625,0.186767578125,0.434814453125,0.072998046875
13,53248,1817.983013868332,170.91185069084167,44.06329560279846,78.30166792869568,78.23232698440552,223.3910372555256,0.1506069004535675,155.19317626953125,1.3487296104431152,5.460977077484131,0.0,62.58627700805664,6923.232421875,433.8888888888889,9,1,3,5,0,0.12548828125,0.195556640625,0.175048828125,0.447265625,0.056640625
