iteration,total_steps,wall_time_seconds,iter_time_seconds,env_step_time_seconds,learn_step_time_seconds,residual_compute_time_seconds,L_total,L_policy,L_value,L_entropy,L_residual_optimality,L_residual_safety,L_distill,mean_reward,mean_episode_length,n_episodes,n_collisions,n_successes,n_timeouts,n_aborts,action_dist_stop,action_dist_creep,action_dist_yield,action_dist_go,action_dist_abort
1,4096,1755.3778839111328,1754.7390336990356,1666.3898622989655,46.06622791290283,46.02783918380737,0.7377103939652443,-0.10780391842126846,0.42665913701057434,1.4067132472991943,0.25473108887672424,0.0,0.16412408649921417,-393.95159912109375,500.0,8,0,0,8,0,0.384765625,0.169921875,0.091552734375,0.220458984375,0.13330078125
2,8192,5035.096909046173,1365.6851170063019,1339.5188970565796,9.80578351020813,9.760381698608398,0.9998796917498112,-0.04516906663775444,0.5243443250656128,1.3934850692749023,0.2748226523399353,0.0,0.24588178098201752,-516.4968872070312,500.0,8,0,0,8,0,0.362548828125,0.24609375,0.087890625,0.2216796875,0.081787109375
3,12288,6104.322735071182,1069.182026386261,1043.1189646720886,9.898576974868774,9.858455419540405,777.6466639041901,0.11054086685180664,11.775216102600098,1.3505768775939941,763.02978515625,0.0,2.731121778488159,-587.7532958984375,500.0,8,0,0,8,0,0.24072265625,0.288818359375,0.133544921875,0.2724609375,0.064453125
4,16384,7177.714459180832,1073.34810256958,1000.7384653091431,56.30828046798706,56.25965094566345,21.22055995464325,0.11209231615066528,19.58243179321289,1.2305572032928467,0.5802484154701233,0.0,0.9457874298095703,1364.326416015625,499.5,8,1,0,7,0,0.25927734375,0.28662109375,0.085205078125,0.3349609375,0.033935546875
5,20480,9462.87678694725,2285.113377094269,2259.8605093955994,5.922479867935181,5.883539199829102,76.16456504166126,0.03690333664417267,48.035160064697266,1.3102850914001465,4.882662773132324,0.0,23.2098388671875,3067.00634765625,405.3,10,5,2,3,0,0.181884765625,0.292236328125,0.1220703125,0.3798828125,0.02392578125
6,24576,10605.248312234879,1142.2965862751007,1100.27680850029,24.679961919784546,24.637727975845337,37.22095460444689,0.05836636573076248,25.85591697692871,1.3002865314483643,0.8088198900222778,0.0,10.497851371765137,3091.514404296875,416.8888888888889,9,4,0,5,0,0.244384765625,0.19970703125,0.140380859375,0.360595703125,0.054931640625
7,28672,11984.210403203964,1378.9042444229126,1351.8830318450928,8.030395030975342,7.992680549621582,93.02398164570332,0.08526875078678131,74.21302795410156,1.2952035665512085,0.8694036602973938,0.0,17.856281280517578,2821.569091796875,385.5,10,6,0,4,0,0.208740234375,0.2138671875,0.14892578125,0.37451171875,0.053955078125
8,32768,13149.128519058228,1164.8553240299225,1140.0961422920227,6.432112216949463,6.38069486618042,213.85475147515535,-0.05985652655363083,93.84834289550781,1.2799289226531982,93.84566497802734,0.0,26.220600128173828,3128.40087890625,367.7,10,7,0,3,0,0.208251953125,0.2275390625,0.134033203125,0.37109375,0.05908203125
9,36864,14305.282654762268,1156.0521800518036,1129.9801335334778,6.790262699127197,6.750112771987915,166.77074286714196,0.03305480256676674,52.59329605102539,1.3161004781723022,89.41995239257812,0.0,24.72443962097168,4217.29296875,408.2,10,4,1,5,0,0.188232421875,0.2412109375,0.142333984375,0.358154296875,0.070068359375
10,40960,15925.786757230759,1620.4695143699646,1562.5233149528503,38.05344772338867,38.010477781295776,207.34553311020136,-0.0793173536658287,123.48050689697266,1.3277755975723267,48.25006103515625,0.0,35.69428253173828,4303.9013671875,355.45454545454544,11,6,1,4,0,0.207763671875,0.218505859375,0.160888671875,0.343017578125,0.06982421875
11,45056,16978.743761062622,1052.884753227234,1029.060487985611,5.4237284660339355,5.3783979415893555,2127.1320876032114,-0.08254633843898773,93.00833892822266,1.3082196712493896,1980.35791015625,0.0,53.848384857177734,3205.33544921875,400.3,10,6,0,4,0,0.197021484375,0.18310546875,0.17822265625,0.333740234375,0.10791015625
