iteration,total_steps,wall_time_seconds,iter_time_seconds,env_step_time_seconds,learn_step_time_seconds,residual_compute_time_seconds,L_total,L_policy,L_value,L_entropy,L_residual_optimality,L_residual_safety,L_distill,mean_reward,mean_episode_length,n_episodes,n_collisions,n_successes,n_timeouts,n_aborts,action_dist_stop,action_dist_creep,action_dist_yield,action_dist_go,action_dist_abort
1,4096,110.79494190216064,110.78821992874146,29.53241229057312,33.94053864479065,33.902501583099365,2.848894715309143,0.022341161966323853,1.8229036331176758,1.4426910877227783,0.6025719046592712,0.0,0.4010780155658722,-90.86444091796875,500.0,8,0,0,8,0,0.220947265625,0.218017578125,0.214111328125,0.263916015625,0.0830078125
2,8192,313.22829484939575,103.98244762420654,34.610652446746826,16.28984832763672,16.249273538589478,28.16189233958721,-0.09011305868625641,3.5325512886047363,1.3789982795715332,23.73714828491211,0.0,0.9823058247566223,321.6173400878906,500.0,8,0,0,8,0,0.2099609375,0.201904296875,0.24951171875,0.29150390625,0.047119140625
3,12288,418.35079431533813,105.0993275642395,34.59248757362366,16.753042459487915,16.70887064933777,167.88824183493853,0.04512960463762283,6.478589057922363,1.3422030210494995,159.78086853027344,0.0,1.5836546421051025,1137.208740234375,500.0,8,0,0,8,0,0.154296875,0.30908203125,0.199951171875,0.291015625,0.045654296875
4,16384,511.8137671947479,93.44337296485901,30.157119274139404,12.90184473991394,12.870719909667969,28.40367129445076,0.04310348629951477,19.353633880615234,1.2847398519515991,3.835885763168335,0.0,5.171048164367676,2422.570068359375,477.5,8,1,0,7,0,0.123291015625,0.3515625,0.17041015625,0.317138671875,0.03759765625
5,20480,603.2643620967865,91.43119645118713,34.5488600730896,5.938876152038574,5.895559787750244,48.00454118847847,-0.08410260081291199,31.652084350585938,1.2796860933303833,1.3366410732269287,0.0,15.099918365478516,1919.9112548828125,443.0,9,4,0,5,0,0.12939453125,0.3427734375,0.169189453125,0.327880859375,0.03076171875
6,24576,709.1643393039703,105.8357937335968,36.04001450538635,15.538373231887817,15.502399921417236,84.79636142030358,-0.01994934305548668,44.59089660644531,1.3196234703063965,1.3252447843551636,0.0,38.900169372558594,1846.4725341796875,475.125,8,1,0,7,0,0.123779296875,0.3046875,0.186279296875,0.330810546875,0.054443359375
7,28672,812.3571231365204,103.16469168663025,37.27131199836731,10.118338346481323,10.08302640914917,101.60233767330647,-0.12055699527263641,45.705135345458984,1.234937310218811,25.13144874572754,0.0,30.886310577392578,3099.504150390625,453.6666666666667,9,3,0,6,0,0.109619140625,0.348876953125,0.182861328125,0.297119140625,0.0615234375
8,32768,934.3750925064087,121.91172647476196,36.11805558204651,31.861042022705078,31.8193359375,206.12822883576155,-0.007105179131031036,123.92652130126953,1.338075041770935,69.04792785644531,0.0,13.160884857177734,4163.96826171875,482.375,8,0,1,7,0,0.158447265625,0.2724609375,0.180419921875,0.3203125,0.068359375
9,36864,1022.8838894367218,88.47205877304077,30.487866401672363,12.63082480430603,12.594046354293823,29.72240522503853,0.07201960682868958,12.338018417358398,1.2380328178405762,1.076023817062378,0.0,16.236343383789062,7932.96923828125,500.0,8,0,0,8,0,0.135498046875,0.3369140625,0.167236328125,0.3115234375,0.048828125
10,40960,1117.5326240062714,94.62798500061035,31.776182889938354,17.002050399780273,16.96019959449768,126.28169705718756,0.03865327686071396,77.20829010009766,1.2264909744262695,1.9266260862350464,0.0,47.10812759399414,7327.392578125,457.0,8,2,1,5,0,0.122314453125,0.3125,0.1728515625,0.349609375,0.042724609375
