iteration,total_steps,wall_time_seconds,iter_time_seconds,env_step_time_seconds,learn_step_time_seconds,residual_compute_time_seconds,L_total,L_policy,L_value,L_entropy,L_residual_optimality,L_residual_safety,L_distill,mean_reward,mean_episode_length,n_episodes,n_collisions,n_successes,n_timeouts,n_aborts,action_dist_stop,action_dist_creep,action_dist_yield,action_dist_go,action_dist_abort
1,4096,91.9246187210083,91.91219162940979,38.33146905899048,20.48224687576294,20.42706561088562,4.544530466198921,0.06949500739574432,2.6922881603240967,1.4040858745574951,1.3122249841690063,0.0,0.47052231431007385,-450.269287109375,500.0,8,0,0,8,0,0.11767578125,0.20947265625,0.132080078125,0.372314453125,0.16845703125
2,8192,263.0215413570404,107.08085823059082,40.582844495773315,28.584036588668823,28.530118465423584,3636.9999330490828,-0.19310171902179718,5.961659908294678,1.319610357284546,3629.44775390625,0.0,1.7836209535598755,-87.33970642089844,500.0,8,0,0,8,0,0.08740234375,0.252197265625,0.18017578125,0.370849609375,0.109375
3,12288,363.7783272266388,100.75003790855408,39.47805142402649,23.981565713882446,23.928120851516724,1721.428977098316,0.04769953712821007,19.76559829711914,1.3643136024475098,1697.068603515625,0.0,4.5470757484436035,1290.5859375,462.125,8,2,0,6,0,0.07958984375,0.228515625,0.215576171875,0.3876953125,0.088623046875
4,16384,461.7033007144928,97.89488792419434,40.27724242210388,19.95969319343567,19.89990210533142,305.75710078701377,-0.05216125026345253,10.265509605407715,1.3275375366210938,292.1415100097656,0.0,3.402242422103882,2089.318359375,500.0,8,0,0,8,0,0.08935546875,0.23779296875,0.22802734375,0.36767578125,0.0771484375
5,20480,563.0383489131927,101.33387637138367,40.266005516052246,21.58642816543579,21.537999868392944,1431.2666509076953,0.04870437830686569,11.923032760620117,1.4031158685684204,1411.9761962890625,0.0,7.3187174797058105,1738.11328125,500.0,8,0,0,8,0,0.09716796875,0.228759765625,0.201416015625,0.37646484375,0.09619140625
6,24576,670.4381446838379,107.39096760749817,39.15545058250427,26.653850555419922,26.573895692825317,506.4588800519705,-0.060481444001197815,24.928375244140625,1.3885530233383179,459.33746337890625,0.0,22.253522872924805,1279.9312744140625,500.0,8,0,0,8,0,0.107177734375,0.227294921875,0.2099609375,0.3662109375,0.08935546875
7,28672,771.5225961208344,101.03861474990845,42.87892699241638,14.96897029876709,14.906375408172607,276.1266178712249,-0.05483964830636978,69.16600036621094,1.3536922931671143,132.47080993652344,0.0,74.54464721679688,832.3250122070312,406.6,10,6,0,4,0,0.099365234375,0.221435546875,0.208984375,0.401123046875,0.069091796875
8,32768,883.8737351894379,112.29276204109192,42.640501499176025,25.081846714019775,24.997536182403564,1318.3605146445334,0.0005102194845676422,41.87763977050781,1.4095916748046875,1229.265380859375,0.0,47.216983795166016,-317.1501159667969,448.55555555555554,9,3,0,6,0,0.1552734375,0.18798828125,0.18896484375,0.391845703125,0.075927734375
9,36864,996.9249866008759,113.01755952835083,42.29114294052124,27.29522132873535,27.22939372062683,122.58836980909109,0.07592292875051498,59.62505340576172,1.404705286026001,3.5440592765808105,0.0,59.34333419799805,52.298927307128906,406.7,10,7,0,3,0,0.126708984375,0.20947265625,0.213134765625,0.37109375,0.07958984375
10,40960,1090.6977088451385,93.69604325294495,40.01939105987549,18.87227177619934,18.80474543571472,410.89263950288296,-0.06917537748813629,250.26429748535156,1.3962441682815552,75.3963851928711,0.0,85.30113220214844,-354.2020263671875,423.44444444444446,9,3,1,5,0,0.14404296875,0.189453125,0.1748046875,0.413818359375,0.077880859375
