iteration,total_steps,wall_time_seconds,iter_time_seconds,env_step_time_seconds,learn_step_time_seconds,residual_compute_time_seconds,L_total,L_policy,L_value,L_entropy,L_residual_optimality,L_residual_safety,L_distill,mean_reward,mean_episode_length,n_episodes,n_collisions,n_successes,n_timeouts,n_aborts,action_dist_stop,action_dist_creep,action_dist_yield,action_dist_go,action_dist_abort
1,4096,1837.0605595111847,1836.6555335521698,1778.474127292633,37.45841073989868,37.33552861213684,1.195070032030344,0.014629695564508438,0.9146652221679688,1.4067318439483643,0.0,0.0,0.2657751142978668,-1043.703125,500.0,8,0,0,8,0,0.137451171875,0.111083984375,0.364013671875,0.13623046875,0.251220703125
2,8192,8006.442617177963,1520.935798406601,1492.2979617118835,10.262225151062012,10.216146469116211,2.058184579014778,0.15057672560214996,1.5763623714447021,1.4304509162902832,0.0,0.0,0.331245481967926,-1737.1236572265625,500.0,8,0,0,8,0,0.153564453125,0.17431640625,0.35888671875,0.16455078125,0.148681640625
3,12288,10462.100657701492,2455.6239326000214,2387.6269171237946,45.524022579193115,45.37045240402222,0.9676333218812943,-0.08761484920978546,0.7669538259506226,1.4280749559402466,0.0,0.0,0.28829434514045715,-1726.4912109375,500.0,8,0,0,8,0,0.20654296875,0.18359375,0.319091796875,0.186767578125,0.10400390625
4,16384,11450.289465665817,988.1877019405365,968.6215741634369,4.092371940612793,4.061406850814819,2.540012750774622,0.026978451758623123,1.8475497961044312,1.377927303314209,0.0,0.005938723683357239,0.6595457792282104,-1660.543701171875,500.0,8,0,0,8,0,0.178955078125,0.193359375,0.318359375,0.222412109375,0.0869140625
5,20480,12232.857741355896,782.5543441772461,764.0894911289215,3.7452614307403564,3.712130308151245,10.160640882328153,-0.00439431332051754,7.307234287261963,1.4132791757583618,0.0,0.06362885981798172,2.7941720485687256,-1461.5748291015625,500.0,8,0,0,8,0,0.151123046875,0.27294921875,0.220947265625,0.274658203125,0.080322265625
6,24576,17879.4378657341,5646.575132369995,5529.434902429581,85.47998404502869,85.29300093650818,8.58571219816804,0.07243778556585312,4.7628703117370605,1.3430674076080322,0.0,0.0035755448043346405,3.746828556060791,90.75634002685547,500.0,8,0,0,8,0,0.126953125,0.27294921875,0.251220703125,0.279296875,0.069580078125
7,28672,22431.100674152374,4551.6274309158325,4487.723959445953,34.324331521987915,34.223010540008545,108.26791679859161,-0.026033710688352585,89.77655792236328,1.3855223655700684,0.0,0.0007719509303569794,18.516620635986328,1653.237060546875,489.875,8,1,0,7,0,0.106201171875,0.288330078125,0.246337890625,0.30615234375,0.052978515625
8,32768,27239.467840909958,4808.044332027435,4729.465605020523,46.72017192840576,46.525593280792236,399.33928091824055,0.06900711357593536,328.0259094238281,1.3765990734100342,0.0,0.5599695444107056,70.68439483642578,2402.0029296875,439.1111111111111,9,2,3,4,0,0.09326171875,0.2763671875,0.22119140625,0.328125,0.0810546875
9,36864,31820.08762693405,4580.537445306778,4515.049436807632,33.84288311004639,33.80360198020935,68.76638726517558,-0.04121135547757149,44.825374603271484,1.3942737579345703,0.0,0.13016942143440247,23.852054595947266,1490.830322265625,500.0,8,0,0,8,0,0.125732421875,0.272705078125,0.212646484375,0.295654296875,0.09326171875
10,40960,34875.04162025452,3054.9230568408966,3024.841775894165,4.215920925140381,4.185399293899536,103.36064699292183,-0.05029210448265076,63.33485412597656,1.402085304260254,0.0,0.9404343366622925,39.135650634765625,1877.699951171875,493.25,8,0,1,7,0,0.12939453125,0.244384765625,0.24462890625,0.27978515625,0.101806640625
