iteration,total_steps,wall_time_seconds,iter_time_seconds,env_step_time_seconds,learn_step_time_seconds,residual_compute_time_seconds,L_total,L_policy,L_value,L_entropy,L_residual_optimality,L_residual_safety,L_distill,mean_reward,mean_episode_length,n_episodes,n_collisions,n_successes,n_timeouts,n_aborts,action_dist_stop,action_dist_creep,action_dist_yield,action_dist_go,action_dist_abort
1,4096,112.49949288368225,112.48235654830933,49.06272506713867,12.325482368469238,12.269701957702637,2.6505673974752426,0.009546026587486267,2.14038348197937,1.4485877752304077,0.0,0.0,0.5006378889083862,-625.9554443359375,500.0,8,0,0,8,0,0.17138671875,0.22607421875,0.125244140625,0.3212890625,0.156005859375
2,8192,421.50868225097656,227.2111690044403,59.69417905807495,106.53476548194885,106.38917136192322,7.780716508626938,-0.13746270537376404,6.9980268478393555,1.3780089616775513,0.0,0.0,0.9201523661613464,-936.1458129882812,500.0,8,0,0,8,0,0.165283203125,0.271728515625,0.136474609375,0.33154296875,0.094970703125
3,12288,567.2218255996704,145.69274520874023,68.80795097351074,19.4980525970459,19.45247983932495,5.455652203410864,0.04390236362814903,3.9073145389556885,1.3771798610687256,0.0,0.0,1.5044353008270264,-351.8879699707031,500.0,8,0,0,8,0,0.1962890625,0.248291015625,0.15673828125,0.307861328125,0.0908203125
4,16384,693.5556333065033,126.31348943710327,58.36688685417175,18.002550840377808,17.958401918411255,10.595576882362366,0.08125504851341248,7.278580188751221,1.3734439611434937,0.0,0.0287492573261261,3.2069923877716064,999.6556396484375,500.0,8,0,0,8,0,0.178955078125,0.27392578125,0.1591796875,0.318359375,0.069580078125
5,20480,824.2857656478882,130.71067810058594,53.835838317871094,21.760754585266113,21.721764087677002,140.64100958406925,-0.0637211948633194,99.18525695800781,1.3574161529541016,0.0,0.2378728687763214,41.28160095214844,1403.091796875,499.375,8,1,0,7,0,0.154541015625,0.29638671875,0.176025390625,0.316162109375,0.056884765625
6,24576,944.7756872177124,120.45976614952087,46.467533588409424,18.69110870361328,18.65165901184082,65.42782153189182,0.23253001272678375,43.39443588256836,1.3681365251541138,0.0,0.0,21.80085563659668,3190.62548828125,500.0,8,0,0,8,0,0.156494140625,0.31494140625,0.1572265625,0.299560546875,0.07177734375
7,28672,1142.861650466919,198.0662009716034,64.95818543434143,74.72727918624878,74.66994714736938,147.84594364091754,-0.05632822588086128,102.4205322265625,1.3289835453033447,0.0,0.3766523599624634,45.10508728027344,3732.58203125,500.0,8,0,0,8,0,0.14599609375,0.2939453125,0.177490234375,0.306396484375,0.076171875
8,32768,1279.5263237953186,136.65751886367798,56.63444447517395,22.583263158798218,22.5460422039032,39.67474855482578,-0.07121482491493225,24.682910919189453,1.3816173076629639,0.0,0.0904419869184494,14.972610473632812,3259.03369140625,500.0,8,0,0,8,0,0.16552734375,0.276611328125,0.173828125,0.290283203125,0.09375
9,36864,1466.7007637023926,187.17336916923523,56.43516826629639,69.81308841705322,69.77029466629028,43.68017731048167,-0.0070426687598228455,26.781578063964844,1.39603853225708,0.0,0.007175805047154427,16.898466110229492,2280.900390625,500.0,8,0,0,8,0,0.1416015625,0.2958984375,0.18115234375,0.267333984375,0.114013671875
10,40960,1604.438779592514,137.71832132339478,53.6211256980896,29.3690345287323,29.325326919555664,67.60015136189759,-0.02674066834151745,46.83647537231445,1.3999663591384888,0.0,0.2590426802635193,20.531373977661133,2723.044677734375,500.0,8,0,0,8,0,0.14306640625,0.30126953125,0.192626953125,0.260498046875,0.1025390625
11,45056,1712.925570011139,108.48579835891724,45.8340106010437,5.21767520904541,5.179887771606445,61.56974630430341,-0.051190923899412155,45.29762268066406,1.4253804683685303,0.0,0.959741473197937,15.36357307434082,2285.7900390625,500.0,8,0,0,8,0,0.17822265625,0.2705078125,0.195068359375,0.25830078125,0.097900390625
12,49152,1988.2509970664978,133.31261014938354,57.7018039226532,18.590003967285156,18.550984382629395,76.09782710298896,-0.009912688285112381,48.600215911865234,1.4284350872039795,0.0,0.1665090173482895,27.341014862060547,2978.703369140625,500.0,8,0,0,8,0,0.151611328125,0.267333984375,0.210693359375,0.26806640625,0.102294921875
13,53248,2148.67325425148,160.41996312141418,54.31736898422241,50.23364472389221,50.193817138671875,58.602985456585884,-0.046751245856285095,29.370899200439453,1.4197916984558105,0.0,0.15445929765701294,29.124378204345703,2937.372314453125,500.0,8,0,0,8,0,0.164306640625,0.286865234375,0.187744140625,0.25634765625,0.104736328125
14,57344,2284.3190734386444,135.63857007026672,55.327406883239746,24.898919582366943,24.851600646972656,35.72912532091141,0.0715346485376358,19.458927154541016,1.3997882604599,0.0,0.0912816971540451,16.10738182067871,5362.6669921875,493.375,8,1,0,7,0,0.190673828125,0.249755859375,0.1923828125,0.292236328125,0.074951171875
15,61440,2498.7473328113556,214.4068841934204,51.38742256164551,106.005863904953,105.95004415512085,32.35171231627464,0.09022589027881622,17.9164981842041,1.4299101829528809,0.0,0.1583961397409439,14.186592102050781,5218.1640625,500.0,8,0,0,8,0,0.177001953125,0.262939453125,0.179443359375,0.275634765625,0.10498046875
16,65536,2645.344412088394,146.57760643959045,53.311984062194824,36.22895669937134,36.1882541179657,78.18231230974197,-0.05010148882865906,42.67439270019531,1.4264683723449707,0.0,0.30078843235969543,35.257232666015625,6637.58935546875,500.0,8,0,0,8,0,0.1728515625,0.28759765625,0.181640625,0.25634765625,0.1015625
17,69632,2791.381799221039,145.972154378891,48.10901427268982,41.068246603012085,41.01937770843506,44.61705243587494,0.13382840156555176,22.553287506103516,1.434342861175537,0.0,0.32025253772735596,21.609683990478516,6612.619140625,500.0,8,0,0,8,0,0.173828125,0.28466796875,0.17724609375,0.260498046875,0.103759765625
18,73728,2932.840526819229,141.43178796768188,58.81884026527405,24.61423420906067,24.573899030685425,53.81448857486248,0.12808454036712646,29.981647491455078,1.360233187675476,0.0,0.07912711799144745,23.625629425048828,8705.189453125,487.375,8,1,0,7,0,0.183837890625,0.24072265625,0.19091796875,0.277587890625,0.10693359375
