iteration,total_steps,wall_time_seconds,iter_time_seconds,env_step_time_seconds,learn_step_time_seconds,residual_compute_time_seconds,L_total,L_policy,L_value,L_entropy,L_residual_optimality,L_residual_safety,L_distill,mean_reward,mean_episode_length,n_episodes,n_collisions,n_successes,n_timeouts,n_aborts,action_dist_stop,action_dist_creep,action_dist_yield,action_dist_go,action_dist_abort
1,4096,113.61577653884888,113.59211611747742,50.642059087753296,10.238003730773926,0.0,0.5485684275627136,-0.1362001895904541,0.6847686171531677,1.463714599609375,0.0,0.0,0.0,-794.440673828125,500.0,8,0,0,8,0,0.188232421875,0.31787109375,0.1494140625,0.17138671875,0.173095703125
2,8192,348.30476999282837,109.79506182670593,44.78274369239807,16.15098214149475,0.0,2.2035492807626724,0.16204847395420074,2.0415008068084717,1.4049227237701416,0.0,0.0,0.0,-1400.01318359375,500.0,8,0,0,8,0,0.206787109375,0.322998046875,0.172119140625,0.203857421875,0.09423828125
3,12288,456.30955839157104,107.9800705909729,50.06664037704468,2.7164463996887207,0.0,1.4169485419988632,-0.18760909140110016,1.6045576333999634,1.3651121854782104,0.0,0.0,0.0,-1115.170166015625,500.0,8,0,0,8,0,0.188232421875,0.306396484375,0.21142578125,0.22607421875,0.06787109375
4,16384,575.2740302085876,118.9299476146698,54.18001675605774,15.519645929336548,0.0,2.506143629550934,0.214938223361969,2.291205406188965,1.3684113025665283,0.0,0.0,0.0,-454.8157653808594,500.0,8,0,0,8,0,0.168212890625,0.2978515625,0.227783203125,0.255615234375,0.050537109375
5,20480,698.7709023952484,123.47576093673706,57.27159285545349,9.020403385162354,0.0,6.986571490764618,0.10217589139938354,6.884395599365234,1.3250449895858765,0.0,0.0,0.0,512.837890625,500.0,8,0,0,8,0,0.12646484375,0.278076171875,0.27880859375,0.283447265625,0.033203125
6,24576,813.2964713573456,114.51756262779236,49.730204582214355,14.109915256500244,0.0,107.46607233583927,0.09435297548770905,107.37171936035156,1.365458369255066,0.0,0.0,0.0,2235.461669921875,500.0,8,0,0,8,0,0.14501953125,0.2373046875,0.2744140625,0.3056640625,0.03759765625
7,28672,923.367847442627,110.07064914703369,54.200740337371826,1.0878236293792725,0.0,145.28934897505678,-0.0013156977947801352,145.29066467285156,1.3578344583511353,0.0,0.0,0.0,4728.5546875,472.875,8,0,2,6,0,0.14306640625,0.2490234375,0.244384765625,0.32958984375,0.033935546875
8,32768,1031.8307416439056,108.46189284324646,51.45040249824524,6.0213446617126465,0.0,57.07757655903697,-0.057063180953264236,57.134639739990234,1.3819150924682617,0.0,0.0,0.0,4091.57177734375,499.375,8,1,0,7,0,0.16943359375,0.228759765625,0.26025390625,0.29833984375,0.043212890625
9,36864,1179.8499929904938,147.99008417129517,58.23900651931763,34.91582632064819,0.0,128.54786925762892,-0.037137456238269806,128.5850067138672,1.3545717000961304,0.0,0.0,0.0,3333.09033203125,447.22222222222223,9,2,1,6,0,0.179931640625,0.18115234375,0.265625,0.32763671875,0.045654296875
10,40960,1294.1805684566498,114.30368900299072,53.660446882247925,7.010141372680664,0.0,22.26417165249586,0.0017395541071891785,22.262432098388672,1.3994466066360474,0.0,0.0,0.0,2429.939208984375,500.0,8,0,0,8,0,0.222900390625,0.217041015625,0.230224609375,0.276611328125,0.05322265625
11,45056,1395.2450542449951,101.04654598236084,44.401129484176636,7.989659309387207,0.0,53.31451944448054,0.030030766502022743,53.284488677978516,1.3972959518432617,0.0,0.0,0.0,1568.642822265625,500.0,8,0,0,8,0,0.23388671875,0.20703125,0.23974609375,0.262939453125,0.056396484375
12,49152,1600.0551090240479,93.62137460708618,46.869415283203125,1.3058404922485352,0.0,16.560375064611435,-0.1959611475467682,16.756336212158203,1.3667641878128052,0.0,0.0,0.0,5049.13427734375,500.0,8,0,0,8,0,0.2421875,0.184814453125,0.24560546875,0.28564453125,0.041748046875
13,53248,1721.429738521576,121.35067582130432,50.42449712753296,18.58513045310974,0.0,34.86955797672272,0.1380249261856079,34.73153305053711,1.3888955116271973,0.0,0.0,0.0,6339.83984375,500.0,8,0,0,8,0,0.22021484375,0.172607421875,0.283447265625,0.27490234375,0.048828125
14,57344,1839.1556973457336,117.72489643096924,50.02982568740845,15.131462335586548,0.0,24.780850499868393,-0.16189661622047424,24.942747116088867,1.3327295780181885,0.0,0.0,0.0,6812.4404296875,500.0,8,0,0,8,0,0.228515625,0.215576171875,0.230712890625,0.282958984375,0.042236328125
15,61440,1948.7799007892609,109.60026836395264,47.79894208908081,13.444817781448364,0.0,35.95191449671984,0.06657666712999344,35.885337829589844,1.3547439575195312,0.0,0.0,0.0,7790.1455078125,500.0,8,0,0,8,0,0.2275390625,0.207275390625,0.27001953125,0.260986328125,0.0341796875
16,65536,2065.9420437812805,117.14812874794006,53.52027082443237,10.561406373977661,0.0,31.161680590361357,-0.015891660004854202,31.17757225036621,1.3825205564498901,0.0,0.0,0.0,6947.9990234375,500.0,8,0,0,8,0,0.250244140625,0.209228515625,0.226318359375,0.27197265625,0.042236328125
17,69632,2174.310907125473,108.35177612304688,49.239834785461426,7.339332818984985,0.0,29.925863310694695,-0.03502078354358673,29.96088409423828,1.359292984008789,0.0,0.0,0.0,6111.65087890625,500.0,8,0,0,8,0,0.27587890625,0.16943359375,0.224853515625,0.275390625,0.054443359375
18,73728,2298.26570725441,123.94793820381165,53.16963768005371,12.16297435760498,0.0,21.03255870193243,0.06480243057012558,20.967756271362305,1.3519022464752197,0.0,0.0,0.0,6385.150390625,500.0,8,0,0,8,0,0.28173828125,0.179931640625,0.23681640625,0.255126953125,0.04638671875
19,77824,2409.36168551445,111.08140635490417,48.01057529449463,14.213625431060791,0.0,16.286861911416054,0.1884312778711319,16.098430633544922,1.3661547899246216,0.0,0.0,0.0,5746.71875,500.0,8,0,0,8,0,0.297119140625,0.150634765625,0.230712890625,0.278564453125,0.04296875
20,81920,2501.8218619823456,92.45772051811218,43.04461216926575,1.8353216648101807,0.0,37.502079751342535,-0.007403586059808731,37.509483337402344,1.3590764999389648,0.0,0.0,0.0,8380.0,500.0,8,0,0,8,0,0.264892578125,0.17236328125,0.232666015625,0.285400390625,0.044677734375
21,86016,2604.7994232177734,102.97639751434326,47.53407311439514,9.042888641357422,0.0,23.11931401491165,0.14662152528762817,22.972692489624023,1.3544225692749023,0.0,0.0,0.0,10667.63671875,500.0,8,0,0,8,0,0.2392578125,0.194580078125,0.238037109375,0.2841796875,0.0439453125
22,90112,2846.065840244293,114.48249912261963,54.7594735622406,3.4714605808258057,0.0,25.449202552437782,0.02184392511844635,25.427358627319336,1.3398829698562622,0.0,0.0,0.0,10810.611328125,500.0,8,0,0,8,0,0.23828125,0.197998046875,0.244384765625,0.274169921875,0.045166015625
23,94208,2955.7505106925964,109.66997814178467,53.413957595825195,2.077214479446411,0.0,14.26926950737834,-0.020512063056230545,14.28978157043457,1.3066412210464478,0.0,0.0,0.0,9314.806640625,500.0,8,0,0,8,0,0.236572265625,0.19140625,0.265380859375,0.279541015625,0.027099609375
24,98304,3070.771527528763,114.96539664268494,50.249850273132324,16.471980571746826,0.0,30.823048532009125,-0.119875967502594,30.94292449951172,1.23698890209198,0.0,0.0,0.0,9391.826171875,500.0,8,0,0,8,0,0.28955078125,0.15478515625,0.248046875,0.287353515625,0.020263671875
25,102400,3175.8480248451233,105.0678641796112,46.20896649360657,10.509849548339844,0.0,24.94738581776619,-0.052926987409591675,25.00031280517578,1.2564175128936768,0.0,0.0,0.0,7201.4755859375,500.0,8,0,0,8,0,0.327392578125,0.163818359375,0.2373046875,0.24560546875,0.02587890625
26,106496,3290.760853290558,114.91144371032715,54.90310287475586,1.3110551834106445,0.0,18.323261827230453,-0.10089817643165588,18.42416000366211,1.2251513004302979,0.0,0.0,0.0,8955.8388671875,500.0,8,0,0,8,0,0.290283203125,0.18603515625,0.23828125,0.2685546875,0.016845703125
27,110592,3448.0965445041656,157.3029763698578,54.74360632896423,44.54689884185791,0.0,15.190504238009453,0.05754868686199188,15.132955551147461,1.2579692602157593,0.0,0.0,0.0,9624.55859375,500.0,8,0,0,8,0,0.298828125,0.1591796875,0.24658203125,0.284912109375,0.010498046875
28,114688,3538.3890945911407,90.22807455062866,45.228896141052246,1.4197933673858643,0.0,18.34794097393751,0.03468184918165207,18.31325912475586,1.2630902528762817,0.0,0.0,0.0,11376.8994140625,500.0,8,0,0,8,0,0.302001953125,0.1572265625,0.260009765625,0.27099609375,0.009765625
29,118784,3638.4917573928833,100.10083770751953,47.40205669403076,1.4276728630065918,0.0,14.296132192015648,-0.11811818182468414,14.414250373840332,1.2494083642959595,0.0,0.0,0.0,8549.310546875,500.0,8,1,0,7,0,0.32080078125,0.165771484375,0.230224609375,0.271240234375,0.011962890625
30,122880,3748.033755540848,109.53005719184875,49.56830096244812,9.297151803970337,0.0,19.16164204478264,-0.006414443254470825,19.16805648803711,1.2673697471618652,0.0,0.0,0.0,8782.5205078125,500.0,8,0,0,8,0,0.294189453125,0.197265625,0.236572265625,0.25830078125,0.013671875
31,126976,3850.7547760009766,102.70885300636292,50.03457856178284,3.5959908962249756,0.0,23.35344608128071,0.011569097638130188,23.341876983642578,1.2567837238311768,0.0,0.0,0.0,9162.0537109375,493.875,8,1,0,7,0,0.28955078125,0.195556640625,0.219482421875,0.27587890625,0.01953125
32,131072,4066.39599108696,113.05137920379639,49.50581336021423,13.889384031295776,0.0,31.07011254876852,-0.0701233521103859,31.140235900878906,1.3243553638458252,0.0,0.0,0.0,9186.1328125,499.75,8,1,0,7,0,0.271240234375,0.204345703125,0.232666015625,0.2744140625,0.017333984375
33,135168,4167.462711572647,101.04014182090759,49.1306369304657,4.67632269859314,0.0,19.179543994367123,-0.07273337990045547,19.252277374267578,1.3040789365768433,0.0,0.0,0.0,6528.291015625,500.0,8,0,0,8,0,0.281982421875,0.17822265625,0.248779296875,0.266845703125,0.024169921875
34,139264,4259.992591619492,92.52796649932861,44.559359073638916,1.5197491645812988,0.0,10.553939819335938,-0.02166461944580078,10.575604438781738,1.3330881595611572,0.0,0.0,0.0,7734.57421875,499.625,8,1,0,7,0,0.27587890625,0.197998046875,0.26025390625,0.24853515625,0.017333984375
35,143360,4374.273559808731,114.2692608833313,55.75243616104126,7.668429613113403,0.0,11.820395348593593,0.0020626764744520187,11.81833267211914,1.2975257635116577,0.0,0.0,0.0,8882.330078125,500.0,8,0,0,8,0,0.245361328125,0.214599609375,0.2529296875,0.268310546875,0.018798828125
36,147456,4481.921696662903,107.64096069335938,49.616188049316406,8.487920999526978,0.0,21.87757716141641,-0.023322725668549538,21.90089988708496,1.295411229133606,0.0,0.0,0.0,7300.42041015625,465.25,8,1,0,7,0,0.299560546875,0.176513671875,0.22314453125,0.272705078125,0.028076171875
37,151552,4598.769877195358,116.82826256752014,51.14740562438965,16.436169862747192,0.0,18.987916983664036,0.07218746095895767,18.915729522705078,1.3209233283996582,0.0,0.0,0.0,10779.6953125,500.0,8,0,0,8,0,0.27197265625,0.18212890625,0.215087890625,0.287109375,0.043701171875
38,155648,4715.301384687424,116.53057217597961,43.669395208358765,27.803035020828247,0.0,14.959432307630777,0.01936883106827736,14.9400634765625,1.3023780584335327,0.0,0.0,0.0,12111.67578125,500.0,8,0,0,8,0,0.21875,0.261962890625,0.214599609375,0.267578125,0.037109375
39,159744,4804.5827968120575,89.27366709709167,41.786513566970825,3.155484914779663,0.0,17.387838430702686,-0.10231774300336838,17.490156173706055,1.3127607107162476,0.0,0.0,0.0,8971.7109375,500.0,8,0,0,8,0,0.265625,0.240234375,0.19970703125,0.245849609375,0.048583984375
40,163840,4909.065924167633,104.47630572319031,48.514636516571045,6.932053089141846,0.0,15.764791280031204,0.04103925824165344,15.72375202178955,1.3306856155395508,0.0,0.0,0.0,7310.7021484375,500.0,8,0,0,8,0,0.262939453125,0.22021484375,0.219970703125,0.251953125,0.044921875
41,167936,5028.622012615204,119.55525517463684,52.612088203430176,5.9395928382873535,0.0,22.186757028102875,0.12571042776107788,22.061046600341797,1.3291683197021484,0.0,0.0,0.0,7418.12890625,500.0,8,0,0,8,0,0.26513671875,0.23046875,0.2109375,0.257080078125,0.036376953125
42,172032,5263.651339292526,117.48360657691956,48.05047845840454,14.62025785446167,0.0,46.78127948194742,-0.11034496873617172,46.891624450683594,1.2571877241134644,0.0,0.0,0.0,7519.48193359375,500.0,8,0,0,8,0,0.314697265625,0.220703125,0.2001953125,0.23779296875,0.026611328125
43,176128,5375.569098949432,111.9043378829956,50.114577770233154,5.255448579788208,0.0,19.211798056960106,0.11773715913295746,19.09406089782715,1.2872904539108276,0.0,0.0,0.0,9075.685546875,500.0,8,0,0,8,0,0.307373046875,0.204345703125,0.227783203125,0.24755859375,0.012939453125
44,180224,5489.877592563629,114.29312014579773,49.03451871871948,6.7987401485443115,0.0,29.691146031022072,0.0996028333902359,29.591543197631836,1.2606276273727417,0.0,0.0,0.0,9326.5546875,500.0,8,0,0,8,0,0.310302734375,0.20263671875,0.226806640625,0.236572265625,0.023681640625
45,184320,5605.741093873978,115.84674453735352,51.434794425964355,10.362084150314331,0.0,45.32862563431263,-0.14334015548229218,45.47196578979492,1.247550368309021,0.0,0.0,0.0,9558.05859375,463.5,8,1,0,7,0,0.319580078125,0.1767578125,0.20947265625,0.270263671875,0.02392578125
46,188416,5713.640118122101,107.87219882011414,44.59254741668701,7.091658115386963,0.0,18.509434156119823,-0.09294087439775467,18.602375030517578,1.2280443906784058,0.0,0.0,0.0,10361.96484375,500.0,8,0,0,8,0,0.341552734375,0.178466796875,0.2021484375,0.250732421875,0.027099609375
47,192512,5832.61102104187,118.95783495903015,43.39254331588745,17.52892231941223,0.0,22.962710432708263,-0.0489777997136116,23.011688232421875,1.2678979635238647,0.0,0.0,0.0,8944.150390625,500.0,8,0,0,8,0,0.375244140625,0.173583984375,0.199951171875,0.228271484375,0.02294921875
48,196608,5926.325434923172,93.69408512115479,40.34276556968689,2.0263402462005615,0.0,26.077820360660553,-0.0046076178550720215,26.082427978515625,1.2060067653656006,0.0,0.0,0.0,11371.869140625,465.75,8,1,0,7,0,0.304443359375,0.21240234375,0.19873046875,0.27001953125,0.014404296875
49,200704,6037.443432569504,111.09790134429932,46.76351547241211,7.599031448364258,0.0,67.13120794296265,-0.2543511390686035,67.38555908203125,1.197558879852295,0.0,0.0,0.0,7595.8193359375,500.0,8,0,0,8,0,0.361572265625,0.201904296875,0.193359375,0.229736328125,0.013427734375
50,204800,6130.182042598724,92.69434452056885,39.40412139892578,2.045442581176758,0.0,16.336883008480072,0.16524070501327515,16.171642303466797,1.211566686630249,0.0,0.0,0.0,7685.2734375,500.0,8,0,0,8,0,0.342041015625,0.18017578125,0.222412109375,0.2431640625,0.01220703125
51,208896,6223.858425617218,93.66288232803345,39.43944430351257,2.7450063228607178,0.0,13.354859590530396,0.16707348823547363,13.187786102294922,1.2282183170318604,0.0,0.0,0.0,7599.05517578125,500.0,8,0,0,8,0,0.359619140625,0.2001953125,0.20458984375,0.219970703125,0.015625
52,212992,6432.239642620087,95.95947933197021,40.149028301239014,1.5228753089904785,0.0,11.356622487306595,0.13308027386665344,11.223542213439941,1.2542502880096436,0.0,0.0,0.0,9677.544921875,500.0,8,0,0,8,0,0.34814453125,0.18017578125,0.219970703125,0.2255859375,0.026123046875
53,217088,6526.220007658005,93.97326755523682,41.284544944763184,1.7224304676055908,0.0,20.99449971318245,-0.25021693110466003,21.24471664428711,1.2257044315338135,0.0,0.0,0.0,12210.974609375,500.0,8,0,0,8,0,0.313720703125,0.194091796875,0.219970703125,0.252197265625,0.02001953125
54,221184,6630.642999649048,104.4158866405487,45.25182843208313,4.4764463901519775,0.0,19.477902315557003,0.05380525439977646,19.424097061157227,1.1990554332733154,0.0,0.0,0.0,9098.5703125,500.0,8,0,0,8,0,0.353515625,0.1806640625,0.226806640625,0.22216796875,0.016845703125
55,225280,6742.022933006287,111.36059665679932,50.874635457992554,1.9387187957763672,0.0,12.850589290261269,-0.16173408925533295,13.012323379516602,1.209533452987671,0.0,0.0,0.0,11874.451171875,500.0,8,0,0,8,0,0.31201171875,0.1640625,0.23388671875,0.2763671875,0.013671875
56,229376,6842.539046049118,100.49601697921753,40.11885738372803,5.813171863555908,0.0,7.925573378801346,-0.1428222358226776,8.068395614624023,1.25049889087677,0.0,0.0,0.0,12289.84375,500.0,8,0,0,8,0,0.299560546875,0.16943359375,0.260498046875,0.256591796875,0.013916015625
