iteration,total_steps,wall_time_seconds,iter_time_seconds,env_step_time_seconds,learn_step_time_seconds,residual_compute_time_seconds,L_total,L_policy,L_value,L_entropy,L_residual_optimality,L_residual_safety,L_distill,mean_reward,mean_episode_length,n_episodes,n_collisions,n_successes,n_timeouts,n_aborts,action_dist_stop,action_dist_creep,action_dist_yield,action_dist_go,action_dist_abort,distill_loss_optimality_component,distill_loss_safety_component
1,4096,119.36169719696045,119.35335445404053,43.765395164489746,28.90131640434265,28.849467992782593,3.98928684592247,0.06704816222190857,2.8573224544525146,1.4841525554656982,2.1589343547821045,0.0,0.633129358291626,-848.2111206054688,500.0,8,0,0,8,0,0.173583984375,0.2421875,0.12646484375,0.303955078125,0.15380859375,1.634875774383545,0.6408370733261108
2,8192,343.8160524368286,131.829443693161,47.53789019584656,35.59770393371582,35.519359827041626,31.185644318163398,0.026134110987186432,1.5732674598693848,1.4559602737426758,143.24990844726562,0.0,0.9362610578536987,-905.70703125,500.0,8,0,0,8,0,0.20263671875,0.2431640625,0.152587890625,0.2890625,0.112548828125,1.2630748748779297,0.9466094970703125
3,12288,451.79505586624146,107.94886827468872,44.952593088150024,16.762600898742676,16.723573446273804,25.43708942681551,-0.07450228184461594,2.5854012966156006,1.4201115369796753,110.6922607421875,0.0,0.7877382636070251,-529.3623657226562,500.0,8,0,0,8,0,0.198486328125,0.275146484375,0.1962890625,0.24951171875,0.08056640625,1.3706177473068237,0.8271108865737915
4,16384,564.3871636390686,112.57399845123291,42.85647177696228,23.8374240398407,23.79892873764038,7.685205102711916,0.04461109638214111,5.757091522216797,1.4297456741333008,1.5388901233673096,0.053681615740060806,1.564988136291504,-218.1661834716797,500.0,8,0,0,8,0,0.17822265625,0.28466796875,0.1923828125,0.279541015625,0.065185546875,2.9619598388671875,3.825218677520752
5,20480,676.3137953281403,111.92553973197937,42.096378326416016,25.253697395324707,25.184628009796143,4.931065502762794,-0.06697212159633636,3.387968063354492,1.3151124715805054,1.4599981307983398,0.0,1.3180699348449707,1184.49658203125,500.0,8,0,0,8,0,0.155517578125,0.340087890625,0.186767578125,0.25244140625,0.065185546875,1.6647268533706665,1.3848735094070435
6,24576,786.1342890262604,109.81963038444519,41.17721509933472,27.069826126098633,27.02760601043701,27.43029475212097,0.09962451457977295,24.738283157348633,1.3618159294128418,1.5750354528427124,0.0,2.2773799896240234,2401.587890625,500.0,8,0,0,8,0,0.13623046875,0.36181640625,0.17236328125,0.263671875,0.06591796875,3.07307767868042,5.530726909637451
7,28672,912.8431978225708,126.68017601966858,41.196903228759766,38.819591760635376,38.75976872444153,1451.7579633474352,0.01135590672492981,77.69801330566406,1.3753753900527954,6848.89892578125,0.13333866000175476,4.242141246795654,3140.55419921875,500.0,8,0,0,8,0,0.125,0.3291015625,0.166259765625,0.314453125,0.065185546875,13.09448528289795,19.064693450927734
8,32768,1031.0742371082306,118.19878578186035,45.20984983444214,23.951181173324585,23.91342830657959,21.568079072237015,0.14358580112457275,16.991857528686523,1.3728790283203125,1.5562824010849,0.14827671647071838,4.091723918914795,4174.0751953125,500.0,8,0,0,8,0,0.143798828125,0.3046875,0.17578125,0.304443359375,0.0712890625,14.167448043823242,10.186963081359863
9,36864,1132.7102184295654,101.62233901023865,42.941797494888306,15.25635576248169,15.21683144569397,52.94572063088417,-0.03629621863365173,39.80274963378906,1.392126441001892,2.202693462371826,0.0,12.738728523254395,4745.5703125,499.875,8,1,0,7,0,0.154052734375,0.292236328125,0.161376953125,0.31494140625,0.077392578125,39.39712142944336,13.011618614196777
10,40960,1242.8591086864471,110.11050057411194,45.13878917694092,19.18783950805664,19.14902091026306,334.6893716342747,0.006714794784784317,111.12395477294922,1.4093005657196045,1013.28955078125,0.04102124273777008,20.892587661743164,5823.1630859375,500.0,8,0,0,8,0,0.1259765625,0.28564453125,0.17138671875,0.34912109375,0.06787109375,63.959388732910156,47.65364074707031
11,45056,1353.445244550705,110.55633044242859,44.027716875076294,23.085808277130127,23.049221515655518,58.18524179533124,-0.004033636301755905,41.249000549316406,1.374535083770752,1.8379120826721191,0.8189753293991089,16.408897399902344,7918.33544921875,500.0,8,0,0,8,0,0.14404296875,0.3095703125,0.153564453125,0.320556640625,0.072265625,56.7552604675293,14.357709884643555
12,49152,1557.00536775589,115.90221691131592,50.3936562538147,15.354780912399292,15.311769008636475,414.51522434800864,-0.08150569349527359,173.91046142578125,1.390197992324829,1097.2586669921875,0.0,21.234535217285156,8004.70068359375,489.75,8,0,1,7,0,0.123046875,0.26220703125,0.147705078125,0.3662109375,0.100830078125,87.95087432861328,38.14134979248047
13,53248,1686.863136291504,129.84126591682434,50.01050424575806,28.243642330169678,28.206629514694214,57.976910174638036,0.0759638100862503,30.459613800048828,1.3587851524353027,2.125405788421631,0.018314529210329056,27.012588500976562,7690.087890625,500.0,8,0,0,8,0,0.119873046875,0.275390625,0.16259765625,0.3515625,0.090576171875,103.52822875976562,16.171558380126953
14,57344,1812.160980939865,125.29683566093445,46.00968670845032,31.33469295501709,31.29046869277954,100.98789532631636,0.06642501801252365,52.762168884277344,1.423917531967163,5.332869052886963,1.2986180782318115,46.833003997802734,6202.6865234375,500.0,8,0,0,8,0,0.122314453125,0.248291015625,0.145263671875,0.36328125,0.120849609375,156.30836486816406,29.43610382080078
15,61440,1924.9888851642609,112.8203547000885,46.241734981536865,19.38533091545105,19.339613676071167,90.16325534656644,0.05010964348912239,43.50994873046875,1.424412727355957,2.382845401763916,0.10117992758750916,46.10639190673828,7892.22998046875,500.0,8,0,0,8,0,0.11669921875,0.260986328125,0.145751953125,0.3486328125,0.1279296875,216.49835205078125,12.707378387451172
16,65536,2047.9330654144287,122.94286036491394,51.64074492454529,19.15231418609619,19.107930660247803,141.20993463918566,0.08005713671445847,35.27201843261719,1.4323183298110962,304.3052673339844,0.04935470595955849,44.986934661865234,6640.486328125,500.0,8,0,0,8,0,0.151123046875,0.23291015625,0.16748046875,0.326171875,0.122314453125,186.7897186279297,23.416351318359375
17,69632,2165.8856077194214,117.94115376472473,46.66614580154419,26.398717403411865,26.356733322143555,119.90902958898806,0.10993050783872604,29.834850311279297,1.4374948740005493,267.2227478027344,0.0027852922212332487,36.519142150878906,6095.0927734375,498.875,8,1,0,7,0,0.1669921875,0.231689453125,0.14990234375,0.335205078125,0.1162109375,160.08485412597656,17.21759033203125
18,73728,2287.2278757095337,121.31165885925293,48.96327066421509,26.158865928649902,26.12150263786316,75.92148195505142,-0.08954685926437378,40.429481506347656,1.3912475109100342,2.8288676738739014,0.0,35.01577377319336,7814.58447265625,500.0,8,0,0,8,0,0.15673828125,0.224365234375,0.16455078125,0.35498046875,0.099365234375,121.98928833007812,14.63014030456543
