iteration,total_steps,wall_time_seconds,iter_time_seconds,env_step_time_seconds,learn_step_time_seconds,residual_compute_time_seconds,L_total,L_policy,L_value,L_entropy,L_residual_optimality,L_residual_safety,L_distill,mean_reward,mean_episode_length,n_episodes,n_collisions,n_successes,n_timeouts,n_aborts,action_dist_stop,action_dist_creep,action_dist_yield,action_dist_go,action_dist_abort
1,4096,165.7185778617859,165.70603132247925,42.19442653656006,67.9615707397461,67.8942289352417,94.57411292940378,-0.08515211194753647,4.5800981521606445,1.4303604364395142,88.40606689453125,0.0,1.6730999946594238,-1708.790283203125,500.0,8,0,0,8,0,0.1201171875,0.113525390625,0.345947265625,0.173828125,0.24658203125
2,8192,379.09490942955017,106.71820664405823,42.955692529678345,10.486966133117676,10.449978590011597,4.544082619249821,-0.03941645473241806,3.044052839279175,1.4634929895401,0.34335100650787354,0.0,1.1960952281951904,-2947.9931640625,500.0,8,0,0,8,0,0.16259765625,0.142333984375,0.30517578125,0.1962890625,0.193603515625
3,12288,489.4645779132843,110.29314661026001,40.37372374534607,14.258160829544067,14.220765590667725,54.254977909848094,0.014401165768504143,5.172751426696777,1.4337146282196045,47.9792594909668,0.0,1.0885658264160156,-3037.85400390625,500.0,8,0,0,8,0,0.170166015625,0.130615234375,0.361083984375,0.203369140625,0.134765625
4,16384,671.1689541339874,181.68987488746643,42.31753993034363,90.4723174571991,90.27828049659729,39.17157906293869,-0.20454245805740356,2.822648763656616,1.3090909719467163,34.87333679199219,0.0,1.68013596534729,-1958.060791015625,500.0,8,0,0,8,0,0.121337890625,0.156982421875,0.43310546875,0.218994140625,0.069580078125
5,20480,790.1019146442413,118.91310143470764,47.85385179519653,14.573848247528076,14.510571956634521,1038.2203853940591,0.008915266953408718,3.2150321006774902,1.2385756969451904,1033.807861328125,0.0,1.1885766983032227,-595.7279052734375,500.0,8,0,0,8,0,0.097900390625,0.173095703125,0.450439453125,0.237548828125,0.041015625
6,24576,911.1058094501495,120.99148726463318,45.289204835891724,17.665462017059326,17.622103452682495,117.41755472868681,0.08790051192045212,96.66871643066406,1.2657397985458374,2.836350917816162,0.0,17.824586868286133,1726.4619140625,484.25,8,0,1,7,0,0.08740234375,0.15380859375,0.42236328125,0.29931640625,0.037109375
7,28672,1052.9043023586273,141.79114365577698,50.575090169906616,30.04919695854187,30.005579710006714,359.0974236652255,0.035186879336833954,280.5833435058594,1.2874419689178467,17.43636703491211,0.0,61.04252624511719,3911.47021484375,472.75,8,0,2,6,0,0.069580078125,0.136474609375,0.458740234375,0.295166015625,0.0400390625
8,32768,1222.6017105579376,169.67571353912354,52.24818277359009,57.73213839530945,57.59183120727539,425.43936131335795,-0.026672622188925743,89.30531311035156,1.3160440921783447,273.8587341308594,0.0,62.30198669433594,3181.126708984375,443.22222222222223,9,2,1,6,0,0.069091796875,0.193603515625,0.36474609375,0.315673828125,0.056884765625
9,36864,1356.378769159317,133.726491689682,58.334744691848755,14.859249114990234,14.809783458709717,11490.18413759023,0.08119416981935501,227.11062622070312,1.3248934745788574,11140.0947265625,0.0,122.89759063720703,2067.0732421875,451.6666666666667,9,1,2,6,0,0.07470703125,0.169921875,0.353271484375,0.3447265625,0.057373046875
10,40960,1498.2926280498505,141.89239716529846,54.931875228881836,29.500224351882935,29.424906015396118,214.10041620582342,0.038768790662288666,87.94474029541016,1.3540406227111816,2.067049026489258,0.0,124.04985809326172,1456.819580078125,500.0,8,0,0,8,0,0.095703125,0.145751953125,0.375,0.31640625,0.067138671875
11,45056,1636.4397060871124,138.13366603851318,48.0425283908844,33.802711486816406,33.711432456970215,223.02201997488737,-0.07517517358064651,93.10508728027344,1.347961187362671,3.3955349922180176,0.0,126.59657287597656,1047.844970703125,476.5,8,2,0,6,0,0.11474609375,0.146240234375,0.326904296875,0.327392578125,0.084716796875
12,49152,1855.0964045524597,118.48190379142761,47.86631202697754,15.539040803909302,15.499618530273438,230.19699526764452,0.023486146703362465,87.1646728515625,1.362663984298706,3.8342299461364746,0.0,139.1746063232422,893.8568725585938,490.25,8,1,0,7,0,0.117919921875,0.136962890625,0.33154296875,0.3251953125,0.08837890625
13,53248,1955.814537525177,100.55289125442505,41.336878299713135,6.247003793716431,6.204446077346802,335.99913777783513,-0.03375587984919548,205.4954833984375,1.343956470489502,1.4695391654968262,0.0,129.06787109375,3194.111572265625,469.625,8,0,2,6,0,0.118408203125,0.138427734375,0.337158203125,0.341796875,0.064208984375
