iteration,total_steps,wall_time_seconds,iter_time_seconds,env_step_time_seconds,learn_step_time_seconds,residual_compute_time_seconds,L_total,L_policy,L_value,L_entropy,L_residual_optimality,L_residual_safety,L_distill,mean_reward,mean_episode_length,n_episodes,n_collisions,n_successes,n_timeouts,n_aborts,action_dist_stop,action_dist_creep,action_dist_yield,action_dist_go,action_dist_abort
1,4096,117.54853773117065,117.51046943664551,53.00920867919922,19.72478413581848,19.66961169242859,5.092004908248782,-0.02561389096081257,2.876544952392578,1.4743046760559082,1.491957664489746,0.0,0.7491161823272705,-1021.94091796875,500.0,8,0,0,8,0,0.361328125,0.1552734375,0.156494140625,0.1904296875,0.136474609375
2,8192,316.1266529560089,135.13054156303406,52.411054849624634,37.062156200408936,36.93327021598816,80.47958660684526,-0.0001678410917520523,7.351626396179199,1.4369618892669678,70.85052490234375,0.0,2.2776031494140625,-1468.2955322265625,500.0,8,0,0,8,0,0.232421875,0.19091796875,0.1708984375,0.307373046875,0.098388671875
3,12288,436.060271024704,119.92648577690125,49.673890352249146,25.38746666908264,25.339995622634888,84.53834723494947,-0.014064798131585121,67.06246948242188,1.3980278968811035,3.3195085525512695,0.0,14.17043399810791,-518.798583984375,500.0,8,0,0,8,0,0.1865234375,0.20361328125,0.1982421875,0.345947265625,0.065673828125
4,16384,564.8606209754944,128.78700613975525,54.023709774017334,28.805938720703125,28.70212459564209,113.66527067869902,0.06229483336210251,48.98556900024414,1.407886266708374,41.794944763183594,0.0,22.82246208190918,2065.92529296875,500.0,8,0,0,8,0,0.172607421875,0.209228515625,0.227783203125,0.3388671875,0.051513671875
5,20480,684.7245879173279,119.84283494949341,53.05675911903381,22.7740797996521,22.725481271743774,129.4689593873918,-0.02167171612381935,51.76591491699219,1.4168187379837036,37.83522033691406,0.0,39.889495849609375,1886.2706298828125,472.0,8,3,0,5,0,0.1728515625,0.174560546875,0.232666015625,0.356201171875,0.063720703125
6,24576,797.4767105579376,112.69503951072693,50.17814040184021,20.089585304260254,20.01470112800598,123.59077241271734,-0.03948185592889786,61.12899398803711,1.4313451051712036,5.087808132171631,0.0,57.4134521484375,2168.546875,500.0,8,0,0,8,0,0.190673828125,0.171875,0.20166015625,0.35400390625,0.081787109375
7,28672,920.9488320350647,123.45622277259827,52.82027506828308,25.790030479431152,25.72902774810791,173.68201588094234,-0.10501910746097565,66.42831420898438,1.3956568241119385,15.236848831176758,0.0,92.12187194824219,2216.749267578125,500.0,8,0,0,8,0,0.19921875,0.169677734375,0.203369140625,0.34228515625,0.08544921875
8,32768,1020.885317325592,99.9344871044159,48.01951479911804,12.654975652694702,12.612966060638428,189.97144815325737,-0.06894519925117493,67.95638275146484,1.465989351272583,2.2182955741882324,0.0,119.86571502685547,778.9288330078125,500.0,8,0,0,8,0,0.18798828125,0.1826171875,0.21142578125,0.33447265625,0.08349609375
9,36864,1125.8408823013306,104.95057535171509,44.31738018989563,22.93356156349182,22.88787317276001,150.265669927001,-0.0933612734079361,74.98170471191406,1.44551420211792,2.821410655975342,0.0,72.55591583251953,1483.459716796875,500.0,8,0,0,8,0,0.192138671875,0.180419921875,0.215576171875,0.326904296875,0.0849609375
10,40960,1229.4902019500732,103.64614224433899,48.13470959663391,11.382282972335815,11.34428095817566,160.33016289025545,-0.03496991842985153,79.78244018554688,1.5016298294067383,2.6640982627868652,0.0,77.91859436035156,1409.6385498046875,500.0,8,0,0,8,0,0.184326171875,0.176025390625,0.1943359375,0.3134765625,0.1318359375
11,45056,1352.3770787715912,122.88367795944214,48.56759309768677,29.554400205612183,29.50467300415039,321.39224787801504,0.07963725179433823,32.318607330322266,1.4642460346221924,221.60418701171875,0.0,67.38981628417969,3596.24560546875,500.0,8,0,0,8,0,0.184326171875,0.19140625,0.2060546875,0.300537109375,0.11767578125
12,49152,1587.6819159984589,129.07380628585815,54.62393546104431,30.629173278808594,30.58009696006775,1082.2974479719996,0.04443054646253586,46.46921157836914,1.4055137634277344,956.955322265625,0.0,78.82848358154297,3866.954345703125,476.25,8,1,0,7,0,0.177978515625,0.17724609375,0.187744140625,0.35107421875,0.10595703125
