iteration,total_steps,wall_time_seconds,iter_time_seconds,env_step_time_seconds,learn_step_time_seconds,residual_compute_time_seconds,L_total,L_policy,L_value,L_entropy,L_residual_optimality,L_residual_safety,L_distill,mean_reward,mean_episode_length,n_episodes,n_collisions,n_successes,n_timeouts,n_aborts,action_dist_stop,action_dist_creep,action_dist_yield,action_dist_go,action_dist_abort
1,304096,2640.8478400707245,2639.394491672516,2577.3452167510986,32.22691059112549,32.18241739273071,878.4963516779244,0.04978998377919197,408.6396789550781,1.0205744504928589,0.0,0.22814738750457764,469.5787353515625,18808.572265625,222.16666666666666,18,0,18,0,0,0.11328125,0.153076171875,0.128173828125,0.55712890625,0.04833984375
2,308192,12664.407165050507,8296.543103694916,8187.667488574982,69.24732732772827,69.18857192993164,442.32628995832056,0.015056437812745571,257.4526062011719,0.8213525414466858,0.0,0.0,184.85862731933594,19260.15625,205.78947368421052,19,0,19,0,0,0.103759765625,0.14404296875,0.125244140625,0.593017578125,0.033935546875
3,312288,15965.357031345367,3300.903669118881,3259.509582042694,7.400141716003418,7.356723308563232,128.69242493063211,0.05683378130197525,68.20068359375,0.7962173223495483,0.0,1.682386040687561,58.75252151489258,19215.609375,188.04761904761904,21,0,21,0,0,0.085205078125,0.133544921875,0.142822265625,0.607666015625,0.03076171875
4,316384,20067.078678131104,4101.688207387924,4011.1076781749725,52.15958595275879,52.01124620437622,614.4564870074391,0.03218568116426468,317.3215026855469,0.7914067506790161,0.0,0.9552461504936218,296.1475524902344,18969.8671875,176.56521739130434,23,0,23,0,0,0.0693359375,0.11474609375,0.10546875,0.67236328125,0.0380859375
5,320480,28281.309182167053,8214.072256803513,8158.133488893509,7.097364187240601,7.050121307373047,478.75145211815834,-0.13053640723228455,287.48162841796875,0.6975457668304443,0.0,0.0,191.40036010742188,19314.810546875,164.29166666666666,24,0,24,0,0,0.056396484375,0.123779296875,0.0986328125,0.671630859375,0.049560546875
6,324576,31838.296040058136,3556.946891784668,3509.142847776413,10.541710615158081,10.490696907043457,288.3566564321518,-0.06509649753570557,151.99853515625,0.630907416343689,0.0,0.0,136.4232177734375,19787.85546875,159.2,25,0,25,0,0,0.0498046875,0.117919921875,0.086669921875,0.70947265625,0.0361328125
7,328672,35309.04424118996,3470.7009263038635,3420.8687584400177,6.551337480545044,6.50238299369812,265.4303050599992,0.02444395050406456,154.894287109375,0.6313138008117676,0.0,0.28853628039360046,110.22303771972656,19275.931640625,137.89655172413794,29,0,29,0,0,0.02783203125,0.10693359375,0.0712890625,0.772216796875,0.021728515625
8,332768,37421.81237530708,2112.7462978363037,2036.7929871082306,29.54907536506653,29.484421014785767,246.3348293788731,-0.06060976907610893,142.4932403564453,0.5137439966201782,0.0,0.0,103.9021987915039,18731.642578125,119.05882352941177,34,0,34,0,0,0.01171875,0.080810546875,0.078857421875,0.8212890625,0.00732421875
9,336864,42728.19683051109,5306.377484321594,5215.544938802719,37.62045240402222,37.579432249069214,180.53132586181164,-0.12930341064929962,104.09820556640625,0.433634877204895,0.0,0.0,76.56242370605469,19074.72265625,110.75,36,0,36,0,0,0.00439453125,0.074462890625,0.097900390625,0.821533203125,0.001708984375
10,340960,50029.58458375931,7301.364671707153,7192.316773414612,46.197107791900635,46.08341121673584,194.25098422169685,-0.13133999705314636,99.84354400634766,0.4173181653022766,0.0,0.0,94.53878021240234,19077.41796875,108.86486486486487,37,0,37,0,0,0.002685546875,0.06640625,0.092529296875,0.83740234375,0.0009765625
11,345056,57131.13925290108,7101.517727136612,7005.568816423416,31.405102252960205,31.28653621673584,171.15802835673094,0.04491495341062546,93.58279418945312,0.47766047716140747,0.0,0.0,77.53031921386719,19351.65625,108.72972972972973,37,0,37,0,0,0.002197265625,0.062255859375,0.126220703125,0.808837890625,0.00048828125
12,349152,66540.82850027084,7838.799738168716,7750.444125652313,22.42949676513672,22.34038805961609,115.0354849845171,-0.10565118491649628,70.10807037353516,0.44493722915649414,0.0,0.0,45.03306579589844,19482.068359375,109.1891891891892,37,0,37,0,0,0.002197265625,0.06787109375,0.123046875,0.806640625,0.000244140625
13,353248,73246.4032292366,6705.55312037468,6622.4657027721405,18.749277114868164,18.702348947525024,115.88907757401466,-0.12213000655174255,75.14361572265625,0.41494128108024597,0.0,0.0,40.867591857910156,19057.240234375,107.57894736842105,38,0,38,0,0,0.000244140625,0.060546875,0.11767578125,0.821533203125,0.0
14,357344,78440.71803116798,5194.29728102684,5128.950354337692,6.37404203414917,6.335001707077026,64.22585621476173,0.13534489274024963,34.3056755065918,0.38918596506118774,0.0,0.0,29.784835815429688,19186.638671875,107.73684210526316,38,0,38,0,0,0.000244140625,0.064453125,0.101806640625,0.833251953125,0.000244140625
15,361440,81595.29752874374,3154.560333967209,3089.0550622940063,14.434607982635498,14.384659051895142,85.3117358200252,-0.023663807660341263,52.09529113769531,0.47463369369506836,0.0,0.0,33.240108489990234,19222.197265625,106.28947368421052,38,0,38,0,0,0.00048828125,0.051025390625,0.08349609375,0.864990234375,0.0
16,365536,86972.94897460938,5377.630950689316,5286.253657341003,31.661635637283325,31.606673002243042,115.25501876324415,-0.05910474807024002,59.78973388671875,0.39314815402030945,0.0,1.1106780767440796,54.41371154785156,19384.673828125,106.3157894736842,38,0,38,0,0,0.001220703125,0.060791015625,0.115234375,0.82275390625,0.0
17,369632,94407.38717722893,7434.376268625259,7337.2374613285065,28.426952123641968,28.344418048858643,68.41943770088255,-0.005847638472914696,42.370384216308594,0.3486427962779999,0.0,0.0,26.054901123046875,19465.869140625,105.8157894736842,38,0,38,0,0,0.000244140625,0.057373046875,0.091552734375,0.850341796875,0.00048828125
18,373728,102592.94109630585,8185.479616880417,8057.0526468753815,60.35486578941345,60.310532569885254,127.94954051077366,-0.10606251657009125,78.15447998046875,0.3428890109062195,0.0,0.0,49.901123046875,19541.74609375,105.34210526315789,38,0,38,0,0,0.000244140625,0.048095703125,0.098388671875,0.853271484375,0.0
19,377824,110666.66238927841,8073.700715303421,7960.912096261978,42.7377495765686,42.661617040634155,92.34428573027253,-0.0346987210214138,69.54202270507812,0.3755115568637848,0.0,0.0,22.83696174621582,18912.103515625,103.97435897435898,39,1,38,0,0,0.002197265625,0.04931640625,0.0869140625,0.861328125,0.000244140625
20,381920,118820.2999215126,8153.594649076462,8038.11482667923,47.64257621765137,47.59129333496094,98.40362136531621,0.014922787435352802,58.41335678100586,0.3576805293560028,0.0,0.0,39.975341796875,19653.828125,105.13157894736842,38,0,38,0,0,0.00146484375,0.052001953125,0.092529296875,0.853759765625,0.000244140625
21,386016,122338.63782572746,3518.2964313030243,3458.0125784873962,6.661074161529541,6.610132217407227,28.216934770345688,-0.04377785325050354,16.156984329223633,0.3889769911766052,0.0,0.0,12.103728294372559,18991.443359375,103.28205128205128,39,1,38,0,0,0.0009765625,0.053955078125,0.0859375,0.85888671875,0.000244140625
22,390112,123778.28124165535,1176.6921019554138,1121.3453636169434,6.656581878662109,6.610983848571777,23.58814910054207,0.17863181233406067,14.813752174377441,0.3337247967720032,0.0,0.0,8.595765113830566,19210.080078125,104.48717948717949,39,0,39,0,0,0.000732421875,0.04833984375,0.073974609375,0.876953125,0.0
23,394208,124829.45468068123,1051.1528511047363,995.6607556343079,6.81135106086731,6.7591712474823,26.708330623805523,0.09418915957212448,14.245437622070312,0.27982333302497864,0.0,0.0,12.368703842163086,19250.74609375,104.43589743589743,39,0,39,0,0,0.00048828125,0.063720703125,0.095458984375,0.840087890625,0.000244140625
24,398304,126812.58520245552,1983.1237268447876,1923.3288283348083,8.113837480545044,8.069223403930664,22.363882310688496,0.06435418874025345,12.45566177368164,0.30476537346839905,0.0,0.0,9.843866348266602,19211.306640625,104.58974358974359,39,0,39,0,0,0.001220703125,0.056884765625,0.095458984375,0.846435546875,0.0
25,402400,132253.23316168785,5440.631837129593,5339.795115470886,45.692729234695435,45.623072385787964,34.08971927314997,-0.038902781903743744,19.428739547729492,0.2655550539493561,0.0,0.0,14.699882507324219,19182.54296875,103.02564102564102,39,1,38,0,0,0.000244140625,0.045166015625,0.076416015625,0.878173828125,0.0
