iteration,total_steps,wall_time_seconds,iter_time_seconds,env_step_time_seconds,learn_step_time_seconds,residual_compute_time_seconds,L_total,L_policy,L_value,L_entropy,L_residual_optimality,L_residual_safety,L_distill,mean_reward,mean_episode_length,n_episodes,n_collisions,n_successes,n_timeouts,n_aborts,action_dist_stop,action_dist_creep,action_dist_yield,action_dist_go,action_dist_abort
1,4096,97.68846273422241,97.67158102989197,41.05987882614136,10.109060049057007,10.06978178024292,1.8188320863991976,-0.003444267436861992,1.4130158424377441,1.498787760734558,0.0,0.0,0.40926051139831543,-993.8819580078125,500.0,8,0,0,8,0,0.197265625,0.1806640625,0.17822265625,0.2412109375,0.20263671875
2,8192,281.68431854248047,87.4109947681427,39.693692445755005,4.718432903289795,4.68314790725708,3.2512650042772293,-0.17656640708446503,2.2747533321380615,1.4932464361190796,0.0,0.0,1.1530780792236328,-1967.432373046875,500.0,8,0,0,8,0,0.204345703125,0.18359375,0.19482421875,0.265869140625,0.1513671875
3,12288,409.1506187915802,127.45502877235413,40.22648763656616,37.84577393531799,37.81063628196716,4.216812580823898,0.10231837630271912,2.808342218399048,1.452931523323059,0.0,0.0,1.3061519861221313,-2184.69580078125,500.0,8,0,0,8,0,0.22216796875,0.173583984375,0.169921875,0.286865234375,0.1474609375
4,16384,499.59439301490784,90.43046975135803,39.2306923866272,4.50327467918396,4.4668567180633545,3.1767419651150703,0.05936167389154434,1.85938560962677,1.4156930446624756,0.0,0.024137526750564575,1.2338571548461914,-2155.35546875,500.0,8,0,0,8,0,0.218994140625,0.173583984375,0.207275390625,0.27783203125,0.122314453125
5,20480,602.0194113254547,102.41784524917603,35.295623779296875,22.162760257720947,22.131299257278442,21.49377565830946,-0.016119755804538727,17.46491050720215,1.3895936012268066,0.0,0.05092582106590271,3.9940590858459473,-1444.865234375,500.0,8,0,0,8,0,0.20068359375,0.19677734375,0.235595703125,0.30810546875,0.058837890625
6,24576,681.8436357975006,79.80432415008545,35.245633363723755,4.745237827301025,4.718676805496216,59.15481439977884,0.0682474747300148,47.80888748168945,1.4004831314086914,0.0,0.0,11.277679443359375,-1585.193115234375,500.0,8,0,0,8,0,0.197998046875,0.180419921875,0.215087890625,0.322265625,0.084228515625
7,28672,768.8573157787323,86.99940776824951,36.02847909927368,4.6113200187683105,4.578094482421875,28.75553883612156,-0.04020796716213226,21.490192413330078,1.4260635375976562,0.0,0.0,7.305554389953613,-1005.7036743164062,500.0,8,0,0,8,0,0.2021484375,0.19140625,0.232421875,0.301025390625,0.072998046875
8,32768,859.3560183048248,90.48961973190308,33.85795044898987,13.891544103622437,13.842678308486938,13.009243682026863,0.0631992369890213,8.052511215209961,1.437253713607788,0.0,0.0,4.893533229827881,-1463.663330078125,500.0,8,0,0,8,0,0.203125,0.175048828125,0.254150390625,0.300048828125,0.067626953125
9,36864,948.7436127662659,89.38522267341614,37.35913634300232,9.83383846282959,9.792731285095215,13.773021921515465,-0.009000442922115326,9.460479736328125,1.4131252765655518,0.0,0.03042972832918167,4.291112899780273,-133.91690063476562,500.0,8,0,0,8,0,0.191650390625,0.196533203125,0.25048828125,0.297607421875,0.063720703125
10,40960,1039.4966967105865,90.73367166519165,38.879740953445435,8.031977653503418,7.999706029891968,11.900968700647354,0.1563188135623932,6.5469160079956055,1.4087514877319336,0.0,0.0,5.1977338790893555,-455.61761474609375,500.0,8,0,0,8,0,0.170654296875,0.240478515625,0.2392578125,0.276611328125,0.072998046875
11,45056,1131.4328782558441,91.93519067764282,38.076454639434814,6.276031255722046,6.2423255443573,52.36499451100826,-0.223531112074852,35.86054992675781,1.368160605430603,0.0,0.49915680289268494,16.228818893432617,651.4620971679688,500.0,8,0,0,8,0,0.16259765625,0.197265625,0.27001953125,0.318603515625,0.051513671875
12,49152,1289.4373381137848,82.13149118423462,38.713924169540405,4.454870939254761,4.420032024383545,74.87723934650421,-0.1135023832321167,58.66522216796875,1.3914451599121094,0.0,0.0,16.325519561767578,1379.441162109375,500.0,8,0,0,8,0,0.178955078125,0.204345703125,0.258544921875,0.283203125,0.074951171875
13,53248,1405.068490743637,115.61999988555908,38.85937809944153,36.96872091293335,36.93080401420593,60.21369598247111,0.022791365161538124,38.42508316040039,1.378372073173523,0.0,0.0,21.76582145690918,1814.83935546875,500.0,8,0,0,8,0,0.18017578125,0.208740234375,0.272705078125,0.273193359375,0.065185546875
14,57344,1487.4091007709503,82.33889293670654,37.84509801864624,4.37500786781311,4.344969034194946,26.34418199211359,0.02221677452325821,18.068099975585938,1.4047105312347412,0.0,0.0,8.253865242004395,1502.802490234375,500.0,8,0,0,8,0,0.1826171875,0.197021484375,0.267578125,0.287841796875,0.06494140625
15,61440,1579.776448249817,92.36036992073059,36.85418748855591,18.361449241638184,18.32512855529785,54.69492715597153,-0.30875712633132935,34.34143829345703,1.3343743085861206,0.0,0.6658432483673096,19.996402740478516,2684.21142578125,500.0,8,0,0,8,0,0.159912109375,0.19775390625,0.286376953125,0.283935546875,0.072021484375
16,65536,1677.6302018165588,97.85246777534485,42.57665657997131,5.092480421066284,5.053911209106445,193.1567113706842,0.011365183629095554,133.5302734375,1.374205470085144,0.0,0.061579249799251556,59.55349349975586,4251.1240234375,478.0,8,0,2,6,0,0.130859375,0.1806640625,0.316162109375,0.313232421875,0.05908203125
17,69632,1801.450251340866,123.80850100517273,41.68265175819397,36.683629751205444,36.65273356437683,50.95990438014269,-0.033913902938365936,32.69035720825195,1.3871965408325195,0.0,0.0,18.3034610748291,906.048095703125,500.0,8,0,0,8,0,0.137451171875,0.18359375,0.30029296875,0.310302734375,0.068359375
18,73728,1886.16250705719,84.71001672744751,34.98398947715759,13.702157735824585,13.668781042098999,41.44718111306429,-0.03308482468128204,29.200990676879883,1.379220962524414,0.0,0.06722291558980942,12.212052345275879,2628.246337890625,500.0,8,0,0,8,0,0.12060546875,0.19189453125,0.282958984375,0.33642578125,0.068115234375
19,77824,2037.0533151626587,150.86805963516235,40.37703466415405,65.62544846534729,65.59419369697571,62.643804925493896,-0.07853000611066818,39.77986526489258,1.3329733610153198,0.0,0.004406998865306377,22.93806266784668,5961.7177734375,500.0,8,0,0,8,0,0.120361328125,0.199951171875,0.306884765625,0.30712890625,0.065673828125
20,81920,2126.732505083084,89.67600345611572,33.78661108016968,19.13279938697815,19.099228143692017,40.17689009010792,0.06794233620166779,26.824886322021484,1.3841842412948608,0.0,0.0,13.284061431884766,5474.427734375,500.0,8,0,0,8,0,0.130859375,0.172119140625,0.2880859375,0.326416015625,0.08251953125
21,86016,2219.4579722881317,92.72408103942871,36.82215118408203,20.23548936843872,20.20328974723816,127.3426418416202,0.04208039864897728,84.67777252197266,1.3757944107055664,0.0,0.07209159433841705,42.550697326660156,6263.78369140625,490.0,8,0,1,7,0,0.14111328125,0.150390625,0.291748046875,0.34521484375,0.071533203125
22,90112,2399.98503613472,99.99755835533142,43.6139862537384,5.88130259513855,5.834512948989868,288.14655578136444,-0.037318840622901917,184.60968017578125,1.3375235795974731,0.0,0.13612224161624908,103.43807220458984,8862.73046875,494.625,8,0,2,6,0,0.196044921875,0.142333984375,0.265380859375,0.3544921875,0.041748046875
23,94208,2537.3298637866974,137.33136773109436,47.87114405632019,33.55269932746887,33.445406436920166,48.309003472328186,-0.20206773281097412,34.00746154785156,1.3570544719696045,0.0,0.0,14.503609657287598,4081.47216796875,500.0,8,0,0,8,0,0.181884765625,0.15185546875,0.241943359375,0.3720703125,0.05224609375
24,98304,2678.5698096752167,141.23273468017578,51.31135272979736,30.738855838775635,30.691571712493896,118.76969358511269,-0.03057883493602276,77.72611999511719,1.3204164505004883,0.0,0.07599492371082306,40.9981575012207,7435.00146484375,499.75,8,0,1,7,0,0.199951171875,0.147216796875,0.2392578125,0.366943359375,0.046630859375
25,102400,2800.3546617031097,121.76565384864807,45.93550181388855,19.802515983581543,19.71881866455078,132.89011965692043,-0.032716646790504456,75.0811538696289,1.287603497505188,0.0,0.0,57.84168243408203,7854.41357421875,499.375,8,0,1,7,0,0.1943359375,0.14208984375,0.246337890625,0.37841796875,0.038818359375
26,106496,2937.744216442108,137.3761341571808,43.22907495498657,37.38615655899048,37.33745503425598,185.97681745886803,0.06757928431034088,96.103515625,1.3658887147903442,0.0,0.03904469311237335,89.76667785644531,11160.123046875,484.75,8,0,3,5,0,0.176025390625,0.153564453125,0.25146484375,0.375244140625,0.043701171875
27,110592,3029.539397954941,91.79364538192749,37.59381604194641,13.089590311050415,13.042663335800171,95.91217150725424,0.016541624441742897,49.19972229003906,1.3683373928070068,0.0,0.0,46.69590759277344,9772.203125,490.125,8,0,2,6,0,0.171142578125,0.16259765625,0.200927734375,0.388427734375,0.076904296875
28,114688,3140.03173661232,110.47671675682068,50.57528018951416,11.071982860565186,11.003891468048096,56.30851571261883,0.12013642489910126,35.579933166503906,1.3456171751022339,0.0,0.0,20.60844612121582,7701.7578125,500.0,8,0,0,8,0,0.175048828125,0.158935546875,0.22314453125,0.358154296875,0.084716796875
