iteration,total_steps,wall_time_seconds,iter_time_seconds,env_step_time_seconds,learn_step_time_seconds,residual_compute_time_seconds,L_total,L_policy,L_value,L_entropy,L_residual_optimality,L_residual_safety,L_distill,mean_reward,mean_episode_length,n_episodes,n_collisions,n_successes,n_timeouts,n_aborts,action_dist_stop,action_dist_creep,action_dist_yield,action_dist_go,action_dist_abort
1,304096,444.30130100250244,443.6045081615448,429.9473133087158,1.0517909526824951,0.0,25.08587046712637,0.1051919087767601,24.98067855834961,1.2014403343200684,0.0,0.0,0.0,12616.416015625,499.25,8,0,1,7,0,0.22900390625,0.263427734375,0.1259765625,0.3271484375,0.054443359375
2,308192,1331.1074056625366,376.9107084274292,363.2808213233948,1.0691814422607422,0.0,9.776432394981384,0.04049813747406006,9.735934257507324,1.2089815139770508,0.0,0.0,0.0,14492.826171875,500.0,8,0,0,8,0,0.228271484375,0.21923828125,0.163818359375,0.33056640625,0.05810546875
3,312288,1783.9668653011322,452.8457410335541,439.2005262374878,1.0368094444274902,0.0,18.784472920000553,0.10917041450738907,18.675302505493164,1.2552956342697144,0.0,0.0,0.0,14927.490234375,500.0,8,0,0,8,0,0.21728515625,0.24072265625,0.1669921875,0.332275390625,0.042724609375
4,316384,2229.292722463608,445.32521891593933,431.69088912010193,1.0464179515838623,0.0,41.68016258068383,0.015424879267811775,41.664737701416016,1.2171311378479004,0.0,0.0,0.0,14625.4736328125,493.125,8,0,1,7,0,0.218505859375,0.221435546875,0.163818359375,0.344970703125,0.05126953125
5,320480,2682.0340995788574,452.7405786514282,439.0528185367584,1.033881425857544,0.0,37.92013781890273,-0.016770903021097183,37.93690872192383,1.234893798828125,0.0,0.0,0.0,15602.7080078125,472.5,8,0,1,7,0,0.219482421875,0.2060546875,0.1552734375,0.372314453125,0.046875
6,324576,3092.289794921875,410.2548780441284,395.5114686489105,1.0257704257965088,0.0,41.15592190809548,0.009506197646260262,41.14641571044922,1.149306058883667,0.0,0.0,0.0,19243.767578125,453.6666666666667,9,0,4,5,0,0.15380859375,0.183837890625,0.190673828125,0.41015625,0.0615234375
7,328672,3464.965060710907,372.6743404865265,358.97588181495667,1.0628893375396729,0.0,43.476005241274834,-0.14498551189899445,43.62099075317383,1.1261792182922363,0.0,0.0,0.0,22230.73828125,452.0,8,0,4,4,0,0.213134765625,0.144287109375,0.178955078125,0.421875,0.041748046875
8,332768,3901.562560081482,436.5968062877655,423.26871824264526,0.7302670478820801,0.0,26.98578679561615,0.09587705135345459,26.889909744262695,1.197640061378479,0.0,0.0,0.0,16478.1796875,490.375,8,0,1,7,0,0.203369140625,0.218994140625,0.20263671875,0.342529296875,0.032470703125
9,336864,4285.217031478882,383.6532371044159,369.90367436408997,0.7343509197235107,0.0,35.77351223304868,0.029295314103364944,35.74421691894531,1.1612573862075806,0.0,0.0,0.0,19286.8984375,477.75,8,0,2,6,0,0.211669921875,0.182861328125,0.1953125,0.376708984375,0.033447265625
10,340960,4716.838653087616,431.62076568603516,416.8939719200134,1.0444023609161377,0.0,43.91932079195976,-0.03866031765937805,43.95798110961914,1.1616021394729614,0.0,0.0,0.0,19354.93359375,446.77777777777777,9,0,4,5,0,0.20849609375,0.157958984375,0.206787109375,0.397216796875,0.029541015625
11,345056,5160.590199232101,443.7506754398346,429.939608335495,1.0701463222503662,0.0,81.32998688519001,0.03364594280719757,81.29634094238281,1.1982698440551758,0.0,0.0,0.0,20588.97265625,487.125,8,0,1,7,0,0.22412109375,0.174560546875,0.203857421875,0.367919921875,0.029541015625
12,349152,6108.774546146393,440.7200276851654,426.42715525627136,0.7278566360473633,0.0,44.28702156059444,0.014549179002642632,44.2724723815918,1.200623631477356,0.0,0.0,0.0,18130.197265625,451.55555555555554,9,0,3,6,0,0.19873046875,0.198486328125,0.204833984375,0.373779296875,0.024169921875
13,353248,6482.336128234863,373.5607933998108,359.2268991470337,0.743180513381958,0.0,58.53823637031019,-0.018034229055047035,58.556270599365234,1.1527913808822632,0.0,0.0,0.0,21417.134765625,445.77777777777777,9,0,5,4,0,0.21826171875,0.17333984375,0.18701171875,0.394775390625,0.026611328125
14,357344,6933.490651369095,451.15359330177307,436.5097482204437,1.0036861896514893,0.0,63.74089527130127,-0.05174541473388672,63.792640686035156,1.1530476808547974,0.0,0.0,0.0,24663.59765625,423.22222222222223,9,0,4,5,0,0.188232421875,0.2109375,0.19091796875,0.386962890625,0.02294921875
15,361440,7389.147078514099,455.65573501586914,442.0485861301422,1.0241892337799072,0.0,61.89645882695913,-0.11980704218149185,62.016265869140625,1.2425074577331543,0.0,0.0,0.0,23077.95703125,453.625,8,0,2,6,0,0.220947265625,0.2099609375,0.16162109375,0.372314453125,0.03515625
16,365536,7775.147922515869,385.9999442100525,372.8320860862732,0.7253091335296631,0.0,57.620598847046494,-0.015597289428114891,57.63619613647461,1.1989610195159912,0.0,0.0,0.0,27603.275390625,469.25,8,0,3,5,0,0.224853515625,0.163330078125,0.16552734375,0.410400390625,0.035888671875
17,369632,8111.744427442551,336.5957782268524,322.411936044693,0.7265129089355469,0.0,161.18865472078323,-0.27252691984176636,161.461181640625,1.1756231784820557,0.0,0.0,0.0,27557.935546875,447.8888888888889,9,0,5,4,0,0.2275390625,0.173583984375,0.201171875,0.376953125,0.020751953125
18,373728,8537.144748926163,425.3994188308716,411.88667607307434,1.0062406063079834,0.0,49.07704772055149,0.2188056856393814,48.85824203491211,1.2130056619644165,0.0,0.0,0.0,26285.330078125,478.75,8,0,3,5,0,0.232421875,0.1484375,0.18701171875,0.3974609375,0.03466796875
19,377824,8952.3617374897,415.2162744998932,401.6384255886078,1.0238850116729736,0.0,35.77515526488423,0.0391056127846241,35.73604965209961,1.2248120307922363,0.0,0.0,0.0,23107.12890625,496.625,8,0,1,7,0,0.2490234375,0.18505859375,0.18212890625,0.357177734375,0.026611328125
20,381920,9399.594309329987,447.23182249069214,433.7352285385132,1.0070390701293945,0.0,42.37919723242521,0.07904922217130661,42.300148010253906,1.1921755075454712,0.0,0.0,0.0,25233.228515625,487.625,8,0,3,5,0,0.233642578125,0.17626953125,0.17919921875,0.381103515625,0.02978515625
21,386016,9826.468956947327,426.87390208244324,412.3705759048462,1.0056018829345703,0.0,44.412017181515694,0.09613354504108429,44.31588363647461,1.1686680316925049,0.0,0.0,0.0,23743.9296875,453.1111111111111,9,0,3,6,0,0.228759765625,0.220458984375,0.162353515625,0.363525390625,0.02490234375
22,390112,10731.043855667114,433.8246371746063,420.12778782844543,1.0240130424499512,0.0,45.26061499118805,0.08626425266265869,45.17435073852539,1.1701898574829102,0.0,0.0,0.0,32645.65234375,469.375,8,0,3,5,0,0.2109375,0.18359375,0.162109375,0.399169921875,0.044189453125
23,394208,11176.412432670593,445.348685503006,432.0804569721222,0.7194299697875977,0.0,68.13712102547288,0.00691777840256691,68.13020324707031,1.180195927619934,0.0,0.0,0.0,29642.810546875,493.125,8,0,1,7,0,0.2021484375,0.22119140625,0.169189453125,0.369140625,0.038330078125
24,398304,11614.794465303421,438.3811023235321,425.109046459198,0.7294282913208008,0.0,60.23989588022232,0.3051806092262268,59.934715270996094,1.1229804754257202,0.0,0.0,0.0,28992.25,472.5,8,0,2,6,0,0.1953125,0.24267578125,0.144775390625,0.387939453125,0.029296875
25,402400,11982.863620519638,368.06828022003174,354.47705125808716,1.049145221710205,0.0,26.881216946989298,0.03480810299515724,26.84640884399414,1.1496105194091797,0.0,0.0,0.0,25206.26171875,478.625,8,0,1,7,0,0.239990234375,0.197021484375,0.149169921875,0.361572265625,0.05224609375
