iteration,total_steps,wall_time_seconds,iter_time_seconds,env_step_time_seconds,learn_step_time_seconds,residual_compute_time_seconds,L_total,L_policy,L_value,L_entropy,L_residual_optimality,L_residual_safety,L_distill,mean_reward,mean_episode_length,n_episodes,n_collisions,n_successes,n_timeouts,n_aborts,action_dist_stop,action_dist_creep,action_dist_yield,action_dist_go,action_dist_abort
1,4096,160.75789403915405,160.7014446258545,86.04411149024963,7.95349907875061,0.0,5.348108252510428,0.011383971199393272,5.336724281311035,1.451785922050476,0.0,0.0,0.0,-767.8079833984375,500.0,8,0,0,8,0,0.17724609375,0.2001953125,0.14794921875,0.321533203125,0.153076171875
2,8192,532.5280621051788,160.79200744628906,87.54675316810608,8.240031242370605,0.0,1.4808766953647137,0.050567399710416794,1.4303092956542969,1.4132438898086548,0.0,0.0,0.0,-1265.3284912109375,500.0,8,0,0,8,0,0.22021484375,0.228759765625,0.116943359375,0.323486328125,0.110595703125
3,12288,682.9649307727814,150.42557787895203,80.48204183578491,10.735573291778564,0.0,0.8651417121291161,-0.10352400690317154,0.9686657190322876,1.3828216791152954,0.0,0.0,0.0,-1116.974609375,500.0,8,0,0,8,0,0.221435546875,0.237060546875,0.15673828125,0.30224609375,0.08251953125
4,16384,832.9156005382538,149.93823385238647,81.10799074172974,8.434189558029175,0.0,16.045088052749634,0.12641358375549316,15.91867446899414,1.3578593730926514,0.0,0.0,0.0,-590.98828125,500.0,8,0,0,8,0,0.1904296875,0.269775390625,0.175048828125,0.32373046875,0.041015625
5,20480,980.4786159992218,147.56176900863647,80.97081208229065,9.776915788650513,0.0,11.305780991911888,0.013271912932395935,11.292509078979492,1.3644874095916748,0.0,0.0,0.0,-470.3384704589844,500.0,8,0,0,8,0,0.182373046875,0.26318359375,0.168701171875,0.328857421875,0.056884765625
6,24576,1135.4773268699646,154.99682593345642,84.83791542053223,10.163091897964478,0.0,6.4694813676178455,-0.06171141192317009,6.531192779541016,1.3681104183197021,0.0,0.0,0.0,-347.0890808105469,500.0,8,0,0,8,0,0.1787109375,0.269287109375,0.153564453125,0.3515625,0.046875
7,28672,1288.812519311905,153.32093858718872,79.0212631225586,8.737577438354492,0.0,4.730549678206444,-0.20746435225009918,4.938014030456543,1.3408700227737427,0.0,0.0,0.0,-191.0814666748047,500.0,8,0,0,8,0,0.18115234375,0.26171875,0.1953125,0.306640625,0.05517578125
8,32768,1513.32133603096,224.50389671325684,108.44684290885925,29.795274019241333,0.0,14.185533493757248,0.155971497297287,14.029561996459961,1.3520258665084839,0.0,0.0,0.0,-306.5715637207031,500.0,8,0,0,8,0,0.203125,0.2763671875,0.179931640625,0.2958984375,0.044677734375
9,36864,1752.7280585765839,239.40518188476562,118.70136642456055,20.579713821411133,0.0,5.492394298315048,-0.04321160912513733,5.5356059074401855,1.3824687004089355,0.0,0.0,0.0,697.89697265625,500.0,8,0,0,8,0,0.189453125,0.283935546875,0.18603515625,0.29931640625,0.041259765625
10,40960,2003.234474182129,250.4827117919922,120.09794855117798,25.347716331481934,0.0,11.001360289752483,0.0886005088686943,10.912759780883789,1.303861379623413,0.0,0.0,0.0,2232.03173828125,500.0,8,0,0,8,0,0.18603515625,0.312255859375,0.175537109375,0.278076171875,0.048095703125
11,45056,2268.177491426468,264.93932247161865,126.20787000656128,27.1470627784729,0.0,26.956170357763767,-0.09000655263662338,27.04617691040039,1.3352012634277344,0.0,0.0,0.0,1657.8046875,500.0,8,0,0,8,0,0.199462890625,0.30322265625,0.177490234375,0.26904296875,0.05078125
12,49152,2590.909670114517,134.98195242881775,74.53414583206177,9.789111137390137,0.0,41.93741216510534,-0.06718454509973526,42.00459671020508,1.333627462387085,0.0,0.0,0.0,2337.814453125,500.0,8,0,0,8,0,0.19970703125,0.3095703125,0.181396484375,0.26171875,0.047607421875
13,53248,2727.4107615947723,136.49986457824707,69.72061538696289,13.831851720809937,0.0,29.419076211750507,-0.0021712705492973328,29.421247482299805,1.3898346424102783,0.0,0.0,0.0,2474.34521484375,500.0,8,0,0,8,0,0.19091796875,0.31005859375,0.169189453125,0.291015625,0.038818359375
14,57344,2857.18341755867,129.7714340686798,72.09791350364685,5.515807390213013,0.0,4.0822960287332535,-0.14611564576625824,4.228411674499512,1.325223445892334,0.0,0.0,0.0,2429.96240234375,500.0,8,0,0,8,0,0.19189453125,0.270263671875,0.18896484375,0.2998046875,0.049072265625
