iteration,total_steps,wall_time_seconds,iter_time_seconds,env_step_time_seconds,learn_step_time_seconds,residual_compute_time_seconds,L_total,L_policy,L_value,L_entropy,L_residual_optimality,L_residual_safety,L_distill,mean_reward,mean_episode_length,n_episodes,n_collisions,n_successes,n_timeouts,n_aborts,action_dist_stop,action_dist_creep,action_dist_yield,action_dist_go,action_dist_abort,distill_loss_optimality_component,distill_loss_safety_component
1,4096,1601.4569017887115,1601.0292015075684,1510.2290658950806,73.59063935279846,73.54483938217163,3.0015006657689813,-0.024121010676026344,0.788870096206665,1.54062819480896,9.579030990600586,0.0,0.3209453821182251,-1040.8424072265625,500.0,8,0,0,8,0,0.2392578125,0.1455078125,0.258056640625,0.14697265625,0.210205078125,0.9300704002380371,0.11148341000080109
2,8192,4492.2238137722015,1665.4139847755432,1625.234632730484,23.24938440322876,23.21731162071228,8.667060190439225,0.03389190137386322,7.263014316558838,1.521102786064148,2.505492687225342,0.05380861461162567,0.8582937121391296,-1874.995849609375,500.0,8,0,0,8,0,0.261962890625,0.187744140625,0.2275390625,0.180419921875,0.142333984375,2.2397029399871826,1.031678318977356
3,12288,5830.9340353012085,1338.6963465213776,1297.998705148697,23.87482786178589,23.830721855163574,61.43152717873454,-0.06187017634510994,3.0379152297973633,1.52364182472229,282.5091552734375,0.0,1.9536510705947876,-2287.570556640625,500.0,8,0,0,8,0,0.267333984375,0.2109375,0.234619140625,0.177001953125,0.110107421875,3.866070032119751,1.236405611038208
4,16384,7138.874744415283,1307.9342548847198,1246.1338090896606,44.76521396636963,44.720855474472046,31.321139051020147,0.041492048650979996,3.615823268890381,1.5105743408203125,131.95639038085938,0.04923563078045845,1.2626985311508179,-2635.958984375,500.0,8,0,0,8,0,0.2373046875,0.201416015625,0.2509765625,0.18994140625,0.120361328125,1.7160534858703613,1.9852083921432495
5,20480,8471.732013940811,1332.8096027374268,1290.883573293686,25.386550426483154,25.31329607963562,113.94364954531193,0.016710177063941956,1.732938289642334,1.488136649131775,555.3860473632812,0.0,1.1167916059494019,-2251.84912109375,500.0,8,0,0,8,0,0.20263671875,0.2138671875,0.23583984375,0.23876953125,0.10888671875,1.770326852798462,0.905769944190979
6,24576,9739.958921909332,1268.216629266739,1233.5468282699585,18.203199863433838,18.170241594314575,4.249380752444267,0.0672290027141571,2.9858999252319336,1.451596975326538,1.3771320581436157,0.05231286585330963,0.9103628396987915,-1887.2430419921875,500.0,8,0,0,8,0,0.18798828125,0.1982421875,0.263427734375,0.2734375,0.076904296875,1.5271451473236084,1.4691532850265503
7,28672,11285.150040388107,1545.1847784519196,1480.1007523536682,46.97310829162598,46.922101736068726,67.47789589688182,-0.01876038685441017,1.5636287927627563,1.433140754699707,326.1964416503906,0.02911381423473358,0.6879163980484009,-1199.6312255859375,500.0,8,0,0,8,0,0.19775390625,0.21728515625,0.23681640625,0.278564453125,0.069580078125,1.4352160692214966,0.6991725564002991
8,32768,12553.952745199203,1268.788887500763,1228.243810892105,23.66075325012207,23.6037814617157,7.984859783574938,-0.014776509255170822,5.672285079956055,1.4109222888946533,1.3991036415100098,0.023776652291417122,2.0427751541137695,-677.9833374023438,500.0,8,0,0,8,0,0.157958984375,0.223876953125,0.25439453125,0.287353515625,0.076416015625,2.6383936405181885,3.3466849327087402
9,36864,13932.215160369873,1378.2597210407257,1318.5977528095245,43.56063961982727,43.51411414146423,42.90666690394283,0.11697428673505783,6.192017078399658,1.4536824226379395,175.021240234375,0.008458856493234634,1.5917357206344604,-279.04913330078125,500.0,8,0,0,8,0,0.16552734375,0.22412109375,0.22119140625,0.305419921875,0.083740234375,2.736161470413208,3.1779613494873047
10,40960,15522.882207870483,1590.6599307060242,1529.3753640651703,45.07259941101074,44.97926473617554,37.37788653224707,0.0745064839720726,25.323474884033203,1.4524922370910645,41.77719497680664,0.08110755681991577,3.6082446575164795,-446.8809814453125,500.0,8,0,0,8,0,0.1650390625,0.210693359375,0.214111328125,0.325439453125,0.084716796875,7.283644676208496,6.340088844299316
11,45056,17043.876168727875,1520.9794788360596,1476.9884340763092,27.21770191192627,27.180914640426636,15.76326277256012,0.03618180751800537,12.257349014282227,1.465174913406372,1.8739492893218994,0.0,3.094942092895508,-530.768310546875,500.0,8,0,0,8,0,0.17919921875,0.204345703125,0.210693359375,0.306884765625,0.098876953125,7.172500133514404,5.719490051269531
12,49152,19807.297824144363,1497.947499513626,1473.4040699005127,8.385761022567749,8.35420036315918,1801.5567975252868,0.24953536689281464,28.47406768798828,1.446847677230835,8844.19921875,0.3931235074996948,3.9147260189056396,-523.7271118164062,500.0,8,0,0,8,0,0.201171875,0.18310546875,0.179931640625,0.33837890625,0.097412109375,8.639244079589844,10.712373733520508
13,53248,21359.091101169586,1551.788568019867,1503.4779679775238,31.696574211120605,31.659401655197144,64.90366346910596,-0.011440824717283249,54.67789077758789,1.4410150051116943,2.0177431106567383,0.0,9.833664894104004,536.1025390625,500.0,8,0,0,8,0,0.1796875,0.18896484375,0.1796875,0.34130859375,0.1103515625,22.759578704833984,13.506893157958984
14,57344,22941.721962451935,1582.6171066761017,1519.958143234253,46.43277025222778,46.327022552490234,29.268852204084396,0.15068718791007996,21.675457000732422,1.4666805267333984,1.7535734176635742,0.0,7.09199333190918,208.5753173828125,500.0,8,0,0,8,0,0.184814453125,0.18994140625,0.197998046875,0.327880859375,0.099365234375,10.405674934387207,7.490981101989746
15,61440,24276.46300148964,1334.71196103096,1254.5420308113098,64.38508653640747,64.33890223503113,19.874370315670966,0.09908373653888702,9.99670124053955,1.4749971628189087,6.126064777374268,0.0,8.553372383117676,665.0834350585938,500.0,8,0,0,8,0,0.201416015625,0.194580078125,0.186767578125,0.314697265625,0.1025390625,13.069854736328125,8.029925346374512
