iteration,total_steps,wall_time_seconds,iter_time_seconds,env_step_time_seconds,learn_step_time_seconds,residual_compute_time_seconds,L_total,L_policy,L_value,L_entropy,L_residual_optimality,L_residual_safety,L_distill,mean_reward,mean_episode_length,n_episodes,n_collisions,n_successes,n_timeouts,n_aborts,action_dist_stop,action_dist_creep,action_dist_yield,action_dist_go,action_dist_abort,distill_loss_optimality_component,distill_loss_safety_component
1,4096,124.3071699142456,124.26399612426758,47.023298263549805,23.61617946624756,23.55640196800232,3.1014295756816863,-0.03628268837928772,2.0662436485290527,1.4769448041915894,1.5392566919326782,0.0,0.7636172771453857,-1774.7730712890625,500.0,8,0,0,8,0,0.1416015625,0.115966796875,0.276123046875,0.185791015625,0.280517578125,1.2388458251953125,0.893028974533081
2,8192,378.351190328598,150.48632621765137,53.68846321105957,41.93344044685364,41.88554239273071,23.18101414367557,0.021466147154569626,2.732050657272339,1.4574122428894043,97.13996887207031,0.13471341133117676,0.9725608825683594,-2921.69970703125,500.0,8,0,0,8,0,0.13671875,0.129638671875,0.3583984375,0.176025390625,0.19921875,1.9697929620742798,1.0445259809494019
3,12288,514.4252424240112,136.07087779045105,42.334126234054565,44.49118185043335,44.420865297317505,4.668279073387384,0.046651337295770645,2.497283697128296,1.4584742784500122,5.709656715393066,0.0,0.9824126958847046,-3031.3291015625,500.0,8,0,0,8,0,0.188720703125,0.14697265625,0.359375,0.171875,0.133056640625,1.6485952138900757,0.9020938277244568
4,16384,654.7817888259888,140.33785200119019,46.90752935409546,41.44621181488037,41.394492626190186,9.18687246143818,-0.13998179137706757,6.102546691894531,1.4389172792434692,1.5013494491577148,6.4935736656188965,1.625322937965393,-2883.27587890625,500.0,8,0,0,8,0,0.188232421875,0.152587890625,0.3271484375,0.24560546875,0.08642578125,2.3409337997436523,2.2362687587738037
5,20480,776.7731442451477,121.96571087837219,42.21280479431152,32.152931451797485,32.108665466308594,7.727998408675194,0.1321612447500229,5.755853652954102,1.4666409492492676,1.4219697713851929,0.0,1.5555895566940308,-2796.310302734375,500.0,8,0,0,8,0,0.196044921875,0.225830078125,0.254150390625,0.231201171875,0.0927734375,2.402290105819702,1.736164927482605
6,24576,902.6630365848541,125.87597918510437,41.90672540664673,36.04269742965698,35.9549777507782,9.194828051701188,0.029558712616562843,7.7464776039123535,1.4395365715026855,1.5698597431182861,0.09543424844741821,1.0857329368591309,-2471.01513671875,500.0,8,0,0,8,0,0.18115234375,0.198974609375,0.29736328125,0.246826171875,0.07568359375,2.845186233520508,1.7721755504608154
7,28672,1046.1710052490234,143.4887571334839,46.76350688934326,47.714540004730225,47.63191795349121,92.47363263219594,0.09255508333444595,83.3909912109375,1.4347641468048096,1.7181901931762695,0.0764235109090805,8.631163597106934,-666.234375,487.75,8,0,1,7,0,0.13330078125,0.185302734375,0.311767578125,0.3076171875,0.06201171875,5.850656032562256,30.026704788208008
8,32768,1194.9621872901917,148.7895803451538,48.22559952735901,49.82184457778931,49.762887477874756,12.661020233482123,-0.06073807179927826,8.541738510131836,1.4714616537094116,1.8322412967681885,0.05184095725417137,3.8032033443450928,-1261.6982421875,500.0,8,0,0,8,0,0.158447265625,0.17578125,0.259521484375,0.3017578125,0.1044921875,5.807459354400635,6.477528095245361
9,36864,1301.2189259529114,106.23790431022644,43.52604579925537,12.116502046585083,12.075605154037476,48.56773475259543,0.0016398541629314423,41.24094009399414,1.4507274627685547,2.9773359298706055,0.020906563848257065,6.72550630569458,-728.7881469726562,500.0,8,0,0,8,0,0.173583984375,0.160400390625,0.25341796875,0.31494140625,0.09765625,10.259453773498535,16.949901580810547
10,40960,1435.949002981186,134.72309565544128,45.759591817855835,36.208125591278076,36.15768575668335,63.60624551028013,0.02736930549144745,53.98249053955078,1.4063501358032227,9.698212623596191,0.05774066597223282,7.645195007324219,1493.212890625,500.0,8,0,0,8,0,0.164306640625,0.16650390625,0.239501953125,0.349365234375,0.080322265625,12.583047866821289,35.03963088989258
