iteration,total_steps,wall_time_seconds,iter_time_seconds,env_step_time_seconds,learn_step_time_seconds,residual_compute_time_seconds,L_total,L_policy,L_value,L_entropy,L_residual_optimality,L_residual_safety,L_distill,mean_reward,mean_episode_length,n_episodes,n_collisions,n_successes,n_timeouts,n_aborts,action_dist_stop,action_dist_creep,action_dist_yield,action_dist_go,action_dist_abort
1,4096,107.63743591308594,107.61633944511414,43.739946603775024,9.634470224380493,9.594222784042358,66.56330466270447,0.032645225524902344,6.751895427703857,1.4257076978683472,57.01614761352539,0.0,2.7626163959503174,-1015.506103515625,500.0,8,0,0,8,0,0.215087890625,0.17529296875,0.212890625,0.303955078125,0.0927734375
2,8192,320.0608012676239,120.97661876678467,41.413254261016846,38.52356958389282,38.48428440093994,1147.9970599710941,-0.19485542178153992,2.094210386276245,1.3904672861099243,1144.103271484375,0.0,1.9944335222244263,-1156.0091552734375,500.0,8,0,0,8,0,0.212646484375,0.173583984375,0.21533203125,0.3349609375,0.0634765625
3,12288,420.3606743812561,100.27797293663025,37.82301354408264,16.80849003791809,16.741312742233276,180.8872190490365,-0.08095493167638779,9.718923568725586,1.3842267990112305,163.37432861328125,0.0,7.874921798706055,-1362.3370361328125,500.0,8,0,0,8,0,0.232177734375,0.182373046875,0.197998046875,0.33984375,0.047607421875
4,16384,530.0465452671051,109.67913556098938,40.892486572265625,25.971876621246338,25.92882204055786,252.64661061391234,0.0117109976708889,5.564419746398926,1.374072551727295,243.03524780273438,0.0,4.035232067108154,-671.5625610351562,500.0,8,0,0,8,0,0.22802734375,0.21435546875,0.2216796875,0.292236328125,0.043701171875
5,20480,621.3219239711761,91.2620632648468,40.62230849266052,6.935122966766357,6.896274089813232,6.388248302042484,0.02462414652109146,3.7201743125915527,1.3400421142578125,0.5645950436592102,0.0,2.07885479927063,175.46456909179688,500.0,8,0,0,8,0,0.2138671875,0.26708984375,0.175537109375,0.294677734375,0.048828125
6,24576,725.7444818019867,104.42151117324829,40.6157112121582,13.302170991897583,13.263022661209106,15.861130267381668,-0.03274980187416077,10.639564514160156,1.291555643081665,0.7236973643302917,0.0,4.530618190765381,694.4335327148438,500.0,8,0,0,8,0,0.204345703125,0.294677734375,0.19677734375,0.265380859375,0.038818359375
7,28672,820.6836500167847,94.92705178260803,36.94192981719971,10.330575942993164,10.29750680923462,307.78865993767977,-0.03044091910123825,6.495788097381592,1.2401217222213745,297.3425598144531,0.0,3.980752944946289,1528.0023193359375,500.0,8,0,0,8,0,0.169677734375,0.3564453125,0.168701171875,0.275634765625,0.029541015625
8,32768,910.2947590351105,89.59979844093323,36.62785792350769,10.719322681427002,10.682958602905273,1217.3339483495802,0.0229398962110281,30.81318473815918,1.2366197109222412,1179.517578125,0.0,6.980245590209961,3134.513427734375,500.0,8,0,0,8,0,0.152587890625,0.38037109375,0.182861328125,0.261474609375,0.022705078125
9,36864,1006.0116899013519,95.69834113121033,41.84520649909973,5.1635520458221436,5.126845121383667,106.63330736383796,0.038534071296453476,58.72526550292969,1.2375990152359009,33.70857238769531,0.0,14.160935401916504,2731.075439453125,500.0,8,0,0,8,0,0.204345703125,0.3310546875,0.171630859375,0.2587890625,0.0341796875
10,40960,1099.6063826084137,93.58287215232849,39.70200443267822,7.704869270324707,7.660372734069824,46.89294047653675,0.09102387726306915,30.312938690185547,1.2468219995498657,0.9785399436950684,0.0,15.510437965393066,2584.07421875,500.0,8,0,0,8,0,0.22119140625,0.29833984375,0.150146484375,0.2978515625,0.032470703125
