iteration,total_steps,wall_time_seconds,iter_time_seconds,env_step_time_seconds,learn_step_time_seconds,residual_compute_time_seconds,L_total,L_policy,L_value,L_entropy,L_residual_optimality,L_residual_safety,L_distill,mean_reward,mean_episode_length,n_episodes,n_collisions,n_successes,n_timeouts,n_aborts,action_dist_stop,action_dist_creep,action_dist_yield,action_dist_go,action_dist_abort
1,4096,1153.438062429428,1153.1108028888702,1118.6458451747894,17.48413395881653,17.44593644142151,6.423499314114451,0.004544166848063469,4.349020957946777,1.4792017936706543,1.4926928281784058,0.0,0.5772413611412048,-1385.3531494140625,500.0,8,0,0,8,0,0.148193359375,0.11572265625,0.32275390625,0.145751953125,0.267578125
2,8192,3878.9800481796265,1283.9299893379211,1252.44083070755,14.255369663238525,14.21125078201294,10.595215063542128,-0.026589442044496536,1.0895259380340576,1.4110713005065918,9.04652214050293,0.0,0.48575642704963684,-2267.4208984375,500.0,8,0,0,8,0,0.125732421875,0.175048828125,0.395751953125,0.154541015625,0.14892578125
3,12288,4965.696568727493,1086.7106382846832,1062.5647280216217,7.508481025695801,7.475765943527222,180.57434942759573,-0.012794947251677513,8.170391082763672,1.4157423973083496,169.8865509033203,0.0,2.5302023887634277,-2285.65087890625,500.0,8,0,0,8,0,0.119384765625,0.1923828125,0.366455078125,0.221923828125,0.099853515625
4,16384,6163.323792934418,1197.61718916893,1158.5176396369934,22.677903652191162,22.633721351623535,718.7262947931886,-0.04932185262441635,19.244977951049805,1.3897156715393066,695.7699584960938,0.0,3.7606801986694336,-1587.3270263671875,500.0,8,0,0,8,0,0.113037109375,0.2451171875,0.316650390625,0.250732421875,0.074462890625
5,20480,7409.64580988884,1246.3211064338684,1203.9554307460785,24.55715799331665,24.483082056045532,20.73512999713421,0.04675273597240448,13.773733139038086,1.3649629354476929,1.5986517667770386,0.0,5.31599235534668,-2084.958984375,500.0,8,0,0,8,0,0.11865234375,0.23486328125,0.31689453125,0.261962890625,0.067626953125
6,24576,8580.27954339981,1170.6328172683716,1139.4852437973022,14.01268982887268,13.979493141174316,1296.4892275631428,0.12946584820747375,45.89753341674805,1.382794976234436,1243.1253662109375,0.0,7.336862087249756,-1303.2164306640625,500.0,8,0,0,8,0,0.129150390625,0.250244140625,0.295166015625,0.260009765625,0.0654296875
7,28672,9841.59417629242,1261.2987253665924,1214.138927936554,29.816641807556152,29.779736518859863,981.2621977031231,0.08193418383598328,23.064895629882812,1.4188202619552612,949.1437377929688,0.0,8.971630096435547,93.0963363647461,500.0,8,0,0,8,0,0.12060546875,0.24365234375,0.2451171875,0.32763671875,0.06298828125
8,32768,11159.457997322083,1317.8448400497437,1277.4310569763184,22.839151859283447,22.798964500427246,98.1272776350379,0.02671029418706894,56.25147247314453,1.4042092561721802,4.89841890335083,0.0,36.95067596435547,749.83740234375,500.0,8,0,0,8,0,0.11181640625,0.245849609375,0.240478515625,0.328857421875,0.072998046875
9,36864,12607.421488761902,1447.9576258659363,1412.4253635406494,17.204744577407837,17.16972804069519,153.0659261122346,0.022738017141819,31.27705955505371,1.4101786613464355,96.13172912597656,0.0,25.6343994140625,1074.0521240234375,500.0,8,0,0,8,0,0.127685546875,0.241455078125,0.233642578125,0.3115234375,0.085693359375
10,40960,14244.018675088882,1636.5850126743317,1591.2808780670166,25.936150074005127,25.883188009262085,183.1012845635414,0.07450538873672485,33.54573059082031,1.438007116317749,119.399658203125,0.0,30.081390380859375,661.2008666992188,500.0,8,0,0,8,0,0.12744140625,0.24462890625,0.20751953125,0.333740234375,0.086669921875
11,45056,15763.693080186844,1519.6585278511047,1483.633288860321,17.18181800842285,17.144018411636353,98.95518676936626,-0.18370433151721954,54.75725555419922,1.3672128915786743,1.9867228269577026,0.0,42.39491271972656,736.5091552734375,500.0,8,0,0,8,0,0.126220703125,0.22509765625,0.24365234375,0.33984375,0.065185546875
12,49152,18166.24806022644,1431.8659620285034,1386.3031768798828,27.985762357711792,27.92170238494873,121.36824654042721,0.1648261398077011,54.45991516113281,1.3970770835876465,2.9672982692718506,0.0,63.776206970214844,914.5106201171875,500.0,8,0,0,8,0,0.130859375,0.25927734375,0.198486328125,0.337158203125,0.07421875
13,53248,19522.385800123215,1356.1233706474304,1326.3519604206085,12.133682250976562,12.098308324813843,147.2057515233755,-0.11540402472019196,70.56334686279297,1.4358335733413696,34.12320327758789,0.0,42.634605407714844,620.3809204101562,500.0,8,0,0,8,0,0.155517578125,0.244873046875,0.170166015625,0.34033203125,0.089111328125
