iteration,total_steps,wall_time_seconds,iter_time_seconds,env_step_time_seconds,learn_step_time_seconds,residual_compute_time_seconds,L_total,L_policy,L_value,L_entropy,L_residual_optimality,L_residual_safety,L_distill,mean_reward,mean_episode_length,n_episodes,n_collisions,n_successes,n_timeouts,n_aborts,action_dist_stop,action_dist_creep,action_dist_yield,action_dist_go,action_dist_abort
1,4096,151.04217672348022,151.01037287712097,33.905988693237305,65.402512550354,65.37053322792053,24.10851888358593,-0.055873408913612366,2.381110668182373,1.4994951486587524,20.89942741394043,0.0,0.8838542103767395,-1796.51220703125,500.0,8,0,0,8,0,0.16259765625,0.1201171875,0.256103515625,0.1708984375,0.290283203125
2,8192,458.2955527305603,200.80142164230347,42.64855337142944,102.96226000785828,102.93205642700195,5.8309751488268375,-0.04647090658545494,3.0218429565429688,1.3769644498825073,1.425745964050293,0.0,1.4298571348190308,-2788.57275390625,500.0,8,0,0,8,0,0.103515625,0.153564453125,0.406982421875,0.17431640625,0.16162109375
3,12288,614.3074722290039,156.01003217697144,42.37566876411438,53.45846891403198,53.426900148391724,14.18353195488453,0.06620223820209503,9.169622421264648,1.3803458213806152,1.4487272500991821,0.0,3.4989800453186035,-2910.433837890625,500.0,8,0,0,8,0,0.094482421875,0.1884765625,0.381591796875,0.233154296875,0.102294921875
4,16384,773.6041932106018,159.28000235557556,50.70150375366211,53.6355185508728,53.60395884513855,30.20625414699316,-0.06532154232263565,22.669452667236328,1.3539223670959473,2.024533987045288,0.0,5.57758903503418,-1685.904052734375,500.0,8,0,0,8,0,0.11279296875,0.166748046875,0.36572265625,0.2822265625,0.072509765625
5,20480,870.7279582023621,97.10357236862183,34.820396184921265,11.807193517684937,11.773417234420776,89.37224958464503,0.028346043080091476,63.169761657714844,1.3963192701339722,15.61439037322998,0.0,10.559751510620117,136.80178833007812,500.0,8,0,0,8,0,0.1162109375,0.163818359375,0.344482421875,0.323974609375,0.051513671875
6,24576,1059.2986345291138,188.5506739616394,35.212480306625366,103.54282450675964,103.51355791091919,3153.1411148309708,0.07291567325592041,34.42173385620117,1.394595980644226,3102.853515625,0.0,15.792949676513672,-1074.16162109375,500.0,8,0,0,8,0,0.130615234375,0.20068359375,0.28076171875,0.31640625,0.071533203125
7,28672,1273.939525604248,214.61926579475403,48.137404918670654,105.87903642654419,105.84255385398865,5580.225407958031,0.056266188621520996,30.52058982849121,1.3797756433486938,5534.1240234375,0.0,15.524528503417969,-304.5426025390625,500.0,8,0,0,8,0,0.095703125,0.189453125,0.275146484375,0.36572265625,0.073974609375
8,32768,1422.9472045898438,149.000394821167,44.01429319381714,49.404937744140625,49.37365794181824,109.17192307114601,-0.05165824294090271,34.458473205566406,1.389735460281372,54.984130859375,0.0,19.780977249145508,-535.8580322265625,500.0,8,0,0,8,0,0.10498046875,0.226318359375,0.26318359375,0.340576171875,0.06494140625
9,36864,1534.0518531799316,111.10264253616333,36.904322147369385,18.992298364639282,18.960721492767334,71.1629856005311,0.06988219171762466,31.304840087890625,1.3931010961532593,22.910003662109375,0.0,16.878259658813477,-224.27647399902344,500.0,8,0,0,8,0,0.138671875,0.205810546875,0.237548828125,0.35009765625,0.06787109375
10,40960,1653.8190710544586,119.75155782699585,38.38019943237305,30.45150637626648,30.42244291305542,181.16491224616766,-0.08168313652276993,71.21768951416016,1.3976575136184692,81.27423858642578,0.0,28.754667282104492,1823.3282470703125,500.0,8,0,0,8,0,0.16162109375,0.1708984375,0.237548828125,0.37158203125,0.058349609375
11,45056,1796.558977842331,142.71871209144592,40.07788324356079,49.612229108810425,49.58444809913635,148.31763428077102,0.007917102426290512,97.0116958618164,1.3923619985580444,3.001901626586914,0.0,48.296119689941406,2805.219482421875,498.625,8,0,1,7,0,0.13623046875,0.184814453125,0.221435546875,0.385498046875,0.072021484375
12,49152,2054.7543857097626,165.05633687973022,39.55969500541687,68.2406075000763,68.21036577224731,138.5487495213747,0.10218007862567902,70.49560546875,1.4053537845611572,3.3906002044677734,0.0,64.56036376953125,2438.949462890625,500.0,8,0,0,8,0,0.17919921875,0.17333984375,0.196044921875,0.371826171875,0.07958984375
13,53248,2265.649958372116,210.89384722709656,40.74722385406494,116.54033875465393,116.50633883476257,1287.5678920298815,-0.11782269179821014,89.19170379638672,1.399283766746521,1153.626953125,0.0,44.86705780029297,4165.4208984375,500.0,8,0,0,8,0,0.15576171875,0.178466796875,0.230712890625,0.36376953125,0.0712890625
14,57344,2395.910487651825,130.2439227104187,48.471513986587524,19.363571882247925,19.32585644721985,107.96344951540232,-0.029723845422267914,48.27815246582031,1.4026219844818115,2.569780111312866,0.0,57.145240783691406,1109.02783203125,449.44444444444446,9,1,0,8,0,0.17236328125,0.17138671875,0.2275390625,0.350830078125,0.077880859375
15,61440,2651.422999858856,255.4877815246582,53.39742112159729,141.23366475105286,141.20245814323425,286.39161966741085,-0.10100843012332916,195.8077392578125,1.3370269536972046,8.476263046264648,0.0,82.20862579345703,3899.6953125,497.625,8,0,1,7,0,0.154541015625,0.191650390625,0.210693359375,0.3798828125,0.063232421875
16,65536,2753.5832092761993,102.12840604782104,33.54941368103027,19.90950918197632,19.87667679786682,175.95172499865294,-0.01746249943971634,84.28572082519531,1.4465099573135376,2.1221110820770264,0.0,89.56135559082031,4098.04296875,500.0,8,0,0,8,0,0.169921875,0.197021484375,0.19775390625,0.35302734375,0.082275390625
17,69632,2884.3554649353027,130.7545521259308,44.07850885391235,27.384243488311768,27.3546199798584,150.2112569063902,0.0392560213804245,55.10094451904297,1.4480922222137451,2.5517311096191406,0.0,92.51932525634766,3528.677978515625,500.0,8,0,0,8,0,0.15478515625,0.162841796875,0.203125,0.37890625,0.100341796875
18,73728,3300.845340490341,416.4819574356079,38.32642602920532,323.8737814426422,323.8360369205475,172.30124528706074,0.0892682820558548,50.939483642578125,1.4309946298599243,30.898759841918945,0.0,90.37373352050781,5149.17919921875,499.25,8,0,1,7,0,0.174560546875,0.19775390625,0.18115234375,0.355712890625,0.0908203125
19,77824,3421.2000226974487,120.34436845779419,45.495566844940186,19.030720949172974,19.000777006149292,329.90543915331364,0.16723419725894928,42.6138916015625,1.412555456161499,240.29733276367188,0.0,46.82698059082031,5103.1552734375,500.0,8,0,0,8,0,0.131103515625,0.202880859375,0.1962890625,0.388671875,0.0810546875
20,81920,3540.0243282318115,118.80594086647034,41.622390270233154,17.289812803268433,17.261572122573853,156.47803864069283,0.027015062049031258,68.95098876953125,1.394734501838684,2.6029858589172363,0.0,84.89704895019531,7081.3935546875,493.25,8,0,2,6,0,0.1416015625,0.20654296875,0.184326171875,0.376953125,0.090576171875
21,86016,3785.6323153972626,245.58823704719543,39.672892570495605,147.9319450855255,147.90318727493286,200.1526707559824,-0.06890355050563812,73.18917846679688,1.3832875490188599,2.1423964500427246,0.0,124.88999938964844,6011.71533203125,500.0,8,0,0,8,0,0.17041015625,0.210693359375,0.181396484375,0.350830078125,0.086669921875
22,90112,3992.0640439987183,125.7729480266571,38.56450843811035,30.595757484436035,30.568961143493652,343.52181911468506,-0.045701026916503906,184.17153930664062,1.4533847570419312,32.01841735839844,0.0,127.3775634765625,1650.468994140625,489.25,8,0,1,7,0,0.155029296875,0.23486328125,0.1787109375,0.349609375,0.081787109375
23,94208,4097.63541841507,105.56331181526184,37.76661229133606,12.272008180618286,12.241411209106445,16571.692145792767,-0.02471211738884449,79.0833969116211,1.4252545833587646,16400.408203125,0.0,92.22525787353516,5455.75927734375,500.0,8,0,0,8,0,0.150634765625,0.214599609375,0.172607421875,0.373779296875,0.08837890625
24,98304,4432.510766506195,334.85466384887695,40.339255571365356,239.75676918029785,239.72336602210999,4424.609584838152,-0.1593436896800995,68.48805236816406,1.3350383043289185,4260.296875,0.0,95.98400115966797,5602.529296875,486.75,8,0,1,7,0,0.160888671875,0.22802734375,0.147216796875,0.389404296875,0.074462890625
25,102400,4709.38158249855,276.85166096687317,43.999099254608154,178.37961292266846,178.34868168830872,640.7787063997239,0.028790323063731194,56.08778381347656,1.4361425638198853,501.8372802734375,0.0,82.8248519897461,2567.2119140625,500.0,8,0,0,8,0,0.14404296875,0.21923828125,0.184326171875,0.357177734375,0.09521484375
26,106496,4911.4470744133,202.04395747184753,38.34919214248657,108.72656679153442,108.69528651237488,358.8743351995945,-0.08603009581565857,144.4694061279297,1.3417987823486328,107.98448944091797,0.0,106.5064697265625,6352.7568359375,487.25,8,0,2,6,0,0.148681640625,0.19580078125,0.198486328125,0.35986328125,0.09716796875
27,110592,5174.983321905136,263.534871339798,39.06968450546265,172.15014910697937,172.11768054962158,153.92276001349092,-0.033655162900686264,74.57858276367188,1.3711906671524048,3.443918228149414,0.0,75.93391418457031,4243.6484375,487.25,8,0,1,7,0,0.14111328125,0.206298828125,0.1630859375,0.379150390625,0.1103515625
28,114688,5312.696857213974,137.69274711608887,52.68537211418152,23.7978937625885,23.768460512161255,134.64774723351002,-0.0693853348493576,34.84779357910156,1.4598207473754883,29.26220703125,0.0,70.60713195800781,1793.1552734375,500.0,8,0,0,8,0,0.16796875,0.1787109375,0.19384765625,0.34326171875,0.1162109375
29,118784,5454.480440378189,141.74684691429138,40.59092330932617,43.918622732162476,43.8906307220459,276.07101459801197,-0.2409227341413498,154.25930786132812,1.3446803092956543,4.775712966918945,0.0,117.27691650390625,6883.71875,494.625,8,0,1,7,0,0.17626953125,0.210205078125,0.165771484375,0.376220703125,0.071533203125
30,122880,5610.156719923019,155.65880918502808,41.02127456665039,58.05648326873779,58.02619743347168,106.54300329461694,0.0023615099489688873,41.18974304199219,1.3866721391677856,7.2822113037109375,0.0,58.068687438964844,3981.085205078125,500.0,8,0,0,8,0,0.190673828125,0.206787109375,0.168701171875,0.361572265625,0.072265625
31,126976,5725.6353328228,115.4612786769867,37.887874364852905,24.205166578292847,24.177324295043945,169.65197348222136,0.005923982709646225,59.218650817871094,1.3895987272262573,3.9743804931640625,0.0,106.45301818847656,5554.9365234375,500.0,8,0,0,8,0,0.200439453125,0.195556640625,0.15869140625,0.35400390625,0.09130859375
32,131072,5960.173139333725,157.43310737609863,34.80372190475464,70.47869277000427,70.44445157051086,296.35035728290677,-0.0007550828158855438,63.480369567871094,1.4130300283432007,147.87696838378906,0.0,84.9937744140625,3983.00634765625,500.0,8,0,0,8,0,0.19140625,0.18798828125,0.185546875,0.3330078125,0.10205078125
33,135168,6093.9153780937195,133.7234981060028,52.32824754714966,18.7662672996521,18.735986948013306,4240.225129142404,-0.10103510320186615,68.42070770263672,1.4311599731445312,4040.08251953125,0.0,131.82293701171875,5339.68896484375,500.0,8,0,0,8,0,0.154052734375,0.213623046875,0.1669921875,0.376953125,0.08837890625
34,139264,6248.331835746765,154.3959629535675,38.03582978248596,63.893858671188354,63.8515567779541,479.70873510837555,-0.14153039455413818,132.6805419921875,1.3723978996276855,168.58543395996094,0.0,178.58428955078125,5231.03515625,496.125,8,0,1,7,0,0.184326171875,0.2099609375,0.166015625,0.343994140625,0.095703125
35,143360,6374.822433948517,126.47621607780457,38.08387994766235,39.964871644973755,39.9346342086792,460.4338777028024,-0.057991985231637955,156.592529296875,1.3008440732955933,3.9572627544403076,0.0,299.94207763671875,15138.5703125,484.5,8,0,3,5,0,0.147216796875,0.18994140625,0.160400390625,0.416015625,0.08642578125
