iteration,total_steps,wall_time_seconds,iter_time_seconds,env_step_time_seconds,learn_step_time_seconds,residual_compute_time_seconds,L_total,L_policy,L_value,L_entropy,L_residual_optimality,L_residual_safety,L_distill,mean_reward,mean_episode_length,n_episodes,n_collisions,n_successes,n_timeouts,n_aborts,action_dist_stop,action_dist_creep,action_dist_yield,action_dist_go,action_dist_abort
1,304096,1535.7836344242096,1534.2679634094238,1496.3176562786102,13.408865928649902,13.3600013256073,465.3679562807083,0.1921292543411255,306.56573486328125,1.0264098644256592,0.0,0.0,158.61009216308594,31212.427734375,274.85714285714283,14,2,12,0,0,0.20849609375,0.172119140625,0.1015625,0.46142578125,0.056396484375
2,308192,12217.305974006653,6383.241966962814,6310.069658279419,39.26245069503784,39.19915056228638,560.2008491456509,-0.2147931158542633,451.9961853027344,0.86745285987854,0.0,1.148186206817627,107.27127075195312,31909.22265625,291.64285714285717,14,0,14,0,0,0.207275390625,0.19287109375,0.109130859375,0.452880859375,0.037841796875
3,312288,15290.93850326538,3073.5880484580994,3038.998161792755,7.3334715366363525,7.288200855255127,363.56285946443677,0.018761564046144485,248.75125122070312,1.0162711143493652,0.0,0.0,114.7928466796875,31615.73046875,277.2857142857143,14,1,13,0,0,0.21044921875,0.19287109375,0.091552734375,0.46240234375,0.042724609375
4,316384,16901.623371839523,1610.6282930374146,1580.3705654144287,7.869269847869873,7.825014352798462,416.4553409963846,0.08473552763462067,235.86257934570312,0.9536104202270508,0.0,0.0,180.50802612304688,34840.4765625,296.61538461538464,13,0,13,0,0,0.2216796875,0.233642578125,0.064208984375,0.43603515625,0.04443359375
5,320480,18623.625401973724,1721.9782228469849,1688.259709596634,10.096956491470337,10.054226398468018,320.51809560507536,-0.09515369683504105,210.1267852783203,0.9369370341300964,0.0,0.3353257179260254,110.15113830566406,31195.912109375,284.07142857142856,14,2,12,0,0,0.207763671875,0.21044921875,0.083740234375,0.442626953125,0.055419921875
6,324576,24672.50518155098,6048.852361917496,5983.301012516022,26.867974281311035,26.74716591835022,374.4601387269795,0.015680719166994095,258.074462890625,0.9791561365127563,0.0,0.0,116.3699951171875,32473.205078125,304.7692307692308,13,0,13,0,0,0.215576171875,0.2216796875,0.084716796875,0.434814453125,0.043212890625
7,328672,29505.339387655258,4832.810207128525,4747.658406019211,55.43108773231506,55.32530236244202,259.28709628246725,-0.025220612064003944,151.8798065185547,0.9270296096801758,0.0,0.0,107.43251037597656,31322.98046875,281.0,14,0,14,0,0,0.215576171875,0.190673828125,0.08935546875,0.469970703125,0.034423828125
8,332768,33496.457471847534,3991.068202018738,3905.2187316417694,58.800583839416504,58.75266647338867,357.14277562871575,-0.052124883979558945,199.26751708984375,1.0810036659240723,0.0,0.0,157.92738342285156,30076.408203125,276.35714285714283,14,4,10,0,0,0.231201171875,0.183349609375,0.081787109375,0.439697265625,0.06396484375
9,336864,35128.37662482262,1631.8637645244598,1597.856472492218,10.03614330291748,9.988852977752686,341.520820915699,0.11670714616775513,155.70257568359375,1.0184460878372192,0.0,0.0,185.7015380859375,31929.96484375,280.07142857142856,14,1,13,0,0,0.217529296875,0.17529296875,0.0888671875,0.452392578125,0.06591796875
10,340960,38479.85283756256,3351.458299636841,3294.898770093918,30.385253190994263,30.33988308906555,417.3311671987176,-0.025430701673030853,199.7709503173828,1.051983118057251,0.0,0.0,217.5856475830078,31419.91796875,284.92857142857144,14,1,13,0,0,0.212646484375,0.1875,0.1025390625,0.44970703125,0.047607421875
