iteration,total_steps,wall_time_seconds,iter_time_seconds,env_step_time_seconds,learn_step_time_seconds,residual_compute_time_seconds,L_total,L_policy,L_value,L_entropy,L_residual_optimality,L_residual_safety,L_distill,mean_reward,mean_episode_length,n_episodes,n_collisions,n_successes,n_timeouts,n_aborts,action_dist_stop,action_dist_creep,action_dist_yield,action_dist_go,action_dist_abort,distill_loss_optimality_component,distill_loss_safety_component
1,4096,1422.1728904247284,1421.805881023407,1385.8041310310364,18.87833523750305,18.848520755767822,2.7326903752982616,-0.0016791410744190216,1.1819963455200195,1.4816696643829346,6.314764022827148,0.0,0.28942036628723145,-1529.0994873046875,500.0,8,0,0,8,0,0.295654296875,0.15771484375,0.115966796875,0.176025390625,0.254638671875,0.38037240505218506,0.3238276243209839
2,8192,4273.881201267242,1450.117327451706,1404.9069845676422,28.065733432769775,28.01360034942627,4.547623031586409,-0.0485176220536232,1.1344342231750488,1.4708800315856934,15.040416717529297,0.010188672691583633,0.4515853524208069,-2535.0986328125,500.0,8,0,0,8,0,0.310302734375,0.17138671875,0.120361328125,0.2158203125,0.18212890625,0.44382980465888977,0.5348706245422363
3,12288,5382.095904827118,1108.2046527862549,1059.6355593204498,31.135923862457275,31.092025995254517,4.041338589787483,0.006456151604652405,2.6270294189453125,1.4658141136169434,5.216117858886719,0.0,0.36462944746017456,-2504.154296875,500.0,8,0,0,8,0,0.250732421875,0.23779296875,0.1396484375,0.24853515625,0.123291015625,0.4359529912471771,0.481791228055954
4,16384,6465.944204092026,1083.8427550792694,1043.1290173530579,24.282123565673828,24.233262300491333,58.450710563361646,0.08095090836286545,3.2340965270996094,1.4520071744918823,272.0464782714844,0.0,0.7263674736022949,-1734.1829833984375,500.0,8,0,0,8,0,0.188720703125,0.250244140625,0.162109375,0.283935546875,0.114990234375,0.8678442239761353,1.1635878086090088
5,20480,7459.760801315308,993.7884328365326,954.8259122371674,22.56566548347473,22.5172016620636,30.32114929035306,0.008792314678430557,27.491779327392578,1.4344820976257324,1.5201771259307861,0.12897862493991852,2.49074649810791,-1454.6217041015625,500.0,8,0,0,8,0,0.171142578125,0.240966796875,0.151123046875,0.31787109375,0.118896484375,2.5700109004974365,4.483503818511963
6,24576,8905.068585634232,1445.294643163681,1315.6716403961182,113.24554467201233,113.17855215072632,2654.8229913119226,-0.04695557430386543,259.01580810546875,1.399797797203064,11945.7666015625,0.014135485514998436,6.697991371154785,864.9871215820312,477.375,8,1,1,6,0,0.138427734375,0.26953125,0.14208984375,0.340576171875,0.109375,16.40382194519043,30.35836410522461
7,28672,10158.60487294197,1253.5150828361511,1205.0992460250854,31.58897113800049,31.55284857749939,24.259221393615007,0.012492034584283829,19.049602508544922,1.4232661724090576,6.407628536224365,0.06609146296977997,3.9023828506469727,784.5296630859375,500.0,8,0,0,8,0,0.141845703125,0.25927734375,0.173583984375,0.330810546875,0.094482421875,5.754550457000732,9.04488754272461
8,32768,11448.751177549362,1290.1374242305756,1234.3533108234406,38.68532037734985,38.63910531997681,837.6690453670919,0.014707770198583603,66.93958282470703,1.3367271423339844,3825.12060546875,0.30080270767211914,5.6304731369018555,2651.33251953125,500.0,8,0,0,8,0,0.126708984375,0.22607421875,0.14453125,0.37451171875,0.128173828125,12.501238822937012,9.335939407348633
9,36864,12686.65509724617,1237.8849155902863,1197.3980231285095,23.71187686920166,23.6586012840271,47.624402798712254,0.1223982721567154,36.038360595703125,1.42518150806427,2.169771909713745,0.11825918406248093,11.006037712097168,2921.342041015625,497.0,8,0,1,7,0,0.15283203125,0.2216796875,0.136962890625,0.380859375,0.107666015625,20.24539566040039,17.035961151123047
10,40960,14037.513198852539,1350.8440692424774,1284.4942162036896,49.723965883255005,49.68879055976868,62.527157579362395,0.12486293911933899,23.37946319580078,1.4612185955047607,136.31658935546875,0.036638759076595306,11.752185821533203,4110.1494140625,500.0,8,0,0,8,0,0.1767578125,0.197021484375,0.164306640625,0.359619140625,0.102294921875,21.98394012451172,13.589009284973145
