iteration,total_steps,wall_time_seconds,iter_time_seconds,env_step_time_seconds,learn_step_time_seconds,residual_compute_time_seconds,L_total,L_policy,L_value,L_entropy,L_residual_optimality,L_residual_safety,L_distill,mean_reward,mean_episode_length,n_episodes,n_collisions,n_successes,n_timeouts,n_aborts,action_dist_stop,action_dist_creep,action_dist_yield,action_dist_go,action_dist_abort
1,304096,468.0581383705139,466.8558168411255,432.7683975696564,2.3918161392211914,0.0,72.29581418447196,0.029632238671183586,72.26618194580078,1.1435236930847168,0.0,0.0,0.0,18159.185546875,437.77777777777777,9,1,2,6,0,0.207763671875,0.143798828125,0.226806640625,0.369873046875,0.0517578125
2,308192,1295.2562580108643,437.54419136047363,423.2450466156006,1.0229384899139404,0.0,108.75628096610308,-0.050237588584423065,108.8065185546875,1.1924002170562744,0.0,0.0,0.0,15612.15234375,446.0,9,0,2,7,0,0.22216796875,0.133544921875,0.177734375,0.41259765625,0.053955078125
3,312288,1728.8521616458893,433.54837346076965,419.28179836273193,1.0202689170837402,0.0,31.399033630266786,0.00982579030096531,31.38920783996582,1.1341443061828613,0.0,0.0,0.0,17458.828125,437.3333333333333,9,1,3,5,0,0.20849609375,0.140625,0.225830078125,0.380859375,0.044189453125
4,316384,2165.585904121399,436.7290623188019,422.4472301006317,1.0157387256622314,0.0,61.94917217642069,-0.09182056039571762,62.040992736816406,1.1079610586166382,0.0,0.0,0.0,15679.56640625,443.22222222222223,9,1,3,5,0,0.239501953125,0.130859375,0.2294921875,0.353515625,0.046630859375
5,320480,2607.1466331481934,441.5561285018921,427.2572212219238,1.0203490257263184,0.0,37.33952811360359,0.05088523030281067,37.28864288330078,1.1509960889816284,0.0,0.0,0.0,16569.13671875,429.1111111111111,9,1,2,6,0,0.25830078125,0.1259765625,0.19921875,0.37548828125,0.041015625
6,324576,3062.3839144706726,455.23341965675354,440.90347170829773,1.0285871028900146,0.0,57.13362627476454,-0.044165320694446564,57.177791595458984,1.19536292552948,0.0,0.0,0.0,16822.40625,408.77777777777777,9,3,2,4,0,0.25244140625,0.110595703125,0.223876953125,0.387939453125,0.025146484375
7,328672,3521.8519248962402,459.46019649505615,444.16369915008545,1.0020999908447266,0.0,175.122009024024,-0.1544802337884903,175.2764892578125,1.129305362701416,0.0,0.0,0.0,15394.884765625,394.0,10,1,4,5,0,0.2236328125,0.126953125,0.226318359375,0.385986328125,0.037109375
8,332768,3917.6046583652496,395.7496724128723,382.63704228401184,0.8585238456726074,0.0,44.93523359298706,-0.10779619216918945,45.04302978515625,1.1599111557006836,0.0,0.0,0.0,20147.01171875,464.125,8,0,2,6,0,0.2197265625,0.12158203125,0.217529296875,0.405029296875,0.0361328125
9,336864,4327.563895940781,409.95842146873474,396.6557033061981,1.01417875289917,0.0,73.74902342632413,-0.046539317816495895,73.79556274414062,1.1312756538391113,0.0,0.0,0.0,18886.21875,456.625,8,0,2,6,0,0.23193359375,0.13427734375,0.191650390625,0.41064453125,0.031494140625
10,340960,4747.409631967545,419.8450388908386,404.5052123069763,1.0332040786743164,0.0,79.58996276557446,0.13683776557445526,79.453125,1.1608896255493164,0.0,0.0,0.0,16667.51171875,406.0,10,3,3,4,0,0.225341796875,0.14208984375,0.18994140625,0.404052734375,0.03857421875
