iteration,total_steps,wall_time_seconds,iter_time_seconds,env_step_time_seconds,learn_step_time_seconds,residual_compute_time_seconds,L_total,L_policy,L_value,L_entropy,L_residual_optimality,L_residual_safety,L_distill,mean_reward,mean_episode_length,n_episodes,n_collisions,n_successes,n_timeouts,n_aborts,action_dist_stop,action_dist_creep,action_dist_yield,action_dist_go,action_dist_abort
1,4096,93.64087891578674,93.62956142425537,28.14466118812561,31.22360634803772,31.18426012992859,8.109122579917312,0.003382129594683647,5.641898155212402,1.4507412910461426,0.0,2.397660970687866,0.06618132442235947,-1116.314453125,500.0,8,0,0,8,0,0.132080078125,0.163330078125,0.183837890625,0.348388671875,0.17236328125
2,8192,241.3392186164856,88.05680203437805,28.03438687324524,21.52203917503357,21.39257311820984,9.264046750962734,0.013553403317928314,6.850586414337158,1.432719111442566,0.0,2.3324661254882812,0.06744080781936646,-1570.2254638671875,500.0,8,0,0,8,0,0.14501953125,0.192626953125,0.257080078125,0.3203125,0.0849609375
3,12288,320.5961265563965,79.24402523040771,28.59563374519348,15.659329652786255,15.622349739074707,34.99998261034489,0.07060469686985016,32.71208572387695,1.4136137962341309,0.0,2.1280078887939453,0.08928430080413818,-589.2001953125,498.625,8,1,0,7,0,0.11962890625,0.190185546875,0.233154296875,0.373291015625,0.083740234375
4,16384,417.7645854949951,97.1497745513916,30.12973928451538,25.837465286254883,25.803083419799805,14.829238910228014,-0.0784357413649559,12.683931350708008,1.3697103261947632,0.0,2.1631596088409424,0.0605836920440197,-157.68240356445312,500.0,8,0,0,8,0,0.1318359375,0.201171875,0.20654296875,0.366455078125,0.093994140625
5,20480,510.30984711647034,92.53916811943054,30.82539439201355,26.15701460838318,26.12438464164734,44.50493171066046,0.15238413214683533,41.82343673706055,1.4443563222885132,0.0,2.448676109313965,0.08043473213911057,-150.9684600830078,451.0,8,5,0,3,0,0.1474609375,0.19482421875,0.211669921875,0.36572265625,0.080322265625
6,24576,601.9623775482178,91.60792851448059,27.665093660354614,27.653910875320435,27.59749937057495,24.15161508694291,-0.04672210291028023,22.01921844482422,1.4323616027832031,0.0,2.0979535579681396,0.08116518706083298,493.26727294921875,483.625,8,2,0,6,0,0.1533203125,0.18896484375,0.1943359375,0.3466796875,0.11669921875
7,28672,688.6164655685425,86.62295842170715,27.635239124298096,20.566125631332397,20.527634859085083,13.408892389386892,-0.003538127988576889,11.09029769897461,1.4319493770599365,0.0,2.2331292629241943,0.0890035554766655,2607.53759765625,500.0,8,0,0,8,0,0.147216796875,0.2138671875,0.17431640625,0.365478515625,0.09912109375
8,32768,786.7986032962799,98.16591310501099,27.57470965385437,34.2081458568573,34.12124156951904,30.49108250439167,0.04311871528625488,27.927284240722656,1.4291447401046753,0.0,2.4417107105255127,0.0789688378572464,2748.846435546875,500.0,8,0,0,8,0,0.15966796875,0.219482421875,0.171875,0.349609375,0.099365234375
9,36864,915.8043923377991,128.98508501052856,25.230130195617676,66.72343921661377,66.68639588356018,25.857374407351017,-0.03958030790090561,23.47509765625,1.4372352361679077,0.0,2.340522289276123,0.08133476972579956,3203.12451171875,500.0,8,0,0,8,0,0.168701171875,0.201904296875,0.190673828125,0.343017578125,0.095703125
10,40960,995.2068018913269,79.40135288238525,27.131996631622314,14.738909482955933,14.700432538986206,16.713646180927753,0.0159146711230278,14.447044372558594,1.4131138324737549,0.0,2.165515661239624,0.08517147600650787,5533.2470703125,500.0,8,0,0,8,0,0.15771484375,0.189697265625,0.200927734375,0.359619140625,0.092041015625
11,45056,1086.2503652572632,91.02536511421204,24.824640035629272,27.264334440231323,27.210036993026733,17.429304778575897,0.01632077246904373,14.944098472595215,1.4193178415298462,0.0,2.360135793685913,0.10874973982572556,6213.19921875,500.0,8,0,0,8,0,0.158447265625,0.209228515625,0.216552734375,0.3486328125,0.067138671875
12,49152,1218.5570302009583,80.61565589904785,25.767642736434937,14.249263525009155,14.209686517715454,27.96430317312479,0.14383406937122345,25.415660858154297,1.4481136798858643,0.0,2.311706066131592,0.09310217946767807,4031.453857421875,498.0,8,1,0,7,0,0.14599609375,0.205810546875,0.199951171875,0.3662109375,0.08203125
13,53248,1288.3716526031494,69.80887174606323,21.77408742904663,8.666787147521973,8.635537147521973,13.6159748993814,-0.015777315944433212,11.344042778015137,1.4024243354797363,0.0,2.1914851665496826,0.09622427076101303,6343.63671875,500.0,8,0,0,8,0,0.153076171875,0.186279296875,0.198974609375,0.34716796875,0.114501953125
14,57344,1350.5242261886597,62.1337411403656,23.51322913169861,6.253538608551025,6.222108364105225,15.327198594808578,0.14774252474308014,12.697632789611816,1.465502381324768,0.0,2.3928661346435547,0.08895714581012726,4153.4091796875,500.0,8,0,0,8,0,0.16015625,0.181640625,0.16064453125,0.344970703125,0.152587890625
15,61440,1437.326984167099,86.79629063606262,24.058213710784912,20.90612816810608,20.839743614196777,16.829937912523746,0.06931166350841522,14.200618743896484,1.4028925895690918,0.0,2.471169948577881,0.08883755654096603,5838.23828125,500.0,8,0,0,8,0,0.180908203125,0.160888671875,0.17431640625,0.355712890625,0.128173828125
16,65536,1529.8342666625977,92.49263072013855,27.135531663894653,26.027690410614014,25.99055767059326,13.608036823570728,0.1524522304534912,10.95616340637207,1.4603931903839111,0.0,2.4051413536071777,0.09427983313798904,5585.884765625,500.0,8,0,0,8,0,0.215087890625,0.170166015625,0.156005859375,0.349365234375,0.109375
17,69632,1627.567447423935,97.71656632423401,24.570093870162964,32.11511254310608,32.077080965042114,18.936550037935376,0.028188759461045265,16.612260818481445,1.417070984840393,0.0,2.190871477127075,0.1052289828658104,6015.263671875,500.0,8,0,0,8,0,0.205322265625,0.17626953125,0.158447265625,0.3466796875,0.11328125
18,73728,1694.7480309009552,67.17471146583557,23.757397651672363,7.831917762756348,7.7985076904296875,11.183078296482563,0.09240817278623581,9.048893928527832,1.3763818740844727,0.0,1.9358586072921753,0.10591758787631989,5788.4228515625,500.0,8,0,0,8,0,0.21484375,0.18212890625,0.13916015625,0.3544921875,0.109375
