iteration,total_steps,wall_time_seconds,iter_time_seconds,env_step_time_seconds,learn_step_time_seconds,residual_compute_time_seconds,L_total,L_policy,L_value,L_entropy,L_residual_optimality,L_residual_safety,L_distill,mean_reward,mean_episode_length,n_episodes,n_collisions,n_successes,n_timeouts,n_aborts,action_dist_stop,action_dist_creep,action_dist_yield,action_dist_go,action_dist_abort,distill_loss_optimality_component,distill_loss_safety_component
1,4096,1667.3952505588531,1666.6848392486572,1620.21076130867,26.81562066078186,26.743860960006714,2.624326130747795,0.11688613891601562,1.9824128150939941,1.5120621919631958,1.3837223052978516,0.0,0.24828271567821503,-1230.3409423828125,500.0,8,0,0,8,0,0.196533203125,0.23974609375,0.2685546875,0.11083984375,0.184326171875,0.39354103803634644,0.2441527396440506
2,8192,5883.0490827560425,1952.1182444095612,1899.0653109550476,32.379374742507935,32.323302030563354,1.0026074439287185,0.05404616892337799,0.4430420994758606,1.530155897140503,1.4798940420150757,0.0,0.20954036712646484,-2165.696044921875,500.0,8,0,0,8,0,0.2314453125,0.213134765625,0.25732421875,0.12353515625,0.174560546875,0.35481148958206177,0.16321824491024017
3,12288,7542.32362818718,1659.2660522460938,1521.4163405895233,119.37056636810303,119.26743984222412,1.3297125339508056,-0.01910313218832016,0.669372022151947,1.4808387756347656,2.4275848865509033,0.07131377607584,0.17966391146183014,-2258.792236328125,500.0,8,0,0,8,0,0.251220703125,0.224853515625,0.255615234375,0.154296875,0.114013671875,0.23791150748729706,0.17843176424503326
4,16384,8756.68501663208,1214.3596210479736,1183.210134267807,13.80396556854248,13.756616115570068,2.971185636520386,0.0344814658164978,2.3465092182159424,1.4579172134399414,1.3425556421279907,0.0,0.3216838240623474,-1810.61181640625,500.0,8,0,0,8,0,0.209716796875,0.238525390625,0.2216796875,0.226318359375,0.103759765625,0.6749123334884644,0.33716750144958496
5,20480,10068.003116130829,1311.2981112003326,1231.7517638206482,62.14802527427673,62.092692852020264,6.731536962464451,0.01723623462021351,4.4413371086120605,1.4088720083236694,5.938046455383301,0.0,1.0853543281555176,-707.1488037109375,500.0,8,0,0,8,0,0.196044921875,0.232421875,0.255615234375,0.238525390625,0.077392578125,1.2644164562225342,1.5341359376907349
6,24576,11839.701772928238,1771.6760535240173,1734.1654360294342,18.53850817680359,18.487579584121704,89.9559977144003,0.17190121114253998,21.772071838378906,1.4182692766189575,326.6297912597656,0.42228710651397705,2.601608991622925,-178.1219482421875,500.0,8,0,0,8,0,0.144287109375,0.256591796875,0.201171875,0.30859375,0.08935546875,2.0912981033325195,8.376839637756348
7,28672,13163.769644260406,1324.0486552715302,1223.9180989265442,84.1823947429657,84.12991285324097,30.427428936958314,0.22272183001041412,22.40951156616211,1.420893669128418,1.7631152868270874,0.054468557238578796,7.431678771972656,2242.362548828125,465.25,8,1,1,6,0,0.144287109375,0.24072265625,0.21630859375,0.325927734375,0.07275390625,5.355960369110107,14.800263404846191
8,32768,14943.761872768402,1779.9461078643799,1709.4463410377502,50.23302388191223,50.16921257972717,22.06944264099002,0.04010431095957756,18.020109176635742,1.4221564531326294,1.7136223316192627,0.16097339987754822,3.634310007095337,3000.42138671875,500.0,8,0,0,8,0,0.149658203125,0.22119140625,0.194091796875,0.330322265625,0.104736328125,10.97819995880127,8.484354972839355
9,36864,16310.439913511276,1366.659611940384,1320.7193641662598,28.13457727432251,28.086491584777832,20.09994364976883,0.1889544129371643,15.477667808532715,1.422484278678894,1.7548844814300537,0.0,4.0823445320129395,3614.3193359375,500.0,8,0,0,8,0,0.15771484375,0.235595703125,0.20947265625,0.299560546875,0.09765625,7.6995158195495605,7.103727340698242
10,40960,18173.67221570015,1863.2155339717865,1823.0724759101868,22.38270616531372,22.32179856300354,21.60684167742729,-0.05679765343666077,14.528135299682617,1.3914916515350342,1.7907918691635132,0.0,6.777345657348633,4429.96826171875,495.0,8,1,0,7,0,0.167724609375,0.237548828125,0.177734375,0.325927734375,0.091064453125,11.69000244140625,6.8030686378479
11,45056,19800.97710251808,1627.274079799652,1591.2341964244843,18.139461278915405,18.07222890853882,49.686380999535324,-0.09369991719722748,16.855257034301758,1.4134209156036377,108.39241027832031,0.03167213127017021,11.240007400512695,3964.92529296875,500.0,8,0,0,8,0,0.153564453125,0.208251953125,0.212890625,0.34423828125,0.0810546875,18.074806213378906,12.189120292663574
12,49152,25522.02191925049,3736.426927804947,3634.0000436306,79.16125202178955,79.02857851982117,195.14577834606172,0.10756099224090576,18.772735595703125,1.4375348091125488,807.9154052734375,0.0,14.682400703430176,3971.52587890625,489.75,8,1,0,7,0,0.182373046875,0.228515625,0.17041015625,0.332763671875,0.0859375,30.4869327545166,12.934976577758789
13,53248,29532.2218003273,4010.157007455826,3895.103423833847,91.20592331886292,91.06161165237427,39.12154818326235,0.08686728775501251,26.128795623779297,1.4492096900939941,3.818917751312256,0.06124713271856308,12.129852294921875,4452.33154296875,496.625,8,2,0,6,0,0.173828125,0.21435546875,0.184814453125,0.337890625,0.089111328125,25.98789405822754,11.399011611938477
14,57344,33423.2455227375,3890.919073820114,3849.216859817505,16.43335485458374,16.351328372955322,48.51695482730865,0.17199432849884033,29.375822067260742,1.4644932746887207,2.7522244453430176,0.0,18.41869354248047,4800.07275390625,486.25,8,1,0,7,0,0.187744140625,0.223388671875,0.181396484375,0.327392578125,0.080078125,34.63990020751953,16.848682403564453
15,61440,34566.02367949486,1142.6249022483826,1107.7859733104706,15.77770447731018,15.701387643814087,37.95961304306984,0.2114262878894806,24.439207077026367,1.4597598314285278,2.5851385593414307,1.7024747133255005,12.451457023620605,5181.8544921875,481.5,8,1,0,7,0,0.166748046875,0.228759765625,0.1708984375,0.336669921875,0.096923828125,31.061538696289062,13.140604972839355
16,65536,35466.75828552246,900.7060284614563,866.624597787857,15.873889923095703,15.795055627822876,31.515923527628182,-0.05908524617552757,22.900875091552734,1.418592929840088,2.208730697631836,0.0,8.23238754272461,6132.3408203125,500.0,8,0,0,8,0,0.162353515625,0.235595703125,0.163818359375,0.35107421875,0.087158203125,20.715890884399414,10.527207374572754
17,69632,36397.44284629822,930.6679012775421,896.9563217163086,15.890859365463257,15.816210269927979,542.4145612739027,0.04657783731818199,11.00987434387207,1.4013161659240723,2601.546142578125,0.0,11.048880577087402,5924.1357421875,500.0,8,0,0,8,0,0.19140625,0.198486328125,0.160400390625,0.359619140625,0.090087890625,28.90142822265625,7.580104351043701
18,73728,37528.073615550995,1130.6231245994568,1095.6334524154663,16.916600465774536,16.839807510375977,26.338468927145005,0.16278919577598572,16.875207901000977,1.4341397285461426,1.7368628978729248,0.0,8.953099250793457,5274.0908203125,500.0,8,0,0,8,0,0.201171875,0.216552734375,0.153564453125,0.336181640625,0.092529296875,29.21070671081543,7.081169128417969
19,77824,38579.18328690529,1051.0857601165771,1016.9752717018127,16.03120708465576,15.947360277175903,44.597861358523375,0.09152571856975555,16.789796829223633,1.437789797782898,91.52808380126953,0.0,9.410922050476074,5426.234375,467.875,8,1,0,7,0,0.1884765625,0.222412109375,0.16357421875,0.3525390625,0.072998046875,21.86758041381836,10.953639030456543
20,81920,39763.12775492668,1183.889075756073,1139.9608280658722,25.505934238433838,25.445948123931885,41.76621849834919,0.05850084125995636,30.231517791748047,1.440496802330017,1.8411625623703003,0.030417323112487793,11.101883888244629,5734.9873046875,500.0,8,0,0,8,0,0.1787109375,0.2294921875,0.166748046875,0.349609375,0.075439453125,25.45700454711914,10.100255012512207
21,86016,42422.33000206947,2659.183921813965,2595.934988975525,41.745896100997925,41.65956926345825,39.512676128000024,-0.02256089821457863,26.443782806396484,1.4201046228408813,1.6343531608581543,0.0,12.764583587646484,4614.15966796875,492.125,8,1,0,7,0,0.2080078125,0.1708984375,0.163818359375,0.3779296875,0.079345703125,27.283111572265625,11.165334701538086
