iteration,total_steps,wall_time_seconds,iter_time_seconds,env_step_time_seconds,learn_step_time_seconds,residual_compute_time_seconds,L_total,L_policy,L_value,L_entropy,L_residual_optimality,L_residual_safety,L_distill,mean_reward,mean_episode_length,n_episodes,n_collisions,n_successes,n_timeouts,n_aborts,action_dist_stop,action_dist_creep,action_dist_yield,action_dist_go,action_dist_abort
1,204096,1215.0038511753082,1214.176744222641,1188.4119486808777,7.958909034729004,7.919984340667725,206.2963785380125,-0.0566907674074173,87.39434814453125,1.3530381917953491,18.555301666259766,0.0,100.4034194946289,8961.232421875,395.7,10,5,2,3,0,0.132568359375,0.195556640625,0.166748046875,0.430908203125,0.07421875
2,208192,3118.564885854721,1027.4577641487122,1003.0241112709045,7.901688575744629,7.862033843994141,170.2563328742981,0.2109999656677246,71.052734375,1.3194342851638794,4.427687644958496,0.0,94.56491088867188,8474.62109375,449.1111111111111,9,2,2,5,0,0.13330078125,0.179443359375,0.17236328125,0.429443359375,0.08544921875
3,212288,4030.7968900203705,912.1690876483917,887.2582879066467,8.478084325790405,8.439509153366089,136.7292858734727,-0.10792609304189682,62.967185974121094,1.3390847444534302,1.5681232213974,0.0,72.3019027709961,7376.22900390625,426.22222222222223,9,3,2,4,0,0.157958984375,0.161865234375,0.17529296875,0.427490234375,0.077392578125
4,216384,4798.490381479263,767.6517779827118,743.6416010856628,7.610271453857422,7.572296619415283,281.44416704028845,-0.061364270746707916,93.54698944091797,1.2626063823699951,100.67211151123047,0.0,87.28643035888672,11360.8193359375,433.1111111111111,9,2,3,4,0,0.161376953125,0.15185546875,0.156982421875,0.48291015625,0.046875
5,220480,5814.255275249481,1015.7313060760498,989.4813208580017,9.911737442016602,9.872801065444946,5267.89048076421,-0.0986626073718071,56.48883056640625,1.2749272584915161,5148.828125,0.0,62.67218780517578,5068.51123046875,445.8888888888889,9,3,1,5,0,0.194091796875,0.16455078125,0.171630859375,0.411865234375,0.057861328125
6,224576,7026.0163033008575,1211.7061982154846,1178.581860780716,14.395936489105225,14.352544069290161,244.23363281041384,0.0551605299115181,131.57398986816406,1.2458348274230957,1.9235360622406006,0.0,110.68094635009766,5983.8779296875,354.6363636363636,11,7,2,2,0,0.179443359375,0.163330078125,0.156982421875,0.442626953125,0.0576171875
7,228672,8134.9502193927765,1108.8892805576324,1081.4408671855927,9.783809661865234,9.74454140663147,426.7897616401315,0.03815183788537979,119.28047943115234,1.2780972719192505,157.0400390625,0.0,150.43109130859375,8160.3203125,374.9,10,5,2,3,0,0.165771484375,0.170654296875,0.138916015625,0.469970703125,0.0546875
8,232768,9278.750783205032,1143.7518758773804,1112.103282213211,11.327186346054077,11.286751747131348,245.72297947108746,0.069147989153862,91.84869384765625,1.3311235904693604,42.72373962402344,0.0,111.0813980102539,8174.15283203125,336.0,12,8,3,1,0,0.163330078125,0.1875,0.145751953125,0.454345703125,0.049072265625
9,236864,10259.87933063507,981.0589096546173,955.2760190963745,9.45820164680481,9.418272733688354,3429.5231421887875,0.06553110480308533,126.90628051757812,1.235438585281372,3128.4208984375,0.0,174.13043212890625,10657.49609375,403.22222222222223,9,3,3,3,0,0.18115234375,0.15869140625,0.146728515625,0.4404296875,0.072998046875
10,240960,11233.839851140976,973.932492017746,944.6415004730225,13.022151231765747,12.979230165481567,1245.075365850702,-0.02084081433713436,96.13557434082031,1.3122965097427368,1053.712890625,0.0,95.24774169921875,9036.279296875,438.6666666666667,9,2,2,5,0,0.197998046875,0.16455078125,0.14111328125,0.437255859375,0.05908203125
