iteration,total_steps,wall_time_seconds,iter_time_seconds,env_step_time_seconds,learn_step_time_seconds,residual_compute_time_seconds,L_total,L_policy,L_value,L_entropy,L_residual_optimality,L_residual_safety,L_distill,mean_reward,mean_episode_length,n_episodes,n_collisions,n_successes,n_timeouts,n_aborts,action_dist_stop,action_dist_creep,action_dist_yield,action_dist_go,action_dist_abort
1,4096,364.9097731113434,364.9045271873474,14.940254926681519,85.93111085891724,85.90341353416443,2.0126255732029676,-0.009842934086918831,1.6768771409988403,1.5327141284942627,0.0,0.0,0.34559136629104614,-1115.9775390625,500.0,8,0,0,8,0,0.147216796875,0.14501953125,0.29638671875,0.2001953125,0.211181640625
2,8192,1000.0216038227081,376.6776831150055,14.958658695220947,87.35461091995239,87.32322478294373,4.5311378091573715,0.072038933634758,4.045076847076416,1.4829072952270508,0.0,0.0,0.4140220284461975,-1717.965087890625,500.0,8,0,0,8,0,0.183837890625,0.1689453125,0.29296875,0.203857421875,0.150390625
3,12288,1371.148719549179,371.1269738674164,14.933665752410889,96.13094449043274,96.10407781600952,19.85945212468505,-0.10399159044027328,16.001949310302734,1.4565367698669434,0.0,0.03163047507405281,3.929863929748535,-607.083740234375,500.0,8,0,0,8,0,0.16650390625,0.152587890625,0.343994140625,0.23583984375,0.10107421875
4,16384,1738.2175061702728,367.068656206131,14.9353609085083,85.59360694885254,85.56381726264954,25.60415767133236,0.033546194434165955,21.24254035949707,1.4192936420440674,0.0,0.0,4.328071117401123,1581.8084716796875,500.0,8,0,0,8,0,0.14794921875,0.1904296875,0.304931640625,0.276123046875,0.08056640625
5,20480,2108.4000749588013,370.1823980808258,15.55940055847168,78.83529829978943,78.8051586151123,484.61406233906746,0.01101735234260559,395.0994873046875,1.4108507633209229,0.0,0.006708621978759766,89.4968490600586,8356.859375,448.6666666666667,9,0,6,3,0,0.15283203125,0.15625,0.25390625,0.35791015625,0.0791015625
6,24576,2505.224495410919,396.8242304325104,15.607378959655762,96.16713953018188,96.13693046569824,130.84649363160133,0.15486115217208862,75.40460205078125,1.4387174844741821,0.0,0.3191997706890106,54.967830657958984,8000.65283203125,453.6666666666667,9,0,4,5,0,0.17529296875,0.11865234375,0.218017578125,0.386474609375,0.1015625
7,28672,2878.2854125499725,373.06072974205017,15.467877864837646,93.76686811447144,93.73683977127075,313.8483808040619,0.13917621970176697,241.9036407470703,1.4479215145111084,0.0,0.3062199652194977,71.49934387207031,8208.48828125,444.8888888888889,9,0,4,5,0,0.17041015625,0.113525390625,0.24609375,0.34814453125,0.121826171875
8,32768,3252.3354036808014,374.04983711242676,16.11299705505371,84.19848918914795,84.16926097869873,1213.7196788936853,-0.14525368809700012,813.047119140625,1.3152456283569336,0.0,0.202701136469841,400.6151123046875,16911.275390625,390.6,10,0,9,1,0,0.14208984375,0.10595703125,0.252197265625,0.381591796875,0.1181640625
9,36864,3650.0250029563904,397.68942308425903,16.662471294403076,88.69881010055542,88.66866183280945,1056.163663700223,-0.029909297823905945,647.8427124023438,1.2819310426712036,0.0,0.0,408.3508605957031,19544.8515625,332.1666666666667,12,0,12,0,0,0.125244140625,0.1064453125,0.25439453125,0.404052734375,0.10986328125
10,40960,4016.3668327331543,366.3416473865509,16.717780113220215,90.57761573791504,90.5484299659729,1014.7103406712413,-0.04837032034993172,607.942626953125,1.2865755558013916,0.0,0.047559868544340134,406.7685241699219,21849.654296875,307.6923076923077,13,0,13,0,0,0.134765625,0.111083984375,0.2333984375,0.430419921875,0.09033203125
11,45056,4421.540555238724,405.1735370159149,16.85810422897339,100.39588236808777,100.37032675743103,825.9959476739168,0.11184291541576385,508.9194030761719,1.307987928390503,0.0,0.21934035420417786,316.745361328125,25715.638671875,298.7692307692308,13,0,13,0,0,0.131103515625,0.11474609375,0.257568359375,0.4140625,0.08251953125
12,49152,4905.729355573654,386.7557170391083,17.40748882293701,85.69192934036255,85.66256642341614,1100.1669751256704,-0.09532345831394196,636.7510986328125,1.2294232845306396,0.0,0.0,463.5111999511719,27594.22265625,273.64285714285717,14,0,14,0,0,0.116455078125,0.097412109375,0.2490234375,0.444091796875,0.093017578125
13,53248,5316.351771116257,410.6222414970398,17.25981640815735,99.36094427108765,99.32860779762268,669.2076257281005,-0.02817792072892189,444.7433166503906,1.2455534934997559,0.0,0.049631163477897644,224.44285583496094,29828.62890625,276.0,14,0,14,0,0,0.114990234375,0.10205078125,0.25830078125,0.431884765625,0.0927734375
14,57344,5699.303131341934,382.95117449760437,17.346323490142822,92.91710162162781,92.8874306678772,722.8628626391292,-0.08817186951637268,432.34686279296875,1.2173817157745361,0.0,0.030990563333034515,290.57318115234375,29429.416015625,264.6666666666667,15,0,15,0,0,0.11474609375,0.106689453125,0.203369140625,0.471435546875,0.103759765625
