step,action,action_name,reward,ego_x,ego_y,ego_v,ttc_min,collision,d_cz
0,3,GO,0.06999999999994544,54.8,4.119999999999999,0.2,10.0,0,45.88
1,3,GO,0.14999999999997612,54.8,4.159999999999999,0.4,10.0,0,45.84
2,3,GO,0.23000000000000684,54.8,4.219999999999999,0.6000000000000001,10.0,0,45.78
3,3,GO,0.3100000000000375,54.8,4.299999999999999,0.8,10.0,0,45.7
4,3,GO,0.3899999999999829,54.8,4.399999999999999,1.0,10.0,0,45.6
5,3,GO,0.47000000000001363,54.8,4.519999999999999,1.2,10.0,0,45.480000000000004
6,3,GO,0.5499999999999591,54.8,4.659999999999998,1.4,10.0,0,45.34
7,3,GO,0.6300000000000751,51.6,4.8199999999999985,1.5999999999999999,10.0,0,45.18
8,3,GO,0.7099999999999351,51.6,4.999999999999998,1.7999999999999998,10.0,0,45.0
9,3,GO,0.7900000000000085,51.6,5.199999999999998,1.9999999999999998,10.0,0,44.800000000000004
10,3,GO,0.8699999999999966,51.6,5.419999999999998,2.1999999999999997,10.0,0,44.58
11,3,GO,0.9499999999999846,51.6,5.659999999999998,2.4,28.971493175176306,0,44.34
12,3,GO,1.0300000000000153,51.6,5.919999999999998,2.6,26.496302090592508,0,44.08
13,3,GO,1.1100000000000034,51.6,6.199999999999998,2.8000000000000003,24.139999682487854,0,43.800000000000004
14,3,GO,1.1899999999999915,51.6,6.499999999999998,3.0000000000000004,21.993314785457507,0,43.5
15,3,GO,1.2700000000000222,51.6,6.819999999999998,3.2000000000000006,20.083154225987048,0,43.18
16,3,GO,1.3499999999999677,51.6,7.159999999999998,3.400000000000001,18.435493295202576,0,42.84
17,3,GO,1.430000000000041,51.6,7.519999999999999,3.600000000000001,16.943468197146753,0,42.480000000000004
18,3,GO,1.5099999999999865,51.6,7.899999999999999,3.800000000000001,15.662068726996372,0,42.1
19,3,GO,1.5900000000000172,51.6,8.299999999999999,4.000000000000001,14.514462349376144,0,41.7
20,3,GO,1.6699999999999626,51.6,8.719999999999999,4.200000000000001,13.510769173853873,0,41.28
21,3,GO,1.7499999999999933,51.6,9.159999999999998,4.400000000000001,12.569869538591243,0,40.84
22,3,GO,1.830000000000024,51.6,9.62,4.600000000000001,11.744285492976854,0,40.38
23,3,GO,1.9100000000000121,51.6,10.1,4.800000000000002,11.013951395425241,0,39.9
24,3,GO,1.9900000000000002,51.6,10.6,5.000000000000002,10.358513727065699,0,39.4
25,3,GO,2.0699999999999883,51.6,11.12,5.200000000000002,9.732775335510265,0,38.88
26,3,GO,2.150000000000019,51.6,11.66,5.400000000000002,9.166170720327194,0,38.34
27,3,GO,2.2299999999999645,51.6,12.22,5.600000000000002,8.644508722819774,0,37.78
28,3,GO,2.310000000000038,51.6,12.8,5.8000000000000025,8.153309608219766,0,37.2
29,3,GO,2.3899999999999832,51.6,13.4,6.000000000000003,7.7341006224737,0,36.6
30,3,GO,2.470000000000014,51.6,14.02,6.200000000000003,7.30768741188681,0,35.98
31,3,GO,2.550000000000002,51.6,14.660000000000002,6.400000000000003,6.941805133738413,0,35.339999999999996
32,3,GO,2.62999999999999,51.6,15.320000000000002,6.600000000000003,6.589489907890898,0,34.68
33,3,GO,2.710000000000021,51.6,16.000000000000004,6.800000000000003,6.251288547068389,0,34.0
34,3,GO,2.790000000000009,51.6,16.700000000000003,7.0000000000000036,5.9451352967105935,0,33.3
35,3,GO,2.869999999999997,51.6,17.42,7.200000000000004,5.648343390627357,0,32.58
36,2,YIELD,2.810000000000004,51.6,18.137500000000003,7.175000000000004,5.443876987889666,0,31.862499999999997
37,3,GO,2.8899999999999495,51.6,18.875000000000004,7.375000000000004,5.174761983141521,0,31.125
38,3,GO,3.0200000000000653,51.6,19.632500000000004,7.575000000000005,4.916230052153855,0,30.367499999999993
39,3,GO,3.099999999999968,51.6,20.410000000000004,7.775000000000005,4.662347990828882,0,29.589999999999996
40,3,GO,3.179999999999999,51.6,21.207500000000003,7.975000000000005,4.423031223686266,0,28.792499999999997
41,3,GO,3.259999999999987,51.6,22.025000000000002,8.175000000000004,4.189812385684711,0,27.974999999999994
42,3,GO,3.3400000000000176,51.6,22.862500000000004,8.375000000000004,3.9710429805544027,0,27.137499999999996
43,3,GO,3.4200000000000053,51.6,23.720000000000006,8.575000000000003,3.7652564567210325,0,26.279999999999994
44,3,GO,3.500000000000036,51.6,24.597500000000007,8.775000000000002,3.5694608906191196,0,25.40249999999999
45,3,GO,3.579999999999939,51.6,25.495000000000008,8.975000000000001,3.382429241027348,0,24.504999999999995
46,3,GO,3.6600000000000548,51.6,26.41250000000001,9.175,3.1987809800127285,0,23.58749999999999
47,3,GO,3.74,51.6,27.350000000000012,9.375,3.0225741806828226,0,22.64999999999999
48,3,GO,0.8199999999999452,51.6,28.30750000000001,9.575,2.848542191684992,0,21.692499999999992
49,3,GO,0.9000000000000612,51.6,29.285000000000007,9.774999999999999,2.6814892763111433,0,20.714999999999993
50,3,GO,0.979999999999964,51.6,30.282500000000002,9.974999999999998,2.521110483439984,0,19.717499999999994
51,3,GO,1.0599999999999947,51.6,31.300000000000004,10.174999999999997,2.3676071105407495,0,18.699999999999996
52,3,GO,1.1399999999999826,51.6,32.337500000000006,10.374999999999996,2.2185154195523027,0,17.662499999999994
53,3,GO,1.2200000000000133,51.6,33.395,10.574999999999996,2.0713228214811603,0,16.604999999999997
54,3,GO,1.3000000000000012,51.6,34.472500000000004,10.774999999999995,1.906509534371564,0,15.527499999999996
55,3,GO,1.3799999999999892,51.6,35.57,10.974999999999994,1.710937909179878,0,14.43
56,3,GO,1.4599999999999773,51.6,36.6875,11.174999999999994,1.5203701500246811,0,13.3125
57,3,GO,1.5400000000000504,51.6,37.825,11.374999999999993,1.336131449573305,0,12.174999999999997
58,3,GO,1.6199999999999959,51.6,38.9825,11.574999999999992,1.1573746782274679,0,11.017499999999998
59,3,GO,1.6999999999999837,51.6,40.160000000000004,11.774999999999991,0.9833212941036515,0,9.839999999999996
60,3,GO,1.7800000000000145,51.6,41.3575,11.97499999999999,0.8130631326261382,0,8.642499999999998
61,3,GO,1.8600000000000025,51.6,42.575,12.17499999999999,0.6469696239341893,0,7.424999999999997
62,3,GO,1.9399999999999478,51.6,43.8125,12.37499999999999,0.4855535965022051,0,6.1875
63,3,GO,2.020000000000021,51.6,45.07,12.574999999999989,0.32833517286709796,0,4.93
64,3,GO,2.099999999999988,51.6,46.3475,12.774999999999988,0.17504983373934027,0,3.6525000000000034
65,3,GO,2.179999999999997,51.6,47.644999999999996,12.974999999999987,0.026970864050842366,0,2.355000000000004
66,3,GO,2.259999999999985,51.6,48.96249999999999,13.174999999999986,0.0,0,1.0375000000000085
67,3,GO,56.290000000000035,51.50098955134989,50.29307314055079,13.374999999999986,0.0,0,0.0
68,3,GO,-3.6525000000000016,51.3089800027177,51.63713998097609,13.574999999999985,0.0,0,0.0
69,3,GO,-3.632500000000001,51.114141584124084,53.00100891113141,13.774999999999984,0.0,0,0.0
70,3,GO,-3.6209999999999996,50.91767656530264,54.376264042881495,13.89,0.0,0,0.0
71,3,GO,-21.621,50.381463178925344,55.6308947017911,13.89,0.0,1,0.0
